green,red,IR,acc_x,acc_y,acc_z,sample_index
108975,192513,238246,-8.470592004,-3.565305674,3.2434710343,1
109057,192508,238236,-8.5734833758,-3.4612178908999995,3.2578279699,2
109137,192499,238231,-8.5328053916,-3.5868410774,3.2159535744,3
109211,192515,238272,-8.4801632944,-3.4528430117999998,3.3080772444999997,4
109284,192494,238311,-8.4693955927,-3.5437702705999996,3.1657042998000002,5
109115,192429,238235,-8.506484343,-3.5102707542,3.1728827676,6
108802,192379,238205,-8.61416136,-3.5940195452,3.2614172038,7
108617,192396,238142,-8.4873417622,-3.4157542615,3.2410782117,8
108545,192415,238228,-8.5806618436,-3.5270205124,3.2566315586,9
108606,192409,238203,-8.5016986978,-3.4731820039,3.278166962,10
108742,192440,238203,-8.6081793035,-3.7005001509,3.2350961552,11
108847,192426,238183,-8.5375910368,-3.5078779316,3.2757741394,12
108941,192429,238197,-8.4335032537,-3.517449222,3.2757741394,13
109044,192479,238232,-8.602197247,-3.6215370051,3.1680971224,14
109167,192490,238295,-8.4167534955,-3.5318061576,3.2171499857,15
109323,192516,238318,-8.450253011900001,-3.5018958750999998,3.2374889778,16
109438,192524,238325,-8.6237326504,-3.5605200288,3.2578279699,17
109536,192489,238350,-8.5495551498,-3.4803604716999996,3.1956145822999997,18
109431,192446,238306,-8.463413536200001,-3.4827532943,3.2865418411,19
109135,192346,238251,-8.427521197199999,-3.5341989802,3.2721849055,20
108843,192372,238223,-8.3880396243,-3.517449222,3.2015966388,21
108609,192360,238206,-8.3952180921,-3.4995030524999997,3.194418171,22
108537,192385,238199,-8.5914295453,-3.5844482548,3.3667013982,23
108643,192381,238256,-8.4538422458,-3.541377448,3.1573294206999996,24
108747,192420,238273,-8.5579300289,-3.5330025689,3.2542387359999996,25
108789,192399,238266,-8.5615192628,-3.6083764808,3.2039894614,26
108825,192414,238263,-8.445467366699999,-3.6502508763,3.1561330094,27
108944,192429,238267,-8.5040915204,-3.6155549486,3.2494530908,28
109031,192413,238291,-8.556733617599999,-3.4755748265,3.2135607518000002,29
109078,192438,238302,-8.5758761984,-3.5497523270999998,3.2255248647999997,30
109317,192469,238302,-8.518448456,-3.6071800695,3.2721849055,31
109503,192509,238317,-8.542376681999999,-3.5341989802,3.1597222433,32
109610,192516,238322,-8.4622171249,-3.5832518435,3.2111679291999997,33
109740,192494,238354,-8.5591264402,-3.6035908356,3.2673992603000004,34
109816,192504,238397,-8.5603228515,-3.5365918028000003,3.1441688964,35
110035,192550,238375,-8.525626923799999,-3.5557343836,3.0807590974999997,36
110152,192537,238391,-8.360522164399999,-3.5605200288,3.1968109935999998,37
109945,192456,238301,-8.4442709554,-3.5126635768,3.2554351473,38
109490,192420,238243,-8.4012001486,-3.4133614389,3.1728827676,39
109053,192369,238239,-8.6524465216,-3.541377448,3.2434710343,40
108787,192338,238254,-8.3784683339,-3.6430724085,3.2554351473,41
108657,192334,238274,-8.4897345848,-3.5557343836,3.1680971224,42
108663,192352,238255,-8.4370924876,-3.4325040196999996,3.1776684127999997,43
108730,192404,238290,-8.4681991814,-3.4420753101,3.3451659948,44
