green,red,IR,acc_x,acc_y,acc_z,sample_index
129097,206484,271014,-8.8558364426,-1.6378870697,-3.9613178143,1
129397,206560,271020,-8.846265152199999,-1.6043875533,-3.9302111204999997,2
129541,206539,271036,-8.939585233599999,-1.7730815466,-3.9912280968,3
129781,206616,271074,-8.8785682573,-1.8089738856,-3.8273197486999995,4
129758,206590,271056,-8.9048893059,-1.6486547714,-3.9553357578,5
129394,206477,270940,-8.8235333375,-1.6414763036,-4.0761732991,6
128583,206351,270875,-8.918049830200001,-1.6450655375,-4.0366917262,7
127684,206190,270664,-8.7804625307,-1.6689937635,-4.0510486617999995,8
126741,206058,270541,-8.8713897895,-1.6773686425999998,-3.9541393465,9
126029,205943,270408,-8.930013943199999,-1.6845471104,-4.0271204358,10
125533,205888,270397,-8.8498543861,-1.6677973521999998,-3.984049629,11
125379,205878,270303,-8.949156524,-1.6797614652,-3.9194434188,12
125434,205903,270310,-8.9635134596,-1.7060825138000002,-3.9816568063999997,13
125540,205926,270338,-8.9036928946,-1.543370577,-3.9672998708,14
125633,205955,270364,-8.8522472087,-1.6606188843999998,-3.9098721283999995,15
125643,205923,270372,-8.9862452743,-1.6689937635,-3.9134613623,16
125789,205922,270380,-8.8678005556,-1.710868159,-3.9314075318,17
125859,205959,270435,-9.0125663229,-1.6821542877999998,-3.9003008379999997,18
125960,205945,270389,-8.7876409985,-1.663011707,-4.0498522505,19
126079,205992,270408,-8.8965144268,-1.6677973521999998,-3.960121403,20
126258,206037,270472,-8.8486579748,-1.7419748528,-3.8943187815,21
126378,206051,270455,-8.9946201534,-1.5804593273,-3.8979080154,22
126556,206072,270527,-8.8869431364,-1.7300107398,-4.031906081,23
126768,206119,270520,-8.7852481759,-1.6366906583999998,-3.9373895883000003,24
127001,206095,270610,-8.7804625307,-1.710868159,-4.0701912426,25
127201,206210,270618,-8.961120637,-1.6929219895,-3.9900316855,26
127362,206222,270681,-8.9276211206,-1.7168502155,-3.9888352742,27
127664,206268,270695,-8.817551281,-1.698904046,-3.9768711611999996,28
127878,206342,270776,-8.9587278144,-1.8017954178,-4.0366917262,29
128105,206343,270774,-8.9156570076,-1.6486547714,-4.0151563228,30
128252,206397,270785,-8.9539421692,-1.6713865861,-3.9517465239000003,31
128504,206396,270829,-8.9144605963,-1.6319050132,-3.9936209194,32
128721,206502,270815,-8.8845503138,-1.6402798923,-3.9792639838,33
128912,206472,270884,-8.925228298,-1.7443676754000002,-3.9744783386,34
128910,206432,270871,-8.9946201534,-1.5014961814999999,-3.9577285803999995,35
128516,206314,270779,-8.8343010392,-1.663011707,-4.091726646,36
127769,206163,270672,-8.9060857172,-1.6869399330000001,-4.0271204358,37
126874,206051,270542,-8.9347995884,-1.7682959014000001,-3.9864424516000003,38
126036,205944,270412,-8.8689969669,-1.615155255,-3.9014972492999997,39
125346,205862,270242,-8.9359959997,-1.615155255,-3.8979080154,40
125000,205778,270212,-8.930013943199999,-1.6917255782,-4.055834307,41
124898,205740,270138,-8.8139620471,-1.6271193679999998,-3.9732819273,42
124986,205774,270235,-8.9060857172,-1.6127624323999998,-3.9613178143,43
125071,205814,270244,-8.9587278144,-1.6414763036,-3.9613178143,44
125254,205834,270235,-8.9276211206,-1.6677973521999998,-3.8919259589,45
125354,205885,270302,-8.8259261601,-1.6677973521999998,-3.936193177,46
125430,205865,270316,-8.918049830200001,-1.6558332392,-3.9553357578,47
125540,205865,270331,-8.8701933782,-1.6833506991,-3.9936209194,48
125692,205861,270351,-8.9216390641,-1.6642081183,-4.0175491454,49
125866,205982,270387,-8.913264185,-1.5948162629,-3.9708891047,50
125942,205958,270371,-8.9467637014,-1.6235301341000001,-3.9912280968,51
126167,206014,270386,-8.8091764019,-1.6869399330000001,-3.9732819273,52
126390,205981,270408,-8.9336031771,-1.7766707805,-4.0378881375,53
126613,205970,270491,-8.943174467499999,-1.6450655375,-3.9409788222,54
126829,206059,270500,-8.8426759183,-1.6785650538999999,-3.9888352742,55
127063,206156,270563,-8.7661055951,-1.6558332392,-3.9864424516000003,56
127300,206136,270595,-8.8498543861,-1.7276179172000001,-3.984049629,57
127536,206245,270653,-8.918049830200001,-1.6677973521999998,-3.9278182979,58
127661,206231,270702,-9.0125663229,-1.7144573929,-3.9469608787,59
127990,206331,270731,-8.9694955161,-1.8460626359,-4.0713876539,60
128124,206324,270782,-8.8965144268,-1.6701901747999999,-3.9589249917,61
128443,206364,270829,-8.9599242257,-1.6654045296,-3.960121403,62
128625,206367,270860,-8.8115692245,-1.7288143285,-4.030709669699999,63
128846,206422,270854,-8.9060857172,-1.710868159,-3.8225341035,64
128936,206439,270858,-8.8713897895,-1.7288143285,-3.9529429352,65
128740,206310,270811,-9.0221376133,-1.663011707,-3.8919259589,66
128104,206208,270660,-8.9874416856,-1.7001004573,-3.996013742,67
127337,206095,270555,-8.859425676499999,-1.6809578765,-3.912264951,68
126536,205975,270434,-8.9324067658,-1.6498511827,-4.0007993872,69
125873,205878,270329,-8.865407733,-1.8556339263000001,-4.0175491454,70
125447,205830,270264,-8.9599242257,-1.7300107398,-3.9445680561,71
125343,205828,270271,-8.9156570076,-1.5852449725,-3.924229064,72
125429,205814,270250,-8.937192411,-1.6295121905999999,-3.9768711611999996,73
125574,205834,270294,-8.925228298,-1.6666009409,-3.8847474911,74
125692,205864,270333,-8.7756768855,-1.6307086019,-4.0701912426,75
125806,205844,270289,-8.9647098709,-1.6582260617999998,-3.9816568063999997,76
125877,205921,270319,-8.9910309195,-1.5170495284,-3.912264951,77
125997,205927,270320,-8.8821574912,-1.7168502155,-3.9984065645999998,78
126106,205953,270353,-8.9228354754,-1.7192430381,-4.030709669699999,79
126259,205941,270409,-8.889335959,-1.6917255782,-3.9421752335,80
126407,205989,270406,-8.9455672901,-1.7395820302,-3.9158541848999997,81
126470,206024,270454,-8.9336031771,-1.6606188843999998,-3.9038900719000003,82
126769,206109,270482,-8.9228354754,-1.7563317884,-3.8392838617,83
126944,206071,270484,-8.7541414821,-1.7036896912000001,-3.9505501125999998,84
127159,206091,270548,-8.8869431364,-1.7958133612999998,-3.9888352742,85
127372,206096,270608,-8.8965144268,-1.5876377951,-3.9780675724999996,86
127600,206166,270607,-8.9647098709,-1.5110674719,-3.8440695069,87
127833,206221,270669,-8.9276211206,-1.698904046,-4.0175491454,88
128057,206270,270651,-8.8905323703,-1.7060825138000002,-3.8572300312,89
128253,206274,270754,-8.918049830200001,-1.5445669883000002,-4.043870194,90
128510,206291,270768,-8.7326060787,-1.6103696098,-4.0366917262,91
128703,206387,270772,-8.975477572600001,-1.7551353771,-3.8392838617,92
128900,206350,270805,-8.961120637,-1.5349956979000001,-4.0223347905999995,93
128786,206315,270799,-8.8701933782,-1.6354942471,-4.146761565799999,94
128373,206202,270728,-8.9060857172,-1.6414763036,-4.0462630166,95
127603,206127,270542,-8.8989072494,-1.6857435217,-4.0295132584,96
126704,205967,270407,-8.8510507974,-1.5637095691,-3.9720855159999995,97
125997,205822,270267,-8.8821574912,-1.6414763036,-3.9936209194,98
125434,205817,270196,-8.7541414821,-1.6319050132,-3.9900316855,99
125114,205717,270101,-8.918049830200001,-1.5349956979000001,-3.888336725,100
125159,205713,270154,-8.8546400313,-1.7096717476999999,-3.8703905555,101
125272,205740,270195,-8.717052731799999,-1.6091731985,-3.9984065645999998,102
125352,205746,270170,-8.9276211206,-1.6474583601,-3.9170505962,103
125551,205782,270195,-8.8426759183,-1.6749758199999998,-3.9613178143,104
125660,205813,270211,-8.8618184991,-1.7563317884,-3.9038900719000003,105
125792,205796,270245,-8.7661055951,-1.5828521499000001,-4.0965122912,106
125884,205786,270214,-8.781658942,-1.6821542877999998,-4.0223347905999995,107
126024,205823,270240,-8.9515493466,-1.6737794087,-4.0534414844,108
126216,205861,270280,-8.9659062822,-1.7359927963,-4.007977855,109
126451,205878,270362,-8.9539421692,-1.6127624323999998,-4.0462630166,110
126615,205913,270369,-8.7876409985,-1.6881363443,-4.0007993872,111
126829,205958,270431,-8.997012975999999,-1.6749758199999998,-4.0259240245,112
126978,205956,270430,-8.913264185,-1.6654045296,-3.9637106368999997,113
127295,205983,270496,-8.8666041443,-1.7383856189,-3.9457644674,114
127500,206067,270551,-8.8869431364,-1.6438691261999998,-3.8871403137,115
127750,206123,270546,-8.9503529353,-1.7036896912000001,-4.001995798499999,116
127976,206146,270602,-9.0053878551,-1.6055839645999999,-3.9194434188,117
128240,206193,270642,-8.925228298,-1.6366906583999998,-3.9170505962,118
128465,206255,270670,-8.925228298,-1.6869399330000001,-4.140779509300001,119
128687,206278,270746,-8.7924266437,-1.6307086019,-3.9792639838,120
128916,206317,270756,-8.8749790234,-1.591227029,-3.876372612,121
129111,206340,270772,-9.0017986212,-1.6582260617999998,-3.9577285803999995,122
129120,206325,270789,-8.9467637014,-1.7096717476999999,-4.0295132584,123
128797,206269,270678,-8.913264185,-1.591227029,-4.0570307183,124
128106,206076,270538,-8.8977108381,-1.6007983194,-4.0223347905999995,125
127323,205948,270398,-8.9563349918,-1.6307086019,-3.9984065645999998,126
126544,205829,270264,-8.9802632178,-1.746760498,-3.9433716447999996,127
