green,red,IR,acc_x,acc_y,acc_z,sample_index
94780,191780,231126,6.6317078358999995,-4.0247276132000005,5.7954163372,1
94646,191693,231156,6.8470618699,-3.996013742,5.747559885199999,2
94626,191648,231039,6.8267228778,-3.8464623295,5.8217373858000006,3
94670,191666,231100,6.6699929975,-4.0701912426,5.7810594016,4
94804,191701,231091,6.8470618699,-4.0091742663,5.7978091598,5
95072,191824,231224,6.8470618699,-3.9708891047,5.7643096434,6
95238,191895,231260,6.8075802969999994,-4.1479579771,5.6973106106,7
95277,191922,231234,6.8051874744,-4.0223347905999995,5.778666579,8
95389,191975,231248,6.811169530899999,-4.0534414844,5.8468620231,9
95462,192005,231260,6.8542403377,-3.9972101532999997,5.7930235146,10
95539,192022,231360,6.8219372326,-3.9421752335,5.856433313499999,11
95650,192123,231304,6.7166530382000005,-3.9062828945,5.7810594016,12
95788,192138,231363,6.7082781591,-4.0606199522,5.8097732728,13
95913,192212,231363,6.7046889252,-4.06779842,5.7918271033,14
96045,192298,231402,6.8757757411,-4.0067814437,5.7643096434,15
96182,192377,231458,6.7992054179000005,-3.984049629,5.831308676200001,16
96308,192335,231441,6.8159551761,-4.0342989036,5.826523031,17
96460,192417,231490,6.8350977569,-4.0486558392,5.8217373858000006,18
96491,192496,231492,6.6149580777,-3.9780675724999996,5.7870414581,19
96748,192510,231523,6.8374905795,-4.0223347905999995,5.8396835553,20
96864,192587,231537,6.7465633207,-4.092923057299999,5.826523031,21
96968,192639,231569,6.8638116281,-3.9637106368999997,5.826523031,22
96997,192686,231604,6.8410798134,-4.163511324,5.7810594016,23
96474,192419,231531,6.6388863037,-4.0390845488,5.8145589179999995,24
95561,192134,231328,6.851847515099999,-4.079762533,5.735595772199999,25
94980,191961,231220,6.7178494495,-3.960121403,5.913861055899999,26
94655,191808,231186,6.8733829185,-4.0749768878,5.7032926670999995,27
94523,191784,231165,6.7381884416,-3.9290147091999996,5.7834522241999995,28
94484,191793,231217,6.757331022400001,-3.9230326527000003,5.8049876276,29
94540,191817,231197,6.642475537599999,-4.0283168471,5.7379885948,30
94716,191806,231194,6.795616184,-4.0414773714,5.8755758943,31
94942,191990,231275,6.644868360199999,-3.9577285803999995,5.8217373858000006,32
95078,192091,231373,6.7322063851000005,-4.0462630166,5.826523031,33
95107,192097,231304,6.7381884416,-3.996013742,5.773880933799999,34
95198,192108,231351,6.6771714653,-4.0127635002,5.812166095399999,35
95298,192190,231377,6.7310099738,-4.0414773714,5.8229337971,36
95372,192238,231366,6.8087767083,-4.0785661217,5.773880933799999,37
95537,192287,231376,6.8039910631,-4.0749768878,5.8097732728,38
95631,192253,231444,6.613761666399999,-3.9708891047,5.8109696841,39
95774,192414,231471,6.6305114246,-4.0223347905999995,5.8049876276,40
95896,192475,231484,6.8685972733,-4.0582271296000005,5.8648081926,41
96038,192518,231522,6.782455659699999,-3.9254254753,5.8049876276,42
96172,192501,231588,6.7118673929999995,-4.0582271296000005,5.8289158536,43
96298,192641,231539,6.8470618699,-4.030709669699999,5.7966127485,44
96445,192684,231555,6.891329088,-4.0055850324,5.7499527078,45
96548,192658,231630,6.6915284009,-4.091726646,5.7930235146,46
96682,192795,231622,6.640082715,-3.9529429352,5.8540404909,47
96819,192778,231642,6.770491546700001,-4.1204405172000005,5.730810127,48
96846,192843,231648,6.6831535217999996,-4.0127635002,5.8145589179999995,49
96452,192613,231511,6.7465633207,-4.103690759,5.827719442299999,50
95589,192336,231310,6.687939167000001,-4.0127635002,5.8576297248,51
94875,192086,231262,6.823133643899999,-3.8991044267,5.8923256525,52
94536,191946,231213,6.7848484823,-3.9469608787,5.8013983936999995,53
94389,191762,231193,6.8410798134,-3.9792639838,5.8492548457,54
94360,191853,231149,6.81954441,-4.007977855,5.8504512570000005,55
94447,191874,231141,6.6831535217999996,-4.031906081,5.838487144,56
94595,191852,231189,6.709474570399999,-3.9900316855,5.778666579,57
94775,192008,231249,6.866204450700001,-3.9864424516000003,5.826523031,58
94898,192055,231286,6.836294168199999,-4.0342989036,5.802594804999999,59
95019,192074,231248,6.6831535217999996,-4.0271204358,5.806184038900001,60
95041,192060,231281,6.8219372326,-3.9708891047,5.790630692000001,61
95065,192105,231239,6.7334027964,-4.0965122912,5.7571311756,62
95184,192122,231276,6.7393848529,-3.9553357578,5.8049876276,63
95271,192204,231338,6.6771714653,-3.9732819273,5.778666579,64
95400,192207,231328,6.728617151199999,-4.0283168471,5.8133625067,65
95527,192267,231374,6.8410798134,-3.9589249917,5.8360943214,66
95650,192344,231397,6.7621166676,-4.0175491454,5.7403814174,67
95788,192361,231357,6.7190458608,-4.0606199522,5.802594804999999,68
95857,192384,231434,6.8303121117,-4.019941968,5.747559885199999,69
95990,192468,231444,6.8279192891000005,-4.0594235409,5.7834522241999995,70
96109,192514,231486,6.7226350947,-3.996013742,5.8683974265,71
96221,192533,231485,6.8051874744,-3.8500515634,5.7212388366,72
96273,192538,231521,6.740581264199999,-4.0091742663,5.8396835553,73
95902,192456,231445,6.8889362654,-4.0139599115,5.8109696841,74
95081,192073,231263,6.7166530382000005,-3.9852460403000003,5.8097732728,75
94370,191832,231154,6.7381884416,-3.9062828945,5.7978091598,76
93964,191677,231083,6.771687958,-4.0713876539,5.7092747236,77
93784,191545,231038,6.770491546700001,-4.0713876539,5.8576297248,78
93774,191493,230995,6.771687958,-3.9565321691,5.8049876276,79
93828,191513,231009,6.6412791263,-4.0390845488,5.754738353,80
93965,191512,231037,6.786044893600001,-4.0043886211,5.7260244818,81
94171,191639,231112,6.771687958,-3.9014972492999997,5.7212388366,82
