green,red,IR,acc_x,acc_y,acc_z,sample_index
124941,211415,251426,7.1377898158,1.6438691261999998,-6.5264236415,1
125456,211471,251427,7.223931429399999,1.6007983194,-6.544369811,2
125820,211508,251460,7.1856462678,1.519442351,-6.4689958991,3
125946,211395,251442,7.1365934045,1.7742779578999999,-6.5706908596,4
125975,211434,251426,7.2873412283,1.6319050132,-6.5850477951999995,5
126013,211486,251396,7.2897340509,1.579262916,-6.5096738833000005,6
126142,211494,251430,7.393821834000001,1.603191142,-6.5419769884,7
126378,211447,251416,7.221538606799999,1.6163516663,-6.5060846494,8
126708,211511,251437,7.282555583100001,1.7144573929,-6.5994047308,9
127085,211574,251487,7.335197680299999,1.5996019081000001,-6.532405698,10
127473,211577,251496,7.2071816712,1.7694923127,-6.5671016257,11
127864,211644,251533,7.155735985300001,1.7288143285,-6.5395841658,12
128331,211708,251574,7.3256263899,1.6259229567,-6.5060846494,13
128716,211724,251586,7.3028945752,1.6833506991,-6.5994047308,14
129138,211693,251643,7.3256263899,1.6534404165999999,-6.5778693274,15
129552,211863,251639,7.2358955424,1.6785650538999999,-6.5371913432,16
129958,211917,251700,7.1617180418,1.5900306177,-6.592226263000001,17
130390,211950,251725,7.2095744938,1.6366906583999998,-6.559923157899999,18
130777,212008,251782,7.2442704215000004,1.6522440053,-6.5012990042,19
131212,212078,251796,7.1760749774,1.543370577,-6.6233329568,20
131594,212114,251812,7.2287170746000005,1.5696916256,-6.4618174313,21
132028,212117,251854,7.2000032034000006,1.6594224731,-6.5431733997,22
132394,212197,251866,7.1688965096,1.7132609816000002,-6.5611195692,23
132772,212295,251957,7.1724857435,1.5170495284,-6.575476504799999,24
133145,212321,251998,7.1521467514,1.7120645703,-6.575476504799999,25
133182,212316,251976,7.190431913,1.5493526335,-6.6807606991999995,26
131868,211988,251847,7.211967316399999,1.6199409001999998,-6.508477471999999,27
129476,211712,251594,7.2155565503000005,1.6319050132,-6.652046828,28
127210,211505,251418,7.253841711900001,1.5565311013,-6.6017975534,29
125891,211332,251350,7.348358204599999,1.6534404165999999,-6.576672916100001,30
125208,211324,251276,7.1461646949,1.5840485612,-6.4618174313,31
124999,211319,251306,7.2478596554,1.8137595308,-6.5455662223,32
125161,211412,251346,7.2358955424,1.6785650538999999,-6.652046828,33
125642,211408,251367,7.190431913,1.5170495284,-6.5850477951999995,34
126172,211486,251405,7.1162544124,1.6606188843999998,-6.4953169477,35
126500,211498,251425,7.129414936699999,1.6199409001999998,-6.6113688438,36
126586,211497,251419,7.155735985300001,1.6079767872,-6.6257257794,37
126527,211456,251397,7.2299134859,1.6809578765,-6.562315980499999,38
126558,211450,251378,7.3124658656,1.5038890041,-6.5419769884,39
126719,211457,251401,7.2454668328,1.6689937635,-6.5946190856,40
126960,211469,251431,7.2131637277000005,1.6211373115,-6.5096738833000005,41
127257,211452,251466,7.3028945752,1.6366906583999998,-6.5096738833000005,42
127604,211454,251463,7.1916283243,1.7527425545,-6.568298037,43
127973,211609,251498,7.250252477999999,1.603191142,-6.6664037636,44
128355,211628,251526,7.3256263899,1.6271193679999998,-6.6065831986,45
128774,211690,251547,7.1641108644,1.6594224731,-6.5012990042,46
129085,211708,251592,7.1820570339,1.6761722313,-6.575476504799999,47
129477,211757,251596,7.304090986499999,1.6677973521999998,-6.5659052144,48
129917,211825,251614,7.2131637277000005,1.5936198516,-6.563512391800001,49
130302,211892,251669,7.1617180418,1.6642081183,-6.5419769884,50
130667,211912,251754,7.087540541199999,1.6833506991,-6.5156559398,51
131067,212000,251782,7.1365934045,1.6725829974,-6.5730836822,52
131352,212036,251763,7.1282185253999995,1.567298803,-6.4893348911999995,53
130759,211868,251686,7.1222364689,1.567298803,-6.6089760212,54
128750,211538,251495,7.2753771152999995,1.6235301341000001,-6.4618174313,55
126399,211281,251269,7.274180704,1.5924234403000002,-6.5946190856,56
124735,211089,251158,7.2490560667,1.6127624323999998,-6.521637996299999,57
123859,210965,251103,7.2705914701,1.6199409001999998,-6.5120667059,58
123532,210952,251094,7.183253445199999,1.5122638832,-6.5970119082,59
123558,210933,251099,7.2287170746000005,1.5661023917,-6.6305114246,60
123780,210973,251107,7.0995046541999995,1.6331014245,-6.5252272302000005,61
124421,210938,251148,7.1880390904,1.639083481,-6.425925092299999,62
124983,211026,251151,7.1629144531,1.6618152957,-6.452246140900001,63
125287,211016,251161,7.3136622769,1.6342978358,-6.5994047308,64
125419,211040,251168,7.183253445199999,1.6773686425999998,-6.5395841658,65
125540,211025,251180,7.253841711900001,1.7742779578999999,-6.5946190856,66
125668,211089,251236,7.211967316399999,1.6498511827,-6.629315013299999,67
126005,211081,251211,7.1449682836,1.5888342063999998,-6.5240308189,68
126327,211124,251239,7.0899333638,1.6821542877999998,-6.5850477951999995,69
126705,211152,251274,7.2311098972,1.7551353771,-6.5826549726,70
127151,211199,251315,7.1246292915,1.5948162629,-6.4857456573,71
127584,211248,251340,7.130611348,1.5984054967999999,-6.5515482788,72
128022,211326,251373,7.3016981639,1.5541382787000002,-6.563512391800001,73
128477,211402,251399,7.2921268735,1.6654045296,-6.5395841658,74
128900,211413,251401,7.3136622769,1.6247265454,-6.5012990042,75
129335,211472,251441,7.3016981639,1.6438691261999998,-6.533602109299999,76
129743,211514,251506,7.1342005819,1.5038890041,-6.5395841658,77
130074,211606,251570,7.3280192125,1.519442351,-6.6652073523,78
130541,211559,251575,7.166503687,1.6570296505,-6.5383877545,79
130924,211642,251610,7.2095744938,1.6713865861,-6.563512391800001,80
131352,211742,251656,7.190431913,1.7407784414999998,-6.531209286699999,81
131733,211832,251707,7.281359171799999,1.7180466268,-6.5539411014,82
132118,211872,251750,7.106683122,1.6079767872,-6.5276200528,83
132491,211904,251793,7.1377898158,1.6247265454,-6.5204415849999995,84
132856,211945,251817,7.281359171799999,1.6486547714,-6.5539411014,85
133246,212015,251845,7.1246292915,1.6414763036,-6.4833528347,86
133349,212007,251818,7.2287170746000005,1.7575281996999998,-6.5706908596,87
132294,211803,251668,7.2311098972,1.7395820302,-6.544369811,88
129972,211462,251438,7.1365934045,1.6510475939999998,-6.5264236415,89
127619,211180,251231,7.1916283243,1.6737794087,-6.502495415499999,90
126060,211000,251198,7.0648087265,1.6043875533,-6.5455662223,91
125237,210965,251123,7.226324252,1.6666009409,-6.5730836822,92
124868,210919,251107,7.265805824899999,1.507478238,-6.4953169477,93
124862,210930,251081,7.1928247355999995,1.6295121905999999,-6.6233329568,94
125156,210931,251107,7.2167529616,1.5469598109,-6.4941205364000005,95
125645,211015,251158,7.3627151402,1.7431712641,-6.5252272302000005,96
126074,211037,251162,7.2610201797,1.5649059803999998,-6.5048882380999995,97
126191,211026,251157,7.1377898158,1.5649059803999998,-6.5096738833000005,98
126210,210944,251148,7.238288365000001,1.615155255,-6.568298037,99
126323,210960,251126,7.1473611062,1.7335999736999999,-6.5587267466,100
126498,211001,251126,7.2275206633,1.6366906583999998,-6.532405698,101
126737,210995,251184,7.1880390904,1.6319050132,-6.4785671895,102
127065,211062,251211,7.2957161074000005,1.6977076347,-6.563512391800001,103
127443,211109,251219,7.1485575175,1.7036896912000001,-6.5850477951999995,104
127863,211193,251230,7.2897340509,1.579262916,-6.4713887217,105
128292,211162,251270,7.211967316399999,1.6055839645999999,-6.5395841658,106
128728,211251,251295,7.3220371559999995,1.6654045296,-6.5395841658,107
129150,211270,251339,7.138986227099999,1.6223337227999999,-6.4737815442999995,108
129581,211358,251416,7.2000032034000006,1.6247265454,-6.5659052144,109
129986,211398,251415,7.2107709050999995,1.7455640867,-6.4953169477,110
130396,211431,251486,7.2933232848,1.6438691261999998,-6.6987068686999995,111
130819,211539,251527,7.2227350181,1.6271193679999998,-6.5252272302000005,112
131204,211578,251504,7.1593252192,1.6127624323999998,-6.5946190856,113
131606,211615,251581,7.2287170746000005,1.734796385,-6.4977097703,114
132032,211655,251600,7.2227350181,1.519442351,-6.5264236415,115
132382,211725,251633,7.240681187599999,1.591227029,-6.6352970698,116
132819,211769,251656,7.3088766317000005,1.6187444889,-6.6376898924,117
133197,211773,251693,7.3423761481,1.5577275125999999,-6.5108702946,118
133577,211816,251738,7.2083780824999995,1.7503497318999999,-6.575476504799999,119
133665,211830,251692,7.2000032034000006,1.5625131578,-6.5479590449,120
132668,211632,251586,7.267002236200001,1.6654045296,-6.644868360199999,121
130901,211365,251415,7.2035924373,1.7659030788,-6.549155456199999,122
129323,211166,251243,7.2203421955,1.6594224731,-6.533602109299999,123
128366,211067,251205,7.211967316399999,1.5744772707999999,-6.5826549726,124
127853,211001,251129,7.1772713886999995,1.5840485612,-6.521637996299999,125
127646,210979,251155,7.3088766317000005,1.6366906583999998,-6.5144595285,126
127772,210948,251162,7.1617180418,1.6450655375,-6.5515482788,127
128142,211101,251194,7.1617180418,1.6522440053,-6.5168523511,128
128543,211111,251213,7.171289332200001,1.6235301341000001,-6.642475537599999,129
128717,211087,251189,7.2586273571,1.543370577,-6.5001025929,130
128738,211058,251198,7.214360139,1.7359927963,-6.5587267466,131
128766,211057,251124,7.2598237683999995,1.6043875533,-6.6065831986,132
128843,211026,251180,7.286144817,1.591227029,-6.5826549726,133
129029,211051,251191,7.1449682836,1.6199409001999998,-6.5994047308,134
129281,211068,251162,7.2167529616,1.5696916256,-6.5611195692,135
129582,211096,251188,7.265805824899999,1.6247265454,-6.5264236415,136
129926,211154,251246,7.167700098299999,1.6450655375,-6.5300128754,137
130304,211192,251289,7.2299134859,1.7407784414999998,-6.5778693274,138
130644,211194,251297,7.3399833255,1.6809578765,-6.604190375999999,139
130994,211180,251343,7.1617180418,1.6893327556000002,-6.5671016257,140
131376,211399,251343,7.3088766317000005,1.6342978358,-6.568298037,141
131738,211365,251400,7.1521467514,1.5840485612,-6.5551375127,142
132087,211444,251438,7.2346991311,1.6043875533,-6.5539411014,143
132435,211491,251448,7.3016981639,1.5708880369,-6.546762633599999,144
132789,211538,251507,7.2107709050999995,1.6307086019,-6.5060846494,145
133085,211569,251529,7.1760749774,1.5876377951,-6.5994047308,146
132773,211467,251433,7.1629144531,1.5984054967999999,-6.4953169477,147
131445,211219,251220,7.1270221141,1.5481562222,-6.5970119082,148
129763,210915,251020,7.1605216305,1.5577275125999999,-6.5970119082,149
128521,210752,251005,7.223931429399999,1.6354942471,-6.5515482788,150
127797,210668,250903,7.3016981639,1.6223337227999999,-6.5874406178,151
127424,210619,250826,7.2466632441,1.6845471104,-6.549155456199999,152
