green,red,IR,acc_x,acc_y,acc_z,sample_index
93757,186149,208881,1.7682959014000001,-9.549754996599999,1.6378870697,1
93826,186271,208941,2.045863323,-9.7292166916,1.5996019081000001,2
93859,186174,208866,2.0027925162,-9.745966449800001,1.6953148121,3
93842,186084,208818,1.9669001771999999,-9.688538707400001,1.6725829974,4
93748,186066,208739,1.8735800958,-9.4480600361,1.6115660211,5
93690,186041,208679,1.8819549749,-9.5449693514,1.7216358607,6
93643,185991,208715,1.8711872732,-9.547362174,1.7659030788,7
93626,186058,208677,1.9357934834,-9.6143612068,1.5996019081000001,8
93670,186069,208669,1.8807585636,-9.3523471321,1.6283157793,9
93694,186053,208681,1.7850456596,-9.4325066892,1.8927226765999998,10
93762,186048,208680,1.8448662246,-9.5174518915,1.7730815466,11
93767,186001,208577,1.9525432416,-9.726823869,1.7838492483,12
93463,185694,208256,1.7300107398,-9.5461657627,1.7300107398,13
92842,185497,208087,1.8484554585000001,-9.5126662463,1.8137595308,14
92216,185498,208089,1.7491533206,-9.631110965,1.782652837,15
91980,185530,208132,1.6689937635,-9.619146852,1.7240286833,16
91996,185620,208213,1.8364913454999998,-9.236295236,1.8472590472,17
92143,185697,208269,1.7204394494000002,-9.6119683842,1.8281164664,18
92275,185649,208282,1.8352949342,-9.6562356023,1.8616159827999998,19
92405,185674,208268,1.7192430381,-9.4815595525,1.7934205387,20
92373,185604,208192,1.6642081183,-9.4719882621,1.9298114269,21
92341,185533,208218,1.8173487647,-9.5413801175,1.8352949342,22
92381,185659,208237,1.8125631194999998,-9.5784688678,1.7718851352999998,23
92401,185615,208264,1.6354942471,-9.69093153,1.8520446924,24
92457,185676,208257,1.7575281996999998,-9.4002035841,1.8747765071,25
92564,185580,208303,1.5972090855,-9.619146852,2.0063817501,26
92660,185681,208282,1.7288143285,-9.4468636248,1.8640088054,27
92716,185619,208255,1.8711872732,-9.7722874984,1.8029918290999998,28
92436,185244,207910,1.890329854,-9.3894358824,1.8149559420999999,29
91773,185099,207747,1.7694923127,-9.6119683842,1.9812571127999998,30
91180,185143,207696,1.6582260617999998,-9.5772724565,1.8544375149999999,31
90943,185079,207765,1.7443676754000002,-9.6263253198,1.8089738856,32
90919,185138,207811,1.7084753364,-9.4983093107,1.710868159,33
90960,185173,207871,1.806581063,-9.5246303593,1.8544375149999999,34
91235,185174,207900,1.9046867896,-9.5413801175,1.6677973521999998,35
91373,185112,207883,1.7001004573,-9.7531449176,1.6917255782,36
91356,185038,207801,1.8520446924,-9.6693961266,1.8113667082,37
91377,185028,207795,1.6450655375,-9.531808827099999,1.8041882404,38
91307,184993,207767,1.8628123941,-9.5928258034,1.6845471104,39
91366,185069,207795,1.8041882404,-9.6646104814,1.6893327556000002,40
91439,185014,207783,1.8592231602,-9.5294160045,1.6654045296,41
91537,185002,207755,1.7922241274,-9.5389872949,1.9369898947,42
91628,184965,207794,1.6450655375,-9.6119683842,1.7144573929,43
91673,184843,207729,1.9597217094,-9.8045906035,1.6486547714,44
91321,184570,207387,1.8161523534,-9.4121676971,1.6737794087,45
90560,184390,207248,1.8269200550999998,-9.4839523751,1.8257236438,46
89969,184382,207183,1.9680965885,-9.6119683842,1.746760498,47
89767,184361,207265,1.8771693297,-9.6622176588,1.6223337227999999,48
89768,184297,207307,1.710868159,-9.4672026169,1.7156538042,49
89901,184455,207327,1.7694923127,-9.6837530622,1.7599210223,50
90131,184443,207391,2.0374884439,-9.559326287,1.5134602944999997,51
90220,184314,207337,1.7670994901,-9.7124669334,1.6546368279,52
90278,184365,207309,1.7479569093,-9.6646104814,1.6079767872,53
90260,184295,207263,1.9298114269,-9.6023970938,1.7862420709,54
90250,184257,207273,1.8735800958,-9.598807859899999,1.6247265454,55
90318,184316,207302,1.9010975557,-9.5270231819,1.5038890041,56
90336,184265,207279,1.9357934834,-9.5509514079,1.5756736821000001,57
90474,184283,207261,1.9238293703999998,-9.455238503899999,1.6701901747999999,58
90613,184273,207279,1.7982061838999999,-9.5270231819,1.7324035624,59
90667,184201,207217,1.9740786449999999,-9.7890372566,1.4261222696,60
90357,183862,206877,1.9932212258000002,-9.6023970938,1.4309079148000001,61
89526,183665,206718,1.818545176,-9.4695954395,1.6582260617999998,62
88980,183638,206654,1.8053846516999998,-9.5413801175,1.6701901747999999,63
88774,183713,206692,1.9166509025999998,-9.464809794299999,1.3794622289,64
88818,183660,206713,1.8532411037,-9.595218626,1.4428720278,65
88978,183714,206742,1.8161523534,-9.562915520899999,1.6642081183,66
89162,183744,206796,1.9022939669999999,-9.6083791503,1.5122638832,67
89320,183734,206786,2.0267207422,-9.6143612068,1.5302100526999998,68
89371,183677,206774,1.9597217094,-9.5569334644,1.5385849318,69
89368,183617,206669,2.0745771942,-9.619146852,1.5290136414,70
89356,183569,206675,1.9345970721,-9.5820581017,1.4428720278,71
89434,183594,206651,1.962114532,-9.5700939887,1.5134602944999997,72
89499,183524,206689,1.9549360641999998,-9.511469835,1.3543375915999998,73
89617,183706,206678,2.0566310246999997,-9.5174518915,1.3770694063,74
89725,183638,206699,1.8532411037,-9.5653083435,1.5637095691,75
89856,183601,206735,2.0925233637,-9.6442714893,1.4572289634,76
89745,183407,206467,2.0482561456,-9.5521478192,1.208375413,77
89137,183127,206119,2.0506489682,-9.5437729401,1.328016543,78
88382,183008,206092,2.0051853388,-9.5198447141,1.6378870697,79
88031,183032,206093,2.0757736055,-9.5365944723,1.4165509792000002,80
88026,183046,206153,1.91425808,-9.6047899164,1.3184452526,81
88209,183110,206206,1.9872391693,-9.589236569499999,1.4452648504,82
88403,183129,206269,1.9286150156,-9.5078806011,1.3686945272,83
88537,183141,206295,2.1128623558,-9.7304131029,1.2753744458,84
88639,183120,206231,2.1487546948,-9.5904329808,1.4009976323,85
88648,183043,206188,2.0685951377,-9.6287181424,1.3615160593999998,86
88636,183040,206134,1.9908284031999999,-9.4791667299,1.3782658175999998,87
88665,183051,206149,2.0949161863,-9.6239324972,1.3184452526,88
88760,183050,206216,2.0171494518,-9.547362174,1.2897313814,89
88883,183055,206211,2.1343977592,-9.4815595525,1.3112667848,90
88984,183067,206214,1.9669001771999999,-9.5748796339,1.3567304141999998,91
89121,182960,206209,2.0243279196,-9.620343263299999,1.4021940436,92
89253,183122,206241,2.2013967919999997,-9.745966449800001,1.2957134379000002,93
89098,182813,205926,2.3102702203,-9.6837530622,1.136590735,94
88442,182589,205694,2.0446669117,-9.5425765288,1.4201402131,95
87733,182506,205674,2.1260228801,-9.559326287,1.5038890041,96
87591,182599,205730,2.0877377184999997,-9.702895643,1.2789636797000001,97
87696,182599,205823,1.9190437251999999,-9.5808616904,1.2610175101999999,98
87896,182667,205895,2.0243279196,-9.6095755616,1.4105689227,99
88132,182716,205939,2.03389921,-9.6023970938,1.3986048097,100
88297,182662,205862,2.0003996936,-9.688538707400001,1.4081761001,101
88359,182628,205821,2.0123638066000002,-9.5198447141,1.4069796888000001,102
88324,182530,205737,1.962114532,-9.564111932200001,1.3639088819999998,103
88342,182519,205736,1.9226329591,-9.4791667299,1.4344971487,104
88384,182566,205789,2.0650059038,-9.6634140701,1.4069796888000001,105
88478,182540,205776,2.0386848552,-9.5126662463,1.3543375915999998,106
88617,182552,205752,2.0614166699,-9.535398061,1.3375878334,107
88721,182519,205685,1.8927226765999998,-9.4719882621,1.5828521499000001,108
88837,182515,205723,2.021935097,-9.5964150373,1.5206387623,109
88867,182546,205731,2.3078773977,-9.7316095142,1.4261222696,110
88888,182340,205487,1.998006871,-9.5772724565,1.3507483577,111
88305,181900,205181,1.9573288867999998,-9.4827559638,1.567298803,112
87660,181926,205125,1.9812571127999998,-9.6526463684,1.7192430381,113
87475,181964,205182,2.0757736055,-9.5677011661,1.4871392459,114
87636,182083,205357,1.9848463467,-9.509077012399999,1.4979069476,115
87861,182164,205465,1.8939190879,-9.5282195932,1.698904046,116
88149,182283,205551,2.0207386857,-9.5605226983,1.543370577,117
88254,182271,205565,2.1260228801,-9.7076812882,1.5385849318,118
88368,182227,205483,2.0793628394,-9.5007021333,1.5026925928000001,119
88357,182115,205420,1.9070796122,-9.4360959231,1.5014961814999999,120
88369,182134,205450,1.8352949342,-9.5581298757,1.6654045296,121
88405,182195,205496,1.8975083218,-9.4372923344,1.6797614652,122
88565,182226,205548,1.9345970721,-9.6562356023,1.591227029,123
88702,182294,205591,1.938186306,-9.6275217311,1.6319050132,124
88814,182307,205647,1.8017954178,-9.2279203569,1.6845471104,125
88930,182365,205688,1.9250257817,-9.5784688678,1.6414763036,126
89039,182341,205703,1.890329854,-9.811769071299999,1.5266208188,127
