green,red,IR,acc_x,acc_y,acc_z,sample_index
122110,218031,254732,2.2336998971,-6.3984076324000005,-7.0636123152,1
122277,218074,254761,2.3294128011,-6.3984076324000005,-7.0408805005,2
122123,217979,254736,2.1667008643,-6.2979090831999995,-7.1353969932,3
121678,217849,254675,2.1487546948,-6.2847485589,-7.154539573999999,4
121170,217721,254589,2.2301106632,-6.4941205364000005,-7.202396026,5
120842,217637,254524,2.2660030021999997,-6.384050696799999,-7.1401826384,6
120598,217608,254448,2.2109680824,-6.5036918268,-7.1222364689,7
120480,217572,254453,2.27318147,-6.3134624300999995,-7.2346991311,8
120526,217582,254457,2.2624137683,-6.1890356549,-7.1401826384,9
120654,217522,254473,2.2827527603999997,-6.388836342,-7.1018974768000005,10
120736,217587,254466,2.2061824372,-6.3613188821,-7.060023081300001,11
120753,217597,254493,2.2205393728,-6.289534204100001,-7.1688965096,12
120753,217605,254538,2.2205393728,-6.2799629137,-7.0648087265,13
120768,217597,254520,2.2301106632,-6.2799629137,-7.1401826384,14
120812,217602,254491,2.1966111468,-6.436692794,-7.1653072757,15
120914,217661,254506,2.2671994135,-6.2979090831999995,-7.1449682836,16
121010,217678,254540,2.177468566,-6.4402820279,-7.1353969932,17
121153,217679,254541,2.2396819536,-6.2835521476,-7.1174508237000005,18
121322,217763,254629,2.27318147,-6.3086767849,-7.1736821548,19
121445,217839,254661,2.2875384056,-6.4450676731,-7.0971118315999995,20
121574,217877,254653,2.2875384056,-6.299105494500001,-7.1928247355999995,21
121718,217892,254674,2.2779671152,-6.451049729599999,-7.2011996147,22
121848,217971,254704,2.2815563491,-6.4175502132,-7.1880390904,23
122005,218003,254738,2.3581266723,-6.3541404143,-7.1162544124,24
122054,218034,254748,2.3018953412000003,-6.3744794064,-7.088736952500001,25
121862,218017,254686,2.0973090089,-6.3326050109,-7.0743800169,26
121370,217853,254606,2.1200408236,-6.4031932776,-7.1353969932,27
120872,217762,254533,2.3306092124,-6.3744794064,-7.1018974768000005,28
120493,217655,254496,2.1020946541,-6.241677752099999,-7.1736821548,29
120319,217601,254495,2.1403798157,-6.3744794064,-7.0648087265,30
120263,217589,254458,2.2827527603999997,-6.4271215036000005,-7.1593252192,31
120296,217581,254478,2.2528424779,-6.3182480753000005,-7.170092920899999,32
120382,217649,254519,2.2576281231,-6.3218373092,-7.141379049699999,33
120475,217635,254516,2.2121644937,-6.4271215036000005,-7.1509503401,34
120507,217647,254509,2.1822542112,-6.3792650516,-7.125825702799999,35
120498,217645,254538,2.2348963083999998,-6.3732829951,-7.1784678,36
120530,217672,254515,2.1954147355,-6.3457655352,-7.1784678,37
120618,217691,254517,2.3294128011,-6.3661045273,-7.106683122,38
120732,217749,254577,2.2624137683,-6.1794643645,-7.0791656621,39
120855,217743,254583,2.3653051401,-6.3984076324000005,-7.1880390904,40
120997,217814,254580,2.1918255016,-6.3792650516,-7.1736821548,41
121176,217822,254579,2.2540388892,-6.369693761200001,-7.183253445199999,42
121322,217974,254628,2.2767707039,-6.412764568,-7.154539573999999,43
121450,217935,254669,2.0865413072,-6.302694728400001,-7.1641108644,44
121599,218001,254723,2.1918255016,-6.3601224708,-7.130611348,45
121794,217993,254725,2.2755742926,-6.4414784392,-7.0743800169,46
121918,218065,254727,2.2384855423,-6.2787665024,-7.1796642112999995,47
122010,218138,254766,2.2157537276,-6.356533236900001,-7.0983082429,48
121848,218010,254707,2.2025932033,-6.3744794064,-7.1174508237000005,49
121420,217955,254674,2.2923240508,-6.3756758177,-7.1976103808000005,50
121017,217853,254569,2.2683958248,-6.327819365700001,-7.106683122,51
120721,217799,254514,2.0973090089,-6.293123438,-7.1497539288,52
