green,red,IR,acc_x,acc_y,acc_z,sample_index
115305,179794,245581,7.733602643199999,-2.2923240508,-5.4412785924,1
115374,179778,245574,7.6402825618,-2.2468604214,-5.315655405899999,2
115484,179792,245579,7.721638530200001,-2.1858434451,-5.3336015753999995,3
115568,179830,245680,7.7802626839,-2.0638094925,-5.3288159302,4
115656,179801,245593,7.5984081663000005,-2.2097716711,-5.292923591199999,5
115711,179784,245612,7.695317481599999,-2.2181465501999997,-5.3108697607,6
115788,179842,245609,7.5230342544,-2.2444675988,-5.371886737,7
115434,179741,245546,7.7874411516999995,-2.2516460665999998,-5.395814963,8
115004,179706,245551,7.6905318364,-2.3653051401,-5.2426743166000005,9
114480,179603,245459,7.861618652300001,-2.2169501389,-5.2953164138,10
114246,179576,245535,7.791030385599999,-2.0901305410999997,-5.4939206895999995,11
114106,179628,245554,7.8053873212000005,-2.1559331626,-5.315655405899999,12
114101,179657,245569,7.848458128,-2.1714865095,-5.300102059,13
114102,179596,245534,7.8185478454999995,-2.117648001,-5.4544391167,14
114173,179707,245613,7.812565789,-2.3078773977,-5.3790652048,15
114158,179721,245612,7.749155990099999,-2.1607188078,-5.0907300815,16
114310,179792,245736,7.5828548194,-2.0554346134,-5.3288159302,17
114468,179773,245698,7.5529445369,-2.15354034,-5.3515477449,18
114575,179799,245719,7.749155990099999,-2.1571295739000003,-5.248656373099999,19
114702,179864,245756,7.8532437732,-2.1810577999,-5.3024948815999995,20
114901,179882,245768,7.7970124421,-2.1906290903,-5.4747781088,21
115076,179924,245756,7.7036923607,-2.3162522768000002,-5.4628139958,22
115159,179900,245740,7.654639497399999,-2.3533410271,-5.3144589946,23
115286,179817,245766,7.8113693777,-1.9369898947,-5.1673004047,24
115359,179920,245779,7.7156564737,-1.9513468303000001,-5.132604477,25
115454,179913,245794,7.7515488127,-2.0494525569,-5.312066172,26
115397,179852,245746,7.7730842161,-2.3880369548,-5.4939206895999995,27
115058,179731,245701,7.5924261098,-2.3042881638,-5.4101718986,28
114511,179604,245531,7.651050263499999,-2.285145583,-5.2737810104,29
113993,179551,245562,7.8113693777,-2.3880369548,-5.3288159302,30
113626,179477,245500,7.942974620699999,-2.2420747762,-5.2474599618,31
113362,179443,245449,7.7970124421,-2.0709879603,-5.2677989539,32
113248,179403,245435,7.804190909899999,-2.1200408236,-5.2342994375,33
