green,red,IR,acc_x,acc_y,acc_z,sample_index
118907,185876,234065,9.509077012399999,-1.4093725114000002,1.7383856189,1
118935,185914,234119,9.5688975774,-1.4715858990000001,1.6941184008,2
118963,186069,234176,9.5904329808,-1.4883356572,1.6486547714,3
119060,186093,234135,9.710074110799999,-1.4739787216,1.7001004573,4
119122,186077,234175,9.509077012399999,-1.5768700934,1.6534404165999999,5
119174,186089,234168,9.5210411254,-1.5804593273,1.6462619487999999,6
119209,186117,234135,9.643075077999999,-1.4871392459,1.6618152957,7
119277,186125,234212,9.5258267706,-1.495514125,1.5768700934,8
119383,186190,234222,9.6131647955,-1.5529418674,1.6283157793,9
119443,186303,234215,9.6406822554,-1.5732808595,1.591227029,10
119612,186353,234318,9.5389872949,-1.4907284798,1.698904046,11
119717,186401,234299,9.5904329808,-1.5014961814999999,1.5266208188,12
119821,186446,234363,9.4265246327,-1.3890335193,1.6055839645999999,13
119948,186517,234346,9.5916293921,-1.4273186809,1.6833506991,14
120081,186568,234425,9.5425765288,-1.4273186809,1.6199409001999998,15
120223,186645,234412,9.5282195932,-1.507478238,1.5720844482,16
120339,186703,234441,9.6155576181,-1.4691930764,1.6295121905999999,17
120485,186674,234429,9.6502535458,-1.6103696098,1.5720844482,18
120360,186290,234162,9.6227360859,-1.5756736821000001,1.6941184008,19
119896,185828,233994,9.499505722,-1.5984054967999999,1.6953148121,20
119385,185739,233933,9.5856473356,-1.5840485612,1.5589239239000001,21
119002,185752,233947,9.6275217311,-1.5290136414,1.519442351,22
118776,185761,233976,9.6454679006,-1.6331014245,1.5744772707999999,23
118688,185838,234017,9.6047899164,-1.4691930764,1.615155255,24
118628,185855,233985,9.5126662463,-1.5493526335,1.6582260617999998,25
118607,185921,234046,9.5617191096,-1.579262916,1.6378870697,26
118674,186011,234156,9.6155576181,-1.5134602944999997,1.5936198516,27
118766,186095,234114,9.6155576181,-1.4763715442,1.6079767872,28
118816,186061,234120,9.6023970938,-1.5661023917,1.5816557385999999,29
118861,186074,234105,9.5533442305,-1.4273186809,1.6366906583999998,30
118923,186126,234107,9.7040920543,-1.4727823103,1.6079767872,31
