green,red,IR,acc_x,acc_y,acc_z,sample_index
93143,189512,222954,-7.980063371,-4.0522450731,4.0618163635,1
93194,189487,222938,-8.1571322434,-3.9984065645999998,3.9433716447999996,2
93237,189480,222943,-8.0123664761,-4.0103706776,3.9720855159999995,3
93255,189516,222989,-8.027919823,-3.9649070482,3.9074793058,4
93312,189522,222903,-8.0554372829,-3.9038900719000003,3.9553357578,5
93328,189515,222930,-8.0829547428,-3.8584264425,4.001995798499999,6
93374,189529,222972,-8.0231341778,-3.9278182979,4.0235312019,7
93403,189518,222939,-7.9992059518000005,-4.091726646,3.8967116041,8
93454,189508,222946,-8.01595571,-3.9326039431,3.960121403,9
93461,189520,222923,-8.017152121299999,-3.8967116041,3.9266218866,10
93490,189525,222893,-7.9776705484,-3.8033915226999997,3.9792639838,11
93463,189454,222826,-8.049455226400001,-4.019941968,3.9661034595,12
93392,189399,222656,-7.944171031999999,-3.9912280968,3.9828532177,13
93392,189364,222722,-8.0482588151,-3.9206398301,3.9996029759000002,14
93422,189399,222784,-8.1403824852,-3.9553357578,4.0115670889,15
93461,189447,222787,-7.9788669596999995,-3.9744783386,3.876372612,16
93498,189444,222767,-8.039883936,-3.9505501125999998,4.0486558392,17
93537,189469,222808,-7.8915289348,-3.8572300312,3.9625142255999997,18
93586,189473,222774,-8.2253276875,-4.0007993872,3.9696926934,19
93629,189475,222789,-8.0482588151,-3.9696926934,3.9457644674,20
93648,189480,222779,-7.9310105077,-3.9972101532999997,3.9948173307,21
93677,189500,222773,-8.1044901462,-3.9134613623,4.0103706776,22
93698,189474,222765,-7.942974620699999,-3.9529429352,3.8907295476,23
93727,189388,222772,-7.940581798099999,-3.9732819273,3.9218362414,24
93767,189473,222804,-7.9776705484,-3.996013742,3.8907295476,25
93793,189493,222772,-7.8951181687,-3.9792639838,3.9170505962,26
93819,189487,222759,-8.049455226400001,-4.1192441059,3.9553357578,27
93847,189531,222773,-8.0949188558,-4.0953158799,3.9625142255999997,28
93870,189492,222764,-8.026723411699999,-3.8691941442,3.8931223702,29
93909,189511,222780,-8.0063844196,-3.996013742,3.9026936606000002,30
93939,189518,222770,-8.0961152671,-4.0151563228,4.0151563228,31
93969,189527,222762,-8.0733834524,-4.019941968,3.9625142255999997,32
