green,red,IR,acc_x,acc_y,acc_z,sample_index
94154,173464,229278,6.0586268232,-0.1710868159,7.542176835199999,1
94426,173506,229334,6.161518194999999,-0.18783657410000001,7.6043902228,2
94665,173531,229339,6.0550375893,-0.21894326790000002,7.645068207,3
94887,173570,229332,6.2297136391,-0.251246373,7.6594251426,4
95004,173622,229373,6.1471612594,-0.2009970984,7.667800021700001,5
95164,173592,229373,6.0969119848,-0.179461695,7.621139981,6
95301,173619,229381,6.0909299283,-0.1698904046,7.5349983674,7
95460,173623,229377,6.134000735100001,-0.2656033086,7.6091758679999995,8
95619,173663,229406,6.0442698876,-0.2608176634,7.5338019561000005,9
95703,173670,229357,6.1830535984,-0.24167508259999998,7.5278198996,10
95943,173693,229396,6.301498317099999,-0.3302095188,7.5864440533,11
96149,173740,229372,6.0729837587999995,-0.33738798659999997,7.526623488299999,12
96269,173719,229434,6.1519469046,-0.2440679052,7.6486574409,13
96248,173706,229371,6.1591253724,-0.215354034,7.5326055448,14
95721,173596,229306,6.1280186786,-0.39122649509999996,7.6474610296,15
95024,173509,229232,6.178267953200001,-0.2679961312,7.597211754999999,16
94454,173473,229216,6.0753765814,-0.2500499617,7.6307112714,17
94160,173395,229173,6.1435720255,-0.20937197749999997,7.568497883799999,18
94052,173423,229219,6.0227344842,-0.1531406464,7.568497883799999,19
94158,173503,229242,6.113661743,-0.3206382284,7.5038916736,20
94437,173536,229275,6.092126339599999,-0.18185451760000002,7.6115686905999995,21
94708,173571,229268,6.2081782357,-0.227318147,7.728816998,22
94917,173579,229301,6.1950177114,-0.2440679052,7.5876404646,23
95016,173584,229305,6.2153567034999995,-0.18783657410000001,7.5780691741999995,24
95248,173638,229240,6.0071811373,-0.251246373,7.6737820782,25
95382,173610,229343,6.1423756142,-0.35413774480000004,7.7132636511,26
95510,173645,229293,6.041877065,-0.24167508259999998,7.549355303,27
95673,173665,229275,6.1124653317,-0.3014956476,7.5900332872,28
95846,173699,229325,6.2656059781,-0.31345976059999997,7.6869426025,29
95996,173760,229340,6.132804323799999,-0.2799602442,7.6606215538999995,30
96165,173714,229322,6.067001702300001,-0.3278166962,7.728816998,31
96345,173726,229360,6.0705909362,-0.2667997199,7.5948189324,32
96456,173715,229285,6.2464633973,-0.3361915753,7.708478005899999,33
96321,173681,229307,6.1447684368,-0.28115665549999996,7.621139981,34
95789,173519,229220,6.1399827916000005,-0.2213360905,7.606783045399999,35
95115,173540,229160,6.203392590499999,-0.2524427843,7.597211754999999,36
94676,173494,229168,6.077769404,-0.2799602442,7.6307112714,37
94466,173519,229158,6.2201423487000005,-0.2656033086,7.637889739199999,38
