green,red,IR,acc_x,acc_y,acc_z,sample_index
127411,214563,261881,-7.6809605460000006,-1.5290136414,5.8133625067,1
127728,214634,261903,-7.5996045776,-1.6007983194,5.9114682333,2
127904,214600,261911,-7.7012995381,-1.6773686425999998,5.8935220638,3
127929,214607,261933,-7.7742806274,-1.5960126741999998,5.970092387,4
127885,214614,261896,-7.5517481256,-1.6462619487999999,5.8289158536,5
127935,214633,261877,-7.5816584081,-1.6917255782,5.9461641610000004,6
128045,214702,261949,-7.6139615132000005,-1.6079767872,5.958128274,7
128213,214695,261853,-7.5816584081,-1.5182459396999999,5.9162538785,8
128448,214745,261942,-7.7551380466,-1.591227029,5.86241537,9
128629,214819,261973,-7.625925626199999,-1.7575281996999998,5.9330036367,10
128871,214862,262012,-7.6809605460000006,-1.6438691261999998,5.8815579507999995,11
129066,214943,262027,-7.5673014725,-1.5361921092,6.0263237181000004,12
129270,215009,262057,-7.7599236918,-1.6965112234000002,5.968895975700001,13
129442,215046,262125,-7.6187471584,-1.6067803759000001,5.8755758943,14
129523,215118,262149,-7.7730842161,-1.5840485612,5.9772708547999995,15
129740,215114,262170,-7.5409804239,-1.6342978358,5.9294144028,16
129931,215198,262149,-7.639086150500001,-1.6199409001999998,5.9306108141000005,17
130012,215207,262186,-7.6271220375,-1.6761722313,6.0622160571,18
129799,215078,262121,-7.6642107878,-1.6606188843999998,6.0167524277,19
128440,214724,261878,-7.7730842161,-1.6067803759000001,6.000002669500001,20
126444,214387,261721,-7.6187471584,-1.5122638832,5.8169517405999995,21
124954,214288,261588,-7.645068207,-1.7718851352999998,5.8648081926,22
124191,214233,261532,-7.77667345,-1.7012968686,5.9916277904,23
123852,214232,261476,-7.721638530200001,-1.5780665047,5.9401821045,24
123756,214208,261436,-7.6235328036,-1.6259229567,5.888736418600001,25
123845,214230,261478,-7.7443703449,-1.5589239239000001,5.9102718219999995,26
124154,214335,261475,-7.7192457076,-1.6175480776,5.86241537,27
124534,214435,261533,-7.6343005053,-1.5601203352,5.9401821045,28
124820,214439,261449,-7.5349983674,-1.4931213024,5.925825168899999,29
124826,214426,261464,-7.625925626199999,-1.7060825138000002,5.938985693199999,30
124864,214407,261476,-7.7611201031,-1.5326028753,5.952146217499999,31
124858,214411,261436,-7.740781111,-1.6103696098,5.923432346299999,32
124966,214457,261409,-7.4763742137,-1.5960126741999998,5.9784672661,33
125157,214494,261428,-7.6414789731,-1.6845471104,5.9078789994,34
125442,214570,261500,-7.6917282476999995,-1.5254244074999999,5.9126646445999995,35
125631,214603,261493,-7.6175507471,-1.6043875533,6.0239308954999995,36
125934,214681,261508,-7.6043902228,-1.6713865861,5.970092387,37
