green,red,IR,acc_x,acc_y,acc_z,sample_index
29431,163558,113781,5.1876393968,-6.7142602155999995,4.8155554825,1
29388,163529,113796,5.3180482284999995,-6.6903319896,4.8203411277,2
29383,163525,113787,5.1577291143,-6.7190458608,4.788038022599999,3
29443,163514,113781,5.2438707279,-6.8733829185,4.8382872972,4
29415,163518,113783,5.2689953652,-6.7310099738,4.7844487887,5
29447,163575,113771,5.294120002500001,-6.6939212235,4.8203411277,6
29476,163531,113774,5.1493542352,-6.6855463444,4.7832523774,7
29490,163536,113762,5.1912286306999995,-6.715456626899999,4.7856452,8
29490,163554,113777,5.2737810104,-6.7884377162,4.7940200791,9
29506,163557,113792,5.1182475414,-6.757331022400001,4.8346980633,10
29521,163540,113784,5.1960142759,-6.674778642700001,4.7856452,11
29521,163541,113754,5.2450671392,-6.7657059015,4.7425743932,12
29555,163514,113772,5.112265484900001,-6.7429740868,4.8801616927,13
29573,163524,113749,5.309673349400001,-6.798009006599999,4.809573426,14
29591,163571,113738,5.3108697607,-6.7477597320000005,4.8550370553999995,15
29531,163533,113719,5.084748025,-6.671189408799999,4.809573426,16
29626,163549,113729,5.1505506465,-6.7070817478,4.7916272565,17
29648,163525,113714,5.3036912929,-6.771687958,4.7593241513999995,18
29660,163489,113712,5.2271209697000005,-6.7549381998,4.7688954418,19
29682,163546,113712,5.300102059,-6.6927248122,4.7306102802,20
29678,163568,113740,5.2534420183,-6.675975054,4.6983071751,21
29635,163616,113795,5.2701917765,-6.8949183219000005,4.8215375389999995,22
29510,163610,113802,5.1421757674,-6.7118673929999995,4.754538506199999,23
29419,163525,113785,5.1541398804,-6.7549381998,4.8514478215,24
29354,163500,113784,5.2821558895,-6.6819571105,4.844269353700001,25
29338,163519,113777,5.294120002500001,-6.6891355783,4.7425743932,26
29338,163488,113750,5.280959478200001,-6.843472636,4.7282174576000005,27
29367,163496,113754,5.2438707279,-6.7453669094,4.749752861,28
29399,163492,113778,5.1314080657000005,-6.866204450700001,4.8562334667,29
29384,163475,113759,5.2271209697000005,-6.709474570399999,4.8107698373000005,30
29490,163485,113759,5.2701917765,-6.728617151199999,4.749752861,31
29463,163500,113754,5.331208752799999,-6.723831506,4.8275195955,32
29465,163420,113771,5.1900322194,-6.757331022400001,4.7162533446,33
29483,163494,113768,5.2378886713999995,-6.7070817478,4.7832523774,34
29520,163497,113788,5.2606204861,-6.836294168199999,4.6672004813,35
29517,163505,113759,5.252245607000001,-6.7585274337,4.7401815706,36
29544,163467,113745,5.235495848799999,-6.7190458608,4.845465765,37
29555,163515,113739,5.0979085493,-6.6699929975,4.8418765311,38
29546,163487,113742,5.2019963324,-6.7453669094,4.8562334667,39
29528,163527,113729,5.216353268,-6.5718872709,4.8143590712,40
29621,163498,113706,5.2725845991,-6.8051874744,4.7784667322,41
29635,163544,113729,5.1996035098,-6.6915284009,4.7509492723,42
29585,163512,113721,5.2295137923,-6.7142602155999995,4.7784667322,43
29673,163508,113745,5.3012984703,-6.674778642700001,4.7617169740000005,44
29659,163566,113739,5.2474599618,-6.7884377162,4.8071806034,45
29501,163559,113751,5.3036912929,-6.674778642700001,4.8000021356,46
29394,163491,113766,5.223531735800001,-6.6795642879,4.8430729424,47
29342,163454,113773,5.223531735800001,-6.6951176348,4.8143590712,48
29322,163490,113771,5.1194439527,-6.709474570399999,4.6815574169,49
29335,163459,113790,5.334797986699999,-6.897311144500001,4.7365923367,50
29364,163432,113782,5.3024948815999995,-6.7345992077,4.8729832249000005,51
29398,163455,113772,5.1768716951,-6.7477597320000005,4.7760739096,52
29420,163489,113766,5.2426743166000005,-6.617350900300001,4.8179483051,53
29444,163413,113767,5.194817864599999,-6.855436749,4.7066820542,54
29456,163468,113759,5.2666025426,-6.756134611099999,4.8562334667,55
29465,163478,113773,5.2450671392,-6.687939167000001,4.7330031028,56
29444,163450,113777,5.2893343573,-6.6687965862,4.7808595548,57
29511,163480,113776,5.344369277099999,-6.7800628371,4.8000021356,58
29504,163449,113778,5.0907300815,-6.7812592484,4.7449672158,59
29526,163439,113781,5.1098726623,-6.7908305388,4.9148576204,60
29538,163465,113761,5.132604477,-6.7345992077,4.748556449700001,61
29557,163455,113754,5.166103993399999,-6.8446690473,4.7605205627,62
29585,163498,113722,5.312066172,-6.7429740868,4.7904308452,63
29600,163478,113720,5.3072805268000005,-6.8063838857,4.8191447164,64
29613,163481,113712,5.1577291143,-6.740581264199999,4.8047877808,65
29633,163454,113697,5.197210687199999,-6.7345992077,4.7964129017,66
29641,163527,113716,5.1290152431000005,-6.6771714653,4.8969114509,67
29556,163535,113767,5.3192446398,-6.8051874744,4.8227339503,68
29451,163519,113750,5.2570312522,-6.7764736032,4.8263231842,69
29340,163482,113722,5.292923591199999,-6.769295135399999,4.7521456836,70
29246,163435,113753,5.2689953652,-6.6915284009,4.8299124181,71
29191,163389,113761,5.3252266963,-6.8542403377,4.7808595548,72
29296,163409,113745,5.2821558895,-6.686742755699999,4.7449672158,73
29333,163401,113755,5.166103993399999,-6.7501525546,4.7928236678,74
29359,163294,113730,5.3012984703,-6.7477597320000005,4.8323052407,75
29396,163444,113752,5.2223353244999995,-6.7609202563,4.8562334667,76
29411,163446,113759,5.3706903257,-6.675975054,4.788038022599999,77
29428,163434,113759,5.3036912929,-6.8303121117,4.7006999977,78
29445,163456,113781,5.2677989539,-6.7022961026,4.8263231842,79
29450,163442,113762,5.181657340299999,-6.7022961026,4.754538506199999,80
29473,163436,113766,5.2259245584,-6.8422762247,4.754538506199999,81
29492,163465,113747,5.2677989539,-6.735795619,4.7593241513999995,82
29507,163459,113762,5.2713881878,-6.7549381998,4.9160540317,83
29531,163423,113759,5.3431728658,-6.6831535217999996,4.7784667322,84
29452,163473,113744,5.264209719999999,-6.687939167000001,4.8681975797,85
29572,163482,113707,5.1613183482,-6.7932233614,4.7617169740000005,86
29596,163451,113715,5.2677989539,-6.6843499331,4.7772703209000005,87
29612,163463,113709,5.3036912929,-6.6951176348,4.8538406441,88
29610,163484,113729,5.166103993399999,-6.7130638043,4.8239303616,89
29670,163505,113724,5.204389154999999,-6.7621166676,4.788038022599999,90
29626,163564,113766,5.3132625833,-6.7968125953,4.8969114509,91
29523,163576,113758,5.1577291143,-6.723831506,4.9256253221,92
29387,163499,113779,5.216353268,-6.735795619,4.8370908858999995,93
29311,163460,113758,5.2606204861,-6.6915284009,4.844269353700001,94
29285,163433,113780,5.3395836319,-6.7214386834,4.7688954418,95
29298,163438,113765,5.2845487121,-6.6951176348,4.9591248385,96
29304,163466,113776,5.251049195699999,-6.7884377162,4.8741796362,97
29346,163466,113780,5.346762099699999,-6.7178494495,4.8550370553999995,98
29388,163491,113766,5.112265484900001,-6.6951176348,4.8681975797,99
29413,163486,113783,5.114658307499999,-6.7680987241,4.8311088294,100
29428,163490,113781,5.3694939144,-6.741777675500001,4.8191447164,101
29433,163527,113785,5.2989056477,-6.7812592484,4.8155554825,102
29450,163488,113780,5.3192446398,-6.6532432393,4.8071806034,103
29455,163494,113756,5.4209396003000005,-6.741777675500001,4.773681087,104
29478,163525,113749,5.3395836319,-6.771687958,4.8370908858999995,105
29435,163523,113707,5.2462635505,-6.7070817478,4.8514478215,106
29525,163495,113744,5.213960445400001,-6.6496540054,4.7832523774,107
29540,163567,113722,5.3108697607,-6.6951176348,4.7784667322,108
29563,163537,113733,5.2342994375,-6.6723858201,4.8705904022999995,109
29589,163537,113722,5.3371908093,-6.8075802969999994,4.845465765,110
29619,163551,113742,5.213960445400001,-6.6388863037,4.9351966125,111
29630,163575,113747,5.2869415346999995,-6.6221365455,4.8107698373000005,112
29620,163586,113751,5.192425042,-6.6412791263,4.8023949582,113
29669,163614,113762,5.223531735800001,-6.7166530382000005,4.857429878,114
29585,163613,113772,5.2594240748,-6.652046828,4.9064827413000005,115
29445,163589,113795,5.1876393968,-6.8219372326,4.8035913695,116
29339,163573,113798,5.3276195189,-6.7142602155999995,4.8801616927,117
29302,163566,113784,5.276173833,-6.644868360199999,4.8897329831,118
29266,163545,113803,5.3431728658,-6.7190458608,4.8191447164,119
29368,163584,113785,5.2893343573,-6.7669023128,4.857429878,120
29354,163577,113767,5.235495848799999,-6.674778642700001,4.8921258057,121
29400,163597,113789,5.1852465742,-6.6975104574,4.8311088294,122
29400,163586,113764,5.294120002500001,-6.7310099738,4.9423750803,123
29454,163643,113774,5.213960445400001,-6.6939212235,4.8059841921,124
29455,163611,113780,5.2689953652,-6.5886370291,4.8825545153,125
29458,163625,113758,5.235495848799999,-6.646064771500001,4.7856452,126
29478,163664,113745,5.2307102036,-6.7310099738,4.7760739096,127
29484,163625,113787,5.2498527844,-6.6388863037,4.7760739096,128
29478,163632,113771,5.2785666556,-6.6903319896,4.7856452,129
29538,163625,113761,5.2187460906,-6.7274207398999994,4.8023949582,130
29551,163693,113743,5.2450671392,-6.8099731195999995,4.844269353700001,131
29570,163633,113797,5.3288159302,-6.735795619,4.8119662486,132
29600,163674,113757,5.252245607000001,-6.7501525546,4.8598227006,133
29624,163687,113776,5.252245607000001,-6.7501525546,4.8598227006,134
29641,163691,113782,5.252245607000001,-6.7501525546,4.8598227006,135
29655,163670,113763,5.252245607000001,-6.7501525546,4.8598227006,136
29678,163718,113796,5.252245607000001,-6.7501525546,4.8598227006,137
29658,163768,113814,5.252245607000001,-6.7501525546,4.8598227006,138
29539,163742,113821,5.252245607000001,-6.7501525546,4.8598227006,139
29396,163690,113817,5.252245607000001,-6.7501525546,4.8598227006,140
29324,163660,113818,5.252245607000001,-6.7501525546,4.8598227006,141
29308,163688,113849,5.252245607000001,-6.7501525546,4.8598227006,142
29320,163689,113845,5.252245607000001,-6.7501525546,4.8598227006,143
29347,163706,113829,5.252245607000001,-6.7501525546,4.8598227006,144
29385,163701,113829,5.252245607000001,-6.7501525546,4.8598227006,145
29429,163718,113852,5.252245607000001,-6.7501525546,4.8598227006,146
29453,163711,113820,5.252245607000001,-6.7501525546,4.8598227006,147
29464,163723,113834,5.252245607000001,-6.7501525546,4.8598227006,148
29469,163730,113844,5.252245607000001,-6.7501525546,4.8598227006,149
29477,163719,113860,5.252245607000001,-6.7501525546,4.8598227006,150
29499,163739,113827,5.252245607000001,-6.7501525546,4.8598227006,151
29513,163745,113841,5.252245607000001,-6.7501525546,4.8598227006,152
29543,163771,113830,5.252245607000001,-6.7501525546,4.8598227006,153
29561,163747,113832,5.252245607000001,-6.7501525546,4.8598227006,154
29592,163793,113834,5.252245607000001,-6.7501525546,4.8598227006,155
29619,163793,113845,5.252245607000001,-6.7501525546,4.8598227006,156
29636,163768,113829,5.252245607000001,-6.7501525546,4.8598227006,157
29655,163815,113849,5.252245607000001,-6.7501525546,4.8598227006,158
29675,163813,113865,5.252245607000001,-6.7501525546,4.8598227006,159
29689,163815,113878,5.252245607000001,-6.7501525546,4.8598227006,160
29687,163859,113884,5.252245607000001,-6.7501525546,4.8598227006,161
29584,163855,113901,5.1996035098,-6.7190458608,4.701896409,162
29434,163808,113927,5.1996035098,-6.7190458608,4.701896409,163
29334,163779,113911,5.1996035098,-6.7190458608,4.701896409,164
29305,163780,113880,5.1996035098,-6.7190458608,4.701896409,165
29308,163742,113892,5.1996035098,-6.7190458608,4.701896409,166
29343,163804,113882,5.1996035098,-6.7190458608,4.701896409,167
29371,163807,113868,5.1996035098,-6.7190458608,4.701896409,168
29407,163845,113879,5.1996035098,-6.7190458608,4.701896409,169
29431,163814,113880,5.1996035098,-6.7190458608,4.701896409,170
29440,163823,113891,5.1996035098,-6.7190458608,4.701896409,171
29459,163792,113877,5.1996035098,-6.7190458608,4.701896409,172
29465,163855,113889,5.1996035098,-6.7190458608,4.701896409,173
29470,163827,113863,5.1996035098,-6.7190458608,4.701896409,174
29490,163855,113879,5.1996035098,-6.7190458608,4.701896409,175
29506,163834,113864,5.1996035098,-6.7190458608,4.701896409,176
29532,163842,113867,5.1996035098,-6.7190458608,4.701896409,177
29547,163843,113864,5.1996035098,-6.7190458608,4.701896409,178
29566,163831,113859,5.1996035098,-6.7190458608,4.701896409,179
29585,163865,113841,5.1996035098,-6.7190458608,4.701896409,180
29610,163851,113866,5.132604477,-6.725027917299999,4.7964129017,181
29619,163848,113837,5.132604477,-6.725027917299999,4.7964129017,182
29632,163894,113847,5.132604477,-6.725027917299999,4.7964129017,183
29618,163888,113876,5.132604477,-6.725027917299999,4.7964129017,184
29482,163891,113908,5.132604477,-6.725027917299999,4.7964129017,185
29310,163823,113899,5.132604477,-6.725027917299999,4.7964129017,186
29214,163826,113887,5.132604477,-6.725027917299999,4.7964129017,187
29179,163793,113871,5.132604477,-6.725027917299999,4.7964129017,188
29185,163776,113869,5.132604477,-6.725027917299999,4.7964129017,189
29211,163818,113859,5.132604477,-6.725027917299999,4.7964129017,190
29248,163845,113851,5.132604477,-6.725027917299999,4.7964129017,191
29288,163853,113858,5.132604477,-6.725027917299999,4.7964129017,192
29321,163843,113854,5.132604477,-6.725027917299999,4.7964129017,193
29333,163869,113843,5.132604477,-6.725027917299999,4.7964129017,194
29351,163856,113873,5.132604477,-6.725027917299999,4.7964129017,195
29361,163859,113842,5.132604477,-6.725027917299999,4.7964129017,196
29374,163873,113858,5.132604477,-6.725027917299999,4.7964129017,197
29389,163869,113844,5.132604477,-6.725027917299999,4.7964129017,198
29417,163870,113829,5.132604477,-6.725027917299999,4.7964129017,199
29438,163862,113845,5.132604477,-6.725027917299999,4.7964129017,200
29459,163878,113855,5.132604477,-6.725027917299999,4.7964129017,201
29478,163888,113844,5.132604477,-6.725027917299999,4.7964129017,202
29503,163902,113858,5.132604477,-6.725027917299999,4.7964129017,203
29527,163874,113834,5.132604477,-6.725027917299999,4.7964129017,204
29540,163895,113811,5.132604477,-6.725027917299999,4.7964129017,205
29549,163895,113820,5.132604477,-6.725027917299999,4.7964129017,206
29520,163917,113868,5.132604477,-6.725027917299999,4.7964129017,207
29378,163923,113851,5.132604477,-6.725027917299999,4.7964129017,208
