green,red,IR,acc_x,acc_y,acc_z,sample_index
112668,174952,235106,-2.093719775,-5.472385286200001,7.9716884919,1
112878,174945,235113,-2.3138594542,-5.4496534715000005,7.9645100241,2
113071,174977,235167,-2.2923240508,-5.4496534715000005,8.075776275,3
113165,174928,235156,-2.3066809864,-5.4520462941,7.9298140964,4
112611,174817,235055,-2.321037922,-5.3491549223,8.0087772422,5
111613,174670,234933,-2.2624137683,-5.4400821811,7.920242806,6
110598,174511,234850,-2.3114666316,-5.458028350599999,8.0434731699,7
109930,174446,234775,-2.2121644937,-5.4819565766,7.970492080600001,8
109514,174307,234785,-2.3413769141,-5.3994041969,7.9609207902,9
109282,174365,234757,-2.3856441322,-5.4819565766,7.9393853868,10
109260,174384,234779,-2.2420747762,-5.4987063348,7.984849016199999,11
109361,174444,234839,-2.2480568327,-5.4975099235,7.9836526049,12
109493,174415,234839,-2.2911276395,-5.4783673427,8.0374911134,13
109509,174436,234869,-2.3054845751,-5.4376893585,7.980063371,14
109484,174426,234852,-2.3401805028,-5.484349399199999,8.0243305891,15
109498,174426,234893,-2.356930261,-5.309673349400001,8.0506516377,16
109548,174433,234903,-2.2995025186,-5.288137946,8.115257847899999,17
109690,174454,234936,-2.2408783649,-5.426921656799999,7.9226356286,18
109909,174496,234956,-2.2695922361,-5.4532427054,7.984849016199999,19
110131,174550,235020,-2.3282163898,-5.3814580274,8.0207413552,20
110385,174543,235014,-2.2743778813,-5.419743189,7.9752777258,21
110578,174578,235090,-2.2492532439999997,-5.4484570602,8.005188008300001,22
110832,174621,235067,-2.2791635265,-5.3778687935,8.084151154099999,23
111016,174667,235087,-2.2301106632,-5.3982077855999995,8.074579863699999,24
111265,174692,235217,-2.2396819536,-5.3706903257,7.9776705484,25
111452,174744,235170,-2.261217357,-5.3180482284999995,8.003991596999999,26
111644,174665,235227,-2.2336998971,-5.426921656799999,7.9525459111,27
111830,174771,235242,-2.3234307446,-5.389832906500001,8.0458659925,28
112038,174801,235235,-2.1834506225,-5.4233324229,8.0004023631,29
112280,174824,235335,-2.1702900981999997,-5.324030285,7.956135144999999,30
112471,174880,235325,-2.3676979627,-5.455635527999999,7.9226356286,31
112669,174881,235360,-2.2959132847,-5.3072805268000005,8.1487573643,32
112790,174882,235370,-2.4143580034,-5.2247281471,8.0255270004,33
112483,174762,235248,-2.3042881638,-5.331208752799999,8.0087772422,34
111523,174612,235223,-2.1810577999,-5.4747781088,8.0458659925,35
110400,174471,235076,-2.3042881638,-5.306084115499999,7.970492080600001,36
109594,174346,235013,-2.356930261,-5.371886737,8.0327054682,37
109083,174320,235035,-2.4335005842,-5.3910293178,8.0889367993,38
108831,174321,235035,-2.1607188078,-5.4364929472,8.0350982908,39
108759,174298,235077,-2.165504453,-5.3850472612999996,8.0386875247,40
108847,174317,235038,-2.2037896146,-5.4257252455,8.0374911134,41
108968,174357,235068,-2.2420747762,-5.309673349400001,8.0470624038,42
109035,174395,235100,-2.3509482045,-5.5106704478,7.9872418388,43
108967,174359,235082,-2.177468566,-5.4819565766,7.969295669299999,44
108902,174367,235083,-2.2109680824,-5.4125647212,7.980063371,45
108883,174342,235143,-2.2348963083999998,-5.4221360116,7.9657064354,46
108971,174368,235120,-2.1870398563999998,-5.2342994375,8.0602229281,47
109117,174295,235187,-2.297109696,-5.431707302,8.0231341778,48
109295,174427,235192,-2.3030917525,-5.2701917765,7.9944203065999995,49
109517,174464,235210,-2.2121644937,-5.3742795596,7.9776705484,50
109728,174385,235249,-2.2743778813,-5.3515477449,8.0087772422,51
