green,red,IR,acc_x,acc_y,acc_z,sample_index
97355,184493,218448,-2.1942183242,-8.846265152199999,3.3020951879999996,1
97426,184498,218411,-2.1870398563999998,-8.859425676499999,3.3332018818,2
97498,184482,218448,-2.225325018,-8.8582292652,3.3990045032999996,3
97568,184453,218446,-2.2444675988,-8.8103728132,3.2147571631,4
97650,184501,218486,-2.1583259852,-8.7194455544,3.337987527,5
97713,184532,218482,-2.1475582835,-8.8151584584,3.3104700671000002,6
97787,184504,218434,-2.2707886474,-8.6309111182,3.3092736558,7
97860,184496,218461,-2.1631116304,-8.939585233599999,3.3272198253,8
97940,184525,218456,-2.1343977592,-8.7182491431,3.2135607518000002,9
98022,184523,218420,-2.1487546948,-8.817551281,3.3643085755999995,10
98087,184503,218503,-2.2229321954,-8.8438723296,3.3511480513,11
98170,184555,218490,-2.1080767106,-8.8797646686,3.290131075,12
98256,184525,218503,-2.0590238472999998,-8.8378902731,3.314059301,13
98325,184540,218487,-2.2791635265,-8.817551281,3.385843979,14
98375,184539,218489,-2.1726829208,-8.8678005556,3.326023414,15
98441,184537,218492,-2.1499511061,-8.9036928946,3.2518459134,16
98525,184484,218468,-2.2325034857999997,-8.7864445872,3.3547372851999997,17
98601,184556,218506,-2.1320049366,-8.829515394,3.2757741394,18
98680,184531,218497,-2.1942183242,-8.8486579748,3.326023414,19
98754,184550,218537,-2.1224336462,-8.8390866844,3.3535408739,20
98837,184560,218542,-2.1475582835,-8.8546400313,3.3068808331999997,21
98893,184557,218555,-2.0985054202,-8.8558364426,3.3152557123,22
98975,184608,218527,-2.1164515897,-8.7960158776,3.2039894614,23
99053,184561,218496,-2.1499511061,-8.8247297488,3.3607193417,24
99117,184572,218531,-2.165504453,-8.8558364426,3.3559336964999997,25
99198,184569,218508,-2.1104695332,-8.6967137397,3.1920253483999996,26
99256,184593,218522,-2.1044874766999997,-8.8438723296,3.2279176874,27
99337,184599,218577,-2.0542382021,-8.7302132561,3.3068808331999997,28
99388,184612,218512,-2.1152551784,-8.8115692245,3.3583265191000002,29
99444,184563,218571,-2.1212372348999997,-8.7792661194,3.2231320422,30
99368,184557,218516,-2.3018953412000003,-8.8223369262,3.3499516399999996,31
99131,184457,218455,-2.1607188078,-8.7780697081,3.3942188581,32
98850,184433,218472,-2.0422740890999997,-8.7637127725,3.3343982931,33
98552,184430,218392,-2.1619152191,-8.7254276109,3.2530423247,34
98328,184366,218409,-2.1487546948,-8.8630149104,3.3475588174,35
98163,184358,218376,-2.2037896146,-8.8390866844,3.397808092,36
98041,184374,218359,-2.225325018,-8.6907316832,3.3643085755999995,37
97984,184253,218372,-2.1631116304,-8.7326060787,3.314059301,38
97950,184390,218396,-2.1020946541,-8.818747692299999,3.3690942208,39
97927,184374,218372,-2.1308085253,-8.8366938618,3.2865418411,40
97891,184361,218413,-2.1678972756,-8.8749790234,3.397808092,41
97880,184349,218329,-2.1511475174,-8.7912302324,3.3595229304,42
97864,184334,218352,-2.1918255016,-8.7720876516,3.3068808331999997,43
97838,184338,218339,-2.2145573163,-8.819944103600001,3.3427731722,44
97916,184348,218369,-2.2277178406,-8.7720876516,3.3834511564,45
97934,184332,218379,-2.1224336462,-8.8486579748,3.4492537779,46
97992,184351,218404,-2.1846470338,-8.926424709299999,3.3810583338,47
98027,184334,218387,-2.0745771942,-8.748159425599999,3.3643085755999995,48
98075,184369,218385,-2.1332013479,-8.8163548697,3.3894332128999998,49
98134,184250,218400,-2.1128623558,-8.769694829,3.421736318,50
98187,184333,218382,-2.2528424779,-8.749355836900001,3.3954152694,51
98244,184341,218429,-2.1607188078,-8.7673020064,3.3738798660000002,52
98307,184374,218380,-2.2420747762,-8.8008015228,3.3535408739,53
98342,184355,218394,-2.3700907853,-8.873782612100001,3.3212377687999997,54
98430,184361,218396,-2.2540388892,-8.7230347883,3.3056844219,55
98471,184383,218450,-2.141576227,-8.8989072494,3.4325040196999996,56
98506,184363,218423,-2.0877377184999997,-8.8271225714,3.3714870434,57
98436,184321,218389,-2.3174486881,-8.7433737804,3.4109686163,58
98182,184259,218348,-2.1858434451,-8.7385881352,3.3571301077999998,59
97901,184223,218328,-2.1559331626,-8.7840517646,3.4396824875,60
97601,184159,218298,-2.1942183242,-8.7684984177,3.4420753101,61
97395,184185,218270,-2.1643080417,-8.7517486595,3.3643085755999995,62
97221,184131,218243,-2.2181465501999997,-8.7565343047,3.3643085755999995,63
97121,184107,218247,-2.1714865095,-8.8091764019,3.4420753101,64
97101,184148,218259,-2.2061824372,-8.805587167999999,3.3882368016,65
97091,184152,218263,-2.285145583,-8.8785682573,3.3523444626,66
97095,184135,218253,-2.15354034,-8.8343010392,3.3738798660000002,67
97079,184112,218255,-2.2037896146,-8.7254276109,3.4181470840999997,68
97099,184102,218221,-2.1750757434,-8.745766603,3.4013973259,69
97101,184128,218264,-2.1403798157,-8.769694829,3.3284162366,70
97113,184134,218281,-2.1236300575,-8.6991065623,3.3571301077999998,71
97163,184069,218259,-2.1559331626,-8.7314096674,3.4061829711000002,72
97222,184136,218296,-2.1822542112,-8.7840517646,3.4516466004999997,73
97286,184120,218324,-2.1643080417,-8.694320917099999,3.3595229304,74
97295,184161,218322,-2.0853448959,-8.833104627900001,3.3152557123,75
97387,184118,218309,-2.1128623558,-8.8498543861,3.3499516399999996,76
97477,184169,218331,-2.2743778813,-8.7373917239,3.3403803495999997,77
97549,184156,218371,-2.3246271559,-8.8031943454,3.4301111971,78
97589,184152,218326,-2.2480568327,-8.9048893059,3.3499516399999996,79
97685,184169,218380,-2.0733807828999997,-8.8486579748,3.3690942208,80
97758,184205,218341,-2.2995025186,-8.7684984177,3.3308090592,81
97815,184172,218370,-2.2779671152,-8.7505522482,3.4396824875,82
97884,184165,218399,-2.1463618722,-8.925228298,3.3403803495999997,83
97973,184191,218394,-2.1403798157,-8.8259261601,3.278166962,84
98038,184135,218402,-2.2468604214,-8.7565343047,3.3236305914,85
98092,184192,218388,-2.15354034,-8.8486579748,3.2590243811999997,86
98163,184202,218412,-2.0003996936,-8.819944103600001,3.3116664784,87
98259,184204,218416,-2.1571295739000003,-8.8019979341,3.326023414,88
98253,184207,218448,-2.2085752598,-8.829515394,3.2997023654,89
98399,184205,218464,-2.2037896146,-8.7290168448,3.3810583338,90
98456,184264,218426,-2.2660030021999997,-8.7732840629,3.2745777280999997,91
98519,184262,218432,-2.1631116304,-8.7684984177,3.4121650276000004,92
98620,184240,218436,-2.1726829208,-8.7732840629,3.3595229304,93
98650,184250,218439,-2.0901305410999997,-8.8701933782,3.3116664784,94
98740,184259,218441,-2.2205393728,-8.8043907567,3.385843979,95
98730,184227,218433,-2.2875384056,-8.8343010392,3.3403803495999997,96
98569,184131,218414,-2.1858434451,-8.720641965699999,3.3918260355000003,97
98309,184089,218326,-2.1343977592,-8.6727855137,3.3355947043999996,98
97924,184035,218305,-2.1320049366,-8.7541414821,3.4169506728,99
