green,red,IR,acc_x,acc_y,acc_z,sample_index
102362,203292,272259,-3.4229327293,-8.9671026935,-2.4011974791,1
102495,203322,272235,-3.4588250683,-8.9324067658,-2.5351955446999996,2
102565,203312,272270,-3.4671999473999997,-8.944370878800001,-2.5339991334,3
102720,203371,272281,-3.505485109,-8.8749790234,-2.5076780847999998,4
102869,203386,272284,-3.4827532943,-9.0221376133,-2.4658036893,5
102959,203381,272260,-3.46959277,-8.7565343047,-2.4825534475,6
103081,203403,272287,-3.4265219632000004,-8.8091764019,-2.5304098995,7
103166,203419,272334,-3.4277183745,-8.9228354754,-2.5435704238000003,8
103380,203470,272346,-3.5353953915,-8.8678005556,-2.5268206656,9
103413,203447,272360,-3.565305674,-8.8845503138,-2.4993032057,10
103260,203380,272333,-3.5712877305000004,-8.876175434699999,-2.5411776012,11
102748,203339,272241,-3.3583265191000002,-8.9192462415,-2.4658036893,12
102227,203276,272209,-3.5318061576,-8.9096749511,-2.5268206656,13
101910,203207,272157,-3.6933216830999998,-8.8008015228,-2.5196421978,14
101770,203204,272077,-3.4468609552999996,-8.8402830957,-2.4658036893,15
101761,203201,272024,-3.5365918028000003,-8.9575314031,-2.4705893345,16
101735,203176,272084,-3.5222348672,-8.8989072494,-2.4514467537,17
101935,203192,272084,-3.5748769644,-8.9563349918,-2.3940190112999997,18
102051,203254,272145,-3.5509487384000002,-8.9001036607,-2.5770699402,19
102149,203218,272135,-3.3762726886,-8.901300072,-2.5507488916,20
102118,203222,272151,-3.5126635768,-8.819944103600001,-2.5220350203999997,21
102262,203256,272129,-3.5784661983,-8.7996051115,-2.4981067944,22
102349,203266,272194,-3.4767712378,-8.9874416856,-2.5160529638999996,23
102394,203322,272110,-3.4983066412,-8.7194455544,-2.4275185276999998,24
102558,203292,272167,-3.5377882141000003,-8.9288175319,-2.5220350203999997,25
102379,203304,272150,-3.4803604716999996,-8.9359959997,-2.6009981662,26
102009,203195,272112,-3.3487552287,-8.8965144268,-2.5387847786,27
101609,203137,272034,-3.4983066412,-8.9515493466,-2.5770699402,28
101405,203130,272000,-3.4612178908999995,-9.0041914438,-2.4993032057,29
101316,203127,272005,-3.4624143022,-8.949156524,-2.4777678023000003,30
101357,203091,271962,-3.4839497056,-9.0149591455,-2.5232314317,31
101510,203152,272062,-3.4205399067,-8.7589271273,-2.4215364712,32
101739,203186,272041,-3.5557343836,-9.0257268472,-2.6153551018,33
101934,203225,272040,-3.6358939407,-8.8965144268,-2.6249263922,34
102014,203188,272069,-3.493520996,-8.819944103600001,-2.5507488916,35
102117,203252,272076,-3.5976087790999998,-8.8438723296,-2.5244278430000002,36
102209,203245,272136,-3.4995030524999997,-8.8678005556,-2.4981067944,37
102315,203271,272099,-3.4420753101,-8.8235333375,-2.5268206656,38
102484,203294,272135,-3.3918260355000003,-8.9515493466,-2.6129622792,39
102646,203325,272116,-3.4707891813,-8.975477572600001,-2.488535504,40
102823,203356,272163,-3.4827532943,-8.8630149104,-2.4837498588,41
102956,203395,272212,-3.6789647475,-8.831908216599999,-2.6117658679000004,42
102954,203393,272160,-3.4660035360999997,-9.0436730167,-2.5890340532,43
102576,203278,272129,-3.4420753101,-8.8271225714,-2.4741785684,44
102096,203228,272065,-3.5700913192,-8.9060857172,-2.5974089322999996,45
101819,203195,272019,-3.4779676491,-8.9419780562,-2.6380869165,46
101708,203181,272029,-3.541377448,-8.9108713624,-2.4909283265999997,47
101715,203150,272024,-3.5030922864000003,-8.7948194663,-2.5387847786,48
101722,203187,272016,-3.5676984966,-8.939585233599999,-2.5938196984,49
101944,203208,272026,-3.6311082955,-8.8271225714,-2.5220350203999997,50
102146,203192,272028,-3.5736805531,-8.9874416856,-2.5579273594000003,51
102269,203216,272046,-3.3343982931,-8.793623055,-2.4466611085,52
102332,203212,271980,-3.46959277,-8.9024964833,-2.5459632464,53
102402,203252,272055,-3.5114671655,-8.9347995884,-2.5028924396,54
102504,203229,272060,-3.3822547451,-8.8965144268,-2.5794627628,55
102612,203291,272049,-3.3415767608999998,-8.8546400313,-2.560320182,56
102791,203312,272052,-3.4061829711000002,-8.8259261601,-2.416750826,57
102922,203312,272093,-3.4157542615,-8.764909183799999,-2.3976082452,58
103026,203362,272115,-3.4636107135,-8.949156524,-2.6620151425,59
103019,203356,272094,-3.4540394231000002,-9.032905315,-2.6991038927999997,60
102659,203270,272004,-3.4612178908999995,-8.913264185,-2.5663022385,61
102194,203221,271945,-3.493520996,-8.9383888223,-2.4370898181,62
101941,203119,271946,-3.3499516399999996,-8.9587278144,-2.51246373,63
101822,203088,271850,-3.7184463204,-8.859425676499999,-2.5136601413,64
101830,203125,271876,-3.4648071248,-8.7732840629,-2.5016960283,65
101871,203101,271888,-3.4109686163,-8.937192411,-2.4670001006,66
102034,203147,271950,-3.4731820039,-9.0400837828,-2.4981067944,67
102178,203174,271911,-3.6179477712,-8.7768732968,-2.5567309481,68
102282,203168,271922,-3.3870403903,-8.7421773691,-2.3341984463,69
102339,203200,271929,-3.5126635768,-9.0233340246,-2.5447668351,70
102434,203213,271914,-3.5018958750999998,-8.7445701917,-2.5304098995,71
102529,203214,271913,-3.6586257553999997,-8.8881395477,-2.6333012713,72
102653,203306,271974,-3.4779676491,-8.7960158776,-2.4155544147,73
102735,203255,271947,-3.5126635768,-8.9826560404,-2.5208386090999997,74
102933,203309,272005,-3.6933216830999998,-8.7780697081,-2.5938196984,75
103073,203303,272033,-3.4384860762,-9.0125663229,-2.4442682859,76
103199,203368,272020,-3.4528430117999998,-8.781658942,-2.5292134882000004,77
103355,203376,272016,-3.5724841418,-8.8797646686,-2.5244278430000002,78
103522,203386,272062,-3.5330025689,-8.8115692245,-2.51246373,79
103647,203444,272058,-3.4085757937,-8.8582292652,-2.4729821571,80
103791,203447,272049,-3.4289147858,-8.925228298,-2.548356069,81
103921,203469,272051,-3.6311082955,-8.8869431364,-2.5555345367999998,82
104034,203469,272050,-3.4325040196999996,-8.9036928946,-2.4717857458,83
103871,203420,272076,-3.613162126,-8.720641965699999,-2.4634108667000003,84
103323,203332,272019,-3.4671999473999997,-8.8438723296,-2.4921247379,85
102864,203302,271967,-3.4648071248,-8.8043907567,-2.4849462701,86
102512,203228,271966,-3.5341989802,-8.7517486595,-2.4358934068,87
102362,203221,271847,-3.493520996,-8.937192411,-2.4490539311,88
102299,203216,271829,-3.409772205,-8.9204426528,-2.4909283265999997,89
102372,203228,271913,-3.4923245847,-8.8797646686,-2.4227328825,90
102489,203211,271853,-3.4624143022,-9.0017986212,-2.4933211492,91
102508,203244,271911,-3.6095728921,-8.7864445872,-2.5567309481,92
102678,203248,271834,-3.5294133349999997,-8.7984087002,-2.4861426814,93
102708,203231,271909,-3.6047872469,-8.8881395477,-2.6021945774999997,94
102754,203264,271879,-3.5820554322,-8.806783579300001,-2.5363919559999997,95
102818,203256,271933,-3.409772205,-8.949156524,-2.5818555854,96
102906,203307,271894,-3.4396824875,-8.8869431364,-2.6177479243999997,97
102957,203277,271861,-3.337987527,-8.9479601127,-2.5914268758000003,98
103086,203192,271866,-3.3655049869,-8.97308475,-2.572284295,99
103033,203208,271832,-3.4504501892,-8.8701933782,-2.6009981662,100
103233,203239,271807,-3.3834511564,-8.7194455544,-2.6249263922,101
103399,203330,271875,-3.4719855926,-8.930013943199999,-2.4418754632999997,102
103445,203354,271916,-3.5246276898,-8.9587278144,-2.5435704238000003,103
