green,red,IR,acc_x,acc_y,acc_z,sample_index
107804,207505,251056,-0.2931207685,2.9491538545,9.661021247499999,1
108171,207513,251156,-0.4019941968,2.7900311516,9.7686982645,2
108540,207563,251089,-0.33260234139999995,2.8390840148999996,9.7184489899,3
108904,207581,251194,-0.1782652837,2.8307091358,9.6993064091,4
109290,207641,251156,-0.15672988029999999,2.8725835312999997,9.6263253198,5
109666,207723,251251,-0.3421736318,2.9001009912,9.6382894328,6
109741,207752,251245,-0.3888336725,2.7768706272999997,9.6933243526,7
108952,207676,251227,-0.2213360905,3.0460631697999996,9.6837530622,8
107659,207515,251093,-0.3086741154,2.8031916759,9.700502820399999,9
106731,207415,251047,-0.39960137419999997,2.8642086522,9.6717889492,10
106331,207364,250989,-0.35413774480000004,2.8426732488,9.7423772159,11
106225,207299,250951,-0.263210486,2.8187450228000004,9.7184489899,12
106328,207313,250989,-0.2081755662,2.7481567560999998,9.687342296099999,13
106537,207348,250984,-0.2703889538,2.8426732488,9.6586284249,14
106725,207374,250996,-0.2572284295,2.87138712,9.674181771799999,15
106845,207389,251042,-0.3493520996,2.8594230069999997,9.7064848769,16
106955,207349,250990,-0.3493520996,2.8283163132,9.6765745944,17
107170,207403,251067,-0.3565305674,2.9443682093000003,9.6813602396,18
107410,207424,251057,-0.3146561719,2.8941189347,9.6861458848,19
107739,207477,251077,-0.3780659708,2.8917261120999997,9.7088776995,20
108076,207494,251107,-0.3062812928,2.9024938138,9.7160561673,21
108418,207534,251145,-0.2667997199,2.8163522002,9.655039191,22
108739,207574,251192,-0.1926222193,2.7996024420000003,9.7220382238,23
109108,207626,251154,-0.4331008906,2.9108686929000003,9.6239324972,24
109467,207671,251234,-0.37567314820000003,2.919243572,9.688538707400001,25
109842,207720,251258,-0.3505485109,2.8115665549999997,9.688538707400001,26
110188,207741,251318,-0.3613162126,2.8462624827,9.714859756,27
110563,207784,251330,-0.3840480273,2.8534409504999996,9.688538707400001,28
110926,207851,251373,-0.3086741154,2.7936203855,9.6000042712,29
111092,207879,251400,-0.442672181,2.8331019584000003,9.631110965,30
110489,207826,251363,-0.36011980130000004,2.9503502657999996,9.8309116521,31
109420,207698,251267,-0.33260234139999995,2.8689942974,9.6119683842,32
108614,207603,251176,-0.3900300838,2.7696921595,9.6693961266,33
108207,207505,251112,-0.2117648001,2.8139593776000003,9.5964150373,34
108039,207515,251060,-0.3302095188,2.8929225234,9.633503787599999,35
108073,207496,251054,-0.33260234139999995,2.8474588940000003,9.7615197967,36
108214,207516,251115,-0.3086741154,2.8737799425999997,9.7040920543,37
108425,207512,251115,-0.40677984199999995,2.9001009912,9.700502820399999,38
108624,207553,251137,-0.2943171798,3.0245277664,9.7304131029,39
