green,red,IR,acc_x,acc_y,acc_z,sample_index
11680,162146,62986,1.0875378717,3.3032915993,-8.9766739839,1
11675,162167,62980,1.3112667848,3.2877382523999996,-9.081958178299999,2
11647,162166,62986,1.2418749294,3.3678978095,-9.1238325738,3
11750,162175,62986,1.2490533972,3.2853454298,-9.095118702599999,4
11751,162168,62970,1.3208380752,3.2817561959000003,-9.108279226899999,5
11798,162198,62994,1.3208380752,3.2566315586,-9.1022971704,6
11649,162153,62988,1.3196416639,3.2518459134,-9.1824567275,7
11724,162175,63002,1.1772687192,3.1800612354,-9.0795653557,8
11752,162198,63007,1.1880364209,3.4013973259,-9.010173500299999,9
11754,162079,62993,1.2993026717999998,3.2195428083000004,-9.1022971704,10
11733,162200,62981,1.1174481541999999,3.3607193417,-9.1453679772,11
11769,162181,62994,1.2311072277,3.3870403903,-9.0149591455,12
11771,162209,62991,1.3052847283,3.361915753,-9.0520478958,13
11671,162198,62992,1.0719845248,3.5102707542,-9.109475638200001,14
11784,162210,62991,1.1270194446,3.2446674455999998,-9.042476605400001,15
11784,162148,62991,1.2131610582,3.4408788988000003,-9.290133744499999,16
11785,162170,62996,1.1545369045,3.4420753101,-9.0293160811,17
11771,162195,62996,1.3172488413,3.3678978095,-9.056833541,18
11795,162148,62999,1.2586246876,3.2937203089,-9.0735832992,19
11733,162112,62990,1.2227323486,3.3296126479000003,-9.064012008799999,20
11735,162116,62991,1.1808579531,3.46959277,-9.1262253964,21
11741,162127,62980,1.3926227532000002,3.3942188581,-9.0855474122,22
11667,162098,62983,1.2346964616,3.2386853891,-9.1262253964,23
11736,162119,62992,1.1820543644000001,3.3702906320999997,-9.0903330574,24
11741,162133,62971,1.2897313814,3.3164521235999995,-9.104689993,25
11742,162129,62988,1.3459627125,3.3068808331999997,-9.200402897,26
11672,162139,62987,1.2478569859,3.3499516399999996,-9.1357966868,27
11742,162127,62988,1.1880364209,3.2793633733,-9.0999043478,28
11735,162131,63004,1.3387842447,3.3355947043999996,-9.1477607998,29
11745,162137,62981,1.280160091,3.4037901484999997,-9.1142612834,30
11755,162149,62992,1.1808579531,3.385843979,-9.0436730167,31
11760,162185,62988,1.280160091,3.2075786953,-9.0783689444,32
11757,162185,62996,1.2299108163999999,3.421736318,-9.050851484499999,33
11762,162186,63000,1.3316057769,3.2362925665,-9.042476605400001,34
11753,162172,62986,1.3064811396,3.2805597846,-9.0843510009,35
11770,162178,62998,1.1306086785,3.2925238975999997,-9.080761767,36
11677,162190,63007,1.2418749294,3.4636107135,-9.188438784,37
11769,162200,62999,1.1796615418,3.3631121643,-9.0173519681,38
11750,162124,63004,1.2418749294,3.2458638569,-9.188438784,39
11731,162117,62987,1.3615160593999998,3.266202849,-9.1022971704,40
