green,red,IR,acc_x,acc_y,acc_z,sample_index
124426,185136,245652,-5.3288159302,-0.4486542375,8.1583286547,1
124644,185188,245761,-5.3946185517,-0.4522434714,8.115257847899999,2
124890,185216,245699,-5.38385085,-0.4295116567,8.170292767700001,3
125117,185168,245724,-5.5226345608,-0.346959277,8.1966138163,4
125313,185164,245719,-5.392225729100001,-0.4390829471,8.1942209937,5
125282,185113,245725,-5.4388857698,-0.4019941968,8.1068829688,6
124886,185066,245694,-5.5310094399,-0.34576286570000003,8.1104722027,7
124394,185002,245667,-5.376672382200001,-0.3661018578,8.0231341778,8
124086,185041,245626,-5.359922623999999,-0.3565305674,8.0901332106,9
123869,185042,245669,-5.4652068183999996,-0.40917266459999996,8.1044901462,10
123775,185036,245676,-5.472385286200001,-0.4271188341,8.1044901462,11
123856,185101,245703,-5.3551369788,-0.3014956476,8.0542408716,12
123956,185058,245664,-5.321637462399999,-0.36370903520000003,8.1068829688,13
124027,185057,245642,-5.4628139958,-0.34097722049999996,8.1188470818,14
124014,185069,245699,-5.3814580274,-0.2823530668,8.1403824852,15
124057,185074,245681,-5.3455656884,-0.2548356069,8.027919823,16
124120,185138,245658,-5.3611190353,-0.39361931769999997,8.1092757914,17
124255,185155,245683,-5.334797986699999,-0.3397808092,8.0829547428,18
124429,185145,245685,-5.2666025426,-0.3146561719,8.027919823,19
124617,185174,245725,-5.3671010918,-0.39720855159999996,8.0733834524,20
124841,185166,245726,-5.4628139958,-0.3625126239,7.9992059518000005,21
125048,185194,245732,-5.2737810104,-0.3649054465,8.0542408716,22
125250,185225,245710,-5.426921656799999,-0.2763710103,8.0506516377,23
125453,185211,245751,-5.4281180681,-0.4642075844,8.1942209937,24
125666,185228,245754,-5.4185467777000005,-0.3421736318,8.1762748242,25
125841,185271,245787,-5.4029934308,-0.394815729,8.159525066,26
126103,185283,245728,-5.362315446599999,-0.33260234139999995,8.128418372199999,27
126224,185302,245746,-5.4508498828,-0.311066938,8.13559684,28
126146,185187,245737,-5.4233324229,-0.3852444386,8.111668614,29
125779,185146,245743,-5.486742221799999,-0.311066938,8.0769726863,30
125455,185125,245715,-5.347958511000001,-0.39720855159999996,8.124829138299999,31
125295,185172,245745,-5.38385085,-0.299102825,8.1906317598,32
125212,185124,245721,-5.2893343573,-0.24047867129999997,8.1212399044,33
125189,185154,245774,-5.4006006081999995,-0.3278166962,8.0303126456,34
125248,185218,245763,-5.3862436726,-0.34456645439999994,8.1176506705,35
125418,185109,245768,-5.2606204861,-0.3744767369,8.0602229281,36
125458,185203,245713,-5.4376893585,-0.4331008906,8.1631142999,37
125488,185200,245751,-5.3527441562,-0.3744767369,8.0458659925,38
125515,185235,245720,-5.515456093,-0.2919243572,8.1547394208,39
125646,185182,245732,-5.347958511000001,-0.2859423007,8.049455226400001,40
125786,185278,245698,-5.2845487121,-0.2069791549,8.1511501869,41
125886,185256,245801,-5.4364929472,-0.33260234139999995,8.0853475654,42
126066,185189,245805,-5.467599641,-0.33738798659999997,8.1188470818,43
126238,185274,245771,-5.50349198,-0.32303105099999996,8.1140614366,44
126238,185292,245776,-5.3742795596,-0.38763726119999997,8.1092757914,45
126115,185204,245712,-5.3982077855999995,-0.3649054465,8.039883936,46
125676,185133,245711,-5.3742795596,-0.43429730190000004,8.1140614366,47
125321,185165,245695,-5.4352965359,-0.2715853651,8.0829547428,48
125081,185136,245714,-5.3659046805,-0.3768695595,8.1846497033,49
124939,185135,245722,-5.419743189,-0.3062812928,8.1523465982,50
124925,185181,245723,-5.4604211732,-0.3397808092,8.0925260332,51
125006,185194,245717,-5.2965128251,-0.32901310749999996,8.1846497033,52
125089,185132,245700,-5.3694939144,-0.32901310749999996,8.124829138299999,53
125082,185148,245667,-5.499902746099999,-0.4558327053,8.0865439767,54
125061,185169,245668,-5.5202417382,-0.2285145583,8.1726855903,55
125067,185153,245700,-5.5429735529,-0.3924229064,8.1272219609,56
125109,185144,245671,-5.315655405899999,-0.32542387359999997,8.1427753078,57
125244,185176,245661,-5.3084769381,-0.41276189849999995,8.0925260332,58
125368,185193,245693,-5.4065826647,-0.2907279459,8.155935832099999,59
125539,185196,245714,-5.4388857698,-0.3421736318,8.075776275,60
125681,185220,245711,-5.3539405675,-0.3816552047,8.111668614,61
125825,185308,245707,-5.417350366399999,-0.3661018578,8.1619178886,62
126003,185250,245749,-5.3814580274,-0.4163511324,8.039883936,63
126124,185264,245763,-5.3539405675,-0.46540399569999996,8.116454259200001,64
126271,185268,245749,-5.389832906500001,-0.2919243572,8.051848049,65
126233,185194,245776,-5.2737810104,-0.32901310749999996,8.0123664761,66
125880,185152,245747,-5.4628139958,-0.2739781877,8.116454259200001,67
125253,185091,245682,-5.4029934308,-0.31345976059999997,8.1140614366,68
124761,185024,245663,-5.4412785924,-0.37567314820000003,8.0889367993,69
124395,185046,245634,-5.4963135121999995,-0.3493520996,8.1140614366,70
124127,185054,245621,-5.4652068183999996,-0.39960137419999997,8.128418372199999,71
123965,185101,245637,-5.344369277099999,-0.40677984199999995,8.0817583315,72
123980,185096,245670,-5.3228338737000005,-0.35892339,8.1320076061,73
123989,185135,245652,-5.431707302,-0.2943171798,8.1403824852,74
123901,185115,245596,-5.389832906500001,-0.35174492220000003,8.0434731699,75
123831,185094,245587,-5.3934221404,-0.2237289131,8.1643107112,76
123814,185092,245604,-5.4029934308,-0.3302095188,8.128418372199999,77
123807,185088,245601,-5.3694939144,-0.3804587934,8.1667035338,78
123907,185111,245617,-5.417350366399999,-0.2775674216,8.1439717191,79
124085,185145,245645,-5.315655405899999,-0.370887503,8.0422767586,80
124267,185143,245666,-5.3982077855999995,-0.24047867129999997,8.102097323599999,81
124399,185168,245662,-5.3934221404,-0.32542387359999997,8.13559684,82
124539,185182,245634,-5.2833523008,-0.3661018578,8.0590265168,83
124675,185196,245664,-5.3012984703,-0.2691925425,8.1571322434,84
124798,185172,245698,-5.3659046805,-0.3026920589,8.2013994615,85
124811,185108,245668,-5.3563333901,-0.31944181709999997,8.01595571,86
124447,185080,245612,-5.3168518172,-0.3182454058,8.1224363157,87
123769,185021,245568,-5.376672382200001,-0.3852444386,8.099704501,88
123168,185007,245545,-5.2582276635,-0.2847458894,8.0662049846,89
122712,185014,245572,-5.3455656884,-0.3613162126,8.0781690976,90
