green,red,IR,acc_x,acc_y,acc_z,sample_index
39265,138521,101838,-0.30747770409999997,-3.6646078119,-9.0903330574,1
39220,138383,101805,-0.2775674216,-3.7124642639,-9.010173500299999,2
39018,138443,101810,-0.3780659708,-3.6000016017000003,-9.0795653557,3
38873,138426,101793,-0.1926222193,-3.6921252718,-9.0245304359,4
38910,138413,101779,-0.3050848815,-3.7615171272,-9.0532443071,5
38888,138377,101786,-0.3098705267,-3.613162126,-9.0041914438,6
38890,138387,101789,-0.2620140747,-3.7316068447,-9.0711904766,7
38906,138410,101794,-0.3780659708,-3.6957145057000003,-9.096315113900001,8
38916,138377,101790,-0.4749752861,-3.7782668854000003,-9.1346002755,9
38914,138404,101799,-0.4163511324,-3.7866417645,-9.0879402348,10
38936,138415,101784,-0.3050848815,-3.7447673690000003,-8.9778703952,11
38959,138390,101787,-0.34576286570000003,-3.7830525306,-9.0400837828,12
39002,138385,101782,-0.37567314820000003,-3.6873396266,-9.0592263636,13
39079,138449,101814,-0.39122649509999996,-3.7040893848,-8.9766739839,14
39076,138408,101804,-0.5204389155,-3.5964123677999997,-8.997012975999999,15
39113,138412,101801,-0.3421736318,-3.5976087790999998,-9.1357966868,16
39164,138452,101804,-0.3122633493,-3.6574293441,-9.0472622506,17
39182,138453,101812,-0.2763710103,-3.7423745464,-9.0341017263,18
39218,138477,101805,-0.34815568830000004,-3.5641092626999997,-9.0664048314,19
39285,138485,101805,-0.2297109696,-3.732803256,-9.1142612834,20
39288,138479,101806,-0.2117648001,-3.7040893848,-8.9288175319,21
39201,138379,101793,-0.466600407,-3.7734812402,-9.0987079365,22
39068,138424,101759,-0.3613162126,-3.7579278933,-9.0245304359,23
38982,138264,101767,-0.3565305674,-3.7734812402,-8.952745757899999,24
38943,138334,101756,-0.2883351233,-3.6873396266,-9.0831545896,25
38935,138403,101775,-0.39720855159999996,-3.7280176108,-9.1417787433,26
38965,138367,101765,-0.3804587934,-3.6047872469,-9.0317089037,27
38956,138370,101750,-0.3218346397,-3.7746776515,-8.9623170483,28
38967,138357,101771,-0.3732803256,-3.7447673690000003,-9.068797654,29
39022,138384,101768,-0.3493520996,-3.6550365215,-9.055637129700001,30
38984,138384,101774,-0.3397808092,-3.6406795858999996,-9.019744790699999,31
39008,138386,101774,-0.21415762270000002,-3.6909288605,-9.1034935817,32
39060,138405,101784,-0.34456645439999994,-3.7256247882,-9.1070828156,33
39101,138399,101782,-0.2608176634,-3.6670006345,-9.0484586619,34
39141,138362,101779,-0.3864408499,-3.7005001509,-8.9910309195,35
39164,138429,101787,-0.16869399329999998,-3.7447673690000003,-9.104689993,36
39218,138415,101795,-0.3780659708,-3.7160534978000004,-9.0436730167,37
39244,138436,101788,-0.3661018578,-3.7674991837,-9.0520478958,38
39284,138420,101806,-0.3625126239,-3.7088750299999997,-9.050851484499999,39
39315,138464,101796,-0.370887503,-3.6777683362,-9.0472622506,40
39339,138450,101818,-0.3684946804,-3.5617164401,-8.97308475,41
39245,138428,101783,-0.4558327053,-3.7627135385,-9.1453679772,42
39123,138395,101800,-0.3337987527,-3.6335011181000003,-9.1357966868,43
39034,138357,101785,-0.2667997199,-3.6765719249,-8.9647098709,44
38999,138377,101775,-0.3014956476,-3.6538401101999995,-8.9958165647,45
39000,138374,101794,-0.2608176634,-3.7830525306,-9.0460658393,46
39012,138392,101773,-0.251246373,-3.7902309983999998,-9.0352981376,47
39035,138385,101786,-0.3661018578,-3.8093735792,-8.997012975999999,48
39041,138400,101778,-0.33499516399999996,-3.6311082955,-9.109475638200001,49
39029,138374,101780,-0.3397808092,-3.6227334164,-9.054440718399999,50
39053,138391,101794,-0.3613162126,-3.6801611588,-9.064012008799999,51
39060,138404,101786,-0.4079762533,-3.6801611588,-9.1142612834,52
39113,138411,101779,-0.28953153460000003,-3.7351960786,-9.0245304359,53
39147,138418,101789,-0.3924229064,-3.7471601916,-9.162117735399999,54
39193,138424,101803,-0.27517459899999996,-3.7112678526000002,-9.1142612834,55
39232,138462,101793,-0.2919243572,-3.7351960786,-9.037690960199999,56
39269,138447,101807,-0.5012963347,-3.7172499091,-9.0053878551,57
39297,138467,101810,-0.42233318890000004,-3.7447673690000003,-9.0436730167,58
39343,138468,101830,-0.2644068973,-3.7016965622000004,-9.0915294687,59
39259,138465,101810,-0.20458633229999998,-3.5772697869999996,-9.0831545896,60
39295,138478,101799,-0.47138605219999996,-3.8811582571999996,-9.0879402348,61
39164,138424,101821,-0.3050848815,-3.7974094662,-9.109475638200001,62
39065,138431,101775,-0.40319060809999996,-3.6825539814000003,-9.0999043478,63
39072,138418,101776,-0.3493520996,-3.6885360378999996,-9.0975115252,64
39001,138384,101772,-0.3038884702,-3.6753755136,-9.121439751199999,65
39007,138399,101764,-0.32542387359999997,-3.6670006345,-9.0233340246,66
39064,138412,101765,-0.3421736318,-3.6586257553999997,-8.997012975999999,67
39001,138393,101785,-0.3768695595,-3.7256247882,-9.0293160811,68
38986,138431,101771,-0.1710868159,-3.6358939407,-9.104689993,69
