green,red,IR,acc_x,acc_y,acc_z,sample_index
86627,175341,248198,1.375872995,9.700502820399999,2.2528424779,1
86697,175341,248227,1.375872995,9.559326287,2.4155544147,2
86774,175345,248266,1.3328021881999998,9.6538427797,2.3365912689,3
86872,175368,248212,1.4715858990000001,9.5688975774,2.3880369548,4
86964,175360,248265,1.3639088819999998,9.643075077999999,2.4203400599,5
87033,175417,248287,1.3962119871,9.6119683842,2.3509482045,6
87121,175388,248260,1.3734801723999999,9.5401837062,2.2995025186,7
87195,175421,248290,1.3818550514999999,9.6095755616,2.3318056236999998,8
87275,175425,248273,1.4715858990000001,9.6681997153,2.3736800192,9
87369,175441,248346,1.2909277927,9.5724868113,2.3473589706,10
87477,175458,248343,1.3734801723999999,9.6382894328,2.2947168733999996,11
87465,175450,248314,1.3399806559999998,9.5377908836,2.344966148,12
87094,175354,248259,1.4536397294999999,9.6586284249,2.285145583,13
86736,175305,248207,1.4321043261,9.559326287,2.3150558654999998,14
86487,175285,248262,1.4309079148000001,9.6837530622,2.3653051401,15
86415,175284,248225,1.3375878334,9.7663054419,2.3042881638,16
86423,175326,248276,1.3160524299999998,9.5688975774,2.3114666316,17
86483,175318,248363,1.5182459396999999,9.634700198900001,2.2695922361,18
86649,175341,248370,1.5062818266999998,9.5270231819,2.321037922,19
86771,175360,248358,1.2681959779999998,9.5736832226,2.3497517932000003,20
86848,175371,248384,1.3172488413,9.6562356023,2.2899312282,21
86875,175400,248327,1.3399806559999998,9.6705925379,2.3497517932000003,22
86922,175365,248445,1.3806586402,9.5784688678,2.2025932033,23
86966,175396,248374,1.3639088819999998,9.5772724565,2.3401805028,24
87050,175411,248367,1.4512469069,9.6490571345,2.4179472373,25
87145,175438,248414,1.3950155758,9.675378183100001,2.27318147,26
87257,175460,248380,1.3435698899,9.6945207639,2.3365912689,27
87360,175464,248406,1.4081761001,9.5784688678,2.3665015514,28
87478,175478,248373,1.2753744458,9.5054877785,2.4035903017,29
87540,175489,248396,1.3722837611,9.6574320136,2.2420747762,30
87701,175524,248410,1.3830514628000001,9.6765745944,2.3904297774,31
87786,175559,248414,1.4045868662,9.583254513,2.2827527603999997,32
87864,175552,248454,1.3830514628000001,9.6023970938,2.3042881638,33
87945,175559,248413,1.4201402131,9.661021247499999,2.4466611085,34
88022,175544,248391,1.351944769,9.6945207639,2.27318147,35
88114,175603,248467,1.4189438018,9.6921279413,2.3006989299,36
88111,175613,248450,1.3088739621999999,9.667003304,2.3880369548,37
88022,175600,248387,1.3208380752,9.531808827099999,2.3353948576,38
87592,175437,248365,1.3112667848,9.518648302799999,2.3593230836,39
87134,175367,248301,1.3710873497999998,9.4851487864,2.27318147,40
86889,175367,248284,1.4727823103,9.6083791503,2.2719850587,41
86767,175338,248338,1.4620146086,9.495916488099999,2.3138594542,42
86700,175346,248352,1.3471591237999998,9.5928258034,2.3724836079,43
86709,175374,248371,1.3782658175999998,9.6777710057,2.3425733254,44
86780,175376,248335,1.3423734786,9.559326287,2.3066809864,45
86859,175351,248347,1.4895320685,9.6000042712,2.321037922,46
86887,175375,248363,1.3016954943999999,9.4947200768,2.2540388892,47
86936,175342,248336,1.3890335193,9.6837530622,2.3353948576,48
86892,175332,248330,1.5050854154,9.5748796339,2.4215364712,49
86907,175425,248319,1.3710873497999998,9.6897351187,2.321037922,50
86911,175369,248354,1.4416756165,9.6538427797,2.2456640101,51
86989,175374,248332,1.459621786,9.6538427797,2.3294128011,52
87066,175375,248367,1.3938191645,9.4624169717,2.2181465501999997,53
87046,175401,248292,1.4009976323,9.5736832226,2.368894374,54
87218,175404,248380,1.3734801723999999,9.7399843933,2.3665015514,55
87278,175428,248350,1.3411770673,9.6598248362,2.3724836079,56
87355,175471,248370,1.3459627125,9.661021247499999,2.3976082452,57
87441,175464,248382,1.3806586402,9.5712904,2.2803599377999997,58
87498,175459,248381,1.3734801723999999,9.5617191096,2.3736800192,59
87598,175448,248397,1.3375878334,9.675378183100001,2.3042881638,60
87662,175496,248370,1.3351950108,9.583254513,2.321037922,61
87735,175487,248427,1.2897313814,9.5437729401,2.3186450994000003,62
