green,red,IR,acc_x,acc_y,acc_z,sample_index
114625,194953,285131,5.4664032297,-7.992027484,-0.2691925425,1
114289,194853,285130,5.4759745201,-8.0207413552,-0.4019941968,2
114204,194876,285151,5.554937665900001,-7.8915289348,-0.287138712,3
114204,194926,285158,5.7702916999,-7.9633136127999995,-0.3924229064,4
114488,194947,285139,5.6434721021,-7.8592258297,-0.3266202849,5
114802,195025,285249,5.6554362151,-7.9262248625,-0.4295116567,6
115054,195097,285214,5.6039905292,-7.992027484,-0.3732803256,7
115251,195113,285268,5.575276658,-7.9824561936,-0.3553341561,8
115224,195105,285278,5.7128639575,-7.9968131291999995,-0.36370903520000003,9
115350,195118,285244,5.6231331099999995,-7.8640114749,-0.3361915753,10
115349,195150,285290,5.651846981199999,-8.0075808309,-0.39720855159999996,11
115648,195158,285283,5.6171510535,-7.9633136127999995,-0.382851616,12
115825,195195,285304,5.4855458105,-7.9764741371,-0.30747770409999997,13
116075,195237,285331,5.5621161337,-8.049455226400001,-0.36011980130000004,14
116318,195304,285364,5.6231331099999995,-8.0362947021,-0.3302095188,15
116561,195322,285407,5.5812587145,-7.902296636499999,-0.3684946804,16
116806,195365,285418,5.5429735529,-8.169096356399999,-0.2931207685,17
117031,195378,285487,5.6410792795,-7.8017980873,-0.2739781877,18
116938,195347,285434,5.679364441100001,-8.0781690976,-0.3732803256,19
116071,195152,285260,5.6901321428,-8.0063844196,-0.2775674216,20
115254,195009,285111,5.4987063348,-8.0542408716,-0.35892339,21
114961,194967,285115,5.789434280699999,-7.8640114749,-0.3493520996,22
114937,194990,285144,5.6219366987,-7.8783684105,-0.33499516399999996,23
115065,195018,285179,5.6566326264,-8.044669581199999,-0.2344966148,24
115285,195112,285221,5.6195438761,-8.0207413552,-0.38763726119999997,25
115612,195147,285319,5.5465627868,-7.9872418388,-0.2165504453,26
115925,195236,285306,5.6506505699,-7.9776705484,-0.3493520996,27
116032,195227,285316,5.6135618196,-7.940581798099999,-0.2309073809,28
116162,195231,285355,5.4759745201,-7.9836526049,-0.2919243572,29
116200,195252,285322,5.7128639575,-7.992027484,-0.287138712,30
116388,195253,285342,5.8995041203,-8.137989662599999,-0.2967100024,31
116566,195289,285372,5.670989562,-8.0542408716,-0.33499516399999996,32
116763,195337,285322,5.5848479484,-8.0482588151,-0.38763726119999997,33
116966,195346,285432,5.6183474648,-8.0219377665,-0.1926222193,34
117184,195391,285439,5.6602218603,-7.998009540499999,-0.2979064137,35
117387,195420,285456,5.693721376699999,-7.9740813145,-0.2727817764,36
117610,195486,285495,5.7176496027,-7.9740813145,-0.3014956476,37
117827,195485,285536,5.7415778287,-7.9932238953,-0.3684946804,38
118023,195520,285556,5.5657053676,-7.8783684105,-0.1974078645,39
117990,195461,285548,5.6267223439,-8.026723411699999,-0.32542387359999997,40
117180,195264,285316,5.417350366399999,-7.896314579999999,-0.3158525832,41
116377,195131,285232,5.7990055710999995,-7.9824561936,-0.3684946804,42
115946,195056,285178,5.5932228275,-7.968099258,-0.3302095188,43
115977,195071,285241,5.5896335936,-7.8831540556999995,-0.2596212521,44
116049,195112,285225,5.570491012800001,-8.0207413552,-0.25363919560000003,45
116180,195180,285263,5.6327044004,-8.0123664761,-0.287138712,46
116516,195198,285323,5.7188460139999995,-8.0829547428,-0.30747770409999997,47
116834,195268,285365,5.8085768615,-7.8400832489,-0.3158525832,48
116990,195300,285389,5.541777141600001,-8.049455226400001,-0.3625126239,49
117135,195295,285395,5.6542398038,-7.9501530885,-0.33140593009999997,50
117127,195307,285413,5.6745787959,-8.087740388,-0.311066938,51
117283,195315,285408,5.7463634739,-7.8640114749,-0.3397808092,52
117442,195335,285405,5.6566326264,-7.844868894099999,-0.3062812928,53
117582,195365,285416,5.5190453269,-7.911867926899999,-0.35772697870000003,54
117769,195356,285455,5.6805608524,-8.0111700648,-0.2679961312,55
117945,195436,285496,5.5800623032,-8.0530444603,-0.32542387359999997,56
118135,195407,285496,5.7128639575,-8.0291162343,-0.36011980130000004,57
118334,195471,285504,5.7092747236,-7.9453674433,-0.36370903520000003,58
118475,195492,285557,5.551348432,-7.9214392173,-0.2883351233,59
118622,195519,285501,5.647061336,-8.01595571,-0.2452643165,60
118415,195431,285481,5.647061336,-7.9645100241,-0.38763726119999997,61
117486,195195,285319,5.528616617299999,-7.9836526049,-0.3122633493,62
116741,195074,285245,5.679364441100001,-7.9968131291999995,-0.35413774480000004,63
116437,195086,285173,5.5848479484,-8.017152121299999,-0.311066938,64
116276,195059,285181,5.6004012953,-8.0781690976,-0.3062812928,65
116376,195079,285210,5.6901321428,-8.0303126456,-0.35892339,66
116537,195154,285195,5.6458649247,-8.0243305891,-0.36370903520000003,67
116744,195220,285288,5.5357950851,-8.1439717191,-0.3014956476,68
117032,195228,285270,5.665007505499999,-7.9070822817,-0.3014956476,69
117102,195224,285299,5.5764730692999995,-8.0721870411,-0.4618147618,70
117100,195259,285261,5.6434721021,-8.0303126456,-0.33140593009999997,71
117029,195214,285281,5.575276658,-8.0829547428,-0.36370903520000003,72
117207,195217,285273,5.513063270399999,-7.972884903200001,-0.2979064137,73
117278,195234,285252,5.7236316592000005,-7.8879397009000005,-0.3014956476,74
117388,195304,285291,5.5142596817000005,-7.8783684105,-0.31704899449999996,75
117553,195276,285328,5.5621161337,-8.1344004287,-0.3649054465,76
117704,195340,285369,5.636293634299999,-8.063812162,-0.2835494781,77
117843,195333,285329,5.7511491191,-8.0004023631,-0.39361931769999997,78
118007,195396,285358,5.538187907699999,-8.0315090569,-0.30747770409999997,79
118144,195392,285366,5.6315079891,-8.124829138299999,-0.4007977855,80
117916,195300,285284,5.6674003281,-7.8640114749,-0.38763726119999997,81
117025,195129,285142,5.5800623032,-7.8352976037,-0.41156548719999997,82
116228,195032,285015,5.6183474648,-7.9298140964,-0.4007977855,83
115927,195005,285059,5.6614182716,-8.0015987744,-0.40677984199999995,84
115747,194972,285042,5.575276658,-8.0925260332,-0.3266202849,85
115896,195016,285080,5.5848479484,-7.9214392173,-0.3684946804,86
116060,195119,285107,5.679364441100001,-7.788637563,-0.4019941968,87
116373,195196,285114,5.6039905292,-8.0255270004,-0.2691925425,88
116615,195218,285168,5.6997034332,-8.044669581199999,-0.36370903520000003,89
116702,195222,285235,5.6135618196,-8.0111700648,-0.40677984199999995,90
116706,195230,285203,5.6135618196,-8.0961152671,-0.34456645439999994,91
116780,195254,285180,5.7176496027,-7.992027484,-0.33140593009999997,92
116881,195256,285187,5.5896335936,-7.873582765299999,-0.24047867129999997,93
117048,195308,285232,5.4987063348,-7.9166535721,-0.3924229064,94
117171,195305,285262,5.6087761744,-7.8975109913,-0.3397808092,95
117447,195340,285308,5.7176496027,-8.0111700648,-0.287138712,96
117557,195395,285314,5.6087761744,-7.9633136127999995,-0.2691925425,97
117744,195426,285349,5.665007505499999,-7.911867926899999,-0.287138712,98
117933,195481,285339,5.624329521299999,-7.998009540499999,-0.311066938,99
118062,195482,285383,5.479563754,-8.063812162,-0.287138712,100
117681,195387,285248,5.6171510535,-7.9393853868,-0.2883351233,101
116526,195171,285118,5.4759745201,-7.9070822817,-0.1507478238,102
115792,195031,285020,5.6554362151,-7.9298140964,-0.35892339,103
115439,195009,285024,5.7511491191,-7.9788669596999995,-0.2213360905,104
115323,195061,285039,5.5944192388,-8.0817583315,-0.3062812928,105
115356,195098,285061,5.7188460139999995,-8.044669581199999,-0.3302095188,106
115519,195116,285050,5.6195438761,-7.9884382501,-0.4534398827,107
115808,195180,285170,5.6805608524,-8.1068829688,-0.2548356069,108
116023,195256,285179,5.5465627868,-8.0195449439,-0.3780659708,109
116119,195246,285206,5.389832906500001,-7.9585279676,-0.2919243572,110
116156,195241,285223,5.5561340772,-8.0015987744,-0.34456645439999994,111
116163,195218,285195,5.6410792795,-8.111668614,-0.3302095188,112
116286,195270,285221,5.666203916800001,-7.9214392173,-0.3158525832,113
116424,195270,285196,5.7128639575,-8.0386875247,-0.2213360905,114
116579,195285,285192,5.528616617299999,-7.968099258,-0.3158525832,115
116764,195341,285267,5.7655060547,-8.0303126456,-0.3014956476,116
116980,195355,285301,5.7846486355,-8.0015987744,-0.287138712,117
117136,195382,285308,5.802594804999999,-7.9872418388,-0.2883351233,118
117326,195446,285324,5.551348432,-7.9645100241,-0.2775674216,119
117543,195500,285344,5.6039905292,-8.0255270004,-0.3397808092,120
117400,195421,285302,5.6805608524,-7.9884382501,-0.2775674216,121
