green,red,IR,acc_x,acc_y,acc_z,sample_index
114067,183283,214172,-4.0845481781999995,4.9208396769,7.5888368759,1
112957,183269,214176,-4.0139599115,4.7916272565,7.6091758679999995,2
111727,183179,214156,-3.9254254753,4.833501652,7.5888368759,3
111049,183183,214132,-4.0462630166,4.8969114509,7.5768727629,4
110795,183168,214119,-3.9589249917,4.8430729424,7.6235328036,5
110703,183156,214142,-4.0163527341,4.8263231842,7.6701928443,6
111021,183188,214100,-3.9900316855,4.8478585876,7.667800021700001,7
111488,183211,214133,-4.0271204358,4.7521456836,7.6713892556,8
111728,183199,214135,-4.019941968,4.8406801198,7.5756763516,9
111863,183236,214159,-4.0785661217,4.8239303616,7.6307112714,10
111938,183242,214177,-3.9804603951,4.7521456836,7.5170521979,11
112135,183258,214172,-3.9804603951,4.8801616927,7.6630143765,12
112460,183233,214155,-4.1084764042,4.7868416113,7.6283184488,13
112792,183268,214180,-4.1742790257,4.857429878,7.5589265934,14
113130,183295,214192,-4.06779842,4.8849473379,7.6785677234,15
113491,183321,214218,-4.1479579771,4.878965281399999,7.6821569573,16
113759,183349,214228,-4.0342989036,4.845465765,7.6283184488,17
113894,183318,214213,-4.115654872,4.8921258057,7.585247642000001,18
113124,183301,214218,-3.9828532177,4.9782674193,7.6486574409,19
111896,183262,214171,-4.0881374121,4.8921258057,7.5541409482,20
110891,183166,214162,-4.0881374121,4.7688954418,7.432106995600001,21
110465,183183,214154,-4.1228333398,4.961517661099999,7.668996433,22
110347,183196,214113,-4.0378881375,4.748556449700001,7.7539416353,23
110471,183183,214136,-4.0701912426,4.7784667322,7.6043902228,24
110938,183213,214120,-4.1108692268,4.8418765311,7.6486574409,25
111330,183198,214163,-4.1012979364,4.8598227006,7.5469624804,26
111546,183240,214155,-4.1060835816,4.8358944746,7.6031938115,27
111704,183213,214192,-4.140779509300001,4.7928236678,7.5780691741999995,28
111814,183251,214215,-4.0223347905999995,4.7509492723,7.6618179652,29
112087,183308,214180,-3.9804603951,4.7557349175,7.5804619967999995,30
112397,183246,214176,-4.0606199522,4.737788748,7.6115686905999995,31
112827,183269,214228,-4.1252261624,4.8358944746,7.5780691741999995,32
113137,183293,214222,-4.055834307,4.797609313,7.6893354250999995,33
113451,183322,214206,-4.2221354777,4.8634119345,7.5924261098,34
113614,183346,214244,-4.103690759,4.9328037898999995,7.5780691741999995,35
113535,183344,214250,-4.0689948312999995,4.7234318124,7.6630143765,36
112373,183284,214219,-4.001995798499999,4.8263231842,7.6091758679999995,37
111184,183207,214152,-4.1300118076,4.737788748,7.5924261098,38
110342,183180,214139,-4.0354953148999995,4.7629133853,7.651050263499999,39
110176,183167,214136,-4.1347974528,4.8646083458,7.5206414318,40
110180,183143,214100,-4.1252261624,4.7174497559,7.65703232,41
110540,183178,214156,-4.1778682596,4.8311088294,7.5326055448,42
111018,183194,214131,-4.0821553556,4.8873401605,7.5517481256,43
111346,183220,214182,-4.0893338234,4.773681087,7.597211754999999,44
111438,183195,214138,-3.9182470075,4.797609313,7.6462646183,45
111603,183166,214149,-4.0175491454,5.0344987504,7.5445696578,46
111793,183206,214150,-4.019941968,4.9363930238,7.633104094,47
112079,183278,214191,-4.1048871703,4.844269353700001,7.7300134093,48
112338,183254,214214,-4.1491543884,4.9005006848,7.501498850999999,49
112805,183269,214253,-4.1060835816,4.7688954418,7.5804619967999995,50
113151,183274,214232,-4.091726646,4.899304273499999,7.6115686905999995,51
113457,183326,214248,-4.055834307,4.8323052407,7.621139981,52
113551,183303,214175,-4.2006000743,4.8418765311,7.6462646183,53
112776,183237,214181,-4.0857445895,4.7605205627,7.6103722793,54
111499,183193,214149,-4.0809589443,4.8358944746,7.543373246500001,55
110652,183146,214126,-4.0283168471,4.8514478215,7.635496916599999,56
110384,183140,214094,-4.001995798499999,4.8634119345,7.6917282476999995,57
110325,183127,214080,-4.1012979364,4.7150569333,7.653443086099999,58
110688,183123,214087,-4.0869410008000004,4.6887358847,7.585247642000001,59
111178,183136,214115,-4.1527436223,4.7688954418,7.568497883799999,60
111535,183165,214129,-4.064209186099999,4.9328037898999995,7.6031938115,61
111742,183175,214179,-4.0654055974,4.881358104,7.621139981,62
111850,183162,214128,-4.0881374121,4.8382872972,7.6283184488,63
112121,183140,214152,-4.019941968,4.8323052407,7.5290163108999995,64
112363,183181,214156,-4.0366917262,4.9734817741,7.6307112714,65
112720,183183,214179,-4.1300118076,4.7952164904,7.6139615132000005,66
113105,183214,214179,-4.0091742663,4.8071806034,7.6522466748,67
113475,183204,214192,-3.9792639838,4.9316073786,7.637889739199999,68
113848,183237,214160,-4.0259240245,4.8586262893,7.6438717957,69
114040,183229,214212,-4.1431723319,4.8825545153,7.635496916599999,70
113485,183226,214188,-3.9816568063999997,4.9196432655999995,7.7132636511,71
112216,183151,214114,-4.1228333398,4.8311088294,7.5780691741999995,72
111245,183110,214108,-4.0606199522,4.878965281399999,7.637889739199999,73
110825,183094,214098,-4.0821553556,4.8849473379,7.6139615132000005,74
110708,183073,214062,-4.0869410008000004,4.8526442328,7.6091758679999995,75
110912,183106,214065,-3.9517465239000003,4.8969114509,7.5828548194,76
111397,183072,214099,-4.0582271296000005,4.833501652,7.695317481599999,77
111862,183087,214091,-4.0139599115,4.869393991,7.6474610296,78
112100,183113,214079,-4.055834307,4.7294138689,7.654639497399999,79
112223,183116,214102,-4.1108692268,4.9471607255,7.645068207,80
112389,183068,214089,-4.0534414844,4.7665026192,7.6055866341,81
112614,183103,214130,-4.055834307,4.713860522,7.6845497799,82
112953,183094,214114,-4.055834307,4.8885365718,7.6558359087,83
113307,183125,214122,-4.1419759206,4.9710889515,7.65703232,84
113641,183134,214105,-3.9409788222,4.8358944746,7.5900332872,85
114002,183169,214142,-4.0211383793,4.8957150396,7.584051230699999,86
