green,red,IR,acc_x,acc_y,acc_z,sample_index
28545,164791,116167,-3.0975088557,-6.1698930741,-7.0420769118,1
28549,164776,116165,-3.0831519201,-6.0155560164,-7.070790783,2
28567,164741,116175,-3.0652057506,-6.0011990808,-6.8829542089,3
28572,164731,116159,-3.1226334930000004,-5.9856457339,-7.0384876779,4
28580,164706,116134,-2.9994031291,-5.9653067418,-6.880561386299999,5
28593,164757,116152,-3.1417760738,-6.005984725999999,-7.0683979604,6
28619,164745,116138,-3.0029923629999997,-5.9772708547999995,-7.198806792099999,7
28578,164735,116147,-3.0843483314,-5.938985693199999,-7.0660051378,8
28498,164713,116144,-3.242274623,-5.8157553293,-7.0420769118,9
28410,164697,116144,-3.0508488149999997,-5.9796636774,-6.947560419099999,10
28343,164635,116117,-3.2865418411,-6.0885371056999995,-6.9918276372,11
28338,164622,116128,-3.1058837348,-5.8767723056,-7.0516482022,12
28301,164638,116111,-3.2327033326,-5.8875400073,-7.0552374361,13
28287,164657,116108,-3.0472595810999996,-5.9246287576,-7.0660051378,14
28300,164691,116157,-3.2087751066,-6.0526447667,-7.0325056214,15
28307,164686,116156,-3.1202406704,-5.9629139192,-6.976274290299999,16
28298,164694,116154,-3.1932217597,-5.9796636774,-6.9918276372,17
28307,164714,116172,-3.1800612354,-5.9114682333,-6.9547388869,18
28309,164724,116180,-3.1453653077,-6.0287165407000005,-7.0695943717,19
28313,164734,116176,-3.2039894614,-5.8145589179999995,-7.0097738067,20
28273,164750,116177,-3.2279176874,-5.856433313499999,-7.0516482022,21
28335,164766,116200,-3.2446674455999998,-6.0035919034,-7.0444697344,22
28362,164794,116205,-3.0735806297,-6.0394842424,-7.0013989275999995,23
28379,164786,116214,-3.1573294206999996,-5.9353964593,-6.9678994112,24
28420,164845,116209,-3.1848468806000003,-5.967699564399999,-6.999006104999999,25
28412,164804,116221,-3.3439695835000003,-6.005984725999999,-6.9678994112,26
28438,164824,116243,-3.2279176874,-6.0143596051,-7.0325056214,27
28456,164857,116246,-3.2350961552,-5.8133625067,-6.8183479987,28
28464,164830,116235,-3.2231320422,-6.0406806537,-6.934399894799999,29
28485,164870,116250,-3.1453653077,-5.8540404909,-6.9822563468,30
28507,164838,116247,-3.1764720014999996,-5.8899328299,-7.104290299400001,31
28505,164872,116238,-3.134597606,-5.8348979101000005,-7.022934331,32
