green,red,IR,acc_x,acc_y,acc_z,sample_index
70630,156338,196137,-1.5326028753,-7.0241307423,6.562315980499999,1
70695,156381,196128,-1.5062818266999998,-7.3064838090999995,6.4761743669,2
70760,156463,196127,-1.6139588437,-7.1246292915,6.5252272302000005,3
70741,156392,196164,-1.5840485612,-7.3256263899,6.419943035799999,4
70448,156272,196043,-1.4500504956,-7.1054867107,6.5144595285,5
70073,156189,195969,-1.4919248910999998,-7.1473611062,6.439085616600001,6
69906,156172,195970,-1.5110674719,-7.1473611062,6.4881384799,7
69823,156180,195951,-1.4512469069,-7.211967316399999,6.5288164641,8
69790,156192,195938,-1.5960126741999998,-7.1784678,6.4821564234,9
69808,156165,195960,-1.5254244074999999,-7.2430740102,6.5156559398,10
69915,156163,195933,-1.4895320685,-7.1353969932,6.5132631172,11
70003,156191,195925,-1.531406464,-7.1976103808000005,6.422335858399999,12
70040,156184,195956,-1.5421741657,-7.1162544124,6.5479590449,13
70051,156228,195959,-1.5744772707999999,-7.1593252192,6.4917277138,14
70094,156249,195998,-1.579262916,-7.130611348,6.4917277138,15
70162,156289,196003,-1.4823536007,-7.2933232848,6.4414784392,16
70216,156305,196006,-1.5397813431,-7.2047888486,6.4175502132,17
70290,156326,196013,-1.5888342063999998,-7.1641108644,6.4570317861,18
70358,156350,196040,-1.6067803759000001,-7.043273323099999,6.5551375127,19
70429,156395,196038,-1.5661023917,-7.045666145699999,6.5108702946,20
70448,156428,196013,-1.5421741657,-7.3005017526,6.4438712618,21
70487,156419,196044,-1.6235301341000001,-7.1653072757,6.3673009386,22
70551,156408,196050,-1.6319050132,-7.240681187599999,6.3864435194,23
70610,156465,196075,-1.5625131578,-7.2059852599,6.369693761200001,24
70664,156419,196034,-1.6522440053,-7.2610201797,6.5383877545,25
70612,156416,196019,-1.6546368279,-7.250252477999999,6.5694944482999995,26
70286,156297,195963,-1.4081761001,-7.202396026,6.550351867499999,27
69936,156273,195883,-1.4727823103,-7.2478596554,6.4821564234,28
69742,156156,195863,-1.5780665047,-7.125825702799999,6.5168523511,29
69632,156227,195860,-1.5625131578,-7.129414936699999,6.4414784392,30
69578,156256,195865,-1.5984054967999999,-7.183253445199999,6.4821564234,31
69620,156225,195881,-1.6426727149,-7.214360139,6.46062102,32
69742,156247,195900,-1.6043875533,-7.155735985300001,6.369693761200001,33
69882,156263,195873,-1.5804593273,-7.060023081300001,6.532405698,34
69931,156247,195904,-1.579262916,-7.2107709050999995,6.3732829951,35
69977,156263,195892,-1.5421741657,-7.252645300599999,6.3673009386,36
70035,156300,195875,-1.5349956979000001,-7.2311098972,6.4474604957,37
70070,156343,195883,-1.4560325521,-7.1437718723,6.5120667059,38
70131,156347,195927,-1.4560325521,-7.1365934045,6.46062102,39
70199,156396,195933,-1.4560325521,-7.1641108644,6.3469619465000005,40
70293,156422,195947,-1.5505490447999999,-7.1736821548,6.4773707782,41
70346,156434,195931,-1.4931213024,-7.183253445199999,6.4331035601,42
70400,156462,195959,-1.5900306177,-7.1198436463,6.3601224708,43
70478,156475,195932,-1.6546368279,-7.0995046541999995,6.472585133,44
70538,156533,195959,-1.5744772707999999,-7.2000032034000006,6.546762633599999,45
70596,156440,196026,-1.5302100526999998,-7.2335027198,6.4917277138,46
70658,156541,195982,-1.6582260617999998,-7.129414936699999,6.5072810607,47
70502,156480,195959,-1.579262916,-7.142575461000001,6.4534425522,48
70157,156417,195838,-1.5768700934,-7.110272355899999,6.4462640844,49
69929,156391,195822,-1.4524433182,-7.2035924373,6.3864435194,50
69827,156363,195784,-1.6247265454,-7.3387869142,6.419943035799999,51
69768,156391,195825,-1.5804593273,-7.2191457842,6.5132631172,52
69767,156373,195849,-1.6247265454,-7.0995046541999995,6.3457655352,53
69856,156396,195814,-1.4620146086,-7.2047888486,6.521637996299999,54
