green,red,IR,acc_x,acc_y,acc_z,sample_index
67480,196396,188838,-5.7846486355,-7.8544401845,-0.2069791549,1
67528,196445,188875,-5.9030933542,-7.858029418399999,-0.2727817764,2
67588,196487,188896,-5.9437713384,-7.8388868376,-0.2440679052,3
67670,196457,188860,-5.789434280699999,-7.860422240999999,-0.2309073809,4
67739,196491,188891,-5.996413435599999,-7.779066272600001,-0.3038884702,5
67809,196502,188920,-5.970092387,-7.886743289599999,-0.28953153460000003,6
67886,196510,188924,-5.9198431124,-7.8065837325,-0.1280160091,7
67984,196539,188937,-5.8947184750999995,-7.8341011924,-0.2237289131,8
68081,196562,188951,-5.8420763779,-7.8508509506,-0.3050848815,9
68118,196610,188954,-5.8779687169,-7.8568330071,-0.29551359110000003,10
68251,196546,189024,-5.9282179915,-7.874779176600001,-0.1304088317,11
68284,196624,189001,-5.941378515799999,-7.8987074025999995,-0.24167508259999998,12
68251,196609,188959,-5.8827543621,-7.8089765551,-0.2967100024,13
68140,196530,188927,-5.8193445632000005,-7.9310105077,-0.2440679052,14
67853,196389,188837,-5.8408799666,-7.7706913935,-0.3062812928,15
67601,196297,188789,-5.934200048,-7.915457160799999,-0.3720839143,16
67524,196304,188804,-5.7846486355,-7.8687971201,-0.1830509289,17
67470,196252,188789,-5.8468620231,-7.8652078862,-0.2177468566,18
67495,196261,188822,-5.9509498062,-7.8496545393,-0.18185451760000002,19
67545,196263,188825,-5.8791651282,-7.775477038699999,-0.20937197749999997,20
67573,196292,188829,-5.888736418600001,-7.8029944985999995,-0.1962114532,21
67630,196316,188909,-5.8241302084,-7.777869861299999,-0.25363919560000003,22
67671,196313,188875,-5.9246287576,-7.819744256799999,-0.2177468566,23
67623,196288,188892,-5.958128274,-7.9549387337,-0.2608176634,24
67649,196323,188851,-5.871986660399999,-7.8819576444,-0.39361931769999997,25
67647,196301,188876,-5.9353964593,-7.858029418399999,-0.1854437515,26
67768,196318,188873,-5.9246287576,-7.8795648218,-0.263210486,27
67754,196318,188942,-5.8947184750999995,-7.8699935314,-0.2309073809,28
67808,196338,188913,-5.8911292412,-7.8556365958,-0.311066938,29
67916,196384,188931,-5.8193445632000005,-7.746763167499999,-0.2608176634,30
67895,196371,188957,-5.8791651282,-7.858029418399999,-0.2321037922,31
67972,196394,188957,-5.873183071700001,-7.831708369799999,-0.34337004309999997,32
68023,196423,188974,-5.856433313499999,-7.8520473619,-0.2524427843,33
68067,196428,188962,-5.9437713384,-7.8436724828,-0.24167508259999998,34
68091,196466,189016,-5.941378515799999,-7.8424760715,-0.31345976059999997,35
68176,196528,188996,-5.8672010152,-7.874779176600001,-0.1974078645,36
68229,196510,189025,-5.9365928706,-7.829315547199999,-0.24885355039999998,37
68265,196445,189033,-5.8396835553,-7.8855468783,-0.3278166962,38
68318,196578,189075,-5.7954163372,-7.8077801438000005,-0.311066938,39
68373,196579,189080,-5.8516476683,-7.8173514342,-0.287138712,40
68425,196582,189102,-5.9820565,-7.8376904263,-0.2823530668,41
68543,196628,189101,-5.898307709,-7.8987074025999995,-0.2225325018,42
68527,196631,189081,-6.0693945249,-7.861618652300001,-0.2847458894,43
68443,196574,189027,-5.720042425300001,-7.7587272805,-0.3613162126,44
68240,196513,188969,-5.858826136099999,-7.8077801438000005,-0.23688943739999999,45
67892,196377,188949,-5.9162538785,-7.7874411516999995,-0.2967100024,46
67791,196283,188918,-5.8133625067,-7.9788669596999995,-0.35174492220000003,47
67527,196255,188891,-5.8839507734,-7.8352976037,-0.2165504453,48
67534,196248,188912,-5.9174502898000005,-7.7742806274,-0.3086741154,49
67457,196286,188919,-6.0023954921,-7.749155990099999,-0.1830509289,50
67431,196250,188909,-5.9102718219999995,-7.940581798099999,-0.1950150419,51
67510,196257,188950,-5.9018969429000006,-7.8652078862,-0.2967100024,52
67512,196279,188948,-5.9306108141000005,-7.7240313528,-0.2344966148,53
67485,196291,188953,-5.777470167700001,-7.861618652300001,-0.2297109696,54
67479,196306,188930,-5.8193445632000005,-7.762316514399999,-0.24885355039999998,55
67423,196259,188942,-5.967699564399999,-7.7431739336,-0.34576286570000003,56
67470,196279,188950,-5.9306108141000005,-7.816155022899999,-0.1782652837,57
67450,196317,188959,-5.8791651282,-7.819744256799999,-0.2572284295,58
67481,196328,188950,-5.9054861768,-7.927421273799999,-0.17706887240000002,59
