green,red,IR,acc_x,acc_y,acc_z,sample_index
151249,194860,256681,5.3036912929,-5.388636495199999,6.384050696799999,1
150791,194842,256675,5.4652068183999996,-5.2414779053,6.4654066652,2
150492,194830,256700,5.4927242783,-5.3563333901,6.4941205364000005,3
150288,194804,256721,5.3982077855999995,-5.3503513336,6.4319071488,4
150292,194830,256653,5.3706903257,-5.3324051641,6.5587267466,5
150475,194833,256697,5.4029934308,-5.5740802467,6.4737815442999995,6
150550,194840,256675,5.3611190353,-5.3694939144,6.4462640844,7
150749,194878,256687,5.5214381495,-5.240281494,6.4031932776,8
150786,194856,256694,5.431707302,-5.3694939144,6.479763600799999,9
151034,194836,256643,5.265406131300001,-5.5082776252,6.3936219871999995,10
151278,194872,256653,5.4161539550999995,-5.2426743166000005,6.436692794,11
151349,194818,256633,5.2833523008,-5.321637462399999,6.4893348911999995,12
151631,194903,256709,5.3694939144,-5.404189842099999,6.4175502132,13
151746,194895,256668,5.5214381495,-5.3647082692,6.4941205364000005,14
152135,194907,256711,5.3036912929,-5.444867826299999,6.435496382699999,15
152394,194959,256684,5.4400821811,-5.5166525043000005,6.3984076324000005,16
152515,194963,256675,5.3790652048,-5.359922623999999,6.412764568,17
152772,194954,256692,5.4125647212,-5.359922623999999,6.6364934811000005,18
153124,194988,256736,5.3276195189,-5.2953164138,6.4618174313,19
153274,194994,256710,5.4604211732,-5.4652068183999996,6.4319071488,20
153593,195004,256712,5.4400821811,-5.4185467777000005,6.4558353748,21
153992,194992,256721,5.3647082692,-5.2845487121,6.4271215036000005,22
153995,195038,256805,5.3587262127,-5.294120002500001,6.5228344076,23
154356,195077,256793,5.5453663755000004,-5.359922623999999,6.4079789228,24
154549,195060,256776,5.487938633100001,-5.3132625833,6.5647088031,25
154868,195074,256818,5.4939206895999995,-5.459224761900001,6.4689958991,26
155044,195140,256832,5.38385085,-5.5022955687,6.4977097703,27
155360,195110,256806,5.5106704478,-5.3503513336,6.364908116,28
155606,195120,256800,5.3407800432,-5.3180482284999995,6.4701923104,29
155825,195162,256877,5.3072805268000005,-5.5118668590999995,6.397211221099999,30
155930,195181,256907,5.484349399199999,-5.294120002500001,6.4749779556,31
155960,195133,256885,5.444867826299999,-5.3455656884,6.4654066652,32
155900,195144,256844,5.4125647212,-5.4783673427,6.317051664,33
155569,195119,256835,5.513063270399999,-5.4652068183999996,6.4749779556,34
155432,195113,256813,5.4496534715000005,-5.3694939144,6.3924255759,35
155165,195099,256783,5.4352965359,-5.3324051641,6.4701923104,36
154753,195092,256844,5.4209396003000005,-5.5082776252,6.3661045273,37
154863,195107,256840,5.5202417382,-5.407779076,6.4414784392,38
154775,195078,256857,5.444867826299999,-5.279763066899999,6.492924125099999,39
154896,195085,256791,5.407779076,-5.3228338737000005,6.3900327533,40
154812,195080,256811,5.5597233111,-5.4029934308,6.364908116,41
154957,195118,256830,5.4125647212,-5.1900322194,6.4701923104,42
