green,red,IR,acc_x,acc_y,acc_z,sample_index
76855,170497,219793,-3.6945180944,-6.8123659422000005,-5.7990055710999995,1
76643,170488,219824,-3.5712877305000004,-6.9702922337999995,-5.8229337971,2
76694,170529,219857,-3.5904303113,-6.8183479987,-5.900700531599999,3
76940,170555,219931,-3.6299118841999998,-6.9714886451,-5.898307709,4
77220,170591,219914,-3.4899317621,-6.753741788499999,-5.7726845225,5
77555,170633,219958,-3.5449666819,-6.8458654586,-5.8695938378,6
77826,170666,220033,-3.7076786186999997,-6.838686990799999,-5.9796636774,7
78091,170666,220026,-3.5676984966,-6.795616184,-5.7535419417,8
78352,170737,220050,-3.7543386594,-6.8685972733,-5.8528440796,9
78503,170748,220056,-3.6059836581999996,-6.8721865072,-5.8396835553,10
78689,170732,220064,-3.6083764808,-6.7609202563,-5.8648081926,11
78887,170821,220148,-3.5258241011,-6.7334027964,-5.8767723056,12
79058,170788,220147,-3.6203405937999995,-6.963113765999999,-5.8528440796,13
79238,170835,220161,-3.5676984966,-6.8614188055,-5.7583275869,14
79419,170869,220150,-3.6335011181000003,-6.880561386299999,-6.017948839,15
79604,170905,220169,-3.5844482548,-6.8099731195999995,-5.871986660399999,16
79754,170909,220203,-3.7339996673,-6.8877398540999994,-5.8157553293,17
79632,170869,220200,-3.6394831745999996,-6.8602223942,-5.831308676200001,18
78988,170754,220067,-3.6047872469,-6.8267228778,-5.86241537,19
78075,170661,219959,-3.7818561193,-6.7633130788999996,-5.8217373858000006,20
77195,170574,219927,-3.6323047068,-6.798009006599999,-5.7535419417,21
76520,170475,219846,-3.7016965622000004,-6.8590259828999995,-5.8217373858000006,22
76142,170485,219867,-3.8057843452999998,-6.7896341275,-5.7858450468,23
76014,170453,219812,-3.6777683362,-6.756134611099999,-5.789434280699999,24
76116,170477,219797,-3.7447673690000003,-6.839883402099999,-5.8480584344,25
76339,170514,219837,-3.5665020853000002,-6.836294168199999,-5.8672010152,26
76482,170543,219806,-3.684946804,-6.849454692499999,-5.7655060547,27
76829,170552,219873,-3.5844482548,-6.831508523,-5.934200048,28
77053,170569,219909,-3.5736805531,-6.7369920303,-5.7990055710999995,29
77221,170602,219922,-3.6634114006,-6.9667029999,-5.7152567801,30
77374,170594,219916,-3.7495530142,-6.8039910631,-5.8791651282,31
77555,170624,219902,-3.7339996673,-6.8841506202,-5.8229337971,32
77675,170636,219973,-3.7363924898999996,-6.8889362654,-5.7714881112,33
77842,170636,219906,-3.7124642639,-6.7549381998,-5.8241302084,34
77984,170647,220009,-3.6921252718,-6.9463640078,-5.8337014988,35
78100,170673,219978,-3.7663027724,-6.8027946518,-5.86241537,36
78280,170673,220017,-3.5521451497000003,-6.927221427,-5.8456656118,37
78444,170694,220049,-3.8416766843000003,-6.756134611099999,-5.812166095399999,38
78420,170700,219998,-3.7064822074,-6.741777675500001,-5.8360943214,39
77955,170604,219923,-3.6634114006,-6.7752771919,-5.7690952886,40
77098,170490,219869,-3.7770704741,-6.8147587648000005,-5.8504512570000005,41
76276,170449,219782,-3.8416766843000003,-6.753741788499999,-5.7415778287,42
75646,170342,219665,-3.6382867633,-6.8458654586,-5.7798629903,43
