green,red,IR,acc_x,acc_y,acc_z,sample_index
115624,196953,252975,3.9792639838,4.9136612091,-7.393821834000001,1
115922,197063,253021,4.0283168471,4.8598227006,-7.2969125187,2
116267,197164,253120,4.0474594279,4.7126641107,-7.3746792532,3
116528,197079,253028,4.1216369285,4.8849473379,-7.2909304621999995,4
116308,196480,252425,3.9589249917,5.0069812905,-7.3411797368,5
115460,196090,252106,4.1216369285,4.7401815706,-7.393821834000001,6
114592,196075,252125,4.0031922098,4.893322217,-7.3256263899,7
114035,196148,252226,4.0139599115,4.8969114509,-7.3686971967,8
113929,196350,252408,4.0402809601,4.8287160068,-7.3136622769,9
114148,196661,252599,4.064209186099999,4.8801616927,-7.4201428826,10
114586,196869,252791,4.1288153963,4.8945186283,-7.4333034069,11
114963,196870,252811,3.9876388629,4.8849473379,-7.3627151402,12
115307,196834,252847,3.9146577735999997,4.8179483051,-7.4081787696,13
115504,196851,252859,3.9984065645999998,4.8251267729,-7.2610201797,14
115768,196877,252881,3.8919259589,4.9280181447,-7.2227350181,15
116045,196945,252938,4.1730826144,4.9256253221,-7.446463931199999,16
116285,196924,252900,3.996013742,4.8478585876,-7.2921268735,17
116465,196849,252855,3.9338003543999998,4.961517661099999,-7.3722864306,18
116481,196812,252736,3.9026936606000002,4.8969114509,-7.459624455499999,19
116532,196881,252837,3.9984065645999998,4.7784667322,-7.3160550995,20
116700,197106,253021,4.1575292675,4.9220360882000005,-7.29810893,21
117113,197363,253176,4.0941194686,4.7234318124,-7.3088766317000005,22
117457,197507,253270,3.9756747499,4.9399822577,-7.3411797368,23
117874,197511,253298,3.9900316855,4.8741796362,-7.3746792532,24
118161,197505,253377,4.055834307,4.893322217,-7.3220371559999995,25
118462,197490,253392,4.1012979364,4.8777688701,-7.444071108599999,26
118749,197541,253412,3.9768711611999996,4.899304273499999,-7.381857721,27
119001,197582,253476,3.9505501125999998,4.8550370553999995,-7.2011996147,28
119253,197643,253495,3.9218362414,4.8071806034,-7.432106995600001,29
119509,197636,253507,4.0713876539,5.0333023391000005,-7.3866433661999995,30
119741,197722,253514,4.0654055974,4.7892344339,-7.3292156238,31
119979,197739,253555,4.0965122912,5.000999234,-7.336394091599999,32
120221,197778,253562,4.019941968,4.9351966125,-7.2514488893,33
120468,197850,253621,3.996013742,4.8251267729,-7.310073043,34
120695,197910,253663,3.8225341035,4.8981078622,-7.3280192125,35
120894,197935,253740,3.8392838617,4.8598227006,-7.286144817,36
121148,198002,253789,4.0654055974,4.8311088294,-7.2646094136,37
121355,198084,253767,4.064209186099999,4.9160540317,-7.3842505436,38
121575,198134,253842,4.0618163635,4.878965281399999,-7.319644333399999,39
121784,198184,253872,3.9278182979,4.8263231842,-7.4081787696,40
