green,red,IR,acc_x,acc_y,acc_z,sample_index
124758,213717,264734,3.8668013215999997,-9.0472622506,1.8245272325,1
123812,213560,264690,3.8428730956,-8.8486579748,1.806581063,2
122924,213557,264607,3.864408499,-8.8570328539,1.7419748528,3
122447,213520,264628,3.936193177,-8.9575314031,1.7060825138000002,4
122377,213494,264596,3.9445680561,-9.032905315,1.6486547714,5
122325,213521,264639,3.9828532177,-8.9336031771,1.615155255,6
122365,213537,264604,3.9912280968,-8.916853418899999,1.7276179172000001,7
122448,213537,264585,3.7986058774999996,-8.9922273308,1.698904046,8
122521,213557,264603,3.7974094662,-9.0281196698,1.6917255782,9
122366,213554,264568,3.8237305148,-8.9778703952,1.6893327556000002,10
122162,213531,264572,3.9134613623,-8.873782612100001,1.6797614652,11
122036,213454,264539,3.8691941442,-8.9922273308,1.6725829974,12
121994,213531,264595,3.8309089826,-8.975477572600001,1.6654045296,13
122101,213536,264581,3.8596228538,-8.9324067658,1.6965112234000002,14
122149,213554,264582,3.8500515634,-8.930013943199999,1.6103696098,15
122220,213565,264625,3.8237305148,-9.0484586619,1.6941184008,16
122302,213579,264631,3.7830525306,-9.050851484499999,1.7324035624,17
122342,213580,264660,3.8380874503999998,-9.0867438235,1.7132609816000002,18
122397,213587,264618,3.9397824109,-8.9718883387,1.7443676754000002,19
122501,213585,264579,3.7471601916,-8.8929251929,1.770688724,20
122465,213613,264631,3.7758740628,-8.9563349918,1.7012968686,21
122592,213645,264624,4.0187455567,-9.0771725331,1.746760498,22
122686,213648,264608,3.9314075318,-8.949156524,1.6199409001999998,23
122731,213663,264645,3.8297125713,-8.9898345082,1.7204394494000002,24
122786,213674,264606,3.9553357578,-8.939585233599999,1.6725829974,25
122844,213702,264641,3.8955151927999996,-8.9419780562,1.722832272,26
122907,213725,264652,3.9146577735999997,-8.9647098709,1.6510475939999998,27
122621,213687,264636,3.9816568063999997,-8.859425676499999,1.7850456596,28
121574,213574,264521,3.9074793058,-8.975477572600001,1.8472590472,29
120507,213461,264434,3.876372612,-8.872586200799999,1.7635102562,30
120060,213420,264466,3.8273197486999995,-8.9515493466,1.7132609816000002,31
120020,213419,264466,3.888336725,-8.913264185,1.8245272325,32
120062,213413,264432,3.9505501125999998,-8.913264185,1.8221344098999999,33
120180,213432,264497,3.8979080154,-8.926424709299999,1.6749758199999998,34
120348,213443,264515,3.9912280968,-9.0149591455,1.7312071511,35
120448,213464,264511,3.9720855159999995,-8.9276211206,1.7264215058999999,36
120366,213451,264454,3.7495530142,-8.944370878800001,1.6618152957,37
120232,213441,264486,3.9816568063999997,-8.970691927399999,1.7527425545,38
120161,213435,264471,3.8931223702,-8.9467637014,1.7371892076000002,39
120234,213434,264464,3.9565321691,-8.9551385805,1.770688724,40
120354,213457,264421,3.9302111204999997,-8.9587278144,1.7431712641,41
120494,213458,264494,3.8751762007000004,-8.818747692299999,1.7694923127,42
120674,213421,264449,3.8799618459,-8.9778703952,1.7300107398,43
120812,213488,264505,4.0402809601,-8.9826560404,1.6941184008,44
121007,213501,264472,3.9469608787,-8.9204426528,1.7204394494000002,45
121107,213485,264483,4.0522450731,-8.975477572600001,1.7419748528,46
121227,213510,264534,3.9206398301,-8.9635134596,1.722832272,47
121380,213522,264529,3.9445680561,-8.9826560404,1.782652837,48
121545,213542,264513,3.9864424516000003,-8.9766739839,1.7575281996999998,49
121682,213567,264511,3.8907295476,-8.930013943199999,1.7084753364,50
121822,213613,264559,3.9026936606000002,-8.9694955161,1.7300107398,51
121935,213551,264551,4.0127635002,-8.961120637,1.7443676754000002,52
122055,213590,264546,3.8823546685,-8.9060857172,1.7324035624,53
122193,213643,264568,3.9050864832,-8.8941216042,1.7754743692000001,54
122301,213643,264530,3.8536407972999998,-8.9228354754,1.6773686425999998,55
122140,213605,264530,3.912264951,-8.9515493466,1.6366906583999998,56
121139,213486,264446,3.8835510798,-8.8809610799,1.8532411037,57
120036,213357,264399,3.9720855159999995,-8.8546400313,1.7766707805,58
119616,213350,264363,3.9218362414,-9.0795653557,1.734796385,59
119649,213329,264390,3.9577285803999995,-8.9084785398,1.6845471104,60
119837,213319,264363,3.9744783386,-8.9682991048,1.8221344098999999,61
120021,213370,264370,4.0342989036,-8.8941216042,1.7407784414999998,62
120210,213369,264418,3.9672998708,-8.930013943199999,1.6462619487999999,63
120407,213391,264428,3.9493537012999997,-8.9204426528,1.7300107398,64
120458,213386,264419,3.9014972492999997,-8.9276211206,1.6941184008,65
120345,213344,264405,3.8739797894,-8.9922273308,1.7335999736999999,66
120346,213367,264385,3.9972101532999997,-8.9539421692,1.7778671918,67
120401,213330,264373,3.8859439023999998,-8.8366938618,1.7790636031,68
