green,red,IR,acc_x,acc_y,acc_z,sample_index
94305,208544,254762,-5.2606204861,2.9240292172,7.570890706399999,1
94415,208601,254750,-5.4735816975,2.9048866364,7.6055866341,2
94510,208669,254795,-5.4352965359,2.8761727652,7.6031938115,3
94536,208690,254789,-5.3503513336,2.87138712,7.708478005899999,4
94691,208656,254828,-5.6027941179,2.9479574432,7.6271220375,5
94838,208581,254740,-5.2725845991,2.7409782883,7.597211754999999,6
94890,208507,254774,-5.3300123415,3.0340990568,7.5804619967999995,7
94935,208173,254541,-5.4891350444,3.0352954681,7.4751778024,8
94884,207834,254324,-5.3407800432,3.1896325258,7.6917282476999995,9
94778,207434,254093,-5.8241302084,2.9288148624,7.5912296985,10
94411,206732,253714,-5.3551369788,3.0041887742999998,7.5888368759,11
93917,206180,253418,-5.4125647212,3.1441688964,7.542176835199999,12
93525,205361,252958,-5.2223353244999995,3.2494530908,7.8652078862,13
93134,204242,252285,-5.2019963324,2.8737799425999997,7.332804857699999,14
92854,203491,251876,-5.392225729100001,3.2518459134,7.4703921572,15
92661,203103,251706,-5.2127640341,3.1920253483999996,7.5194450205,16
92598,203181,251785,-5.4364929472,3.1501509529,7.5122665527,17
92582,202954,251626,-5.2271209697000005,3.0113672421,7.5517481256,18
92549,202740,251521,-5.344369277099999,3.0568308715,7.542176835199999,19
92514,202770,251538,-5.309673349400001,3.0580272828,7.4799634476,20
92511,202841,251641,-5.3180482284999995,3.2051858726999995,7.561319416,21
92527,202806,251611,-5.2175496793,2.8618158296000002,7.612765101899999,22
92524,202905,251709,-5.3551369788,3.0568308715,7.5816584081,23
92577,203097,251793,-5.265406131300001,3.158525832,7.633104094,24
92607,203217,251889,-5.444867826299999,3.0209385325,7.4799634476,25
92729,203148,251825,-5.292923591199999,2.9766713144,7.4991060284,26
92769,202882,251653,-5.3503513336,3.1154550251999997,7.5649086499,27
92808,202748,251444,-5.3491549223,3.1238299043,7.6235328036,28
92855,202694,251403,-5.2558348409,3.086741154,7.542176835199999,29
92921,202731,251397,-5.430510890700001,3.1010980895999998,7.556533770800001,30
93011,202759,251345,-5.6697931507,3.0819555088,7.446463931199999,31
93108,203066,251638,-5.197210687199999,2.9431717980000003,7.5242306657,32
93054,203600,252054,-5.2259245584,2.823530668,7.6618179652,33
92828,204051,252360,-5.487938633100001,2.9479574432,7.585247642000001,34
92574,204082,252377,-5.2893343573,3.0101708308,7.6414789731,35
92300,203806,252206,-5.3647082692,2.99102825,7.489534738000001,36
