green,red,IR,acc_x,acc_y,acc_z,sample_index
41162,162897,142949,7.3016981639,-3.5066815203,-5.4006006081999995,1
41200,162779,142873,7.3423761481,-3.2267212761,-5.2007999211,2
41122,162617,142850,7.2933232848,-3.3762726886,-5.2965128251,3
41059,162469,142778,7.282555583100001,-3.3068808331999997,-5.3874400839,4
40949,162278,142630,7.3531438498,-3.457628657,-5.3826544387,5
40819,162037,142553,7.1593252192,-3.445664544,-5.491527867,6
40650,161838,142427,7.0265235649,-3.3176485349,-5.515456093,7
40124,161593,142344,6.9714886451,-3.4396824875,-5.570491012800001,8
39378,161297,142208,7.0492553796,-3.5318061576,-5.525027383399999,9
38956,161073,142133,6.951149653,-3.5964123677999997,-5.4855458105,10
38842,161026,142088,6.927221427,-3.5389846254,-5.5932228275,11
38883,161017,142124,6.8470618699,-3.613162126,-5.4903314557,12
39020,161040,142162,6.9942204598,-3.6275190616,-5.582455125799999,13
39230,161091,142181,7.0767728395,-3.5126635768,-5.5501520207,14
39428,161151,142199,7.0672015491,-3.6155549486,-5.5357950851,15
39551,161207,142227,6.9655065886,-3.7351960786,-5.5214381495,16
39635,161168,142218,6.9116680801,-3.5461630932,-5.6446685134,17
39669,161188,142222,6.9056860235999995,-3.6586257553999997,-5.6853464976,18
39728,161198,142228,6.9918276372,-3.5868410774,-5.611168996999999,19
39781,161221,142232,7.0851477186,-3.6801611588,-5.4520462941,20
39862,161255,142230,6.9678994112,-3.6251262389999996,-5.6973106106,21
39941,161276,142269,7.0767728395,-3.5892339,-5.6985070219,22
39991,161300,142241,7.0576302587,-3.613162126,-5.6386864569,23
39984,161277,142222,7.0061845728000005,-3.5437702705999996,-5.5920264161999995,24
39505,161127,142222,6.8638116281,-3.6717862797,-5.6685967394,25
39033,161003,142166,6.9678994112,-3.5162528107,-5.4687960523,26
38879,161010,142125,6.9559352982,-3.5605200288,-5.575276658,27
38931,160998,142180,7.1497539288,-3.5090743428999995,-5.569294601499999,28
39084,161023,142183,6.9954168711,-3.7232319655999997,-5.5525448433,29
39290,161118,142194,6.881757797600001,-3.5724841418,-5.6446685134,30
39517,161175,142234,6.881757797600001,-3.5330025689,-5.5788658919,31
39699,161200,142236,6.9846491694,-3.7016965622000004,-5.528616617299999,32
39801,161240,142244,6.853043926400001,-3.637090352,-5.6255259326000004,33
39853,161261,142237,6.867400862,-3.6586257553999997,-5.570491012800001,34
39846,161275,142263,6.93918554,-3.6299118841999998,-5.7188460139999995,35
39941,161270,142286,7.004988161499999,-3.6095728921,-5.5848479484,36
40002,161350,142248,7.0337020327,-3.5916267225999996,-5.5621161337,37
40091,161337,142274,6.9942204598,-3.6035908356,-5.620740287399999,38
40178,161392,142278,6.9176501366,-3.6574293441,-5.6757752072,39
40213,161335,142276,7.0037917501999996,-3.5473595045,-5.6327044004,40
39865,161252,142226,6.8602223942,-3.5700913192,-5.528616617299999,41
39360,161111,142182,6.9080788462000005,-3.4983066412,-5.566901778899999,42
39158,161092,142162,7.0193450971,-3.6598221666999997,-5.6446685134,43
39195,161079,142188,6.960720943399999,-3.6382867633,-5.635097223,44
39326,161152,142167,6.9846491694,-3.5784661983,-5.6865429089,45
39539,161215,142215,6.9655065886,-3.613162126,-5.6279187552000005,46
39770,161255,142237,6.9822563468,-3.6634114006,-5.6398828682,47
39943,161288,142263,6.989434814599999,-3.4983066412,-5.6422756908,48
40027,161319,142256,6.977470701600001,-3.613162126,-5.5860443597,49
40051,161314,142266,7.0372912666,-3.6777683362,-5.5118668590999995,50
40076,161318,142249,7.060023081300001,-3.5700913192,-5.647061336,51
40116,161362,142237,6.9966132824,-3.6119657146999997,-5.6458649247,52
40203,161377,142263,6.891329088,-3.684946804,-5.6255259326000004,53
40248,161390,142270,6.8769721524,-3.5138599880999997,-5.5764730692999995,54
40318,161403,142269,6.951149653,-3.684946804,-5.551348432,55
40242,161363,142232,6.989434814599999,-3.5712877305000004,-5.5621161337,56
39753,161190,142212,6.8733829185,-3.4839497056,-5.624329521299999,57
39330,161099,142142,6.922435781799999,-3.5904303113,-5.6063833518,58
39185,161076,142144,7.004988161499999,-3.6753755136,-5.6159546422,59
39237,161085,142159,6.9236321931,-3.613162126,-5.6853464976,60
39365,161105,142174,7.0253271536,-3.601198013,-5.5310094399,61
39547,161188,142193,6.7513489659,-3.5964123677999997,-5.5920264161999995,62
39760,161211,142175,7.004988161499999,-3.6059836581999996,-5.6410792795,63
39909,161223,142214,6.948756830400001,-3.6107693033999997,-5.74277424,64
39886,161275,142215,7.0337020327,-3.6227334164,-5.6398828682,65
40064,161282,142210,6.960720943399999,-3.5377882141000003,-5.636293634299999,66
40151,161321,142241,6.9535424756,-3.5150563993999997,-5.6039905292,67
40233,161361,142250,6.927221427,-3.5437702705999996,-5.5621161337,68
40350,161405,142258,6.989434814599999,-3.6287154729,-5.6997034332,69
40443,161463,142263,6.93918554,-3.5916267225999996,-5.5800623032,70
40526,161419,142276,7.1018974768000005,-3.5377882141000003,-5.5429735529,71
40227,161307,142227,7.0672015491,-3.6681970457999995,-5.6015977066,72
39588,161115,142150,6.8123659422000005,-3.6466616424,-5.587240771,73
39209,161038,142111,6.960720943399999,-3.5832518435,-5.6614182716,74
39124,161032,142107,6.9702922337999995,-3.4899317621,-5.6063833518,75
39176,161037,142105,7.0037917501999996,-3.6658042232,-5.5860443597,76
39283,161094,142115,6.8350977569,-3.6729826909999996,-5.6159546422,77
39454,161089,142101,7.0097738067,-3.5916267225999996,-5.6183474648,78
39668,161160,142138,6.9559352982,-3.5904303113,-5.6913285541,79
39809,161179,142177,6.963113765999999,-3.7292140221,-5.5561340772,80
39888,161207,142164,6.927221427,-3.6442688197999997,-5.599204884000001,81
39924,161212,142162,6.9786671129,-3.6251262389999996,-5.6327044004,82
39977,161251,142189,6.8015982405,-3.5832518435,-5.5908300049,83
40009,161255,142194,7.004988161499999,-3.6203405937999995,-5.5142596817000005,84
40082,161269,142180,6.999006104999999,-3.6897324492,-5.6446685134,85
40169,161298,142210,6.9978096937,-3.5473595045,-5.647061336,86
40185,161298,142207,6.8327049343,-3.5784661983,-5.670989562,87
39839,161186,142119,7.1126651784999995,-3.6035908356,-5.6159546422,88
39297,161046,142077,7.0217379197000005,-3.5605200288,-5.7284173044,89
39041,161002,142081,7.0815584846999995,-3.6741791022999997,-5.6733823846,90
39012,160969,142073,6.9104716688000005,-3.3954152694,-5.6039905292,91
39119,161005,142076,6.9571317095,-3.5916267225999996,-5.6865429089,92
39289,161059,142106,6.951149653,-3.6801611588,-5.5501520207,93
39510,161160,142131,6.9690958225,-3.5988051904000002,-5.7212388366,94
39704,161159,142151,6.915257314,-3.5676984966,-5.659025449,95
39824,161204,142169,7.046862557000001,-3.5114671655,-5.716453191399999,96
39883,161210,142158,6.960720943399999,-3.649054465,-5.694917788000001,97
39940,161212,142144,6.8566331603,-3.5138599880999997,-5.7415778287,98
39997,161240,142162,6.9379891287,-3.7351960786,-5.754738353,99
40055,161241,142191,6.932007072199999,-3.5425738593,-5.6398828682,100
40148,161286,142194,6.922435781799999,-3.5581272062,-5.570491012800001,101
40208,161320,142172,7.0241307423,-3.5078779316,-5.6123654083000005,102
40299,161305,142183,6.9009003784,-3.637090352,-5.611168996999999,103
40376,161319,142191,7.0504517909,-3.6538401101999995,-5.6123654083000005,104
40225,161292,142138,6.9846491694,-3.5090743428999995,-5.647061336,105
39678,161141,142112,6.9882384033,-3.6143585373000002,-5.5800623032,106
39284,161076,142076,6.8853470315,-3.6346975294,-5.5597233111,107
39209,161063,142060,6.9116680801,-3.684946804,-5.6386864569,108
39269,161083,142101,6.9583281208,-3.5940195452,-5.6578290377,109
39396,161099,142071,6.927221427,-3.5880374887,-5.595615650099999,110
39621,161186,142154,6.9248286044,-3.6035908356,-5.678168029799999,111
39858,161213,142120,7.0743800169,-3.5868410774,-5.6542398038,112
39974,161250,142169,6.963113765999999,-3.5940195452,-5.666203916800001,113
40033,161251,142181,7.010970218,-3.6215370051,-5.575276658,114
40103,161288,142157,7.0444697344,-3.6083764808,-5.6171510535,115
40144,161363,142164,6.963113765999999,-3.5545379723,-5.6733823846,116
40209,161325,142182,6.9810599355,-3.6753755136,-5.6386864569,117
40179,161364,142162,6.975077879,-3.4971102299,-5.605186940499999,118
40354,161371,142168,6.93918554,-3.6993037396,-5.6482577473,119
40439,161411,142187,6.906882434900001,-3.6442688197999997,-5.666203916800001,120
40517,161391,142186,6.9702922337999995,-3.6729826909999996,-5.538187907699999,121
40381,161335,142166,7.0337020327,-3.5676984966,-5.6685967394,122
39896,161205,142123,6.9044896123,-3.6861432153,-5.6578290377,123
39532,161117,142073,6.9128644914,-3.5940195452,-5.6255259326000004,124
39444,161098,142075,7.0552374361,-3.613162126,-5.659025449,125
39520,161130,142073,6.9702922337999995,-3.6394831745999996,-5.6398828682,126
39654,161190,142085,7.0420769118,-3.6897324492,-5.6087761744,127
39859,161205,142116,6.9559352982,-3.6681970457999995,-5.6805608524,128
40049,161256,142127,6.9523460643,-3.5377882141000003,-5.647061336,129
40129,161269,142138,6.879364975,-3.7040893848,-5.7188460139999995,130
40189,161283,142146,6.932007072199999,-3.5988051904000002,-5.5920264161999995,131
