green,red,IR,acc_x,acc_y,acc_z,sample_index
92453,162663,197342,-3.0029923629999997,-9.1190469286,-1.6043875533,1
92503,162614,197319,-2.9838497821999996,-9.1692962032,-1.6247265454,2
92529,162686,197310,-3.0855447427,-9.1597249128,-1.5577275125999999,3
92494,162687,197291,-3.0221349438,-9.0699940653,-1.5361921092,4
92604,162664,197319,-3.0185457098999997,-9.081958178299999,-1.5744772707999999,5
92644,162642,197314,-3.1884361145,-9.0460658393,-1.6127624323999998,6
92659,162667,197283,-3.0496524037,-9.008977089,-1.6175480776,7
92727,162654,197275,-2.9862426048,-9.1011007591,-1.4871392459,8
92712,162631,197258,-2.9623143788,-9.096315113900001,-1.6414763036,9
92647,162606,197223,-3.0197421212,-9.038887371500001,-1.7072789251,10
92517,162585,197200,-3.1238299043,-8.998209387300001,-1.6941184008,11
92400,162493,197162,-2.9084758702999998,-9.2183490665,-1.6965112234000002,12
92282,162494,197134,-3.1680971224,-9.1932244292,-1.615155255,13
92191,162494,197113,-3.1405796625,-8.9958165647,-1.6713865861,14
92145,162465,197109,-3.1226334930000004,-9.0664048314,-1.6486547714,15
92111,162515,197135,-3.1250263156,-9.0771725331,-1.7216358607,16
92062,162476,197156,-3.0568308715,-9.054440718399999,-1.6654045296,17
92102,162509,197100,-3.0831519201,-9.0771725331,-1.5038890041,18
92102,162517,197118,-3.1633114771999997,-9.0352981376,-1.6689937635,19
92119,162512,197141,-3.0257241777000004,-9.1932244292,-1.6271193679999998,20
92125,162488,197151,-3.1369904286000003,-9.1980100744,-1.6725829974,21
92163,162518,197150,-3.1034909122000003,-9.038887371500001,-1.5421741657,22
92196,162487,197163,-3.1680971224,-9.0341017263,-1.7395820302,23
92243,162568,197143,-3.1118657913,-9.0879402348,-1.7252250946,24
92287,162535,197182,-3.1764720014999996,-9.1597249128,-1.6606188843999998,25
92330,162583,197171,-3.1657042998000002,-9.0891366461,-1.6342978358,26
92390,162632,197186,-3.1010980895999998,-9.152546445,-1.6175480776,27
92441,162605,197181,-3.0771698636,-9.0759761218,-1.6917255782,28
92521,162638,197167,-3.0843483314,-8.8953180155,-1.6929219895,29
92547,162590,197186,-3.1884361145,-9.0759761218,-1.5996019081000001,30
92499,162613,197185,-3.0759734523,-9.1011007591,-1.7419748528,31
92407,162551,197133,-3.1034909122000003,-9.121439751199999,-1.603191142,32
92316,162508,197121,-3.1669007111,-9.0317089037,-1.5337992866,33
92249,162516,197092,-3.0675985732,-9.1262253964,-1.5804593273,34
92151,162496,197121,-3.2733813167999997,-9.1346002755,-1.698904046,35
92099,162519,197144,-3.0137600647,-8.9503529353,-1.5960126741999998,36
92097,162542,197139,-3.1513473642000003,-8.998209387300001,-1.6534404165999999,37
92122,162513,197130,-3.2494530908,-9.068797654,-1.6534404165999999,38
92202,162554,197177,-3.1298119607999997,-9.1896351953,-1.7395820302,39
92179,162568,197207,-3.0209385325,-9.1202433399,-1.6187444889,40
92247,162553,197192,-3.0831519201,-9.0735832992,-1.6307086019,41
92247,162613,197216,-3.2039894614,-9.0867438235,-1.6701901747999999,42
92303,162618,197214,-3.1178478478000002,-9.108279226899999,-1.6342978358,43
92359,162620,197282,-3.0556344602,-9.0077806777,-1.7503497318999999,44
92418,162657,197260,-3.23031051,-9.0783689444,-1.6869399330000001,45
92486,162669,197308,-3.11066938,-9.229116768199999,-1.6378870697,46
92571,162656,197327,-3.1250263156,-9.0245304359,-1.6582260617999998,47
92629,162682,197343,-3.1322047834,-9.0628155975,-1.710868159,48
92719,162684,197354,-2.9994031291,-9.1011007591,-1.6163516663,49
92788,162693,197380,-3.0675985732,-9.0221376133,-1.6414763036,50
92832,162721,197380,-2.9503502657999996,-9.1872423727,-1.6199409001999998,51
92822,162695,197358,-2.9994031291,-9.0293160811,-1.6402798923,52
92784,162662,197365,-3.1872397032,-9.128618219,-1.710868159,53
92733,162622,197360,-3.1740791789,-9.042476605400001,-1.663011707,54
92664,162638,197374,-3.1178478478000002,-9.1357966868,-1.6199409001999998,55
92610,162651,197400,-3.170489945,-9.1346002755,-1.639083481,56
92616,162616,197359,-3.0257241777000004,-9.055637129700001,-1.639083481,57
92645,162661,197421,-3.1130622026,-9.128618219,-1.5541382787000002,58
92668,162670,197412,-3.0652057506,-9.1513500337,-1.6223337227999999,59
92703,162673,197470,-2.9730820805000002,-9.1357966868,-1.603191142,60
92753,162707,197476,-3.0771698636,-9.000602209899998,-1.5708880369,61
92786,162701,197483,-3.1968109935999998,-9.2530449942,-1.6582260617999998,62
92831,162705,197557,-3.1788648241,-9.1118684608,-1.6283157793,63
92912,162730,197620,-2.9359933301999996,-9.1369930981,-1.6295121905999999,64
92943,162744,197609,-2.9922246613000003,-9.0759761218,-1.6043875533,65
92994,162736,197651,-3.0400811133000003,-9.1381895094,-1.6366906583999998,66
93065,162796,197618,-3.0855447427,-9.140582332,-1.6534404165999999,67
93149,162792,197671,-3.0795626862,-9.1190469286,-1.5984054967999999,68
93233,162791,197687,-3.1178478478000002,-9.1106720495,-1.5756736821000001,69
93287,162801,197698,-2.9850461935,-9.164510558,-1.4727823103,70
93367,162826,197724,-2.9754749031,-9.1118684608,-1.5625131578,71
93345,162793,197704,-2.9982067177999996,-9.0891366461,-1.5828521499000001,72
93302,162756,197686,-2.9754749031,-9.081958178299999,-1.5601203352,73
93232,162734,197677,-3.0472595810999996,-9.1226361625,-1.5804593273,74
