green,red,IR,acc_x,acc_y,acc_z,sample_index
61110,160700,176048,2.7696921595,4.5643091095,8.1894353485,1
61171,160698,176115,2.7086751831999996,4.4063828179,8.1643107112,2
61216,160776,176081,2.6189443356999997,4.5367916496,8.2420774457,3
61229,160744,176088,2.6141586905,4.5535414078,8.2229348649,4
61240,160754,176105,2.7409782883,4.450650036,8.1619178886,5
61265,160730,176084,2.5172493752,4.527220359199999,8.169096356399999,6
61289,160782,176089,2.6297120374,4.5236311253,8.1451681304,7
61320,160769,176130,2.7529424013,4.5870409242,8.2325061553,8
61377,160782,176145,2.6787649007,4.4542392699,8.249255913499999,9
61387,160806,176160,2.6584259086,4.5236311253,8.2372918005,10
61456,160803,176118,2.6859433685,4.498506487999999,8.219345631,11
61478,160827,176086,2.6763720781,4.3800617693,8.1870425259,12
61511,160812,176100,2.7170500623000002,4.547559351299999,8.169096356399999,13
61536,160842,176144,2.7266213527,4.4255253987,8.249255913499999,14
61586,160835,176160,2.7086751831999996,4.582255279,8.1308111948,15
61626,160829,176153,2.7086751831999996,4.4422751569,8.2241312762,16
61649,160833,176153,2.7637101029999998,4.4841495524,8.280362607299999,17
61688,160875,176158,2.5998017549,4.5068813671,8.1188470818,18
61647,160863,176156,2.739781877,4.4913280202,8.116454259200001,19
61464,160763,176098,2.7912275628999996,4.4877387863000004,8.185846114599999,20
61261,160707,176094,2.5830519966999996,4.582255279,8.1643107112,21
61111,160721,176014,2.7409782883,4.4446679795,8.1571322434,22
61033,160655,176044,2.7050859493,4.527220359199999,8.1870425259,23
61015,160631,176077,2.5304098995,4.5511485852,8.1260255496,24
61041,160702,176044,2.8474588940000003,4.4410787456,8.1774712355,25
61101,160672,176032,2.5818555854,4.465006971599999,8.252845147399999,26
61155,160698,176060,2.5938196984,4.5176490688,8.124829138299999,27
61167,160697,176065,2.6943182475999996,4.4817567298,8.2241312762,28
61184,160727,176095,2.7577280465,4.5726839886,8.1930245824,29
61176,160675,176054,2.7672993369,4.5236311253,8.195417404999999,30
61218,160689,176055,2.6464617955999996,4.5978086259,8.1750784129,31
61244,160720,176072,2.7505495787000003,4.5487557626,8.1786676468,32
61265,160693,176044,2.7385854657,4.5284167705,8.171489179,33
61305,160762,176089,2.6608187311999996,4.5260239479,8.169096356399999,34
61350,160734,176083,2.7505495787000003,4.5152562462,8.1571322434,35
61395,160777,176118,2.7649065143000002,4.6217368519,8.195417404999999,36
61346,160774,176091,2.6847469572,4.5451665287,8.1499537756,37
61469,160765,176105,2.7218357075,4.6073799163,8.087740388,38
61498,160768,176111,2.6979074815,4.5044885445,8.1667035338,39
61508,160805,176093,2.6751756668,4.3752761241,8.2061851067,40
61555,160806,176105,2.6524438520999998,4.6037906824000006,8.1918281711,41
61586,160794,176094,2.8055844984999996,4.5296131818,8.1762748242,42
61475,160771,176097,2.7421746995999996,4.5212383027000005,8.1678999451,43
