green,red,IR,acc_x,acc_y,acc_z,sample_index
59364,158454,179541,4.4243289874,5.219942501899999,7.2717878814,1
59446,158453,179608,4.4410787456,5.132604477,7.223931429399999,2
59528,158458,179614,4.4757746733,5.1074798397,7.1868426791,3
59506,158458,179601,4.4004007614,5.1038906058,7.221538606799999,4
59518,158467,179610,4.3298124947,5.2319066149,7.2921268735,5
59575,158489,179643,4.3740797127999995,5.0620162103,7.3136622769,6
59650,158520,179652,4.4949172541,5.1625147595,7.2478596554,7
59724,158517,179639,4.415954108299999,5.14456859,7.2634130023,8
59836,158586,179658,4.3657048337,5.102694194500001,7.1617180418,9
59947,158605,179672,4.4099720518000005,5.0883372589,7.1114687672,10
60079,158614,179683,4.5738803999,5.1338008883,7.1521467514,11
60167,158634,179688,4.4398823343,5.112265484900001,7.2837519944,12
60251,158652,179712,4.3441694303,5.1266224204999995,7.2717878814,13
60324,158669,179722,4.4255253987,5.1517470578,7.252645300599999,14
60346,158655,179705,4.5379880609,4.9854458871,7.2358955424,15
60022,158578,179666,4.3680976563,5.0943193154,7.1952175581999995,16
59288,158444,179540,4.3680976563,5.1517470578,7.267002236200001,17
58760,158370,179573,4.6265224971,4.990231532299999,7.2095744938,18
58565,158352,179522,4.4099720518000005,5.169693227300001,7.166503687,19
58568,158342,179530,4.4542392699,5.1577291143,7.166503687,20
58618,158348,179533,4.4195433422,5.032105927799999,7.3280192125,21
58736,158400,179576,4.5403808835,5.1876393968,7.1569323966,22
58809,158403,179588,4.5032921331999995,5.0691946781,7.238288365000001,23
58831,158396,179587,4.5188454800999995,5.0943193154,7.2550381232,24
58826,158409,179526,4.5260239479,5.084748025,7.0779692508,25
58847,158391,179564,4.4961136654,5.1110690735999995,7.252645300599999,26
58883,158385,179605,4.534398827,5.0763731459,7.250252477999999,27
58944,158446,179611,4.3776689467,5.1601219369,7.2071816712,28
59080,158465,179632,4.4291146326,5.099104960599999,7.226324252,29
59185,158499,179606,4.4339002778,5.1493542352,7.2335027198,30
59277,158495,179620,4.354937132,4.9471607255,7.2454668328,31
59390,158518,179616,4.4937208428,5.1266224204999995,7.2550381232,32
59490,158569,179625,4.3118663252,5.213960445400001,7.2933232848,33
59560,158506,179632,4.5080777784,5.060819799,7.198806792099999,34
59627,158604,179662,4.5020957219,5.2474599618,7.214360139,35
59625,158588,179679,4.465006971599999,5.058426976400001,7.2957161074000005,36
59194,158459,179570,4.4757746733,5.1708896386,7.2693950588,37
58386,158333,179494,4.5367916496,5.060819799,7.214360139,38
57884,158252,179487,4.5044885445,5.2271209697000005,7.2466632441,39
57777,158226,179448,4.3716868902,5.2067819775999995,7.267002236200001,40
57844,158245,179429,4.5176490688,5.1469614126,7.2550381232,41
57941,158267,179468,4.4578285038,5.1074798397,7.2849484057,42
58088,158302,179478,4.4937208428,5.120640364,7.2717878814,43
58148,158297,179511,4.414757697,5.0763731459,7.1820570339,44
58180,158317,179479,4.3238304382,5.0943193154,7.278966349199999,45
58186,158326,179534,4.4099720518000005,5.1421757674,7.2191457842,46
58213,158321,179504,4.450650036,5.1876393968,7.2849484057,47
58293,158336,179528,4.3322053173,5.084748025,7.2478596554,48
58439,158372,179511,4.4434715682,5.1613183482,7.2777699379,49
58501,158393,179564,4.4207397534999995,4.9794638306,7.2191457842,50
58624,158419,179601,4.4709890281,5.036891573,7.3256263899,51
58750,158436,179554,4.390829471,5.0021956453,7.2646094136,52
58860,158463,179559,4.4350966891,5.114658307499999,7.278966349199999,53
58940,158480,179636,4.4733818507,5.1840501629,7.262216591,54
59016,158511,179621,4.5391844722,5.0656054442,7.190431913,55
59088,158561,179583,4.4135612857,5.1361937109,7.2550381232,56
58869,158496,179583,4.42672181,5.096712138,7.221538606799999,57
58147,158291,179464,4.42672181,5.0775695572,7.1641108644,58
