green,red,IR,acc_x,acc_y,acc_z,sample_index
101783,179124,206473,5.38385085,8.327022648,-1.4572289634,1
101821,179199,206443,5.3814580274,8.3126657124,-1.3938191645,2
101894,179193,206506,5.3982077855999995,8.3940216808,-1.4715858990000001,3
101971,179238,206470,5.4628139958,8.338986761000001,-1.4763715442,4
101890,179187,206458,5.3970113743,8.3042908333,-1.3399806559999998,5
101969,179215,206517,5.595615650099999,8.2743805508,-1.3411770673,6
101943,179210,206492,5.443671415,8.3712898661,-1.3998012210000002,7
102064,179215,206514,5.4628139958,8.2504523248,-1.4380863826,8
102080,179238,206560,5.4484570602,8.2707913169,-1.3411770673,9
102194,179250,206523,5.4185467777000005,8.364111398299999,-1.3435698899,10
102260,179289,206583,5.4903314557,8.3198441802,-1.4464612617,11
102360,179320,206557,5.4963135121999995,8.1391860739,-1.4739787216,12
102461,179308,206582,5.5070812139,8.3282190593,-1.3076775509,13
102531,179354,206586,5.4029934308,8.204988695399999,-1.4380863826,14
102542,179369,206566,5.5357950851,8.2157563971,-1.3531411803,15
102248,179219,206519,5.4101718986,8.3593257531,-1.3423734786,16
101860,179118,206475,5.5740802467,8.4514494232,-1.4201402131,17
101704,179117,206445,5.4807601652999995,8.3282190593,-1.4524433182,18
101648,179127,206431,5.525027383399999,8.185846114599999,-1.4715858990000001,19
101647,179119,206444,5.4699924636,8.1619178886,-1.3902299306,20
101686,179116,206448,5.4125647212,8.2767733734,-1.3710873497999998,21
101759,179139,206456,5.5369914964,8.2660056717,-1.3962119871,22
101821,179173,206483,5.459224761900001,8.2085779293,-1.4691930764,23
101864,179177,206458,5.605186940499999,8.3126657124,-1.3854442854000002,24
101853,179202,206507,5.4101718986,8.3557365192,-1.4500504956,25
101885,179186,206475,5.6913285541,8.2133635745,-1.3854442854000002,26
101929,179209,206506,5.5621161337,8.239684623099999,-1.4763715442,27
102019,179239,206520,5.4149575438,8.3401831723,-1.4476576730000001,28
102114,179230,206527,5.5501520207,8.219345631,-1.411765334,29
102200,179258,206489,5.5980084727,8.3007015994,-1.5206387623,30
102173,179323,206590,5.417350366399999,8.2863446638,-1.4536397294999999,31
102400,179317,206589,5.3168518172,8.398807326,-1.5326028753,32
102478,179343,206612,5.5310094399,8.3126657124,-1.3483555351,33
102585,179383,206654,5.5621161337,8.170292767700001,-1.3459627125,34
102647,179378,206644,5.3515477449,8.3784683339,-1.4859428346,35
102400,179285,206586,5.1349972996,8.3449688175,-1.4069796888000001,36
101928,179179,206456,5.4245288342,8.3353975271,-1.5708880369,37
101669,179183,206494,5.3862436726,8.2648092604,-1.4261222696,38
101649,179064,206485,5.4628139958,8.2839518412,-1.4428720278,39
101676,179221,206512,5.479563754,8.2061851067,-1.4261222696,40
101739,179173,206505,5.5345986738,8.262416437799999,-1.3579268255,41
101882,179239,206596,5.455635527999999,8.3114693011,-1.4524433182,42
101966,179280,206621,5.539384319,8.243273857,-1.3866406967,43
102040,179262,206609,5.3144589946,8.240881034400001,-1.3770694063,44
102025,179261,206573,5.5573304885,8.3282190593,-1.4548361408000001,45
102040,179309,206607,5.4185467777000005,8.243273857,-1.3435698899,46
102104,179274,206649,5.5190453269,8.2121671632,-1.3663017045999999,47
102177,179296,206604,5.4101718986,8.3940216808,-1.3459627125,48
102242,179335,206651,5.4412785924,8.2648092604,-1.4285150922,49
102325,179329,206665,5.430510890700001,8.271987728200001,-1.4309079148000001,50
102439,179400,206712,5.446064237599999,8.3808611565,-1.4476576730000001,51
102590,179483,206696,5.5585268998,8.2504523248,-1.3746765837,52
102602,179434,206698,5.4221360116,8.226524098799999,-1.4213366244,53
102694,179474,206733,5.4891350444,8.1870425259,-1.3686945272,54
102790,179482,206753,5.426921656799999,8.3210405915,-1.3674981159,55
102853,179514,206776,5.5010991574000005,8.243273857,-1.4524433182,56
102616,179419,206693,5.3742795596,8.3126657124,-1.4524433182,57
102032,179266,206671,5.5525448433,8.1619178886,-1.387837108,58
101691,179255,206599,5.392225729100001,8.2959159542,-1.4045868662,59
101662,179255,206609,5.4975099235,8.2480595022,-1.495514125,60
101681,179310,206650,5.3826544387,8.306683655899999,-1.459621786,61
101738,179291,206644,5.5166525043000005,8.183453292,-1.3016954943999999,62
