green,red,IR,acc_x,acc_y,acc_z,sample_index
115212,220475,250006,7.0408805005,-4.2795632201,5.0081777018,1
115134,220431,249980,7.130611348,-4.4015971727,5.0201418148,2
115067,220400,249971,7.1282185253999995,-4.353740720699999,5.02492746,3
115047,220420,249968,7.2191457842,-4.414757697,5.0033920566,4
115097,220447,249915,7.1808606226,-4.3992043501,5.0141597583,5
115179,220415,249951,7.1330041706000005,-4.2269211229,5.0763731459,6
115183,220408,249892,7.183253445199999,-4.366901245,4.9256253221,7
115214,220458,249936,7.2897340509,-4.3585263658999995,5.0919264928,8
115293,220462,249930,7.2000032034000006,-4.2221354777,5.032105927799999,9
115397,220481,249947,7.211967316399999,-4.4075792292,5.0560341538,10
115463,220457,249978,7.2191457842,-4.3525443094,5.0560341538,11
115609,220526,249982,7.1282185253999995,-4.366901245,5.044070040799999,12
115742,220490,249962,7.252645300599999,-4.4853459636999995,4.989035121000001,13
115896,220557,250011,7.2071816712,-4.353740720699999,5.1457650013,14
116078,220541,249982,7.1282185253999995,-4.366901245,5.0428736295,15
116234,220576,250068,7.2071816712,-4.3250268494999995,5.044070040799999,16
116401,220622,250037,7.0911297751,-4.4602213264,5.0512485086,17
116575,220642,250075,7.211967316399999,-4.2675991071,5.112265484900001,18
116749,220685,250089,7.1318077593,-4.3812581806,5.0033920566,19
116883,220738,250130,7.166503687,-4.42672181,5.0668018555,20
117047,220743,250098,7.2107709050999995,-4.3501514868,5.0883372589,21
117186,220763,250116,7.027719976199999,-4.3250268494999995,5.058426976400001,22
117354,220742,250134,7.307680220399999,-4.4542392699,5.0201418148,23
117452,220790,250217,7.3567330837,-4.2687955184,5.0117669357,24
117180,220711,250177,7.198806792099999,-4.3393837851,4.9483571368,25
116571,220609,250105,7.166503687,-4.415954108299999,4.9818566531999995,26
116075,220523,250012,7.1880390904,-4.4075792292,5.0141597583,27
115860,220538,250030,7.1760749774,-4.387240237099999,5.0225346374,28
115706,220538,249998,7.1162544124,-4.2687955184,5.010570524399999,29
115657,220542,250040,7.252645300599999,-4.3286160834,5.0919264928,30
115593,220530,249977,7.130611348,-4.414757697,5.0656054442,31
115563,220520,249995,7.238288365000001,-4.2723847523,5.0285166938999994,32
115613,220557,250013,7.2167529616,-4.2939201557,5.0201418148,33
115603,220517,250026,7.0660051378,-4.3920258823,5.0344987504,34
115593,220501,249957,7.2873412283,-4.3692940676,5.0620162103,35
115578,220498,249955,7.2107709050999995,-4.3645084224,4.989035121000001,36
115585,220548,249946,7.2897340509,-4.4075792292,5.010570524399999,37
115643,220508,249957,7.253841711900001,-4.3046878574,4.9842494758,38
115701,220526,249994,7.1784678,-4.2652062845000005,5.0273202826,39
115853,220567,250010,7.1497539288,-4.4949172541,5.041677218199999,40
115968,220563,250006,7.1234328802,-4.3334017286,5.0883372589,41
116095,220610,250040,7.0480589683,-4.3357945512,5.0799623797999995,42
116218,220650,249981,7.278966349199999,-4.4195433422,4.9986064114,43
116367,220636,250000,7.2059852599,-4.4171505196,5.029713105200001,44
116473,220666,250037,7.1760749774,-4.4362931003999995,4.9387858464,45
116623,220706,250095,7.1593252192,-4.2652062845000005,5.012963347,46
116752,220687,250105,7.2299134859,-4.2759739861999995,5.0380879843,47
116890,220730,250046,7.1641108644,-4.378865358,5.0763731459,48
117012,220752,250075,7.1808606226,-4.3118663252,5.0835516137,49
117144,220757,250134,7.154539573999999,-4.3728833015,5.0931229041,50
117122,220695,250128,7.1162544124,-4.3812581806,5.0907300815,51
116651,220645,250063,7.087540541199999,-4.3716868902,5.012963347,52
116039,220535,250023,7.253841711900001,-4.3022950348,5.0488556860000005,53
115632,220452,249980,7.170092920899999,-4.2963129783,5.0356951617,54
115430,220454,249907,7.196413969499999,-4.2855452766,5.0464628634,55
115316,220395,249861,7.1533431627,-4.2879380992,5.155336291699999,56
115259,220404,249934,7.183253445199999,-4.387240237099999,5.0225346374,57
115210,220407,249886,7.2454668328,-4.2795632201,4.9603212498,58
115225,220399,249874,7.2969125187,-4.4614177377,5.0943193154,59
115179,220408,249844,7.2562345345,-4.4685962055,4.9579284272,60
115108,220376,249809,7.1808606226,-4.2436708811,5.0057848792,61
115043,220395,249845,7.1928247355999995,-4.2915273330999995,5.02492746,62
115030,220411,249894,7.2705914701,-4.2843488653,5.0620162103,63
115045,220393,249860,7.2837519944,-4.3884366484,4.9603212498,64
115073,220429,249861,7.1928247355999995,-4.271188340999999,5.0344987504,65
