green,red,IR,acc_x,acc_y,acc_z,sample_index
120477,189345,263238,4.3250268494999995,-1.3328021881999998,8.6428752312,1
120687,189273,263296,4.2807596314,-1.220339526,8.7230347883,2
120845,189328,263282,4.3118663252,-1.2777672683999999,8.697910151,3
120914,189321,263259,4.4051864066,-1.2921242039999998,8.8031943454,4
120562,189242,263267,4.3345981399,-1.2358928729,8.7146599092,5
119889,189303,263227,4.1970108404,-1.220339526,8.7242311996,6
119222,189267,263198,4.4135612857,-1.3998012210000002,8.7302132561,7
118743,189232,263178,4.3968115275,-1.2287144051,8.7469630143,8
118392,189250,263134,4.402793583999999,-1.3387842447,8.7278204335,9
118259,189263,263108,4.1479579771,-1.2741780345,8.7541414821,10
118241,189212,263082,4.3393837851,-1.3471591237999998,8.6572321668,11
118328,189216,263097,4.2843488653,-1.1736794853,8.673981925,12
118505,189191,263094,4.4542392699,-1.2526426310999998,8.694320917099999,13
118602,189152,263131,4.3609191885,-1.3531411803,8.7003029736,14
118651,189244,263136,4.2699919297,-1.2753744458,8.662017812,15
118661,189166,263198,4.3704904789,-1.3447663012,8.640482408599999,16
118696,189224,263151,4.3453658416,-1.2215359373,8.7900338211,17
118768,189240,263144,4.3561335433,-1.2346964616,8.7254276109,18
118917,189240,263155,4.2305103568,-1.3615160593999998,8.636893174699999,19
119066,189241,263184,4.259224228,-1.3316057769,8.673981925,20
119253,189259,263141,4.258027816699999,-1.3112667848,8.6835532154,21
119441,189256,263210,4.2783668087999995,-1.3782658175999998,8.6883388606,22
119635,189251,263163,4.3573299546,-1.3890335193,8.707481441399999,23
119837,189281,263120,4.2759739861999995,-1.4739787216,8.5998044244,24
120026,189303,263164,4.2783668087999995,-1.3351950108,8.6572321668,25
120207,189276,263199,4.4243289874,-1.2669995667,8.7876409985,26
120366,189326,263225,4.4374895117,-1.2705888006,8.818747692299999,27
120146,189375,263208,4.223331889,-1.2358928729,8.6225362391,28
119526,189278,263199,4.2963129783,-1.2813565023,8.6715891024,29
118832,189301,263131,4.4135612857,-1.2897313814,8.6213398278,30
118261,189244,263118,4.3752761241,-1.3375878334,8.720641965699999,31
117836,189204,263141,4.2640098732,-1.3722837611,8.7062850301,32
117763,189221,263072,4.3345981399,-1.2993026717999998,8.7110706753,33
117744,189208,263062,4.1814574935,-1.4333007374,8.626125473,34
117865,189160,263079,4.3465622529,-1.387837108,8.7290168448,35
118032,189222,263112,4.3010986235,-1.2945170266,8.7541414821,36
118100,189193,263080,4.2664026958,-1.2358928729,8.7314096674,37
118159,189195,263073,4.3944187049,-1.2921242039999998,8.7003029736,38
118124,189272,263102,4.2867416879,-1.4165509792000002,8.6691962798,39
118095,189172,263056,4.1671005579,-1.4165509792000002,8.6883388606,40
118080,189192,263085,4.271188340999999,-1.3686945272,8.739784546500001,41
118222,189181,263081,4.2460637037,-1.3627124707,8.717052731799999,42
118355,189213,263113,4.2329031794,-1.4189438018,8.6201434165,43
118511,189206,263069,4.3082770913,-1.3830514628000001,8.6596249894,44
118678,189206,263085,4.2484565263,-1.3064811396,8.6572321668,45
118853,189220,263108,4.2281175342,-1.3375878334,8.707481441399999,46
118993,189220,263081,4.2616170506,-1.3112667848,8.6835532154,47
119140,189243,263048,4.2305103568,-1.3004990831,8.6919280945,48
119289,189214,263065,4.3645084224,-1.2873385588,8.685946038,49
119292,189244,263115,4.5415772948,-1.2957134379000002,8.7720876516,50
118778,189265,263088,4.3226340269,-1.2514462198,8.7290168448,51
117972,189192,263046,4.1742790257,-1.2598210989,8.6931245058,52
117166,189155,263018,4.2568314054,-1.2825529136,8.7122670866,53
116645,189139,262978,4.2364924133,-1.220339526,8.673981925,54
116327,189054,262906,4.3381873738,-1.3531411803,8.7768732968,55
