green,red,IR,acc_x,acc_y,acc_z,sample_index
97922,165205,209626,-8.5758761984,-0.7956135145,-5.1014977832,1
98022,165164,209635,-8.4406817215,-0.7872386353999999,-5.072783911999999,2
97985,165193,209601,-8.5196448673,-0.8697910151,-5.0632126216,3
97798,165164,209611,-8.4610207136,-0.7633104094,-5.0093741131,4
97505,165134,209622,-8.4562350684,-0.8207381518,-5.0656054442,5
97081,165104,209660,-8.417949906799999,-0.8410771438999999,-5.0632126216,6
96683,165110,209613,-8.5088771656,-0.7142575461,-5.0033920566,7
96471,165142,209676,-8.4358960763,-0.8422735552,-5.060819799,8
96290,165101,209645,-8.5040915204,-0.7381857721,-5.010570524399999,9
96208,165043,209620,-8.5483587385,-0.7920242806,-5.02492746,10
96072,165101,209652,-8.470592004,-0.7310073043,-5.1014977832,11
96073,165020,209646,-8.4143606729,-0.7944171031999999,-5.036891573,12
95955,165077,209616,-8.590233134,-0.8542376682,-5.0488556860000005,13
95917,165086,209638,-8.4023965599,-0.7716852885,-5.0189454035,14
95996,165066,209635,-8.347361640099999,-0.9020941202,-5.0775695572,15
95999,165062,209619,-8.6823568041,-0.7465606512,-5.0488556860000005,16
96052,165043,209574,-8.530412569000001,-0.7393821834000001,-4.990231532299999,17
96080,165035,209622,-8.303094422,-0.765703232,-5.0404808069,18
96063,165065,209661,-8.525626923799999,-0.8685946038000001,-4.9375894351,19
96093,164963,209637,-8.4693955927,-0.7118647235000001,-5.0177489922000005,20
96132,165027,209672,-8.4897345848,-0.7441678286,-4.9854458871,21
96163,165039,209621,-8.4873417622,-0.8638089586000001,-5.041677218199999,22
96302,164972,209622,-8.596215190499999,-0.7680960546,-5.0273202826,23
96270,165022,209647,-8.4299140198,-0.7369893608,-5.0225346374,24
96357,165020,209627,-8.4777704718,-0.7453642399,-5.0344987504,25
95958,164991,209666,-8.3892360356,-0.8350950873999999,-4.9986064114,26
95529,164964,209571,-8.556733617599999,-0.6544369810999999,-5.0751767346,27
95121,164934,209635,-8.4777704718,-0.7645068207,-5.060819799,28
94710,164965,209609,-8.4442709554,-0.765703232,-4.9974100001,29
94572,164954,209605,-8.3832539791,-0.7274180704000001,-5.0057848792,30
94453,164953,209628,-8.3724862774,-0.6400800455,-4.9399822577,31
94530,164954,209622,-8.5016986978,-0.6352944003,-4.9974100001,32
94563,164963,209650,-8.458627890999999,-0.8183453291999999,-5.0560341538,33
94533,164939,209651,-8.583054666199999,-0.8159525066,-5.0596233877,34
94488,164924,209611,-8.3234334141,-0.8111668613999999,-5.0428736295,35
94479,164935,209636,-8.518448456,-0.7453642399,-5.1170511301,36
94541,164914,209623,-8.3234334141,-0.8039883936,-5.0883372589,37
94636,164947,209649,-8.4729848266,-0.7046862557000001,-5.0919264928,38
94636,164940,209652,-8.4670027701,-0.8231309743999999,-4.9986064114,39
94853,164935,209690,-8.4287176085,-0.6855436748999999,-5.1194439527,40
94962,164933,209677,-8.530412569000001,-0.849452023,-5.0153561695999995,41
94980,164933,209676,-8.3593257531,-0.7561319416,-5.0273202826,42
95076,164956,209698,-8.5866439001,-0.8207381518,-4.995017177499999,43
95093,164938,209689,-8.4323068424,-0.7645068207,-5.029713105200001,44
95173,164950,209717,-8.4323068424,-0.7034898444000001,-5.058426976400001,45
95333,164953,209667,-8.4873417622,-0.8949156524,-5.1062834284,46
95391,164956,209702,-8.3569329305,-0.8721838377000001,-5.058426976400001,47
95472,164922,209709,-8.4287176085,-0.6735795618999999,-5.072783911999999,48
95320,164912,209731,-8.3258262367,-0.8350950873999999,-5.0344987504,49
94974,164914,209722,-8.4921274074,-0.7262216591,-5.070391089399999,50
94711,164879,209717,-8.596215190499999,-0.7393821834000001,-5.1744788725,51
94490,164894,209696,-8.3880396243,-0.8315058535,-5.0823552024,52
94255,164848,209712,-8.4155570842,-0.7704888772,-4.9830530645,53
94164,164860,209706,-8.3533436966,-0.765703232,-4.9639104837,54
94239,164837,209731,-8.398807326,-0.8338986760999999,-5.0344987504,55
94275,164828,209738,-8.445467366699999,-0.7716852885,-5.0775695572,56
94413,164788,209733,-8.4131642616,-0.8781658942,-5.197210687199999,57
94474,164807,209724,-8.5507515611,-0.7489534738,-4.9746781854,58
94395,164804,209722,-8.4263247859,-0.765703232,-5.0081777018,59
94426,164819,209721,-8.5603228515,-0.7633104094,-5.1421757674,60
94486,164827,209748,-8.578269021,-0.7968099258,-4.9328037898999995,61
94629,164826,209748,-8.4658063588,-0.7166503687,-5.0751767346,62
94471,164794,209730,-8.446663778,-0.7800601676,-5.0620162103,63
94362,164825,209763,-8.4311104311,-0.7477570625,-5.087140847600001,64
94307,164765,209754,-8.3294154706,-0.7920242806,-5.073980323300001,65
94481,164819,209748,-8.3808611565,-0.789631458,-5.0512485086,66
94467,164817,209774,-8.4335032537,-0.6795616184,-4.9962135888,67
94743,164816,209776,-8.463413536200001,-0.7202396026000001,-5.0021956453,68
94603,164768,209803,-8.3940216808,-0.7489534738,-5.087140847600001,69
94680,164799,209784,-8.538787448099999,-0.8626125473,-5.070391089399999,70
94792,164796,209825,-8.4442709554,-0.9008977089,-5.0273202826,71
94944,164784,209808,-8.4490566006,-0.8219345630999999,-4.9567320159,72
94990,164773,209801,-8.3126657124,-0.7393821834000001,-4.9734817741,73
95133,164811,209823,-8.3928252695,-0.7274180704000001,-5.0632126216,74
95170,164778,209817,-8.4167534955,-0.8769694829,-4.9746781854,75
95309,164756,209844,-8.445467366699999,-0.7752745223999999,-5.0799623797999995,76
95582,164779,209838,-8.4646099475,-0.9236295236,-5.0464628634,77
95659,164701,209869,-8.516055633399999,-0.7465606512,-4.9375894351,78
95604,164773,209839,-8.4610207136,-0.7824529901999999,-5.0177489922000005,79
95878,164695,209813,-8.5411802707,-0.8374879099999999,-5.0512485086,80
95859,164785,209853,-8.4299140198,-0.8805587168,-5.1110690735999995,81
96002,164799,209859,-8.4143606729,-0.8231309743999999,-5.0464628634,82
96092,164784,209836,-8.4574314797,-0.7920242806,-4.9974100001,83
96285,164802,209830,-8.49452023,-0.7609175868,-5.0344987504,84
96391,164709,209843,-8.4538422458,-0.9032905315,-5.072783911999999,85
96416,164808,209838,-8.4287176085,-0.7345965382,-4.9842494758,86
96463,164790,209876,-8.5028951091,-0.7812565789,-4.977071008,87
96610,164788,209871,-8.5866439001,-0.753739119,-5.0895336702,88
96702,164814,209873,-8.458627890999999,-0.7668996433,-5.029713105200001,89
96834,164853,209855,-8.4155570842,-0.7334001269,-4.9974100001,90
96870,164795,209829,-8.446663778,-0.8255237969999999,-5.0883372589,91
97111,164845,209848,-8.4993058752,-0.8434699665000001,-5.099104960599999,92
97195,164839,209883,-8.4777704718,-0.7920242806,-5.0536413312,93
97070,164800,209866,-8.5268233351,-0.8745766603,-4.9914279436,94
97296,164821,209885,-8.4167534955,-0.7944171031999999,-4.9543391933,95
97142,164790,209834,-8.404789382499999,-0.7070790783,-5.14456859,96
96972,164788,209870,-8.2923267203,-0.6759723845,-4.9842494758,97
96584,164754,209864,-8.4370924876,-0.8458627891,-5.0560341538,98
96369,164743,209901,-8.3497544627,-0.7094719009,-5.1014977832,99
96026,164777,209904,-8.4430745441,-0.777667345,-5.0943193154,100
95868,164768,209883,-8.4801632944,-0.981057266,-5.0644090329,101
95604,164768,209892,-8.3784683339,-0.8350950873999999,-4.9375894351,102
95663,164796,209871,-8.4777704718,-0.7561319416,-5.029713105200001,103
95646,164751,209875,-8.4873417622,-0.7645068207,-5.036891573,104
95618,164762,209895,-8.4323068424,-0.789631458,-5.0225346374,105
95661,164764,209874,-8.404789382499999,-0.7956135145,-5.0021956453,106
95667,164758,209880,-8.4299140198,-0.7561319416,-5.0548377425,107
95670,164751,209907,-8.5495551498,-0.7597211755,-5.072783911999999,108
95548,164769,209918,-8.5112699882,-0.8398807326,-5.0536413312,109
95669,164767,209931,-8.445467366699999,-0.8135596839999999,-4.9938207662,110
95780,164740,209896,-8.4358960763,-0.7944171031999999,-5.0392843956,111
95770,164741,209901,-8.4023965599,-0.8757730716000001,-5.0787659685,112
95887,164797,209938,-8.5399838594,-0.8841479507000001,-5.0799623797999995,113
96020,164765,209964,-8.4000037373,-0.8985048863,-5.0201418148,114
96023,164775,209932,-8.4490566006,-0.7585247642,-5.1230331866,115
96097,164785,209906,-8.404789382499999,-0.7728816998,-5.041677218199999,116
96130,164812,209941,-8.364111398299999,-0.7489534738,-5.041677218199999,117
96037,164757,209962,-8.5495551498,-0.8219345630999999,-5.0213382261,118
95955,164730,209943,-8.4442709554,-0.7764709337,-5.0237310487,119
95525,164730,209931,-8.5076807543,-0.6927221427000001,-5.0464628634,120
95074,164726,209946,-8.4119678503,-0.777667345,-5.02492746,121
94884,164627,209950,-8.3880396243,-0.7202396026000001,-5.0536413312,122
94647,164712,209998,-8.4323068424,-0.7716852885,-5.0632126216,123
94477,164714,209950,-8.4418781328,-0.8135596839999999,-4.9878387097,124
94495,164724,210006,-8.4012001486,-0.6245266986,-5.0069812905,125
94533,164720,210016,-8.463413536200001,-0.7322037156,-5.070391089399999,126
94537,164716,209998,-8.4143606729,-0.765703232,-5.0189454035,127
94621,164700,210023,-8.434699665,-0.8207381518,-4.9686961289000005,128
94543,164702,209993,-8.484948939599999,-0.8123632727,-4.9806602419,129
94575,164697,210030,-8.4693955927,-0.7716852885,-5.036891573,130
94505,164708,210052,-8.4526458345,-0.849452023,-5.1254260092,131
94391,164695,210011,-8.4131642616,-0.8207381518,-5.0057848792,132
94447,164734,210031,-8.5280197464,-0.8051848049,-5.120640364,133
94259,164722,210062,-8.5591264402,-0.7250252478,-5.058426976400001,134
94232,164682,210090,-8.3832539791,-0.7166503687,-5.1230331866,135
94449,164732,210064,-8.3976109147,-0.7166503687,-5.0273202826,136
94529,164738,210127,-8.3832539791,-0.8470592004,-4.9974100001,137
94551,164706,210084,-8.4035929712,-0.8159525066,-4.9543391933,138
94659,164721,210097,-8.482556117,-0.6520441585,-5.1361937109,139
94697,164705,210085,-8.3760755113,-0.8685946038000001,-5.0285166938999994,140
94802,164705,210113,-8.484948939599999,-0.6520441585,-5.1158547188000005,141
94707,164696,210175,-8.5806618436,-0.8566304908000001,-5.060819799,142
94848,164706,210115,-8.4969130526,-0.8279166196,-5.2271209697000005,143
94982,164692,210159,-8.3940216808,-0.7633104094,-5.099104960599999,144
95087,164714,210166,-8.482556117,-0.7740781111,-5.029713105200001,145
95092,164717,210145,-8.2875410751,-0.7381857721,-5.1349972996,146
95241,164732,210170,-8.3210405915,-0.7848458128,-5.0464628634,147
95354,164720,210199,-8.463413536200001,-0.7549355303,-5.0488556860000005,148
95300,164718,210196,-8.4430745441,-0.7202396026000001,-5.1134618962,149
95491,164699,210177,-8.516055633399999,-0.8327022648,-5.0021956453,150
95645,164745,210165,-8.4000037373,-0.7022934331,-5.026123871299999,151
95676,164696,210196,-8.3186477689,-0.789631458,-5.0668018555,152
95818,164742,210152,-8.4478601893,-0.9152546444999999,-5.0285166938999994,153
95886,164692,210205,-8.516055633399999,-0.7549355303,-5.1110690735999995,154
96023,164678,210170,-8.49452023,-0.8877371846000001,-5.026123871299999,155
96097,164745,210202,-8.391628858199999,-0.6759723845,-5.1421757674,156
96165,164714,210193,-8.5232341012,-0.7214360139,-5.044070040799999,157
96247,164722,210227,-8.4909309961,-0.7310073043,-4.9722853628,158
96347,164707,210236,-8.4550386571,-0.7788637562999999,-5.0333023391000005,159
96164,164699,210241,-8.5076807543,-0.7585247642,-5.070391089399999,160
95946,164690,210225,-8.5555372063,-0.741775006,-5.058426976400001,161
95669,164697,210222,-8.6428752312,-0.8398807326,-5.0955157266999995,162
95186,164690,210226,-8.482556117,-0.8303094421999999,-5.1110690735999995,163
95074,164639,210256,-8.4909309961,-0.8063812161999999,-5.1014977832,164
94800,164592,210264,-8.391628858199999,-0.7082754896000001,-4.9962135888,165
94970,164613,210286,-8.4071822051,-0.7968099258,-5.0464628634,166
94864,164626,210303,-8.5124663995,-0.7633104094,-5.1266224204999995,167
95081,164632,210297,-8.4299140198,-0.7118647235000001,-5.070391089399999,168
95071,164661,210317,-8.4442709554,-0.7345965382,-5.057230565099999,169
95046,164655,210351,-8.6153577713,-0.6927221427000001,-4.9962135888,170
94941,164598,210322,-8.4023965599,-0.71784678,-5.099104960599999,171
95035,164644,210345,-8.427521197199999,-0.7465606512,-5.0141597583,172
95146,164650,210379,-8.566304908,-0.7920242806,-5.026123871299999,173
95297,164661,210368,-8.463413536200001,-0.6999006105000001,-5.026123871299999,174
95296,164645,210384,-8.459824302300001,-0.7034898444000001,-4.9854458871,175
95257,164629,210430,-8.4777704718,-0.8673981925,-5.120640364,176
94975,164631,210421,-8.475377649199999,-0.7968099258,-4.9878387097,177
94640,164626,210436,-8.4885381735,-0.8638089586000001,-5.0751767346,178
94424,164587,210405,-8.5016986978,-0.7704888772,-5.0380879843,179
94266,164563,210455,-8.551947972399999,-0.7728816998,-5.0488556860000005,180
94203,164586,210483,-8.3748791,-0.9355936366,-5.010570524399999,181
94304,164551,210487,-8.3712898661,-0.6472585133,-5.0045884679,182
94368,164551,210513,-8.4203427294,-0.765703232,-5.0488556860000005,183
94486,164530,210523,-8.4287176085,-0.7274180704000001,-5.1158547188000005,184
94424,164562,210529,-8.446663778,-0.8422735552,-5.0069812905,185
94529,164577,210544,-8.4370924876,-0.7441678286,-5.0344987504,186
94580,164595,210568,-8.484948939599999,-0.8482556117000001,-5.1086762509999994,187
94756,164579,210580,-8.4777704718,-0.8327022648,-5.0799623797999995,188
94768,164572,210561,-8.3808611565,-0.7800601676,-5.0799623797999995,189
94672,164528,210638,-8.404789382499999,-0.7369893608,-5.1062834284,190
94881,164579,210638,-8.3018980107,-0.7118647235000001,-5.1302116544,191
94912,164564,210645,-8.4538422458,-0.7226324252,-5.026123871299999,192
95062,164616,210635,-8.5818582549,-0.7752745223999999,-5.0093741131,193
95104,164590,210696,-8.3820575678,-0.7393821834000001,-5.0512485086,194
95232,164592,210682,-8.4562350684,-0.801595571,-5.1062834284,195
95380,164602,210709,-8.3186477689,-0.7393821834000001,-4.9854458871,196
