green,red,IR,acc_x,acc_y,acc_z,sample_index
78282,203993,236818,2.4394826406999996,5.0919264928,-7.8819576444,1
77394,203855,236690,2.4059831243,5.2007999211,-7.8640114749,2
76609,203705,236606,2.4873390927,5.197210687199999,-7.9011002251999995,3
76084,203579,236529,2.2600209457,5.0488556860000005,-7.858029418399999,4
75689,203461,236411,2.5076780847999998,5.058426976400001,-7.8065837325,5
75523,203381,236369,2.4071795356,5.192425042,-7.8305119585,6
75694,203421,236400,2.3784656644,5.0165525809,-7.8305119585,7
76028,203508,236449,2.5351955446999996,5.2247281471,-7.8915289348,8
76202,203568,236538,2.4693929232,5.1541398804,-7.920242806,9
76267,203641,236585,2.3258235672,5.1014977832,-7.7826555065,10
76360,203716,236680,2.4203400599,5.2534420183,-7.9011002251999995,11
76502,203781,236679,2.3605194949,5.2534420183,-7.764709337,12
76642,203859,236766,2.5639094158999995,5.0213382261,-7.968099258,13
76836,203903,236789,2.344966148,5.1014977832,-7.7970124421,14
77022,203993,236780,2.4861426814,5.058426976400001,-7.749155990099999,15
77187,204008,236868,2.4394826406999996,5.0691946781,-7.8209406681,16
77359,204064,236833,2.5411776012,5.2438707279,-7.896314579999999,17
77549,204123,236935,2.4454646972,5.0679982668,-7.8687971201,18
77727,204158,236977,2.4969103831,5.0823552024,-7.8592258297,19
77899,204281,237039,2.4131615921,5.1050870171,-7.8640114749,20
78042,204357,237063,2.4981067944,5.2019963324,-7.9824561936,21
78158,204371,237094,2.4634108667000003,5.248656373099999,-7.8149586116,22
78283,204401,237074,2.368894374,5.2247281471,-7.858029418399999,23
78445,204453,237113,2.4119651808,5.2019963324,-7.8915289348,24
78618,204516,237148,2.6021945774999997,5.1732824612,-7.8257263133,25
78794,204543,237181,2.5830519966999996,5.2211389132,-7.920242806,26
78980,204574,237228,2.5160529638999996,5.1601219369,-7.8532437732,27
79126,204644,237264,2.4789642136,5.1637111708,-7.8544401845,28
79169,204714,237315,2.4789642136,5.1266224204999995,-7.9106715156,29
78694,204641,237233,2.5543381254999997,5.2677989539,-7.872386354,30
77755,204458,237072,2.6165515131,5.1768716951,-7.8819576444,31
77046,204388,237051,2.368894374,5.139782944799999,-7.7718878047999995,32
76568,204229,236960,2.4634108667000003,5.1014977832,-7.968099258,33
76150,204139,236899,2.4741785684,5.182853751600001,-7.7862447404,34
75949,204045,236825,2.3497517932000003,5.152943469099999,-7.7682985709,35
76087,204060,236812,2.4681965119,5.139782944799999,-7.9489566772,36
76451,204141,236936,2.4358934068,5.309673349400001,-7.896314579999999,37
76696,204185,236933,2.3509482045,5.168496815999999,-7.896314579999999,38
76778,204258,236938,2.464607278,5.0823552024,-7.7922267969000005,39
76934,204185,236983,2.4969103831,5.0644090329,-7.968099258,40
77039,204214,237022,2.4837498588,5.139782944799999,-7.8807612331,41
77195,204280,236983,2.4490539311,5.1960142759,-7.872386354,42
77383,204343,237034,2.3425733254,5.180460929,-7.8352976037,43
77603,204369,237037,2.5064816735,5.120640364,-7.915457160799999,44
77774,204440,237109,2.3976082452,5.156532702999999,-7.8388868376,45
77966,204514,237128,2.3545374384,5.1254260092,-7.8687971201,46
78152,204553,237159,2.5304098995,5.1673004047,-7.872386354,47
78333,204561,237191,2.3557338497,5.2630133087,-7.800601675999999,48
78496,204640,237235,2.4251257050999997,5.2055855663,-7.848458128,49
78672,204637,237276,2.5543381254999997,5.1864429855,-7.9345997416,50
78829,204707,237267,2.5304098995,5.2019963324,-7.8149586116,51
79014,204774,237331,2.5148565526000004,5.0691946781,-7.8233334907000005,52
79122,204846,237337,2.3593230836,5.1625147595,-7.9393853868,53
79263,204705,237356,2.4681965119,5.1302116544,-7.9489566772,54
79400,204714,237431,2.4358934068,5.1110690735999995,-7.8101729664,55
79553,204774,237464,2.5292134882000004,5.152943469099999,-7.9298140964,56
79728,204797,237471,2.4741785684,5.239085082699999,-7.8352976037,57
79895,204900,237507,2.4933211492,5.1589255256,-7.848458128,58
80012,204897,237487,2.4119651808,5.1062834284,-7.8496545393,59
79953,204925,237473,2.3796620756999998,5.2247281471,-7.873582765299999,60
79273,204819,237470,2.4993032057,5.335994398,-7.8352976037,61
78281,204656,237274,2.4610180441000002,5.114658307499999,-7.953742322399999,62
77563,204523,237205,2.3784656644,5.1577291143,-7.8388868376,63
77067,204372,237163,2.3832513096,5.240281494,-7.7826555065,64
76707,204311,237092,2.4681965119,5.2115676228000005,-7.7814590952,65
76599,204214,236974,2.5651058272,5.152943469099999,-7.8113693777,66
76832,204255,237049,2.488535504,5.120640364,-7.886743289599999,67
77196,204303,237107,2.4227328825,5.139782944799999,-7.8496545393,68
77380,204325,237107,2.4119651808,5.181657340299999,-7.848458128,69
77451,204433,237140,2.4969103831,5.1625147595,-7.980063371,70
77610,204410,237163,2.4777678023000003,5.140979356100001,-7.9058858704,71
77739,204400,237145,2.3928226,5.087140847600001,-7.8544401845,72
77895,204418,237132,2.5256242543,5.2019963324,-7.7252277641000004,73
78061,204526,237186,2.5363919559999997,5.240281494,-7.968099258,74
78264,204538,237226,2.5459632464,5.139782944799999,-7.896314579999999,75
78464,204565,237273,2.4837498588,5.1433721787,-7.8771719992,76
78639,204593,237256,2.4729821571,5.0919264928,-7.848458128,77
78833,204692,237277,2.6165515131,5.0919264928,-7.9393853868,78
78989,204681,237313,2.297109696,5.1912286306999995,-7.920242806,79
79116,204739,237360,2.4933211492,5.2019963324,-7.9525459111,80
79263,204730,237354,2.4741785684,5.2067819775999995,-7.858029418399999,81
79430,204775,237380,2.5698914723999997,5.0979085493,-7.858029418399999,82
79519,204770,237338,2.4454646972,5.306084115499999,-7.829315547199999,83
79584,204799,237413,2.3928226,5.3383872206000005,-7.886743289599999,84
79700,204839,237370,2.5256242543,5.2438707279,-7.7874411516999995,85
79837,204856,237383,2.3365912689,5.197210687199999,-7.8436724828,86
79970,204854,237396,2.4370898181,5.1349972996,-7.873582765299999,87
80121,204912,237444,2.4263221164,5.1014977832,-7.8113693777,88
80269,204928,237450,2.488535504,5.102694194500001,-7.8341011924,89
80348,204936,237430,2.5016960283,5.1541398804,-7.8879397009000005,90
80243,204918,237424,2.4155544147,5.1637111708,-7.8771719992,91
79476,204756,237269,2.5674986498,5.1768716951,-7.8113693777,92
78505,204593,237211,2.4789642136,5.239085082699999,-7.9106715156,93
77737,204448,237065,2.488535504,5.2342994375,-7.9633136127999995,94
77291,204301,236967,2.5172493752,5.182853751600001,-7.9334033303,95
76934,204203,236899,2.5746771176,5.1493542352,-7.872386354,96
76866,204199,236859,2.416750826,5.2534420183,-7.9106715156,97
77094,204172,236907,2.4442682859,5.152943469099999,-7.920242806,98
77346,204189,236938,2.3641087288000002,5.1170511301,-7.9238320399,99
