green,red,IR,acc_x,acc_y,acc_z,sample_index
63549,152066,191849,-1.3794622289,-9.0341017263,4.0295132584,1
63445,152033,191859,-1.3603196481,-8.9204426528,4.0821553556,2
63417,152078,191892,-1.4105689227,-8.8031943454,3.9026936606000002,3
63435,152080,191942,-1.4093725114000002,-8.9886380969,3.9924245080999996,4
63474,152106,192000,-1.4943177136999999,-8.9671026935,4.0893338234,5
63526,152073,191936,-1.3244273091,-8.913264185,4.1048871703,6
63566,152036,191933,-1.4201402131,-8.8713897895,4.0713876539,7
63563,151983,191913,-1.3088739621999999,-8.885746725099999,3.924229064,8
63530,151910,191944,-1.3579268255,-8.9324067658,3.9720855159999995,9
63603,151849,191917,-1.4177473905,-8.97308475,4.0007993872,10
63652,151783,191858,-1.4057832774999999,-8.9910309195,4.113262049399999,11
63660,151734,191842,-1.5326028753,-8.9659062822,4.0486558392,12
63801,151691,191850,-1.3447663012,-9.0173519681,4.0390845488,13
63842,151702,191838,-1.495514125,-8.865407733,4.0654055974,14
64009,151622,191812,-1.4165509792000002,-8.7637127725,4.0582271296000005,15
63939,151460,191738,-1.4859428346,-9.0041914438,4.0474594279,16
63621,151299,191634,-1.4943177136999999,-8.8390866844,3.9457644674,17
63283,151275,191555,-1.3160524299999998,-8.757730716,4.2029928969000006,18
63056,151466,191670,-1.2287144051,-9.1692962032,4.3274196721000004,19
62942,151630,191767,-1.1449656141,-8.8474615635,4.2532421715,20
62860,151596,191809,-1.1796615418,-8.8474615635,4.0582271296000005,21
62796,151381,191698,-1.0875378717,-8.9060857172,4.1072799929,22
62720,151188,191602,-1.2418749294,-9.019744790699999,4.3298124947,23
62612,151025,191445,-1.1198409768,-8.8606220878,4.1503507997,24
62414,150886,191334,-0.8949156524,-8.9467637014,4.2759739861999995,25
62139,150757,191254,-0.9547362173999999,-8.8989072494,4.390829471,26
61810,150597,191135,-1.1629117836,-9.290133744499999,4.7605205627,27
61416,150415,190999,-0.5335994398,-8.931210354500001,4.5080777784,28
60995,150286,190889,-0.9583254512999999,-8.8678005556,4.3489550755,29
60514,150072,190724,-0.6017948839,-9.1561356789,4.3010986235,30
59939,149860,190567,-0.382851616,-9.3176512044,4.899304273499999,31
59375,149699,190451,-0.765703232,-9.2626162846,4.498506487999999,32
