green,red,IR,acc_x,acc_y,acc_z,sample_index
109522,190608,231067,-8.427521197199999,-4.6695933039,1.3782658175999998,1
109622,190761,231185,-8.3904324469,-4.4901316089,1.3196416639,2
109922,190820,231227,-8.463413536200001,-4.5643091095,1.3651052933,3
110056,190837,231298,-8.4323068424,-4.6109691502,1.3256237203999999,4
110267,190876,231314,-8.4813597057,-4.5990050372,1.3842478741,5
110292,190836,231348,-8.3377903497,-4.589433746799999,1.4045868662,6
110390,190853,231315,-8.364111398299999,-4.5152562462,1.3615160593999998,7
110546,190892,231339,-8.4478601893,-4.5846481016,1.3914263419,8
110652,190891,231344,-8.4251283746,-4.492524431500001,1.3591232368,9
110818,191020,231321,-8.4095750277,-4.4709890281,1.3615160593999998,10
110976,190998,231412,-8.3210405915,-4.6827538282,1.3292129543,11
111220,191007,231430,-8.4131642616,-4.5535414078,1.4620146086,12
111321,191041,231432,-8.4323068424,-4.4291146326,1.4225330357,13
111485,191070,231525,-8.5507515611,-4.582255279,1.4727823103,14
111605,191070,231526,-8.5196448673,-4.7174497559,1.3914263419,15
111392,190989,231462,-8.4885381735,-4.5990050372,1.328016543,16
110409,190787,231294,-8.3892360356,-4.498506487999999,1.4440684390999998,17
109846,190690,231221,-8.410771439,-4.4554356812,1.3124631961,18
109358,190638,231181,-8.470592004,-4.5260239479,1.4380863826,19
109167,190564,231136,-8.3653078096,-4.510470601,1.3184452526,20
108942,190532,231212,-8.4610207136,-4.5559342304,1.4165509792000002,21
109133,190586,231231,-8.4035929712,-4.570291166,1.3902299306,22
109380,190612,231277,-8.4299140198,-4.6743789491,1.3328021881999998,23
109626,190653,231329,-8.422735552,-4.5667019321,1.3543375915999998,24
109778,190699,231329,-8.5579300289,-4.6348973762,1.3567304141999998,25
109911,190742,231366,-8.422735552,-4.5678983434,1.4237294470000001,26
109936,190737,231409,-8.5112699882,-4.5846481016,1.3136596074,27
110085,190795,231364,-8.4239319633,-4.5092741897,1.3591232368,28
110231,190796,231343,-8.386843213,-4.6923251185999995,1.4249258583,29
110406,190850,231412,-8.352147285300001,-4.6492543118,1.3914263419,30
110574,190863,231494,-8.422735552,-4.6241296745,1.4093725114000002,31
110792,190911,231555,-8.4299140198,-4.4997028993,1.3663017045999999,32
110909,190890,231597,-8.4538422458,-4.5726839886,1.3926227532000002,33
111166,190937,231576,-8.4538422458,-4.6013978598,1.3639088819999998,34
111351,191013,231601,-8.4837525283,-4.5367916496,1.3543375915999998,35
111187,190928,231532,-8.4933238187,-4.5535414078,1.387837108,36
110383,190568,231379,-8.4155570842,-4.534398827,1.3974083984,37
109651,190522,231249,-8.5280197464,-4.5320060043999995,1.3914263419,38
109226,190503,231281,-8.5208412786,-4.498506487999999,1.3423734786,39
108969,190476,231249,-8.458627890999999,-4.4973100767,1.4464612617,40
108907,190484,231213,-8.543573093300001,-4.5415772948,1.3866406967,41
108914,190489,231311,-8.3665042209,-4.534398827,1.3076775509,42
109165,190562,231296,-8.2827554299,-4.6133619728,1.3639088819999998,43
109383,190628,231345,-8.4729848266,-4.5655055207999995,1.3124631961,44
109626,190636,231344,-8.484948939599999,-4.5990050372,1.3902299306,45
109720,190623,231394,-8.386843213,-4.4327038665,1.3256237203999999,46
109848,190618,231391,-8.386843213,-4.6073799163,1.3591232368,47
109986,190660,231377,-8.2959159542,-4.5056849558,1.2741780345,48
110068,190654,231360,-8.445467366699999,-4.582255279,1.3830514628000001,49
110204,190666,231380,-8.3449688175,-4.5403808835,1.3304093655999998,50
110455,190666,231420,-8.4370924876,-4.5248275366,1.3399806559999998,51
110611,190717,231450,-8.458627890999999,-4.6133619728,1.3399806559999998,52
110844,190714,231547,-8.4574314797,-4.6013978598,1.3998012210000002,53
111009,190749,231472,-8.4442709554,-4.6157547954,1.3734801723999999,54
111076,190729,231486,-8.249255913499999,-4.5966122146,1.3064811396,55
110790,190675,231404,-8.538787448099999,-4.5750768112,1.4775679554999999,56
109980,190347,231260,-8.3342011158,-4.5774696338,1.43569356,57
109337,190245,231186,-8.3617185757,-4.5978086259,1.3782658175999998,58
109058,190260,231136,-8.3820575678,-4.534398827,1.3100703735,59
108964,190229,231100,-8.4658063588,-4.6277189084,1.3064811396,60
108893,190206,231125,-8.3617185757,-4.5571306417,1.3184452526,61
109073,190259,231205,-8.4729848266,-4.5379880609,1.3256237203999999,62
109371,190396,231262,-8.410771439,-4.5164526575,1.351944769,63
109536,190398,231265,-8.3784683339,-4.5260239479,1.2993026717999998,64
109610,190445,231276,-8.4335032537,-4.6552363683,1.2658031554,65
109704,190447,231262,-8.5316089803,-4.5128634236,1.3555340029,66
109779,190475,231341,-8.4681991814,-4.637290198800001,1.3842478741,67
109886,190485,231318,-8.4095750277,-4.5846481016,1.2849457361999999,68
110077,190500,231388,-8.3617185757,-4.654039957,1.4632110199,69
110255,190561,231381,-8.4035929712,-4.594219392,1.3567304141999998,70
110441,190541,231407,-8.4323068424,-4.6037906824000006,1.4165509792000002,71
110600,190586,231472,-8.4777704718,-4.4590249151000005,1.4608181972999998,72
110831,190718,231536,-8.4287176085,-4.5164526575,1.4727823103,73
110903,190654,231513,-8.3892360356,-4.560719875599999,1.3184452526,74
110672,190538,231423,-8.4299140198,-4.5655055207999995,1.328016543,75
109829,190302,231275,-8.470592004,-4.415954108299999,1.3902299306,76
109181,190231,231279,-8.4610207136,-4.5200418914,1.3160524299999998,77
108834,190081,231161,-8.4299140198,-4.5619162869,1.3962119871,78
108677,190196,231196,-8.427521197199999,-4.5284167705,1.3447663012,79
108608,190167,231167,-8.4119678503,-4.6205404406,1.3184452526,80
108756,190264,231203,-8.3844503904,-4.5236311253,1.2969098492,81
109038,190328,231278,-8.3820575678,-4.4733818507,1.328016543,82
109242,190358,231276,-8.4239319633,-4.5774696338,1.4512469069,83
109453,190326,231300,-8.3425759949,-4.609772738899999,1.3447663012,84
109542,190378,231293,-8.3832539791,-4.5846481016,1.4536397294999999,85
109642,190456,231345,-8.3712898661,-4.5391844722,1.2693923893,86
109787,190420,231319,-8.364111398299999,-4.5762732225,1.3770694063,87
109953,190481,231368,-8.4873417622,-4.5128634236,1.3471591237999998,88
