green,red,IR,acc_x,acc_y,acc_z,sample_index
89988,204389,228965,-2.5770699402,-8.5974116018,-3.9505501125999998,1
89885,204252,228856,-2.5040888509,-8.6907316832,-3.9469608787,2
89672,204149,228839,-2.596212521,-8.6321075295,-4.0007993872,3
89445,204122,228793,-2.6644079651,-8.6045900696,-4.007977855,4
89239,204118,228763,-2.7050859493,-8.5591264402,-3.9744783386,5
89109,204108,228855,-2.548356069,-8.5088771656,-3.984049629,6
89032,204169,228862,-2.5268206656,-8.4741812379,-3.9505501125999998,7
88976,204093,228901,-2.7290141752999997,-8.7122670866,-3.8895331363000003,8
88929,204058,228770,-2.4382862294,-8.8833539025,-3.7950166436,9
88838,203931,228670,-2.5878376418999998,-8.4299140198,-4.0689948312999995,10
88728,203729,228572,-2.4789642136,-8.5052879317,-4.1431723319,11
88611,203705,228559,-2.6835505459,-8.650053698999999,-3.9517465239000003,12
88458,203740,228575,-2.6536402634000003,-8.707481441399999,-4.0103706776,13
88496,203756,228575,-2.5507488916,-8.681160392799999,-3.9720855159999995,14
88488,203782,228621,-2.5842484079999997,-8.5914295453,-3.9912280968,15
88493,203870,228662,-2.5806591741,-8.5770726097,-3.8584264425,16
88546,203905,228620,-2.4801606249,-8.6488572877,-3.8991044267,17
88556,203909,228669,-2.5244278430000002,-8.7182491431,-3.9672998708,18
88595,203917,228648,-2.5328027221,-8.818747692299999,-3.9074793058,19
88651,203932,228667,-2.5387847786,-8.6596249894,-3.9349967657,20
88683,203950,228673,-2.5040888509,-8.650053698999999,-3.9744783386,21
88763,204015,228761,-2.5627130046,-8.3665042209,-4.0582271296000005,22
88891,204091,228878,-2.5890340532,-8.697910151,-4.0510486617999995,23
88975,204181,228916,-2.5435704238000003,-8.7505522482,-3.9314075318,24
89054,204149,228903,-2.5148565526000004,-8.7290168448,-3.9338003543999998,25
89108,204203,228908,-2.6584259086,-8.638089586,-3.9266218866,26
89153,204198,228906,-2.6117658679000004,-8.5351982142,-3.8835510798,27
89227,204211,228928,-2.6057838114000003,-8.7852481759,-3.9409788222,28
89275,204231,228952,-2.6129622792,-8.5411802707,-3.8321053939,29
89360,204177,228948,-2.608176634,-8.6679998685,-3.9170505962,30
89348,204160,228904,-2.596212521,-8.6907316832,-3.8608192651000004,31
89302,204084,228795,-2.5076780847999998,-8.5890367227,-3.9792639838,32
89336,204041,228700,-2.4849462701,-8.6117685374,-3.9577285803999995,33
89286,203877,228607,-2.5842484079999997,-8.7385881352,-3.9565321691,34
89087,203700,228458,-2.4873390927,-8.3485580514,-3.9266218866,35
88803,203565,228426,-2.4921247379,-8.6333039408,-4.0139599115,36
88544,203470,228343,-2.5639094158999995,-8.6763747476,-3.9302111204999997,37
88364,203531,228368,-2.5878376418999998,-8.5363946255,-3.9110685397,38
88256,203617,228431,-2.5842484079999997,-8.7194455544,-4.0390845488,39
88198,203673,228424,-2.5244278430000002,-8.6644106346,-3.9409788222,40
88159,203753,228543,-2.5064816735,-8.6883388606,-3.8847474911,41
88128,203662,228509,-2.3389840915,-8.641678819900001,-3.9696926934,42
88081,203601,228430,-2.5244278430000002,-8.6333039408,-4.055834307,43
88048,203579,228443,-2.5686950610999997,-8.650053698999999,-3.9326039431,44
87968,203576,228474,-2.5100709074,-8.6249290617,-3.9050864832,45
87944,203648,228441,-2.3904297774,-8.7050886188,-4.007977855,46
87931,203632,228502,-2.5830519966999996,-8.707481441399999,-3.9003008379999997,47
87940,203733,228520,-2.5100709074,-8.5794654323,-3.9014972492999997,48
87970,203731,228566,-2.5794627628,-8.673981925,-3.996013742,49
87988,203756,228568,-2.6021945774999997,-8.5794654323,-3.9744783386,50
88025,203779,228539,-2.5842484079999997,-8.6907316832,-3.8991044267,51
88069,203788,228563,-2.5148565526000004,-8.7912302324,-4.0366917262,52
88103,203797,228586,-2.4658036893,-8.748159425599999,-3.9302111204999997,53
88143,203746,228519,-2.4562323989,-8.5675013193,-3.960121403,54
88191,203754,228574,-2.4861426814,-8.636893174699999,-3.9338003543999998,55
88286,203681,228581,-2.4155544147,-8.5076807543,-3.9529429352,56
88289,203714,228580,-2.4442682859,-8.6428752312,-3.9661034595,57
88331,203750,228573,-2.5531417142,-8.7026957962,-3.8739797894,58
88382,203782,228616,-2.5579273594000003,-8.6656070459,-3.9170505962,59
88454,203834,228617,-2.5339991334,-8.7505522482,-3.9481572899999997,60
88511,203836,228645,-2.4215364712,-8.574679787100001,-3.924229064,61
88567,203869,228682,-2.4777678023000003,-8.6668034572,-3.9553357578,62
88636,203885,228699,-2.6057838114000003,-8.5986080131,-4.0115670889,63
88714,203941,228729,-2.5866412306,-8.7242311996,-3.9206398301,64
88778,203843,228734,-2.4335005842,-8.7361953126,-4.0331024923,65
88717,203731,228625,-2.6380869165,-8.6333039408,-3.8416766843000003,66
88539,203637,228604,-2.5543381254999997,-8.7122670866,-3.9553357578,67
88344,203626,228575,-2.4969103831,-8.7242311996,-3.9086757171,68
88145,203605,228582,-2.608176634,-8.6440716425,-3.9672998708,69
87952,203618,228617,-2.4861426814,-8.6045900696,-3.9266218866,70
87937,203638,228612,-2.6356940939,-8.7673020064,-3.9086757171,71
87881,203560,228628,-2.4705893345,-8.6763747476,-3.9792639838,72
87878,203656,228627,-2.5160529638999996,-8.6010008357,-3.8895331363000003,73
87870,203641,228644,-2.4370898181,-8.6871424493,-3.8907295476,74
87845,203649,228612,-2.620140747,-8.707481441399999,-3.9290147091999996,75
87867,203576,228537,-2.5208386090999997,-8.6129649487,-3.9182470075,76
87775,203641,228607,-2.4921247379,-8.7290168448,-3.888336725,77
87759,203624,228564,-2.6009981662,-8.7409809578,-3.9720855159999995,78
87744,203618,228619,-2.5734807063,-8.650053698999999,-3.9146577735999997,79
87766,203642,228596,-2.4658036893,-8.6572321668,-3.9050864832,80
87809,203626,228584,-2.5280170769,-8.6297147069,-3.9134613623,81
87793,203499,228555,-2.4574288102,-8.721838377,-3.9649070482,82
87806,203432,228480,-2.4466611085,-8.4921274074,-3.984049629,83
87855,203444,228478,-2.4921247379,-8.6309111182,-4.0007993872,84
87902,203470,228493,-2.5746771176,-8.584251077500001,-3.9864424516000003,85
88015,203538,228536,-2.5555345367999998,-8.5722869645,-4.0163527341,86
88060,203669,228610,-2.5770699402,-8.7361953126,-3.8512479747,87
88145,203677,228624,-2.548356069,-8.5770726097,-3.9433716447999996,88
88184,203705,228648,-2.4275185276999998,-8.6679998685,-3.9338003543999998,89
88259,203678,228704,-2.596212521,-8.6356967634,-3.8572300312,90
88331,203727,228697,-2.5495524802999996,-8.6596249894,-3.9661034595,91
88376,203673,228698,-2.6021945774999997,-8.5196448673,-3.9768711611999996,92
88444,203781,228683,-2.6380869165,-8.654839344200001,-3.8512479747,93
88518,203771,228700,-2.476571391,-8.6189470052,-3.9433716447999996,94
88581,203770,228732,-2.4538395763,-8.7182491431,-3.9720855159999995,95
88660,203780,228746,-2.4705893345,-8.7625163612,-3.9864424516000003,96
88738,203799,228752,-2.5244278430000002,-8.748159425599999,-3.8715869668,97
88770,203795,228735,-2.5507488916,-8.6010008357,-3.8871403137,98
88777,203638,228628,-2.5304098995,-8.5459659159,-3.9385859996,99
88637,203567,228613,-2.4801606249,-8.720641965699999,-3.8488551521,100
88430,203482,228564,-2.4538395763,-8.6452680538,-4.0247276132000005,101
88283,203499,228590,-2.6392833278,-8.654839344200001,-3.8715869668,102
88137,203470,228598,-2.656033086,-8.6895352719,-3.8679977328999997,103
88042,203547,228607,-2.4275185276999998,-8.6069828922,-3.8739797894,104
87973,203612,228625,-2.4981067944,-8.6201434165,-3.8536407972999998,105
87955,203542,228598,-2.5052852621999997,-8.4885381735,-3.8943187815,106
87969,203577,228617,-2.5842484079999997,-8.7326060787,-3.8919259589,107
87974,203511,228624,-2.5064816735,-8.7122670866,-3.8979080154,108
87884,203544,228599,-2.4729821571,-8.626125473,-3.924229064,109
87912,203462,228561,-2.5256242543,-8.697910151,-3.9146577735999997,110
87856,203513,228592,-2.5794627628,-8.584251077500001,-3.8919259589,111
87848,203518,228608,-2.500499617,-8.721838377,-3.960121403,112
87870,203548,228624,-2.4131615921,-8.6105721261,-3.8488551521,113
87901,203495,228628,-2.5866412306,-8.7290168448,-3.912264951,114
87944,203548,228625,-2.5256242543,-8.5603228515,-3.9134613623,115
87984,203563,228605,-2.5447668351,-8.5866439001,-3.9170505962,116
88043,203616,228591,-2.4598216327999998,-8.7146599092,-3.8979080154,117
88098,203600,228633,-2.5268206656,-8.605786480899999,-3.9026936606000002,118
88171,203575,228631,-2.5100709074,-8.6033936583,-4.0067814437,119
88226,203606,228629,-2.5387847786,-8.6237326504,-3.924229064,120
88272,203627,228663,-2.5878376418999998,-8.6225362391,-3.936193177,121
88365,203509,228600,-2.4658036893,-8.5734833758,-3.8321053939,122
88322,203475,228576,-2.4466611085,-8.650053698999999,-3.9768711611999996,123
88287,203222,228402,-2.5998017549,-8.970691927399999,-3.8679977328999997,124
88251,203129,228259,-2.5052852621999997,-8.6189470052,-4.0510486617999995,125
88304,203105,228232,-2.4981067944,-8.5507515611,-3.9804603951,126
88336,203125,228226,-2.4598216327999998,-8.6715891024,-3.9792639838,127
88397,203143,228287,-2.4705893345,-8.6309111182,-3.9828532177,128
88491,203202,228388,-2.4179472373,-8.5998044244,-4.0211383793,129
88645,203473,228490,-2.5387847786,-8.7349989013,-3.9338003543999998,130
88748,203516,228588,-2.5016960283,-8.7026957962,-3.9900316855,131
88754,203486,228572,-2.3629123174999997,-8.781658942,-3.8955151927999996,132
88608,203411,228562,-2.4849462701,-8.605786480899999,-3.9074793058,133
88430,203412,228584,-2.5160529638999996,-8.6608214007,-3.8955151927999996,134
88297,203444,228624,-2.4634108667000003,-8.640482408599999,-3.7746776515,135
88200,203482,228599,-2.5866412306,-8.566304908,-3.9050864832,136
88164,203467,228604,-2.5651058272,-8.5950187792,-3.924229064,137
88149,203511,228619,-2.452643165,-8.6991065623,-3.8356946278,138
88131,203522,228626,-2.4909283265999997,-8.6237326504,-3.9481572899999997,139
88124,203515,228656,-2.4430718746,-8.6584285781,-3.8787654346,140
88096,203517,228615,-2.5316063108,-8.7601235386,-3.8620156764,141
88064,203483,228607,-2.4837498588,-8.721838377,-3.9266218866,142
88026,203474,228622,-2.6045874001,-8.707481441399999,-3.8859439023999998,143
88015,203407,228635,-2.5184457865,-8.7026957962,-3.8596228538,144
88022,203517,228610,-2.4945175605000003,-8.6931245058,-3.888336725,145
88070,203530,228662,-2.5830519966999996,-8.7026957962,-3.8416766843000003,146
88082,203587,228677,-2.5579273594000003,-8.7122670866,-3.8201412809,147
88106,203575,228673,-2.4681965119,-8.709874264,-3.9003008379999997,148
88177,203578,228676,-2.5232314317,-8.685946038,-3.8321053939,149
88229,203576,228688,-2.6165515131,-8.6679998685,-3.8703905555,150
88280,203623,228696,-2.5926232871,-8.6476608764,-3.8979080154,151
88322,203636,228709,-2.5579273594000003,-8.685946038,-3.8727833781,152
88373,203628,228676,-2.6141586905,-8.7732840629,-3.8859439023999998,153
88428,203636,228673,-2.5339991334,-8.6356967634,-3.8141592244,154
88471,203656,228690,-2.548356069,-8.6644106346,-3.9493537012999997,155
88524,203645,228754,-2.4394826406999996,-8.7026957962,-3.9026936606000002,156
88587,203680,228763,-2.4933211492,-8.650053698999999,-3.8620156764,157
88645,203678,228750,-2.5064816735,-8.6010008357,-3.8201412809,158
88719,203709,228804,-2.4921247379,-8.6249290617,-3.9194434188,159
88785,203708,228775,-2.4670001006,-8.828318982699999,-3.9457644674,160
88855,203724,228828,-2.4203400599,-8.697910151,-3.8476587407999996,161
88901,203701,228801,-2.5112673187,-8.6512501103,-3.9493537012999997,162
88905,203596,228725,-2.5555345367999998,-8.6596249894,-3.8057843452999998,163
88793,203481,228674,-2.4490539311,-8.6763747476,-3.8955151927999996,164
88627,203405,228622,-2.5076780847999998,-8.6883388606,-3.9541393465,165
88459,203381,228628,-2.476571391,-8.6309111182,-3.9074793058,166
88334,203376,228628,-2.6225335696,-8.6345003521,-3.8691941442,167
88247,203457,228665,-2.4346969955,-8.605786480899999,-3.9170505962,168
88184,203484,228644,-2.5148565526000004,-8.695517328400001,-3.9050864832,169
88152,203495,228635,-2.5363919559999997,-8.6691962798,-3.7938202323,170
88152,203445,228654,-2.4909283265999997,-8.6356967634,-3.864408499,171
88157,203436,228645,-2.4873390927,-8.5890367227,-3.8536407972999998,172
88093,203409,228605,-2.5782663514999995,-8.6775711589,-3.8464623295,173
88064,203422,228634,-2.596212521,-8.6883388606,-3.8979080154,174
88045,203381,228641,-2.5328027221,-8.663214223299999,-3.8620156764,175
88044,203406,228640,-2.6057838114000003,-8.7026957962,-3.8333018051999996,176
88115,203454,228611,-2.6153551018,-8.5986080131,-3.8715869668,177
88071,203472,228633,-2.5866412306,-8.6356967634,-3.9290147091999996,178
88107,203487,228651,-2.4358934068,-8.697910151,-3.9170505962,179
88161,203493,228676,-2.5088744961000002,-8.6321075295,-3.9625142255999997,180
88215,203477,228652,-2.5411776012,-8.833104627900001,-3.8691941442,181
88261,203518,228681,-2.5016960283,-8.6189470052,-3.8620156764,182
88296,203492,228681,-2.6500510295,-8.6476608764,-3.8428730956,183
88346,203527,228676,-2.6871397798,-8.6440716425,-3.8931223702,184
88394,203535,228703,-2.5842484079999997,-8.5052879317,-3.8380874503999998,185
88454,203590,228719,-2.548356069,-8.6249290617,-3.9290147091999996,186
88507,203538,228706,-2.5028924396,-8.7972122889,-3.8273197486999995,187
88568,203550,228741,-2.5794627628,-8.707481441399999,-3.936193177,188
88635,203557,228752,-2.5411776012,-8.5280197464,-3.9003008379999997,189
88686,203581,228729,-2.5136601413,-8.5818582549,-3.8907295476,190
88745,203583,228757,-2.6249263922,-8.8498543861,-3.9816568063999997,191
88815,203635,228770,-2.5363919559999997,-8.7553378934,-3.8739797894,192
88899,203682,228806,-2.4825534475,-8.7637127725,-3.8392838617,193
88947,203696,228811,-2.5220350203999997,-8.8546400313,-3.816552047,194
88965,203556,228733,-2.4514467537,-8.7038922075,-3.9170505962,195
88886,203436,228635,-2.4957139718,-8.6703926911,-3.8177484582999996,196
88720,203330,228631,-2.4741785684,-8.5854474888,-3.8799618459,197
88539,203304,228671,-2.5842484079999997,-8.7409809578,-3.9505501125999998,198
88412,203306,228679,-2.5316063108,-8.7505522482,-3.8548372086000002,199
88313,203342,228681,-2.7003003040999998,-8.640482408599999,-3.9696926934,200
88253,203401,228648,-2.5244278430000002,-8.6835532154,-3.864408499,201
88208,203406,228665,-2.5698914723999997,-8.6823568041,-3.9924245080999996,202
88191,203438,228638,-2.4574288102,-8.709874264,-3.876372612,203
88180,203354,228694,-2.5411776012,-8.6476608764,-3.7196427317,204
88168,203373,228625,-2.5076780847999998,-8.6727855137,-3.8572300312,205
88123,203371,228635,-2.5184457865,-8.8546400313,-3.924229064,206
88096,203358,228649,-2.5351955446999996,-8.7146599092,-3.9338003543999998,207
88091,203386,228655,-2.715853651,-8.6703926911,-3.9110685397,208
