green,red,IR,acc_x,acc_y,acc_z,sample_index
88447,165035,214628,-0.43190447930000003,-1.9908284031999999,-9.762716208,1
88515,165044,214639,-0.6029912952,-1.8245272325,-9.6107719729,2
88434,165020,214600,-0.6269195211999999,-1.8963119105000001,-9.7483592724,3
88546,165039,214588,-0.4701896409,-2.0327027987,-9.7495556837,4
88552,165021,214592,-0.5790630692000001,-1.7766707805,-9.786644434,5
88584,165012,214561,-0.2847458894,-2.0279171535,-9.8632147572,6
88627,165007,214571,-0.3361915753,-1.7766707805,-9.8297152408,7
88704,165045,214583,-0.5455635528,-1.866401628,-9.7722874984,8
88771,165099,214603,-0.6460621019999999,-1.9872391693,-9.69093153,9
88782,165077,214625,-0.7130611348,-2.0422740890999997,-9.6813602396,10
88961,165059,214587,-0.4474578262,-2.009970984,-9.757930562799999,11
89009,165059,214570,-0.40319060809999996,-2.0614166699,-9.786644434,12
89021,165017,214571,-0.6173482308,-1.8675980393,-9.7196454012,13
89080,165018,214486,-0.5503491979999999,-1.8484554585000001,-9.6251289085,14
88931,164960,214433,-0.4701896409,-1.9190437251999999,-9.738787982,15
88890,164920,214455,-0.6305087550999999,-1.9094724347999998,-9.81057266,16
88701,164876,214416,-0.3888336725,-1.8628123941,-9.7256274577,17
88565,164856,214421,-0.6029912952,-1.8807585636,-9.7304131029,18
88464,164923,214434,-0.7322037156,-1.7958133612999998,-9.7292166916,19
88384,164873,214421,-0.6209374647,-1.7850456596,-9.6490571345,20
88333,164857,214399,-0.5084748025,-2.0195422744,-9.799804958300001,21
88404,164874,214361,-0.4582255279,-1.9154544913,-9.8153583052,22
88408,164863,214379,-0.5312066172,-1.8137595308,-9.6634140701,23
88424,164842,214338,-0.5312066172,-1.9645073545999998,-9.7292166916,24
88426,164823,214340,-0.3840480273,-1.7527425545,-9.700502820399999,25
88425,164827,214284,-0.5312066172,-1.8293128776999998,-9.7722874984,26
88447,164791,214263,-0.693918554,-2.0003996936,-9.767501853199999,27
88483,164786,214230,-0.6352944003,-1.8855442087999998,-9.7639126193,28
88525,164794,214290,-0.5551348432,-1.9190437251999999,-9.6825566509,29
88571,164792,214299,-0.5515456093,-1.8616159827999998,-9.81057266,30
88608,164803,214213,-0.4510470601,-1.8807585636,-9.7878408453,31
88663,164760,214205,-0.5587240770999999,-1.7958133612999998,-9.69093153,32
88742,164792,214216,-0.5120640364,-1.8771693297,-9.7112705221,33
88789,164796,214233,-0.4845465765,-1.8053846516999998,-9.7292166916,34
88772,164817,214245,-0.6592226263,-1.8580267489000002,-9.6861458848,35
88682,164781,214212,-0.4881358104,-1.91425808,-9.767501853199999,36
88531,164765,214125,-0.5132604477,-1.8053846516999998,-9.7292166916,37
88414,164717,214195,-0.4618147618,-1.8699908619,-9.7244310464,38
88305,164718,214113,-0.4941178669,-1.8053846516999998,-9.8010013696,39
88281,164720,214150,-0.5826523031,-1.8628123941,-9.7160561673,40
88276,164749,214103,-0.4594219392,-1.9752750562999999,-9.8811609267,41
88330,164751,214136,-0.5647061336,-2.0327027987,-9.858429112,42
88394,164807,214141,-0.5084748025,-1.7814564256999998,-9.710074110799999,43
88338,164789,214148,-0.59820565,-2.0087745727,-9.7052884656,44
88465,164761,214149,-0.5312066172,-1.9238293703999998,-9.786644434,45
88499,164754,214132,-0.4989035121,-1.8867406201,-9.762716208,46
88601,164762,214170,-0.5324030285,-1.9094724347999998,-9.7340023368,47
88559,164808,214141,-0.6173482308,-1.962114532,-9.6777710057,48
88656,164796,214130,-0.6173482308,-2.0362920326,-9.6813602396,49
88710,164785,214148,-0.4701896409,-1.9764714676,-9.7962157244,50
88787,164805,214089,-0.5790630692000001,-1.9334006607999998,-9.7052884656,51
88854,164812,214187,-0.5790630692000001,-1.890329854,-9.714859756,52
88880,164814,214154,-0.5694917788,-2.0039889275,-9.6012006825,53
88858,164796,214108,-0.48574298779999997,-1.9956140484,-9.7962157244,54
88712,164770,214077,-0.574277424,-1.9585252981,-9.767501853199999,55
88558,164717,214058,-0.36969109170000003,-2.0482561456,-9.762716208,56
88473,164758,214091,-0.5503491979999999,-1.9585252981,-9.7483592724,57
88352,164733,214091,-0.6257231099,-2.0147566292,-9.7196454012,58
88389,164744,214110,-0.6029912952,-1.9669001771999999,-9.7340023368,59
88408,164736,214069,-0.705882667,-1.9286150156,-9.687342296099999,60
88441,164756,214075,-0.5036891573,-1.9429719511999999,-9.69093153,61
88487,164739,214045,-0.5036891573,-1.9669001771999999,-9.714859756,62
88469,164743,214065,-0.6508477471999999,-1.9345970721,-9.7112705221,63
88512,164712,214008,-0.7226324252,-1.9573288867999998,-9.6825566509,64
88513,164704,213992,-0.39960137419999997,-2.1200408236,-9.6825566509,65
88599,164708,213981,-0.526420972,-2.0279171535,-9.7052884656,66
88594,164689,213987,-0.6029912952,-1.8999011444,-9.7663054419,67
88604,164646,213969,-0.5563312545,-2.105683888,-9.785448022699999,68
88638,164643,213939,-0.4462614149,-1.8771693297,-9.762716208,69
88672,164686,213956,-0.6735795618999999,-1.9429719511999999,-9.6681997153,70
88702,164661,213951,-0.6029912952,-1.9334006607999998,-9.7950193131,71
88732,164649,213927,-0.6029912952,-1.962114532,-9.6574320136,72
88758,164676,213945,-0.5563312545,-1.9094724347999998,-9.7196454012,73
88762,164660,213931,-0.6987041992,-1.9477575963999998,-9.7292166916,74
88678,164593,213873,-0.5072783912000001,-1.938186306,-9.714859756,75
88522,164595,213883,-0.7130611348,-1.9860427579999997,-9.7435736272,76
88396,164546,213873,-0.5838487144,-1.8472590472,-9.7304131029,77
88189,164567,213827,-0.4235296002,-1.8628123941,-9.6394858441,78
88063,164519,213847,-0.5790630692000001,-1.9190437251999999,-9.6717889492,79
87986,164534,213887,-0.6173482308,-1.8376877568,-9.714859756,80
87983,164569,213894,-0.5312066172,-1.8819549749,-9.7818587888,81
87981,164534,213847,-0.7226324252,-1.9716858223999998,-9.634700198900001,82
87961,164538,213833,-0.7118647235000001,-1.9286150156,-9.6634140701,83
87958,164566,213841,-0.5324030285,-2.1523439287,-9.7770731436,84
87964,164586,213870,-0.6029912952,-1.8580267489000002,-9.714859756,85
87962,164558,213855,-0.43190447930000003,-1.9058832009,-9.700502820399999,86
87978,164568,213924,-0.7118647235000001,-1.7898313048,-9.7806623775,87
87999,164570,213875,-0.6305087550999999,-1.9477575963999998,-9.7495556837,88
88028,164553,213844,-0.5551348432,-1.890329854,-9.7663054419,89
