green,red,IR,acc_x,acc_y,acc_z,sample_index
127925,207234,265991,-2.7996024420000003,-0.3613162126,9.353543543399999,1
127519,207176,265928,-2.6979074815,-0.3804587934,9.3415794304,2
127436,207178,266002,-2.8474588940000003,-0.4570291166,9.4600241491,3
127575,207225,265964,-2.7409782883,-0.39960137419999997,9.2542414055,4
127753,207120,266049,-2.8402804262,-0.5216353268,9.5700939887,5
127920,207302,266095,-2.7373890544,-0.3002992363,9.4372923344,6
128211,207321,266070,-2.7589244578,-0.48574298779999997,9.3176512044,7
128320,207236,266103,-2.8390840148999996,-0.36370903520000003,9.3667040677,8
128435,207331,266117,-2.9324040963,-0.3266202849,9.385846648500001,9
128593,207375,266174,-2.4909283265999997,-0.4725824635,9.4061856406,10
128755,207379,266123,-2.7469603447999997,-0.4821537539,9.379864592,11
128906,207424,266150,-2.8019952646,-0.3266202849,9.4181497536,12
129035,207462,266140,-2.8654050635,-0.32901310749999996,9.3056870914,13
129309,207477,266220,-2.9180471607,-0.5000999234,9.2853480993,14
129513,207533,266195,-2.9060830476999997,-0.37567314820000003,9.3056870914,15
129715,207548,266226,-2.8701907087,-0.2931207685,9.4408815683,16
129909,207574,266283,-2.8163522002,-0.2596212521,9.345168664300001,17
130114,207617,266257,-2.7780670386,-0.4689932296,9.320044027,18
130336,207678,266279,-2.8821548217,-0.4462614149,9.2015993083,19
130508,207604,266296,-2.7649065143000002,-0.526420972,9.2315095908,20
130665,207710,266312,-2.8498517166,-0.3565305674,9.3391866078,21
130600,207688,266302,-2.5938196984,-0.47976093129999997,9.2159562439,22
130123,207500,266190,-2.8307091358,-0.4295116567,9.3750789468,23
129169,207410,266056,-2.823530668,-0.3098705267,9.4193461649,24
128270,207293,265989,-2.7744778047,-0.442672181,9.3009014462,25
127711,207242,265927,-2.8007988533,-0.454636294,9.320044027,26
127455,207257,265906,-2.9084758702999998,-0.370887503,9.3690968903,27
127478,207236,265992,-2.8498517166,-0.48335016519999996,9.3056870914,28
127695,207256,266030,-2.7852455064000003,-0.4139583098,9.4085784632,29
127904,207303,266069,-2.6715864329,-0.4821537539,9.384650237199999,30
128147,207299,266041,-2.8079773211,-0.4331008906,9.3738825355,31
128325,207355,266062,-2.775674216,-0.311066938,9.4337031005,32
128464,207412,266097,-2.8307091358,-0.4570291166,9.3152583818,33
128600,207452,266114,-2.7050859493,-0.5012963347,9.3822574146,34
128745,207409,266129,-2.8689942974,-0.3266202849,9.2817588654,35
128892,207445,266113,-2.6452653843,-0.33260234139999995,9.343972252999999,36
129112,207465,266164,-2.7445675222,-0.5156532703,9.3631148338,37
129343,207530,266228,-2.8031916759,-0.5180460929,9.3427758417,38
129501,207572,266228,-2.75174599,-0.48095734259999995,9.3774717694,39
129698,207582,266249,-2.7637101029999998,-0.3960121403,9.3367937852,40
129909,207618,266303,-2.9754749031,-0.3218346397,9.403792818,41
130157,207661,266316,-2.8067809098,-0.4163511324,9.4624169717,42
130246,207674,266308,-2.7194428849,-0.3804587934,9.3296153174,43
130002,207585,266204,-2.7373890544,-0.4402793584,9.439685157,44
129062,207433,266089,-2.7505495787000003,-0.4043870194,9.379864592,45
128025,207279,266050,-2.8307091358,-0.3278166962,9.3774717694,46
127133,207200,265931,-2.7086751831999996,-0.346959277,9.3607220112,47
126803,207140,265948,-2.8019952646,-0.346959277,9.3140619705,48
126573,207135,265991,-2.7266213527,-0.3684946804,9.4145605197,49
126714,207141,265991,-2.8414768375,-0.2644068973,9.320044027,50
126940,207221,266023,-2.8450660714,-0.3613162126,9.3786681807,51
127183,207261,266080,-2.6309084487,-0.3158525832,9.2685983411,52
127378,207290,266059,-2.7349962318,-0.2715853651,9.3511507208,53
127523,207281,266096,-2.8438696600999998,-0.21894326790000002,9.4145605197,54
127645,207321,266111,-2.7924239742,-0.33260234139999995,9.3870430598,55
127809,207354,266101,-2.6141586905,-0.2775674216,9.3032942688,56
127929,207357,266103,-2.9300112737000004,-0.2333002035,9.3020978575,57
128099,207396,266146,-2.8187450228000004,-0.2440679052,9.2781696315,58
128349,207484,266189,-2.7565316351999996,-0.2823530668,9.353543543399999,59
128529,207457,266184,-2.8570301844,-0.3900300838,9.3391866078,60
128735,207519,266243,-2.7768706272999997,-0.3565305674,9.3966143502,61
128914,207528,266257,-2.6883361911000003,-0.2285145583,9.3870430598,62
129142,207515,266254,-2.9611179675,-0.2679961312,9.4217389875,63
129327,207610,266314,-2.8163522002,-0.2727817764,9.443274390900001,64
129539,207605,266318,-2.9216363945999997,-0.33260234139999995,9.3296153174,65
129259,207557,266247,-2.6895326024,-0.2344966148,9.3571327773,66
