green,red,IR,acc_x,acc_y,acc_z,sample_index
114203,205787,238452,0.6783652070999999,-8.9563349918,-3.8189448695999997,1
114242,205843,238449,0.765703232,-8.9814596291,-3.9146577735999997,2
114298,205841,238474,0.7573283529,-9.1070828156,-3.9050864832,3
114340,205838,238446,0.8362914987,-9.0173519681,-3.7627135385,4
114325,205784,238434,0.7106683122,-9.0305124924,-3.8428730956,5
114147,205665,238394,0.6604190376,-8.8809610799,-3.9373895883000003,6
113870,205597,238405,0.6305087550999999,-8.997012975999999,-3.8177484582999996,7
113573,205595,238421,0.8099704500999999,-9.0257268472,-3.888336725,8
113299,205597,238400,0.741775006,-8.9994057986,-3.8297125713,9
113007,205524,238376,0.8338986760999999,-8.9898345082,-3.8213376922,10
112915,205574,238385,0.7824529901999999,-9.0436730167,-3.8189448695999997,11
112847,205601,238422,0.7489534738,-8.877371846,-3.816552047,12
112862,205636,238407,0.6951149653,-9.0472622506,-3.7962130549,13
112827,205655,238380,0.7022934331,-9.0472622506,-3.7316068447,14
112868,205623,238438,0.6592226263,-8.9826560404,-3.8620156764,15
112900,205591,238353,0.7070790783,-8.931210354500001,-3.8835510798,16
112896,205596,238345,0.7956135145,-9.0161555568,-3.9050864832,17
112925,205644,238417,0.7334001269,-9.0592263636,-3.7483566029,18
112941,205669,238394,0.6652046827999999,-8.913264185,-3.7794632967,19
113020,205638,238434,0.7525427077,-8.931210354500001,-3.8380874503999998,20
113105,205631,238381,0.7082754896000001,-9.0233340246,-3.8668013215999997,21
113116,205659,238400,0.7513462964000001,-9.0592263636,-3.7914274097,22
113230,205610,238374,0.7752745223999999,-8.9659062822,-3.8428730956,23
113323,205657,238402,0.8434699665000001,-8.9946201534,-3.8428730956,24
113362,205726,238381,0.7585247642,-9.0436730167,-3.7160534978000004,25
113441,205616,238373,0.7513462964000001,-9.0305124924,-3.7579278933,26
113512,205705,238371,0.7824529901999999,-9.1262253964,-3.7758740628,27
113599,205616,238362,0.8446663778000001,-9.131011041599999,-3.8979080154,28
113574,205675,238412,0.6819544409999999,-9.0496550732,-3.8261233374,29
113467,205424,238305,0.7980063370999999,-9.064012008799999,-3.7710884175999997,30
113166,205418,238317,0.7932206919,-9.0352981376,-3.9194434188,31
112834,205382,238278,0.7393821834000001,-8.916853418899999,-3.8560336199000003,32
112593,205414,238329,0.7226324252,-8.9898345082,-3.7950166436,33
112309,205429,238324,0.8159525066,-8.9383888223,-3.7471601916,34
112144,205362,238348,0.6963113766000001,-9.0137627342,-3.7878381758,35
112048,205434,238289,0.7453642399,-8.9898345082,-3.8907295476,36
112083,205470,238364,0.7812565789,-8.9228354754,-3.8249269261,37
112188,205540,238376,0.6975077879,-8.9347995884,-3.7363924898999996,38
112065,205435,238375,0.71784678,-8.8522472087,-3.8452659182,39
112129,205427,238325,0.8003991597,-8.925228298,-3.8739797894,40
112172,205429,238295,0.7034898444000001,-8.9539421692,-3.8333018051999996,41
112078,205421,238268,0.8410771438999999,-8.9694955161,-3.8524443859999997,42
112207,205431,238309,0.6987041992,-9.0783689444,-3.6885360378999996,43
112297,205344,238299,0.6412764568,-9.0233340246,-3.8117664018,44
112408,205477,238311,0.6963113766000001,-9.042476605400001,-3.7507494254999996,45
112461,205451,238373,0.6568298037,-9.1992064857,-3.8811582571999996,46
112546,205564,238366,0.6675975054,-8.949156524,-3.780659708,47
112655,205500,238317,0.7238288365000001,-9.068797654,-3.8309089826,48
112630,205520,238337,0.6532405698,-8.9659062822,-3.8141592244,49
112801,205456,238347,0.8219345630999999,-9.0496550732,-3.9098721283999995,50
112875,205378,238315,0.6628118601999999,-9.0041914438,-3.8500515634,51
112941,205455,238301,0.71784678,-8.8977108381,-3.7854453531999996,52
