green,red,IR,acc_x,acc_y,acc_z,sample_index
75751,171408,187140,0.7429714173,0.8171489179,-9.6861458848,1
75781,171485,187073,0.7872386353999999,0.8267202082999999,-9.619146852,2
75796,171427,187059,0.7226324252,0.8398807326,-9.6239324972,3
75816,171414,187068,0.7082754896000001,0.7824529901999999,-9.5677011661,4
75816,171449,187024,0.753739119,0.8422735552,-9.710074110799999,5
75826,171416,187040,0.8362914987,0.8422735552,-9.6131647955,6
75708,171388,186994,0.8925228298,0.7082754896000001,-9.7124669334,7
75438,171344,186965,0.7310073043,0.8183453291999999,-9.5736832226,8
75130,171311,186960,0.7956135145,0.8949156524,-9.852447055499999,9
74878,171272,186962,0.8243273857,0.9607182739,-9.6897351187,10
74807,171274,186939,0.7381857721,0.8183453291999999,-9.7363951594,11
74694,171257,186879,0.8075776275,0.8662017812,-9.7351987481,12
74640,171267,186915,0.8841479507000001,0.7980063370999999,-9.5700939887,13
74584,171260,186916,0.8135596839999999,0.8063812161999999,-9.6000042712,14
74525,171213,186891,0.7788637562999999,0.8303094421999999,-9.5964150373,15
74482,171245,186877,0.7034898444000001,0.7668996433,-9.661021247499999,16
74323,171230,186863,0.8578269021,0.7860422241,-9.6717889492,17
74298,171220,186876,0.6687939167,0.8757730716000001,-9.6119683842,18
74250,171194,186883,0.6975077879,0.8841479507000001,-9.757930562799999,19
74228,171242,186887,0.7704888772,0.7944171031999999,-9.7124669334,20
74119,171220,186835,0.7884350467,0.8327022648,-9.6861458848,21
74256,171196,186847,0.7908278692999999,0.7788637562999999,-9.6813602396,22
74214,171180,186830,0.7154539574000001,0.9559326287,-9.6586284249,23
74237,171185,186842,0.7142575461,0.9272187574999999,-9.6981099978,24
74207,171204,186789,0.729810893,0.8985048863,-9.5844509243,25
74190,171159,186805,0.8147560952999999,0.8207381518,-9.6837530622,26
74201,171167,186813,0.7932206919,0.8709874264,-9.7064848769,27
74202,171149,186782,0.6472585133,0.9487541609,-9.6598248362,28
74207,171197,186831,0.6424728680999999,0.9236295236,-9.6418786667,29
74194,171164,186800,0.7872386353999999,0.8219345630999999,-9.5844509243,30
74209,171182,186758,0.9367900479,0.8075776275,-9.631110965,31
74232,171178,186789,0.789631458,0.8327022648,-9.655039191,32
74245,171162,186798,0.7226324252,0.8793623055,-9.6538427797,33
74270,171195,186759,0.8518448456000001,0.6664010940999999,-9.6155576181,34
74259,171166,186760,0.7836494015,0.8482556117000001,-9.6263253198,35
74284,171193,186732,0.8542376682,0.8961120637,-9.7208418125,36
74201,171139,186718,0.8410771438999999,0.9008977089,-9.7172525786,37
74166,171103,186710,0.8231309743999999,0.8255237969999999,-9.6263253198,38
73852,171004,186682,0.7106683122,0.7848458128,-9.595218626,39
73529,171018,186641,0.7010970218,0.8817551281,-9.6777710057,40
73318,170960,186661,0.8458627891,0.8003991597,-9.7363951594,41
73240,170968,186612,0.8362914987,0.8470592004,-9.643075077999999,42
73111,170962,186627,0.753739119,0.8877371846000001,-9.726823869,43
73030,170995,186651,0.6711867393,0.8291130308999999,-9.7483592724,44
72986,170931,186629,0.7956135145,0.8446663778000001,-9.7052884656,45
72990,170969,186672,0.71784678,0.7968099258,-9.687342296099999,46
72916,170908,186677,0.8638089586000001,0.8207381518,-9.6681997153,47
72866,170917,186629,0.6305087550999999,0.8386843212999999,-9.5557370531,48
72840,170931,186648,0.801595571,0.7561319416,-9.674181771799999,49
72816,170899,186608,0.8111668613999999,0.8231309743999999,-9.6263253198,50
72811,170922,186673,0.7250252478,0.8135596839999999,-9.6849494735,51
72846,170921,186648,0.7334001269,0.729810893,-9.6598248362,52
72870,170931,186657,0.9152546444999999,0.789631458,-9.6012006825,53
72884,170958,186627,0.7310073043,0.7154539574000001,-9.7555377402,54
72838,170884,186679,0.849452023,0.8398807326,-9.655039191,55
72904,170883,186629,0.8434699665000001,0.8279166196,-9.5677011661,56
72963,170925,186639,0.741775006,0.8291130308999999,-9.6095755616,57
72985,170937,186612,0.7908278692999999,0.8231309743999999,-9.6382894328,58
72989,170956,186670,0.6580262149999999,0.6759723845,-9.6933243526,59
72911,170895,186610,0.7645068207,0.729810893,-9.6287181424,60
73104,170955,186672,0.7848458128,0.7920242806,-9.5868437469,61
73085,170940,186617,0.6687939167,0.9367900479,-9.5342016497,62
73124,170939,186622,0.8291130308999999,0.8183453291999999,-9.6323073763,63
73162,170939,186628,0.8039883936,0.7800601676,-9.620343263299999,64
73200,170928,186566,0.6891329087999999,0.7728816998,-9.6502535458,65
73224,170941,186584,0.7010970218,0.8685946038000001,-9.7316095142,66
73282,170926,186635,0.6999006105000001,0.8590233134,-9.595218626,67
73316,170947,186621,0.8171489179,0.7621139981,-9.7232346351,68
73339,170981,186576,0.7728816998,0.6819544409999999,-9.6837530622,69
73287,170949,186565,0.7130611348,0.6017948839,-9.6502535458,70
73466,170912,186554,0.8961120637,0.8171489179,-9.678967417,71
73373,170909,186530,0.7369893608,0.8207381518,-9.6418786667,72
73135,170858,186498,0.8721838377000001,0.8769694829,-9.661021247499999,73
72844,170797,186519,0.777667345,0.8362914987,-9.799804958300001,74
72663,170779,186500,0.6113661743,0.7752745223999999,-9.6526463684,75
72559,170798,186489,0.6185446421,0.7286144817,-9.7052884656,76
