green,red,IR,acc_x,acc_y,acc_z,sample_index
99180,200613,266999,7.2071816712,-3.3882368016,5.7415778287,1
99507,200640,267101,7.1126651784999995,-3.4480573666,5.776273756399999,2
99848,200683,267047,7.196413969499999,-3.3320054705,5.7882378694,3
100134,200741,267115,7.1784678,-3.3942188581,5.8013983936999995,4
100396,200771,267176,7.1856462678,-3.3918260355000003,5.766702466,5
100701,200765,267136,7.190431913,-3.2697920829,5.7942199259,6
100986,200825,267166,7.1629144531,-3.3798619225,5.6853464976,7
100418,200683,267106,7.2753771152999995,-3.3894332128999998,5.7332029496,8
98877,200461,266964,7.226324252,-3.5222348672,5.7523455304,9
98005,200277,266859,7.3005017526,-3.5282169237,5.6566326264,10
98015,200357,266862,7.3160550995,-3.4229327293,5.773880933799999,11
98307,200445,266892,7.2011996147,-3.3128628897,5.7044890784,12
98723,200467,266908,7.0923261864,-3.5138599880999997,5.7403814174,13
99139,200561,267030,7.1222364689,-3.4157542615,5.7643096434,14
99686,200641,267009,7.183253445199999,-3.4002009146,5.730810127,15
100089,200681,267082,7.1246292915,-3.3894332128999998,5.8157553293,16
100267,200715,267077,7.154539573999999,-3.5294133349999997,5.7044890784,17
100362,200678,267125,7.211967316399999,-3.4169506728,5.670989562,18
100545,200730,267098,7.118647235,-3.5114671655,5.7499527078,19
100878,200761,267140,7.2394847763,-3.3762726886,5.7499527078,20
101226,200801,267186,7.3088766317000005,-3.4624143022,5.745167062599999,21
101631,200823,267208,7.2514488893,-3.5078779316,5.6745787959,22
102042,200862,267226,7.0217379197000005,-3.385843979,5.790630692000001,23
102447,200925,267255,7.1401826384,-3.4995030524999997,5.831308676200001,24
102822,200975,267265,7.2335027198,-3.3667013982,5.7834522241999995,25
103184,200997,267295,7.304090986499999,-3.541377448,5.7176496027,26
103577,201077,267349,7.125825702799999,-3.4719855926,5.789434280699999,27
103978,201137,267363,7.1784678,-3.5090743428999995,5.6877393201999995,28
103925,201050,267392,7.282555583100001,-3.4468609552999996,5.7690952886,29
103128,200924,267282,7.278966349199999,-3.4073793824000003,5.7978091598,30
102489,200854,267200,7.154539573999999,-3.3966116807,5.806184038900001,31
102523,200895,267185,7.214360139,-3.4528430117999998,5.8683974265,32
102870,200893,267214,7.1928247355999995,-3.4827532943,5.7690952886,33
103226,200962,267304,7.1772713886999995,-3.3655049869,5.74277424,34
103624,201037,267291,7.2275206633,-3.4372896648999998,5.7499527078,35
104096,201091,267295,7.286144817,-3.4995030524999997,5.8205409745,36
104487,201154,267288,7.075576428200001,-3.4480573666,5.7020962558,37
104688,201056,267380,7.225127840700001,-3.4181470840999997,5.7726845225,38
104823,201122,267355,7.1593252192,-3.5102707542,5.818148151899999,39
105013,201158,267416,7.1353969932,-3.46959277,5.7379885948,40
105295,201181,267359,7.2287170746000005,-3.3990045032999996,5.8348979101000005,41
105559,201203,267464,7.2490560667,-3.3810583338,5.7032926670999995,42
105872,201252,267437,7.0624159039,-3.3559336964999997,5.760720409499999,43
106172,201351,267492,7.226324252,-3.4313076084,5.8037912163000005,44
106437,201365,267528,7.225127840700001,-3.3104700671000002,5.7284173044,45
106645,201371,267493,7.060023081300001,-3.4265219632000004,5.716453191399999,46
106927,201375,267576,7.2311098972,-3.4432717214,5.760720409499999,47
107212,201416,267570,7.265805824899999,-3.3786655112000004,5.7284173044,48
107402,201402,267520,7.1210400576,-3.4145578502,5.8229337971,49
107182,201376,267510,7.3016981639,-3.3726834547,5.7463634739,50
106854,201311,267431,7.1808606226,-3.421736318,5.74277424,51
106940,201272,267455,7.0516482022,-3.4755748265,5.6422756908,52
107359,201226,267475,7.087540541199999,-3.6155549486,5.7583275869,53
107677,201370,267467,7.238288365000001,-3.5006994637999997,5.745167062599999,54
107885,201434,267472,7.0624159039,-3.4193434953999997,5.6506505699,55
108060,201464,267538,7.1090759446,-3.4229327293,5.7463634739,56
108284,201480,267554,7.2442704215000004,-3.5629128513999997,5.760720409499999,57
108446,201537,267571,7.332804857699999,-3.3918260355000003,5.682953675,58
108598,201476,267499,7.184449856500001,-3.4528430117999998,5.6398828682,59
108780,201546,267555,7.1688965096,-3.5126635768,5.8193445632000005,60
109059,201594,267570,7.1880390904,-3.5377882141000003,5.7248280705,61
109369,201629,267574,7.158128807899999,-3.5341989802,5.760720409499999,62
109695,201611,267588,7.2454668328,-3.4480573666,5.7499527078,63
109988,201689,267581,7.2490560667,-3.4205399067,5.7379885948,64
110295,201702,267622,7.1856462678,-3.5928231339,5.7942199259,65
110595,201759,267623,7.1976103808000005,-3.4911281734,5.7236316592000005,66
110881,201796,267714,7.2107709050999995,-3.5856446661000003,5.7834522241999995,67
111164,201800,267702,7.1617180418,-3.3966116807,5.716453191399999,68
111428,201846,267700,7.265805824899999,-3.4253255519,5.678168029799999,69
111730,201905,267712,7.2873412283,-3.5676984966,5.7332029496,70
111974,201930,267717,7.171289332200001,-3.457628657,5.7463634739,71
112035,201878,267739,7.1497539288,-3.409772205,5.7690952886,72
111864,201817,267671,7.2777699379,-3.505485109,5.7020962558,73
111797,201835,267703,7.2047888486,-3.4205399067,5.844469200500001,74
111897,201845,267693,7.0995046541999995,-3.4013973259,5.8612189587,75
112181,201888,267693,7.070790783,-3.3643085755999995,5.74277424,76
112331,201901,267657,7.1353969932,-3.2709884942,5.7523455304,77
112564,201948,267752,7.2550381232,-3.4660035360999997,5.679364441100001,78
112790,201978,267698,7.113861589800001,-3.5641092626999997,5.8253266197,79
113007,201993,267700,7.196413969499999,-3.4648071248,5.7236316592000005,80
113140,201984,267723,7.253841711900001,-3.5138599880999997,5.7260244818,81
113287,201964,267725,7.211967316399999,-3.4600214796,5.7702916999,82
113435,202032,267742,7.088736952500001,-3.4959138186,5.7918271033,83
113655,202039,267784,7.2562345345,-3.457628657,5.8803615395,84
113827,202074,267791,7.0935225977,-3.5126635768,5.7595239982,85
114054,202096,267787,7.2598237683999995,-3.4073793824000003,5.7714881112,86
114235,202134,267783,7.2430740102,-3.457628657,5.7332029496,87
114410,202166,267830,7.1617180418,-3.4504501892,5.827719442299999,88
114575,202195,267886,7.1928247355999995,-3.4552358344000003,5.706881900999999,89
114683,202207,267936,7.1234328802,-3.4767712378,5.7846486355,90
114809,202208,267827,7.1030938881,-3.5341989802,5.7595239982,91
114965,202242,267864,7.2011996147,-3.46959277,5.8241302084,92
115086,202269,267828,7.1952175581999995,-3.5341989802,5.7595239982,93
115237,202241,267870,7.2729842927,-3.4289147858,5.7595239982,94
115354,202305,267883,7.1114687672,-3.4241291406,5.7678988773,95
115485,202325,267820,7.238288365000001,-3.4815568829999997,5.802594804999999,96
115624,202344,267897,7.1593252192,-3.493520996,5.7236316592000005,97
115778,202400,267917,7.1461646949,-3.5030922864000003,5.802594804999999,98
115887,202399,267898,7.166503687,-3.5401810367,5.7092747236,99
116011,202389,267867,7.1282185253999995,-3.4671999473999997,5.7930235146,100
116151,202396,267918,7.0480589683,-3.4073793824000003,5.7403814174,101
116262,202443,267876,7.154539573999999,-3.5090743428999995,5.776273756399999,102
116363,202461,267902,6.9559352982,-3.5150563993999997,5.735595772199999,103
116469,202479,267933,7.225127840700001,-3.5006994637999997,5.7822558129,104
116575,202497,267939,7.1856462678,-3.4408788988000003,5.745167062599999,105
116677,202524,267923,7.2466632441,-3.505485109,5.637490045600001,106
116682,202464,267938,7.1473611062,-3.3714870434,5.8492548457,107
116378,202425,267892,7.2394847763,-3.4408788988000003,5.8109696841,108
115953,202386,267861,7.2095744938,-3.5246276898,5.678168029799999,109
115717,202379,267862,7.087540541199999,-3.5090743428999995,5.8612189587,110
115706,202410,267878,7.2167529616,-3.4133614389,5.7236316592000005,111
115618,202399,267884,7.1461646949,-3.3080772444999997,5.670989562,112
115577,202426,267852,7.1928247355999995,-3.4743784152000003,5.7834522241999995,113
115577,202463,267853,7.223931429399999,-3.5605200288,5.748756296500001,114
115564,202441,267871,7.2311098972,-3.493520996,5.776273756399999,115
115464,202463,267845,7.1018974768000005,-3.505485109,5.7643096434,116
