green,red,IR,acc_x,acc_y,acc_z,sample_index
114859,198293,229503,-1.0456634762,7.639086150500001,6.326622954399999,1
114789,198294,229457,-1.0133603711,7.473981391100001,6.452246140900001,2
114700,198251,229475,-1.0791629926,7.570890706399999,6.410371745399999,3
114610,198234,229508,-1.0444670649,7.5278198996,6.448656907,4
114514,198216,229463,-0.9942177902999999,7.505088084900001,6.2775700911,5
114504,198242,229461,-0.9535398061,7.4177500599999995,6.3804614629,6
114492,198212,229434,-0.8207381518,7.668996433,6.293123438,7
114494,198220,229455,-0.9044869428,7.6558359087,6.5144595285,8
114542,198210,229432,-0.9355936366,7.5206414318,6.4115681567000005,9
114543,198206,229427,-1.0552347666,7.5314091335,6.3314085996000005,10
114558,198208,229436,-1.0025926694,7.446463931199999,6.4043896889,11
114545,198234,229493,-1.2358928729,7.3591259063,6.5694944482999995,12
114515,198153,229472,-1.0253244841,7.5026952623000005,6.3828542855,13
114533,198204,229466,-1.0624132344,7.5804619967999995,6.3577296482,14
114513,198187,229463,-1.0241280728,7.525427077,6.4546389635,15
114568,198196,229425,-1.0480562988,7.539784012599999,6.4091753340999995,16
114598,198184,229469,-1.0731809361,7.645068207,6.3577296482,17
114586,198182,229466,-1.0277173067,7.53739119,6.3613188821,18
114603,198203,229493,-1.052841944,7.6008009889000006,6.4055861002,19
114662,198220,229436,-1.0959127508,7.573283529,6.425925092299999,20
114695,198220,229461,-0.95712904,7.5792655855,6.368497349899999,21
114724,198231,229486,-1.0576275892,7.542176835199999,6.410371745399999,22
114752,198232,229471,-0.9702895642999999,7.5804619967999995,6.3314085996000005,23
114779,198273,229464,-1.0839486378,7.447660342499999,6.388836342,24
114827,198270,229455,-0.9702895642999999,7.5290163108999995,6.3601224708,25
114870,198230,229466,-1.052841944,7.639086150500001,6.4498533183,26
114882,198244,229516,-1.579262916,7.2993053413,6.5659052144,27
114939,198253,229462,-0.9655039191,7.5038916736,6.439085616600001,28
114981,198271,229477,-1.0456634762,7.6498538522,6.3182480753000005,29
115025,198290,229495,-0.9607182739,7.5637122386,6.3122660188,30
115025,198284,229506,-0.9272187574999999,7.5541409482,6.305087551,31
114965,198213,229458,-0.5826523031,7.6438717957,6.5096738833000005,32
114843,198212,229497,-1.1210373881,7.5948189324,6.4654066652,33
114775,198208,229498,-1.052841944,7.5349983674,6.364908116,34
114748,198222,229461,-1.0983055734,7.5134629639999995,6.2644095668,35
114725,198185,229472,-1.0743773474,7.5948189324,6.302694728400001,36
114740,198204,229462,-1.1437692028,7.622336392299999,6.4713887217,37
114735,198204,229471,-1.0719845248,7.4356962295,6.406782511499999,38
114740,198223,229458,-1.1796615418,7.505088084900001,6.3960148098,39
114792,198233,229454,-1.112662509,7.6175507471,6.2979090831999995,40
114803,198239,229470,-1.0181460163,7.5924261098,6.4115681567000005,41
114781,198202,229491,-1.0576275892,7.5948189324,6.301498317099999,42
114757,198176,229448,-1.004985492,7.653443086099999,6.2500526312,43
114790,198253,229453,-1.1042876299,7.5625158273,6.4462640844,44
114745,198219,229454,-0.9367900479,7.5924261098,6.3134624300999995,45
114850,198228,229493,-1.1389835576,7.4751778024,6.2464633973,46
114845,198189,229445,-1.0480562988,7.5158557866,6.368497349899999,47
114864,198213,229448,-1.0061819033000001,7.720442118899999,6.3936219871999995,48
114904,198164,229488,-0.9798608547,7.651050263499999,6.3900327533,49
114930,198209,229465,-1.2155538808,7.5804619967999995,6.3924255759,50
114972,198249,229460,-1.6725829974,7.3005017526,6.6903319896,51
114980,198227,229462,-0.8578269021,7.5960153436999995,6.4558353748,52
115087,198184,229470,-0.9822536772999999,7.4847490928,6.4187466245,53
115058,198185,229500,-1.0552347666,7.542176835199999,6.2356956956000005,54
115093,198228,229459,-0.9308079913999999,7.6235328036,6.3098731962,55
115165,198214,229459,-1.2191431147,7.6151579245,6.397211221099999,56
115190,198203,229502,-1.2765708571,7.585247642000001,6.439085616600001,57
115234,198200,229437,-0.9463613382999999,7.5194450205,6.305087551,58
115220,198158,229464,-0.9188438784,7.5541409482,6.3912291645999995,59
115124,198128,229454,-1.1760723079,7.5637122386,6.4402820279,60
115070,198096,229429,-1.1533404932,7.549355303,6.2668023894,61
115029,198067,229447,-1.1389835576,7.5517481256,6.3577296482,62
114985,198068,229421,-1.0995019847,7.4931239719,6.3254265431,63
114987,198072,229361,-1.0588240005,7.573283529,6.324230131799999,64
114998,198067,229380,-0.9918249677,7.568497883799999,6.4342999714,65
114992,198024,229365,-1.3292129543,7.365107962800001,6.4857456573,66
115049,198003,229394,-1.0588240005,7.5481588917,6.388836342,67
115080,198009,229424,-1.0839486378,7.5038916736,6.376872229,68
115124,198015,229384,-1.0504491214,7.542176835199999,6.4295143262,69
115096,198013,229388,-1.0456634762,7.5182486092000005,6.324230131799999,70
115064,197996,229360,-1.028913718,7.6343005053,6.3601224708,71
115117,197984,229397,-1.004985492,7.6402825618,6.4319071488,72
115101,198020,229347,-1.040877831,7.4823562701999995,6.3673009386,73
115129,198016,229357,-1.07677017,7.6055866341,6.4151573906,74
115149,198000,229361,-1.0253244841,7.6043902228,6.425925092299999,75
115169,198019,229369,-1.1449656141,7.5158557866,6.3206408979,76
115214,197978,229350,-0.9762716208,7.4344998182,6.3110696074999995,77
115226,198073,229394,-0.981057266,7.5696942951,6.3517475917,78
115258,198033,229400,-1.0432706536,7.5948189324,6.467799487800001,79
115291,198064,229434,-1.136590735,7.6618179652,6.4151573906,80
115316,198047,229420,-1.0636096457,7.4560352216,6.3314085996000005,81
115355,198054,229406,-1.0540383553,7.4524459877,6.3661045273,82
115381,198108,229431,-1.1150553316,7.501498850999999,6.3625152933999995,83
115430,198084,229463,-1.0217352502000001,7.612765101899999,6.412764568,84
115444,198095,229454,-1.8939190879,7.1617180418,6.5048882380999995,85
115453,198088,229476,-0.9415756931,7.6307112714,6.5156559398,86
115409,198064,229456,-1.1282158559,7.6175507471,6.4139609793000005,87
115327,198036,229490,-1.0121639598,7.5589265934,6.324230131799999,88
115214,198073,229442,-0.9296115801,7.3866433661999995,6.259623921599999,89
115179,198039,229430,-1.7551353771,7.198806792099999,6.5192451737,90
115144,198025,229402,-1.0827522265,7.4787670363,6.4905313025,91
115140,198039,229433,-1.0181460163,7.6319076827,6.422335858399999,92
115115,198035,229428,-1.0121639598,7.6139615132000005,6.3505511804,93
115143,198053,229426,-1.0061819033000001,7.5661050612,6.3912291645999995,94
115143,198038,229445,-0.9499505722,7.624729214899999,6.4055861002,95
115163,198074,229419,-1.0719845248,7.5242306657,6.324230131799999,96
115146,198038,229421,-1.0277173067,7.645068207,6.437889205299999,97
115130,198016,229431,-1.0133603711,7.6235328036,6.2919270267,98
115158,198012,229423,-1.0731809361,7.6821569573,6.3134624300999995,99
115129,197996,229435,-1.0707881135,7.5661050612,6.3804614629,100
115144,198044,229407,-1.1222337994,7.606783045399999,6.4474604957,101
115171,198048,229421,-1.028913718,7.612765101899999,6.381657874199999,102
115168,198047,229393,-0.897308475,7.4847490928,6.3792650516,103
115177,198035,229435,-1.0432706536,7.4823562701999995,6.4139609793000005,104
115220,198040,229424,-0.9798608547,7.6606215538999995,6.6819571105,105
115259,198031,229442,-0.9463613382999999,7.5673014725,6.3517475917,106
115262,198051,229429,-0.9667003303999999,7.5242306657,6.397211221099999,107
115280,198051,229448,-1.0217352502000001,7.5194450205,6.3457655352,108
115309,198061,229455,-1.1569297271,7.5828548194,6.419943035799999,109
115382,198097,229453,-0.4247260115,7.8556365958,6.1292150899,110
115393,198052,229445,-1.1174481541999999,7.5278198996,6.3673009386,111
115432,198063,229409,-0.9655039191,7.5828548194,6.3338014222,112
115437,198077,229499,-0.9954142015999999,7.6151579245,6.451049729599999,113
115470,198053,229460,-1.0013962581,7.5469624804,6.381657874199999,114
115503,198060,229462,-0.9343972253,7.749155990099999,6.384050696799999,115
115438,198059,229446,-1.0384850084,7.6701928443,6.4319071488,116
115372,197997,229448,-0.981057266,7.5637122386,6.3984076324000005,117
115208,197998,229434,-1.0145567824000001,7.635496916599999,6.419943035799999,118
115240,198009,229395,-0.9008977089,7.4380890521,6.4546389635,119
115160,198004,229394,-0.9858429111999999,7.6019974002,6.384050696799999,120
115106,198027,229433,-0.9523433948,7.624729214899999,6.3601224708,121
115146,198008,229390,-1.0313065406,7.6283184488,6.4402820279,122
115147,198013,229382,-1.0313065406,7.6283184488,6.4402820279,123
