green,red,IR,acc_x,acc_y,acc_z,sample_index
80363,207822,208752,0.8518448456000001,-8.975477572600001,-3.8213376922,1
80337,207821,208692,0.8111668613999999,-8.6763747476,-3.7399817238,2
80227,207841,208736,0.8757730716000001,-8.877371846,-3.7483566029,3
80396,207847,208764,0.9044869428,-8.8247297488,-3.7758740628,4
80484,207841,208739,0.8398807326,-8.8678005556,-3.7124642639,5
80578,207794,208731,0.7848458128,-8.7900338211,-3.7304104334000003,6
80605,207827,208739,0.8446663778000001,-8.817551281,-3.7663027724,7
80638,207903,208725,0.8937192411,-8.8115692245,-3.8213376922,8
80718,207814,208767,0.8147560952999999,-8.865407733,-3.7351960786,9
80748,207844,208819,0.8781658942,-8.8558364426,-3.6753755136,10
80886,207882,208750,0.8279166196,-8.7756768855,-3.732803256,11
81003,207855,208780,0.8410771438999999,-8.865407733,-3.7639099498,12
81135,207908,208792,0.8111668613999999,-8.8019979341,-3.7005001509,13
81262,207977,208813,0.9020941202,-8.8929251929,-3.7902309983999998,14
81411,207936,208783,0.7872386353999999,-8.7780697081,-3.7411781350999997,15
81523,207931,208834,0.8255237969999999,-8.8223369262,-3.7663027724,16
81709,207956,208800,0.8315058535,-8.9156570076,-3.7567314819999997,17
81853,207954,208791,0.7992027483999999,-8.8821574912,-3.8093735792,18
82032,207878,208811,0.9068797654,-8.8618184991,-3.6969109170000003,19
82206,208004,208834,0.9032905315,-8.918049830200001,-3.6873396266,20
82221,208039,208873,0.8386843212999999,-8.7876409985,-3.8368910391,21
82209,208060,208854,0.9116654106,-8.829515394,-3.7519458368,22
81949,207964,208827,0.9954142015999999,-8.8031943454,-3.7854453531999996,23
81721,207949,208822,0.7621139981,-8.8929251929,-3.7591243046000002,24
81616,207948,208821,0.8518448456000001,-8.8869431364,-3.7052857961,25
81616,207955,208832,0.9320044027,-8.937192411,-3.6837503927,26
81683,207957,208832,0.9643075078,-8.8630149104,-3.7591243046000002,27
81809,207952,208854,0.8422735552,-8.8678005556,-3.6753755136,28
81966,207974,208832,0.921236701,-8.9455672901,-3.7722848289,29
82070,208033,208832,0.8997012976000001,-9.010173500299999,-3.8189448695999997,30
82140,207986,208887,0.8386843212999999,-8.8630149104,-3.7782668854000003,31
82213,208021,208873,0.8327022648,-8.8749790234,-3.6658042232,32
82240,208026,208846,0.8434699665000001,-8.7804625307,-3.7902309983999998,33
82419,208064,208887,0.8913264185,-8.7828553533,-3.8117664018,34
82530,208001,208877,0.8255237969999999,-8.926424709299999,-3.8189448695999997,35
82688,208030,208831,0.9032905315,-8.877371846,-3.7339996673,36
82816,208119,208881,0.8255237969999999,-8.9024964833,-3.7244283769,37
82892,208123,208891,0.8913264185,-8.7421773691,-3.7112678526000002,38
83067,208159,208896,0.861416136,-8.7038922075,-3.7447673690000003,39
83115,208122,208909,0.8123632727,-8.9922273308,-3.732803256,40
83346,208205,208942,0.9798608547,-8.8678005556,-3.6885360378999996,41
83485,208178,208944,0.8267202082999999,-8.901300072,-3.7016965622000004,42
83508,208160,208955,1.0109675485,-8.8941216042,-3.7351960786,43
83339,208192,208941,0.9547362173999999,-8.9563349918,-3.6933216830999998,44
83068,208161,208963,0.8865407733,-8.8797646686,-3.7387853125,45
82906,208147,208945,0.9846464999,-8.841479506999999,-3.6478580537000003,46
82857,208164,208888,0.8350950873999999,-8.8474615635,-3.6442688197999997,47
82835,208145,208894,0.861416136,-8.8582292652,-3.6275190616,48
82891,208142,208915,0.9535398061,-8.85344362,-3.7998022888,49
83016,208210,208966,0.8255237969999999,-8.7840517646,-3.7495530142,50
83021,208208,208986,0.8327022648,-8.8630149104,-3.7064822074,51
83200,208226,208958,0.8949156524,-8.8558364426,-3.6227334164,52
83261,208213,208949,0.8566304908000001,-8.8438723296,-3.7639099498,53
83367,208255,208940,0.8003991597,-8.828318982699999,-3.6681970457999995,54
