green,red,IR,acc_x,acc_y,acc_z,sample_index
71522,158348,174829,-4.6935215299,5.8217373858000006,6.1806607758,1
71626,158372,174822,-4.7856452,5.7690952886,6.3182480753000005,2
71744,158377,174803,-4.8598227006,5.5884371823,6.3206408979,3
71862,158336,174831,-4.7449672158,5.778666579,6.257231098999999,4
71980,158403,174837,-4.6408794327,5.7858450468,6.1950177114,5
72096,158423,174911,-4.8131626599,5.6123654083000005,6.2117674696,6
72214,158393,174884,-4.773681087,5.7403814174,6.2081782357,7
72295,158408,174859,-4.7533420949,5.7822558129,6.2787665024,8
72177,158433,174848,-4.7306102802,5.745167062599999,6.1866428323,9
71896,158411,174805,-4.7258246349999995,5.5621161337,6.2548382764,10
71751,158379,174804,-4.6935215299,5.6159546422,6.293123438,11
71752,158401,174840,-4.8346980633,5.7020962558,6.2763736798,12
71857,158394,174836,-4.594219392,5.748756296500001,6.259623921599999,13
71981,158417,174812,-4.7688954418,5.7655060547,6.2715880346,14
72126,158420,174858,-4.6672004813,5.7439706513,6.2668023894,15
72295,158418,174886,-4.7186461672,5.745167062599999,6.2380885182,16
72352,158462,174863,-4.701896409,5.831308676200001,6.259623921599999,17
72414,158368,174858,-4.7330031028,5.7595239982,6.2356956956000005,18
72452,158423,174845,-4.6265224971,5.710471134900001,6.3074803736,19
72457,158417,174855,-4.6516471344,5.540580730299999,6.2201423487000005,20
72520,158453,174870,-4.7617169740000005,5.666203916800001,6.324230131799999,21
72603,158449,174854,-4.734199514099999,5.7643096434,6.2356956956000005,22
72641,158446,174856,-4.705485642899999,5.716453191399999,6.301498317099999,23
72723,158423,174856,-4.6013978598,5.6925249654,6.257231098999999,24
72792,158447,174831,-4.6767717716999995,5.720042425300001,6.2261244052,25
72863,158500,174869,-4.7401815706,5.7643096434,6.3601224708,26
72909,158438,174843,-4.6504507231,5.766702466,6.2237315826,27
72881,158464,174876,-4.7186461672,5.6853464976,6.2368921069,28
72641,158471,174823,-4.749752861,5.6219366987,6.302694728400001,29
72412,158427,174781,-4.788038022599999,5.6398828682,6.2620167442,30
72342,158356,174780,-4.8227339503,5.7092747236,6.2775700911,31
72366,158413,174760,-4.8394837085,5.6291151665,6.2907306154,32
72452,158441,174784,-4.6971107638,5.6733823846,6.2979090831999995,33
72537,158435,174763,-4.7832523774,5.806184038900001,6.218945937399999,34
72636,158441,174754,-4.5774696338,5.7272208931,6.245266986000001,35
72721,158443,174776,-4.6360937875,5.8755758943,6.2668023894,36
72739,158440,174816,-4.6923251185999995,5.7882378694,6.2883377928,37
72762,158463,174772,-4.671986126499999,5.6685967394,6.2955162605999995,38
72660,158452,174757,-4.7258246349999995,5.7056854897,6.2500526312,39
72754,158457,174765,-4.7030928203,5.694917788000001,6.305087551,40
72751,158455,174786,-4.8346980633,5.7942199259,6.301498317099999,41
72759,158427,174817,-4.7832523774,5.5645089563,6.2883377928,42
72783,158436,174783,-4.7162533446,5.745167062599999,6.2524454538,43
72795,158438,174751,-4.7665026192,5.6805608524,6.2799629137,44
72790,158464,174727,-4.8071806034,5.7379885948,6.2476598086,45
72669,158396,174770,-4.6827538282,5.7379885948,6.1519469046,46
72325,158400,174699,-4.6851466508,5.7690952886,6.2141602922,47
72019,158340,174665,-4.6839502395,5.7092747236,6.2309100503999995,48
71889,158353,174666,-4.6528435457,5.7403814174,6.2380885182,49
71891,158272,174649,-4.6923251185999995,5.7463634739,6.233302873,50
71933,158365,174641,-4.8825545153,5.7439706513,6.2500526312,51
72014,158365,174668,-4.7006999977,5.7379885948,6.245266986000001,52
72107,158388,174653,-4.8179483051,5.7008998445,6.3062839623,53
72165,158400,174701,-4.6767717716999995,5.7750773451,6.2309100503999995,54
72211,158425,174698,-4.844269353700001,5.7367921835,6.2404813408,55
72133,158421,174687,-4.7222354011,5.7296137157,6.2799629137,56
72133,158411,174670,-4.6815574169,5.706881900999999,6.2356956956000005,57
72153,158430,174657,-4.9256253221,5.7439706513,6.228517227799999,58
72170,158419,174679,-4.7928236678,5.6458649247,6.245266986000001,59
72229,158429,174692,-4.7042892316,5.827719442299999,6.2380885182,60
72270,158459,174724,-4.6325045536000005,5.693721376699999,6.228517227799999,61
72333,158462,174704,-4.8059841921,5.6135618196,6.257231098999999,62
72387,158466,174661,-4.6002014485,5.681757263700001,6.1818571871,63
72413,158456,174712,-4.8000021356,5.7236316592000005,6.2883377928,64
72113,158429,174685,-4.7521456836,5.778666579,6.2309100503999995,65
71683,158396,174631,-4.7282174576000005,5.790630692000001,6.2380885182,66
71373,158387,174609,-4.7844487887,5.6267223439,6.245266986000001,67
71265,158372,174593,-4.7617169740000005,5.651846981199999,6.3230337205,68
