green,red,IR,acc_x,acc_y,acc_z,sample_index
110844,171648,230850,6.9738814677,-0.21296121140000002,6.9702922337999995,1
110348,171608,230770,6.9547388869,-0.30747770409999997,6.9415783626,2
110086,171624,230763,6.879364975,-0.17587246110000002,6.987041992,3
110046,171599,230805,7.0767728395,-0.2787638329,6.9463640078,4
110084,171617,230788,7.0372912666,-0.1519442351,6.9954168711,5
110266,171651,230822,6.9655065886,-0.1734796385,6.9798635242,6
110448,171660,230826,7.141379049699999,-0.2105683888,6.9655065886,7
110506,171661,230812,6.934399894799999,-0.1411765334,6.8841506202,8
110517,171685,230859,6.9559352982,-0.3661018578,6.9966132824,9
110432,171646,230839,7.100701065499999,-0.1842473402,6.9451675965,10
110589,171651,230799,7.1090759446,-0.19860427579999998,6.8745793297999995,11
110652,171641,230832,6.977470701600001,-0.04307080679999999,6.9846491694,12
110751,171630,230839,7.0552374361,-0.1543370577,6.934399894799999,13
110879,171639,230855,7.0576302587,-0.155533469,6.903293200999999,14
111005,171661,230834,7.030112798799999,-0.2081755662,6.9044896123,15
111122,171677,230845,6.9822563468,-0.11964113,6.9056860235999995,16
111229,171674,230862,7.1270221141,-0.1639083481,6.934399894799999,17
111312,171663,230814,7.0576302587,-0.155533469,7.0516482022,18
111451,171668,230881,7.0289163875,-0.22492532440000002,6.935596306100001,19
111558,171670,230843,7.0420769118,-0.2608176634,6.906882434900001,20
111665,171665,230867,6.9415783626,-0.1399801221,7.022934331,21
111715,171667,230879,6.927221427,-0.1639083481,6.9714886451,22
111526,171641,230823,6.927221427,-0.1387837108,6.927221427,23
111021,171589,230786,6.893721910599999,-0.0777667345,7.0935225977,24
110520,171524,230725,6.948756830400001,-0.1495514125,6.9248286044,25
110209,171504,230725,6.9523460643,-0.1387837108,7.0360948553,26
110182,171530,230739,6.977470701600001,-0.2009970984,7.0193450971,27
110274,171576,230722,7.106683122,-0.1579262916,6.9499532417,28
110457,171555,230757,6.977470701600001,-0.2679961312,6.9367927174,29
110625,171577,230748,6.897311144500001,-0.21415762270000002,6.9200429592,30
110689,171594,230784,7.0480589683,-0.2560320182,6.9427747739,31
110682,171587,230806,7.0420769118,-0.24047867129999997,6.948756830400001,32
110689,171580,230785,6.866204450700001,-0.32901310749999996,7.0002025163,33
110703,171567,230760,7.0863441299,-0.11844471869999999,7.0624159039,34
110779,171574,230781,7.0169522744999995,-0.1507478238,6.9726850564,35
110844,171561,230747,6.9798635242,-0.17706887240000002,6.9439711852,36
110902,171581,230771,6.8638116281,-0.2644068973,7.0492553796,37
111030,171610,230740,6.9415783626,-0.2201396792,6.9942204598,38
111124,171598,230788,6.9726850564,-0.1890329854,6.9559352982,39
111123,171582,230766,7.094719009,-0.2009970984,6.922435781799999,40
111292,171602,230821,7.071987194299999,-0.1950150419,6.8877398540999994,41
111368,171597,230814,6.999006104999999,-0.2763710103,7.0217379197000005,42
111424,171603,230787,7.0061845728000005,-0.1710868159,6.9798635242,43
111222,171572,230776,6.9918276372,-0.2608176634,6.9906312259000005,44
110733,171517,230729,6.9116680801,-0.251246373,6.9559352982,45
110271,171483,230693,7.0289163875,-0.0681954441,6.8961147332,46
110025,171518,230668,6.891329088,-0.2931207685,6.9571317095,47
109945,171539,230667,6.993024048500001,-0.1746760498,6.9248286044,48
110087,171532,230688,7.014559451899999,-0.1351944769,7.0241307423,49
110271,171554,230720,6.9499532417,-0.1280160091,6.9463640078,50
110422,171578,230723,7.0408805005,-0.1746760498,6.9439711852,51
110420,171582,230728,7.0683979604,-0.17228322719999997,6.9535424756,52
110511,171558,230739,7.100701065499999,-0.1591227029,6.8853470315,53
110521,171590,230755,7.0624159039,-0.17587246110000002,7.0157558632,54
110485,171581,230775,6.9403819513,-0.2380858487,6.9284178383,55
110681,171615,230772,7.031309210100001,-0.16869399329999998,6.9284178383,56
110804,171607,230827,7.0791656621,-0.11246266220000001,6.8721865072,57
110951,171632,230854,7.004988161499999,-0.2069791549,6.8769721524,58
111051,171654,230838,7.0791656621,-0.179461695,6.989434814599999,59
111206,171649,230826,7.1222364689,-0.3182454058,6.8602223942,60
111359,171665,230824,6.9726850564,-0.2297109696,6.9595245321,61
111461,171663,230850,6.9523460643,-0.1579262916,6.9559352982,62
111615,171697,230879,7.0492553796,-0.2584248408,7.0791656621,63
111665,171676,230829,7.0540410248,-0.191425808,6.989434814599999,64
111434,171637,230837,6.9104716688000005,-0.2321037922,7.0325056214,65
110922,171631,230780,6.880561386299999,-0.1339980656,7.045666145699999,66
110361,171606,230740,7.045666145699999,-0.1710868159,6.8961147332,67
110160,171545,230734,6.9798635242,-0.2201396792,6.987041992,68
110097,171588,230731,7.0743800169,-0.13758729949999998,6.951149653,69
110166,171598,230795,6.9559352982,-0.0646062102,6.9499532417,70
110314,171614,230760,7.0073809841,-0.2440679052,6.9080788462000005,71
110511,171608,230832,6.9009003784,-0.17706887240000002,7.0289163875,72
110609,171644,230810,7.0839513072999996,-0.1543370577,6.918846547899999,73
110649,171620,230830,6.964310177300001,-0.2009970984,6.9846491694,74
110690,171675,230830,6.8410798134,-0.1160518961,6.975077879,75
110737,171661,230837,7.0504517909,-0.0669990328,6.934399894799999,76
110857,171632,230861,7.0540410248,-0.035892339,7.0516482022,77
111012,171635,230844,7.0923261864,-0.16151552549999998,7.0384876779,78
111090,171654,230861,7.0097738067,-0.1304088317,7.0097738067,79
111284,171696,230865,7.034898444,-0.19980068709999999,6.8889362654,80
111405,171689,230844,6.8877398540999994,-0.095712904,7.0013989275999995,81
111584,171724,230887,7.0037917501999996,-0.1052841944,6.9966132824,82
111653,171721,230843,7.0767728395,-0.2213360905,6.9846491694,83
111862,171727,230886,7.0648087265,-0.20578274359999998,7.0492553796,84
111948,171758,230863,7.0025953389,-0.17706887240000002,7.0360948553,85
112003,171724,230911,6.9367927174,-0.17587246110000002,7.034898444,86
111815,171697,230858,6.9427747739,-0.1351944769,6.9655065886,87
111292,171662,230762,6.9714886451,-0.2380858487,6.9966132824,88
110811,171666,230852,7.0205415084,-0.2333002035,6.9236321931,89
110531,171607,230804,6.9080788462000005,-0.1806581063,7.0002025163,90
110539,171664,230783,6.960720943399999,-0.2297109696,6.8327049343,91
110604,171654,230850,6.975077879,-0.0825523797,6.960720943399999,92
110750,171684,230854,6.8685972733,-0.1100698396,6.975077879,93
110877,171681,230825,7.0133630406,-0.0550349198,6.9463640078,94
111045,171667,230865,7.0253271536,-0.17228322719999997,6.8327049343,95
111075,171723,230852,7.0337020327,-0.28953153460000003,6.8949183219000005,96
111129,171743,230887,6.8159551761,-0.12442677519999999,6.903293200999999,97
111175,171711,230884,6.9655065886,-0.2560320182,6.9655065886,98
111279,171691,230870,7.0624159039,-0.1339980656,7.0133630406,99
111405,171716,230891,7.018148685799999,-0.2787638329,6.9738814677,100
111507,171715,230863,6.9415783626,-0.1842473402,6.8602223942,101
111658,171737,230911,7.0528446135,-0.16151552549999998,6.9583281208,102
111764,171751,230887,7.0360948553,-0.34815568830000004,6.9834527581,103
111924,171758,230907,6.9559352982,-0.1040877831,6.9954168711,104
112007,171737,230879,6.9726850564,-0.31345976059999997,6.960720943399999,105
112118,171758,230875,7.1437718723,-0.191425808,6.9655065886,106
112259,171754,230858,6.948756830400001,-0.2177468566,6.932007072199999,107
112340,171745,230860,6.9248286044,-0.1543370577,6.9248286044,108
112437,171753,230852,6.9535424756,-0.24765713909999998,7.1018974768000005,109
112427,171716,230917,6.951149653,-0.2213360905,6.9200429592,110
111939,171649,230814,7.0815584846999995,-0.11246266220000001,6.9260250157000005,111
111479,171621,230789,7.0325056214,-0.19381863059999999,7.031309210100001,112
111068,171586,230738,6.948756830400001,-0.12681959780000002,6.9200429592,113
110930,171596,230736,7.118647235,-0.1363908882,7.014559451899999,114
110939,171610,230780,6.9535424756,-0.2703889538,6.9009003784,115
111035,171629,230725,6.9559352982,-0.2847458894,7.045666145699999,116
111218,171619,230795,7.1342005819,-0.2344966148,7.014559451899999,117
111329,171690,230783,7.0289163875,-0.2105683888,6.918846547899999,118
111347,171634,230738,7.0672015491,-0.1746760498,6.9535424756,119
111365,171658,230734,6.9176501366,-0.10289137179999999,6.9176501366,120
111367,171658,230761,7.0564338474,-0.19980068709999999,7.0767728395,121
111368,171622,230757,7.0253271536,-0.071784678,7.014559451899999,122
111481,171618,230726,6.927221427,-0.227318147,7.0085773954,123
111578,171632,230740,6.897311144500001,-0.19980068709999999,6.9702922337999995,124
111693,171614,230746,6.927221427,-0.2835494781,7.0408805005,125
111788,171628,230744,7.0420769118,-0.1052841944,6.9332034835,126
111902,171638,230731,7.0624159039,-0.215354034,6.922435781799999,127
111995,171631,230739,6.9080788462000005,-0.11246266220000001,6.9906312259000005,128
112129,171645,230744,6.964310177300001,-0.1459621786,6.9726850564,129
112197,171613,230739,7.110272355899999,-0.1866401628,6.932007072199999,130
112287,171660,230709,7.018148685799999,-0.155533469,6.9535424756,131
112332,171641,230745,7.141379049699999,-0.28115665549999996,6.960720943399999,132
112291,171610,230732,6.9678994112,-0.1220339526,7.0480589683,133
111801,171590,230651,7.0983082429,-0.3026920589,6.9439711852,134
111282,171548,230669,6.9690958225,-0.035892339,6.9738814677,135
110959,171536,230635,7.046862557000001,-0.251246373,6.9822563468,136
110803,171520,230633,7.0085773954,-0.2799602442,6.8769721524,137
110842,171540,230645,7.0935225977,-0.20578274359999998,6.8745793297999995,138
110982,171549,230673,6.9583281208,-0.0586241537,6.9906312259000005,139
111174,171601,230694,6.9535424756,-0.1280160091,6.964310177300001,140
111256,171575,230647,6.9882384033,-0.16869399329999998,6.951149653,141
111238,171616,230673,7.1365934045,-0.2679961312,6.9571317095,142
111278,171619,230658,6.9427747739,-0.17706887240000002,6.8733829185,143
111292,171603,230704,6.8566331603,-0.1280160091,7.0097738067,144
111357,171619,230703,6.8566331603,-0.1280160091,7.0097738067,145
111482,171646,230708,6.8566331603,-0.1280160091,7.0097738067,146
111573,171647,230682,6.8566331603,-0.1280160091,7.0097738067,147
111723,171659,230741,6.8566331603,-0.1280160091,7.0097738067,148
111840,171663,230741,6.8566331603,-0.1280160091,7.0097738067,149
111964,171687,230721,6.8566331603,-0.1280160091,7.0097738067,150
112063,171708,230740,6.8566331603,-0.1280160091,7.0097738067,151
112194,171710,230721,6.8566331603,-0.1280160091,7.0097738067,152
112335,171713,230720,6.8566331603,-0.1280160091,7.0097738067,153
112451,171712,230754,6.8566331603,-0.1280160091,7.0097738067,154
112448,171729,230731,6.8566331603,-0.1280160091,7.0097738067,155
112065,171678,230714,6.8566331603,-0.1280160091,7.0097738067,156
111502,171615,230669,6.8566331603,-0.1280160091,7.0097738067,157
111053,171632,230673,6.8566331603,-0.1280160091,7.0097738067,158
110884,171655,230644,6.8566331603,-0.1280160091,7.0097738067,159
110841,171633,230666,6.8566331603,-0.1280160091,7.0097738067,160
110962,171650,230662,6.8566331603,-0.1280160091,7.0097738067,161
111123,171652,230710,6.8566331603,-0.1280160091,7.0097738067,162
111226,171685,230724,6.8566331603,-0.1280160091,7.0097738067,163
111279,171690,230744,6.8566331603,-0.1280160091,7.0097738067,164
111300,171702,230752,6.8566331603,-0.1280160091,7.0097738067,165
