green,red,IR,acc_x,acc_y,acc_z,sample_index
88040,185107,232379,-4.1682969692,3.3355947043999996,8.2456666796,1
88081,185103,232391,-4.1970108404,3.3212377687999997,8.226524098799999,2
88115,185127,232423,-4.235296002,3.3308090592,8.2121671632,3
88088,185135,232421,-4.1551364449,3.421736318,8.3461652288,4
88209,185150,232415,-4.1694933805000005,3.1884361145,8.3114693011,5
88242,185157,232416,-4.2975093896,3.3032915993,8.4035929712,6
88235,185107,232405,-4.1970108404,3.2925238975999997,8.2887374864,7
87980,184970,232374,-4.2209390664,3.3774690999,8.1978102276,8
87719,184874,232278,-4.1982072517,3.3499516399999996,8.3126657124,9
87684,184872,232323,-4.2029928969000006,3.2350961552,8.3210405915,10
87662,184906,232347,-4.2257247116,3.3020951879999996,8.240881034400001,11
87719,184911,232310,-4.2340995907,3.3918260355000003,8.3449688175,12
87835,184933,232369,-4.2448672924,3.4432717214,8.2600236152,13
87947,184975,232423,-4.2161534212,3.2829526072,8.254041558700001,14
88010,185002,232401,-4.0785661217,3.278166962,8.3114693011,15
88047,185004,232429,-4.258027816699999,3.4301111971,8.2875410751,16
88072,184986,232448,-4.1934216065,3.3355947043999996,8.2456666796,17
88048,184989,232415,-4.3166519704,3.3559336964999997,8.327022648,18
88084,185012,232447,-4.2305103568,3.2590243811999997,8.2600236152,19
88132,185013,232401,-4.1503507997,3.1884361145,8.303094422,20
88174,185021,232449,-4.0689948312999995,3.2877382523999996,8.227720510100001,21
88236,185051,232440,-4.320241204299999,3.2937203089,8.207381518,22
88273,185025,232445,-4.1587256788,3.3870403903,8.2504523248,23
88348,185060,232457,-4.2077785421,3.2590243811999997,8.207381518,24
88395,185093,232464,-4.1970108404,3.3499516399999996,8.3449688175,25
88434,185073,232481,-4.1742790257,3.2171499857,8.327022648,26
88501,185102,232509,-4.2077785421,3.2841490185,8.2839518412,27
88453,185042,232449,-4.2305103568,3.3583265191000002,8.226524098799999,28
88149,184922,232396,-4.2305103568,3.4205399067,8.1942209937,29
87884,184829,232300,-4.1491543884,3.278166962,8.3258262367,30
87825,184805,232323,-4.3262232608,3.2590243811999997,8.231309744,31
87853,184812,232332,-4.320241204299999,3.3631121643,8.226524098799999,32
87902,184850,232399,-4.2879380992,3.3678978095,8.2743805508,33
88006,184903,232425,-4.235296002,3.2685956716,8.3222370028,34
88116,184929,232450,-4.1934216065,3.4157542615,8.398807326,35
88218,184929,232419,-4.3860438258,3.3834511564,8.3545401079,36
88218,184916,232442,-4.2305103568,3.3643085755999995,8.25523797,37
88217,184951,232422,-4.1587256788,3.182454058,8.327022648,38
88211,184922,232430,-4.2065821308,3.3212377687999997,8.2743805508,39
88238,184927,232433,-4.2771703975,3.2877382523999996,8.3497544627,40
88244,184932,232424,-4.2340995907,3.4253255519,8.3126657124,41
88313,184977,232450,-4.1730826144,3.3547372851999997,8.3413795836,42
88364,184951,232466,-4.2448672924,3.3930224468000003,8.236095389199999,43
88410,184991,232505,-4.2879380992,3.2494530908,8.3114693011,44
88449,184987,232512,-4.2017964856,3.2733813167999997,8.240881034400001,45
88502,185023,232487,-4.2532421715,3.2817561959000003,8.316254946299999,46
88548,185074,232499,-4.1922251952,3.4588250683,8.2636128491,47
88572,185016,232468,-4.3322053173,3.3966116807,8.3353975271,48
88465,184961,232457,-4.2484565263,3.2973095428,8.1511501869,49
88148,184816,232392,-4.1886359613,3.4061829711000002,8.1930245824,50
87922,184728,232310,-4.1623149127,3.4109686163,8.2253276875,51
87908,184751,232366,-4.2161534212,3.2458638569,8.170292767700001,52
87853,184760,232398,-4.1970108404,3.23031051,8.2636128491,53
88007,184804,232400,-4.283152454,3.3547372851999997,8.226524098799999,54
88109,184825,232429,-4.2675991071,3.3774690999,8.2971123655,55
88194,184861,232451,-4.001995798499999,3.3631121643,8.373682688699999,56
88217,184891,232454,-4.259224228,3.2626136151000003,8.3222370028,57
88246,184872,232461,-4.2101713647,3.4121650276000004,8.293523131599999,58
88245,184871,232455,-4.0785661217,3.1740791789,8.2504523248,59
88277,184866,232457,-4.3262232608,3.3403803495999997,8.3545401079,60
88287,184894,232478,-4.2340995907,3.3116664784,8.159525066,61
88324,184883,232423,-4.1790646709,3.3547372851999997,8.4167534955,62
88309,184851,232420,-4.115654872,3.2973095428,8.2731841395,63
88139,184780,232402,-4.1503507997,3.3212377687999997,8.1415788965,64
88067,184747,232421,-4.1072799929,3.3547372851999997,8.4023965599,65
88095,184797,232392,-4.0869410008000004,3.2338997439000003,8.2683984943,66
88185,184818,232414,-4.1491543884,3.4061829711000002,8.2456666796,67
88304,184842,232483,-4.2209390664,3.3571301077999998,8.3545401079,68
