green,red,IR,acc_x,acc_y,acc_z,sample_index
98818,192314,267037,2.0255243308999997,-8.7146599092,3.7651063610999995,1
97588,192217,266929,2.0003996936,-8.7146599092,3.780659708,2
96629,192157,266844,1.8735800958,-8.685946038,3.7280176108,3
96176,192080,266861,1.9896319919,-8.7014993849,3.6466616424,4
95964,192153,266855,2.0709879603,-8.6153577713,3.7375889012,5
95973,192159,266871,2.2085752598,-8.8247297488,3.6993037396,6
96151,192253,266857,2.0709879603,-8.752945070800001,3.6514472876,7
96312,192270,266954,2.0530417908,-8.5806618436,3.6945180944,8
96391,192353,266951,2.1714865095,-8.7720876516,3.8033915226999997,9
96387,192376,267057,2.1236300575,-8.8008015228,3.6801611588,10
96384,192397,267063,2.0865413072,-8.7110706753,3.7040893848,11
96473,192445,267033,2.1008982428,-8.8343010392,3.8033915226999997,12
96681,192481,267103,2.0757736055,-8.7804625307,3.6993037396,13
96900,192503,267193,2.0051853388,-8.6919280945,3.6801611588,14
97155,192598,267166,2.1104695332,-8.6440716425,3.6705898684,15
97407,192649,267270,1.9345970721,-8.7349989013,3.7698920062999997,16
97655,192691,267281,2.105683888,-8.6679998685,3.7363924898999996,17
97917,192807,267319,2.0470597343,-8.8869431364,3.7052857961,18
98119,192889,267369,2.1619152191,-8.7637127725,3.6658042232,19
98359,192875,267423,1.9788642901999998,-8.7242311996,3.7902309983999998,20
98566,192969,267452,2.0327027987,-8.8713897895,3.6897324492,21
98759,193062,267561,2.0997018315,-8.596215190499999,3.4887353508000003,22
99031,193025,267532,2.1762721547,-8.8869431364,3.7232319655999997,23
99273,193126,267612,1.9298114269,-8.6715891024,3.8321053939,24
99524,193116,267628,2.1942183242,-8.8438723296,3.6227334164,25
99747,193174,267589,2.1379869930999997,-8.7290168448,3.6909288605,26
99628,193118,267587,2.0147566292,-8.7050886188,3.7088750299999997,27
98795,193025,267511,1.9345970721,-8.6775711589,3.6622149893000002,28
97732,192910,267416,2.0470597343,-8.7768732968,3.7375889012,29
97085,192850,267330,2.1343977592,-8.6775711589,3.6143585373000002,30
96852,192827,267305,2.15354034,-8.7804625307,3.6658042232,31
96827,192849,267310,2.0470597343,-8.876175434699999,3.7986058774999996,32
96948,192872,267331,2.0243279196,-8.6440716425,3.7938202323,33
97222,192923,267404,1.9956140484,-8.8103728132,3.7615171272,34
97433,192923,267397,1.8867406201,-8.7912302324,3.6801611588,35
97513,192947,267381,2.0530417908,-8.8618184991,3.6658042232,36
97559,192967,267441,2.0769700168,-8.752945070800001,3.7280176108,37
97690,192956,267383,2.1188444122999996,-8.781658942,3.5952159565,38
97845,192961,267362,2.0805592507,-8.6871424493,3.6466616424,39
98152,192951,267480,2.0709879603,-8.805587167999999,3.7316068447,40
98402,192984,267453,1.9716858223999998,-8.7062850301,3.7459637803,41
98716,192985,267486,2.0913269524,-8.7912302324,3.7088750299999997,42
99018,192917,267467,2.0243279196,-8.7290168448,3.5760733757,43
99312,193013,267470,2.1284157027,-8.829515394,3.7519458368,44
99560,193018,267509,2.2013967919999997,-8.739784546500001,3.6993037396,45
99821,193045,267467,2.2061824372,-8.6560357555,3.6897324492,46
100082,193016,267517,2.081755662,-8.8103728132,3.7088750299999997,47
100325,193042,267455,2.0291135648000003,-8.7912302324,3.7698920062999997,48
100572,193004,267483,2.1104695332,-8.5914295453,3.6765719249,49
