green,red,IR,acc_x,acc_y,acc_z,sample_index
135424,217939,267157,-4.0857445895,-0.2105683888,8.913264185,1
134451,217849,267069,-4.1288153963,-0.2715853651,8.8869431364,2
132977,217590,266954,-4.0187455567,-0.2261217357,8.9455672901,3
131800,217439,266881,-4.0510486617999995,-0.2799602442,9.0173519681,4
131159,217406,266804,-3.9768711611999996,-0.1328016543,8.9910309195,5
130850,217380,266753,-4.043870194,-0.2452643165,8.805587167999999,6
130913,217387,266743,-3.9254254753,-0.2703889538,8.8630149104,7
131096,217375,266787,-3.9996029759000002,-0.2213360905,8.806783579300001,8
131442,217406,266826,-4.103690759,-0.33140593009999997,8.8869431364,9
131779,217399,266832,-4.1108692268,-0.227318147,8.9324067658,10
132022,217495,266842,-4.0869410008000004,-0.2584248408,8.9276211206,11
132054,217450,266876,-4.0965122912,-0.2620140747,8.939585233599999,12
132035,217489,266896,-4.0247276132000005,-0.21296121140000002,8.8582292652,13
132088,217473,266902,-3.996013742,-0.19381863059999999,8.8630149104,14
132193,217460,266853,-3.9529429352,-0.34097722049999996,8.985048863000001,15
132404,217513,266858,-3.8679977328999997,-0.17706887240000002,8.8247297488,16
132665,217546,266898,-3.996013742,-0.1710868159,8.8989072494,17
132987,217568,266924,-4.1228333398,-0.1734796385,8.8941216042,18
133299,217605,266975,-3.9290147091999996,-0.32542387359999997,8.937192411,19
133552,217642,266953,-3.9062828945,-0.32901310749999996,8.8749790234,20
133917,217587,266996,-4.1252261624,-0.1710868159,8.9216390641,21
134195,217738,267045,-4.0354953148999995,-0.16749758199999998,8.793623055,22
134461,217738,267055,-4.091726646,-0.227318147,9.041280194099999,23
134759,217775,267117,-4.0007993872,-0.24167508259999998,8.877371846,24
135060,217742,267145,-4.007977855,-0.3038884702,8.9156570076,25
135306,217849,267094,-4.0570307183,-0.1926222193,8.925228298,26
135560,217940,267131,-4.019941968,-0.2261217357,8.828318982699999,27
135793,217934,267155,-4.1312082188999995,-0.25363919560000003,8.8630149104,28
136063,217916,267204,-4.1108692268,-0.3278166962,8.831908216599999,29
136317,218027,267193,-3.9888352742,-0.1579262916,8.8917287816,30
136390,217921,267202,-4.0007993872,-0.18185451760000002,8.9216390641,31
135839,217939,267171,-4.1503507997,-0.1974078645,8.9060857172,32
134622,217831,267106,-4.0654055974,-0.3900300838,8.817551281,33
133517,217684,267027,-4.0582271296000005,-0.3661018578,8.8989072494,34
132822,217554,266935,-4.0031922098,-0.2380858487,8.8163548697,35
132540,217588,266912,-3.9984065645999998,-0.1926222193,8.8103728132,36
132572,217587,266901,-4.0725840652,-0.2560320182,8.9072821285,37
132703,217600,266934,-4.0295132584,-0.1651047594,8.8271225714,38
133201,217550,266928,-3.8560336199000003,-0.1974078645,8.7720876516,39
133560,217679,267034,-4.0163527341,-0.31944181709999997,8.8989072494,40
133831,217744,266987,-3.9349967657,-0.2679961312,8.8486579748,41
133878,217728,267014,-4.0737804765,-0.1471585899,9.0149591455,42
133838,217702,266972,-3.9684962821,-0.215354034,8.829515394,43
133844,217641,266997,-4.1575292675,-0.21296121140000002,8.8809610799,44
133842,217735,266984,-4.0510486617999995,-0.2380858487,8.8678005556,45
134086,217650,267040,-3.9517465239000003,-0.33858439789999994,8.8127656358,46
134353,217739,267063,-3.8464623295,-0.2177468566,8.8929251929,47
134630,217801,267105,-4.2065821308,-0.2608176634,8.918049830200001,48
134946,217830,267090,-4.1778682596,-0.1746760498,8.9036928946,49
135191,217821,267035,-4.2149570099,-0.2297109696,8.8235333375,50
135454,217858,267155,-4.091726646,-0.2225325018,9.0975115252,51
135736,217883,267088,-4.0283168471,-0.287138712,8.9120677737,52
135990,218015,267124,-4.0713876539,-0.2584248408,8.9276211206,53
136226,217980,267194,-3.9828532177,-0.19860427579999998,8.8223369262,54
136181,217914,267168,-3.8811582571999996,-0.1603191142,8.8833539025,55
135468,217884,267077,-3.9182470075,-0.1950150419,8.8582292652,56
134350,217773,267058,-4.1563328562,-0.1746760498,9.0041914438,57
133401,217677,266946,-4.0989051138,-0.24167508259999998,8.9228354754,58
132870,217630,266922,-3.9098721283999995,-0.24885355039999998,8.8606220878,59
132697,217544,266912,-4.1144584607,-0.1974078645,8.9096749511,60
132814,217583,266930,-4.0857445895,-0.1974078645,8.918049830200001,61
133036,217629,266909,-3.876372612,-0.18185451760000002,8.885746725099999,62
133373,217643,266977,-3.9780675724999996,-0.23569302609999998,8.8749790234,63
133619,217677,267001,-3.9469608787,-0.2943171798,8.9060857172,64
133706,217654,266975,-3.9314075318,-0.3026920589,8.9048893059,65
133742,217730,267003,-4.06779842,-0.2297109696,8.8271225714,66
133715,217652,266945,-3.9110685397,-0.3158525832,8.8917287816,67
133734,217693,266989,-3.9493537012999997,-0.2584248408,8.9347995884,68
133878,217618,266994,-4.0187455567,-0.1890329854,8.930013943199999,69
134082,217630,267044,-4.0007993872,-0.3182454058,8.8941216042,70
134344,217695,267000,-4.092923057299999,-0.1495514125,8.8247297488,71
134599,217722,267037,-3.9230326527000003,-0.1423729447,8.8678005556,72
134833,217778,267049,-4.0785661217,-0.1543370577,8.8797646686,73
135056,217795,267105,-3.9792639838,-0.21296121140000002,8.901300072,74
135317,217889,267109,-4.1300118076,-0.287138712,8.817551281,75
135510,217767,267126,-3.9433716447999996,-0.34456645439999994,8.872586200799999,76
135358,217792,267076,-3.9732819273,-0.28115665549999996,8.7996051115,77
134293,217706,266995,-3.9649070482,-0.2225325018,8.8343010392,78
132887,217554,266831,-3.9326039431,-0.3302095188,8.9276211206,79
131813,217419,266822,-4.0773697104,-0.34337004309999997,8.9659062822,80
131202,217370,266780,-3.9505501125999998,-0.2309073809,8.975477572600001,81
130962,217353,266721,-4.0414773714,-0.24646072779999997,8.9336031771,82
130921,217292,266722,-3.9661034595,-0.2620140747,8.8869431364,83
131076,217226,266724,-3.9062828945,-0.12083754129999999,8.8630149104,84
131428,217284,266775,-3.9481572899999997,-0.215354034,8.918049830200001,85
131747,217307,266793,-3.8823546685,-0.2009970984,8.9324067658,86
131925,217389,266825,-3.9062828945,-0.227318147,8.831908216599999,87
132006,217411,266810,-3.9912280968,-0.3002992363,8.889335959,88
131948,217373,266819,-3.9768711611999996,-0.1423729447,8.8833539025,89
131961,217354,266805,-3.9158541848999997,-0.20338992099999997,8.8546400313,90
132043,217376,266823,-4.0127635002,-0.215354034,8.8809610799,91
132282,217411,266849,-4.0941194686,-0.2309073809,8.9407816449,92
132571,217455,266851,-3.8907295476,-0.3684946804,8.8103728132,93
132879,217452,266822,-3.9972101532999997,-0.1830509289,8.8953180155,94
133143,217475,266894,-3.9457644674,-0.2979064137,8.9694955161,95
133386,217418,266868,-4.0486558392,-0.2009970984,8.8965144268,96
133634,217538,266916,-3.9732819273,-0.23688943739999999,8.8259261601,97
133860,217582,266915,-4.0247276132000005,-0.2105683888,8.8965144268,98
134043,217516,266947,-3.8560336199000003,-0.3361915753,8.8606220878,99
134260,217668,266975,-3.9613178143,-0.3182454058,8.9204426528,100
134481,217634,266995,-4.0390845488,-0.251246373,8.8845503138,101
134653,217697,266998,-4.0007993872,-0.2667997199,8.9336031771,102
134114,217609,266917,-4.1192441059,-0.1962114532,8.8606220878,103
132849,217422,266852,-3.8691941442,-0.1411765334,8.9407816449,104
131450,217345,266762,-4.0247276132000005,-0.19980068709999999,8.8941216042,105
130443,217192,266679,-4.0534414844,-0.20338992099999997,8.8797646686,106
129972,217090,266648,-4.0893338234,-0.19860427579999998,8.9324067658,107
129810,217050,266658,-4.0725840652,-0.191425808,8.9204426528,108
129879,217073,266595,-3.996013742,-0.23928226,8.831908216599999,109
130070,217076,266664,-4.0414773714,-0.215354034,8.9551385805,110
130492,217126,266682,-3.9182470075,-0.12681959780000002,8.9383888223,111
130846,217151,266659,-3.9349967657,-0.2847458894,8.9539421692,112
131019,217196,266701,-4.0223347905999995,-0.1280160091,8.949156524,113
131055,217168,266737,-4.0749768878,-0.17228322719999997,8.877371846,114
131002,217113,266696,-3.9972101532999997,-0.33140593009999997,8.841479506999999,115
131086,217181,266727,-3.8727833781,-0.155533469,8.9048893059,116
131218,217196,266696,-4.055834307,-0.31345976059999997,8.8151584584,117
131463,217242,266770,-3.8476587407999996,-0.179461695,9.0029950325,118
131759,217313,266800,-4.0223347905999995,-0.21894326790000002,8.9060857172,119
132071,217321,266789,-4.0462630166,-0.2081755662,8.9467637014,120
132343,217353,266868,-3.9517465239000003,-0.21894326790000002,8.8701933782,121
132622,217395,266859,-4.1120656381,-0.2344966148,8.8797646686,122
132884,217389,266943,-4.0031922098,-0.21415762270000002,8.918049830200001,123
133131,217448,266878,-4.0450666053,-0.2321037922,8.9539421692,124
133409,217493,266969,-3.9421752335,-0.1280160091,8.9551385805,125
133659,217560,266973,-4.043870194,-0.1304088317,8.901300072,126
133941,217537,266976,-3.9146577735999997,-0.17228322719999997,8.8558364426,127
134152,217588,267006,-4.0893338234,-0.2201396792,8.7948194663,128
134398,217662,267046,-4.0462630166,-0.2799602442,8.9766739839,129
134610,217636,267059,-4.126422573699999,-0.20338992099999997,8.8343010392,130
134802,217700,267056,-4.0331024923,-0.191425808,8.8941216042,131
135039,217722,267063,-4.079762533,-0.42592242280000003,8.9096749511,132
135178,217729,267098,-3.9876388629,-0.24287149389999999,8.8678005556,133
134653,217680,267000,-3.9756747499,-0.0765703232,8.8989072494,134
133361,217544,266893,-3.8608192651000004,-0.1974078645,8.829515394,135
132026,217416,266828,-4.0366917262,-0.16869399329999998,8.8438723296,136
131062,217181,266784,-4.031906081,-0.2452643165,8.9204426528,137
130642,217204,266725,-3.9756747499,-0.14476576730000001,8.8390866844,138
130552,217186,266696,-4.0689948312999995,-0.2931207685,8.8630149104,139
130745,217208,266723,-3.9326039431,-0.1423729447,8.8390866844,140
131143,217249,266745,-4.0402809601,-0.30747770409999997,8.9647098709,141
131576,217252,266788,-4.1324046302,-0.2919243572,8.9204426528,142
131898,217309,266832,-4.1551364449,-0.2165504453,8.913264185,143
132040,217321,266817,-4.0941194686,-0.3026920589,8.8809610799,144
132031,217384,266799,-4.1312082188999995,-0.11844471869999999,8.8271225714,145
131934,217328,266800,-4.0725840652,-0.28115665549999996,8.8821574912,146
131935,217327,266808,-4.1120656381,-0.3661018578,8.8833539025,147
132060,217365,266793,-4.0115670889,-0.1890329854,8.7864445872,148
132035,217276,266827,-3.8404802730000003,-0.2799602442,8.8438723296,149
131717,217307,266767,-4.0905302347,-0.21894326790000002,8.833104627900001,150
131316,217183,266713,-4.091726646,-0.2967100024,8.998209387300001,151
131131,217214,266730,-3.9349967657,-0.1950150419,8.865407733,152
131411,217296,266757,-3.9852460403000003,-0.3361915753,8.8103728132,153
131922,217301,266790,-4.0570307183,-0.20937197749999997,8.9419780562,154
132489,217393,266897,-4.1647077353,-0.0693918554,8.9575314031,155
132968,217474,266899,-3.9708891047,-0.2799602442,8.8223369262,156
133255,217498,266930,-4.043870194,-0.215354034,9.0077806777,157
133324,217515,266892,-4.2101713647,-0.20578274359999998,8.9587278144,158
133361,217505,266920,-4.0151563228,-0.1734796385,8.8031943454,159
133396,217497,266927,-4.0486558392,-0.2943171798,8.97308475,160
133528,217446,266929,-4.0067814437,-0.39122649509999996,8.7637127725,161
133767,217544,266938,-3.9804603951,-0.1471585899,8.9144605963,162
134054,217634,266972,-3.9984065645999998,-0.1160518961,8.8008015228,163
134367,217623,266935,-3.9278182979,-0.2009970984,8.944370878800001,164
134620,217702,267030,-4.1048871703,-0.2787638329,8.8689969669,165
134847,217689,267029,-4.079762533,-0.24646072779999997,8.876175434699999,166
135199,217699,267107,-4.0187455567,-0.18783657410000001,8.8582292652,167
135406,217736,267081,-4.0139599115,-0.2380858487,8.8582292652,168
135646,217829,267104,-4.1180476945999995,-0.2967100024,8.9551385805,169
135832,217780,267148,-3.9158541848999997,-0.2727817764,8.913264185,170
135930,217897,267159,-4.0247276132000005,-0.2644068973,8.8821574912,171
