green,red,IR,acc_x,acc_y,acc_z,sample_index
103122,159804,185722,1.9932212258000002,-9.0017986212,-3.2889346637,1
103016,159795,185733,2.1798613886,-8.8917287816,-3.3044880106,2
103103,159745,185722,2.0865413072,-8.9060857172,-3.3092736558,3
103118,159760,185726,2.1738793321000003,-8.937192411,-3.2949167202,4
103081,159730,185779,2.0362920326,-8.8713897895,-3.3690942208,5
103208,159756,185749,2.0769700168,-8.872586200799999,-3.3667013982,6
103160,159771,185666,2.0745771942,-8.9778703952,-3.3044880106,7
103174,159755,185733,2.1906290903,-9.0185483794,-3.2650064377,8
103193,159770,185741,2.141576227,-8.918049830200001,-3.3284162366,9
103212,159801,185729,2.0075781614,-8.864211321700001,-3.3403803495999997,10
103227,159801,185718,2.1583259852,-8.9515493466,-3.337987527,11
103281,159795,185760,2.1978075581,-8.748159425599999,-3.2817561959000003,12
103299,159799,185736,2.0745771942,-8.7792661194,-3.2769705507,13
103284,159813,185757,2.057827436,-8.8917287816,-3.2721849055,14
103318,159801,185728,2.1427726383,-8.8450687409,-3.3595229304,15
103350,159872,185755,1.9932212258000002,-8.7014993849,-3.2817561959000003,16
103361,159894,185788,2.1643080417,-8.877371846,-3.361915753,17
103361,159884,185772,2.1355941704999997,-8.8785682573,-3.2554351473,18
103336,159855,185758,2.0733807828999997,-9.1298146303,-3.361915753,19
103239,159814,185788,2.0650059038,-8.9419780562,-3.2506495021,20
103133,159851,185695,2.2552353005,-8.757730716,-3.3104700671000002,21
103088,159738,185715,2.2815563491,-8.865407733,-3.2877382523999996,22
103055,159735,185722,2.0075781614,-8.9204426528,-3.3188449462,23
103047,159720,185692,2.1942183242,-8.8163548697,-3.2327033326,24
103074,159740,185692,2.1954147355,-8.7852481759,-3.3020951879999996,25
103130,159725,185700,2.2097716711,-8.930013943199999,-3.2805597846,26
103116,159742,185692,2.0949161863,-8.8307118053,-3.2985059541,27
103144,159743,185718,2.0913269524,-8.873782612100001,-3.326023414,28
103132,159750,185660,2.0673987264,-9.0269232585,-3.2997023654,29
103149,159744,185697,2.0279171535,-8.8845503138,-3.3212377687999997,30
103176,159765,185680,2.2791635265,-8.925228298,-3.3403803495999997,31
103195,159770,185684,2.0410776778,-8.9156570076,-3.2386853891,32
103212,159760,185720,2.1080767106,-8.8498543861,-3.3667013982,33
103227,159769,185706,1.9920248145,-8.8845503138,-3.2494530908,34
103287,159799,185714,1.9884355805999998,-8.9539421692,-3.3044880106,35
103289,159805,185696,2.069791549,-8.8402830957,-3.3690942208,36
103326,159822,185752,2.0961125976,-8.8223369262,-3.3355947043999996,37
103343,159829,185756,2.0949161863,-8.872586200799999,-3.3523444626,38
103357,159845,185747,2.0638094925,-8.85344362,-3.3188449462,39
103361,159845,185779,2.0159530405,-8.876175434699999,-3.314059301,40
103300,159852,185720,2.0434705004000002,-8.8426759183,-3.2410782117,41
103200,159853,185765,2.1152551784,-8.8821574912,-3.2985059541,42
103118,159762,185733,2.0171494518,-8.831908216599999,-3.3176485349,43
103090,159727,185730,2.1427726383,-8.8546400313,-3.3020951879999996,44
103055,159757,185720,2.189432679,-8.9898345082,-3.2997023654,45
103010,159734,185687,2.2624137683,-8.8235333375,-3.2973095428,46
103090,159747,185700,2.0291135648000003,-8.806783579300001,-3.242274623,47
103115,159721,185680,2.2552353005,-8.864211321700001,-3.3212377687999997,48
103128,159722,185694,2.1750757434,-8.8821574912,-3.3954152694,49
103153,159734,185713,2.0566310246999997,-9.0017986212,-3.3068808331999997,50
103158,159750,185702,2.2683958248,-8.8630149104,-3.3499516399999996,51
103175,159772,185658,2.2313070745,-8.8869431364,-3.3738798660000002,52
103165,159766,185705,2.1643080417,-8.8785682573,-3.2973095428,53
103202,159755,185692,2.0566310246999997,-8.757730716,-3.3571301077999998,54
103221,159801,185711,2.1355941704999997,-8.9084785398,-3.3164521235999995,55
103245,159779,185705,2.1188444122999996,-8.9036928946,-3.3427731722,56
103259,159775,185691,2.1367905818,-8.828318982699999,-3.3403803495999997,57
103285,159775,185719,2.141576227,-8.8474615635,-3.3080772444999997,58
103318,159814,185721,1.9920248145,-8.8630149104,-3.2410782117,59
103342,159872,185759,2.1080767106,-8.8103728132,-3.3200413575,60
103371,159824,185736,2.0518453795,-8.9156570076,-3.206382284,61
103322,159836,185770,2.2336998971,-8.9228354754,-3.3415767608999998,62
103262,159872,185694,2.1690936869,-8.9862452743,-3.3882368016,63
103173,159750,185727,2.1822542112,-8.877371846,-3.3810583338,64
103087,159708,185693,2.0434705004000002,-8.926424709299999,-3.3738798660000002,65
103073,159671,185672,2.1080767106,-8.864211321700001,-3.397808092,66
102972,159657,185681,1.9908284031999999,-8.877371846,-3.2315069213,67
103062,159702,185704,2.2671994135,-8.9060857172,-3.3882368016,68
103091,159762,185703,2.1726829208,-8.8271225714,-3.3355947043999996,69
103117,159665,185661,2.0769700168,-8.889335959,-3.3475588174,70
103143,159703,185662,2.117648001,-8.8091764019,-3.2614172038,71
103141,159661,185681,2.1439690496,-8.926424709299999,-3.2159535744,72
103166,159696,185671,2.0518453795,-8.889335959,-3.2410782117,73
103147,159719,185686,2.1511475174,-9.0580299523,-3.2446674455999998,74
103185,159711,185741,2.1332013479,-8.8211405149,-3.3355947043999996,75
103223,159718,185730,2.0865413072,-8.805587167999999,-3.3427731722,76
103219,159716,185707,2.0685951377,-8.930013943199999,-3.2362925665,77
103242,159753,185703,2.0985054202,-8.7804625307,-3.3044880106,78
103281,159741,185722,2.1906290903,-8.8797646686,-3.3667013982,79
103304,159755,185734,1.998006871,-8.9407816449,-3.3332018818,80
