green,red,IR,acc_x,acc_y,acc_z,sample_index
68819,182324,195129,-3.4061829711000002,6.6819571105,-6.7046889252,1
69081,182348,195132,-3.2578279699,6.5946190856,-6.7477597320000005,2
69339,182325,195151,-3.1549365981,6.699903279999999,-6.723831506,3
69626,182383,195176,-3.3116664784,6.6245293681,-6.5958154969,4
69920,182446,195174,-3.1836504693,6.5718872709,-6.7896341275,5
70228,182428,195186,-3.2865418411,6.7992054179000005,-6.6676001749,6
70521,182507,195206,-3.0747770410000004,6.728617151199999,-6.7334027964,7
70834,182531,195215,-3.2590243811999997,6.6807606991999995,-6.675975054,8
71130,182563,195266,-3.1310083721,6.7669023128,-6.8183479987,9
71060,182509,195244,-3.3008987767,6.7130638043,-6.7058853365,10
69994,182327,195161,-3.1597222433,6.5431733997,-6.6101724325,11
68512,182160,195128,-3.1980074049,6.7525453772,-6.699903279999999,12
67352,181917,195063,-3.2638100264,6.7130638043,-6.6568324732,13
66764,181963,195013,-3.1357940173,6.7322063851000005,-6.6149580777,14
66631,181990,195008,-3.2398818003999996,6.6843499331,-6.7334027964,15
66851,182033,195006,-3.2685956716,6.646064771500001,-6.7190458608,16
67286,182105,195037,-3.1549365981,6.6771714653,-6.7525453772,17
67727,182142,195074,-3.1405796625,6.6891355783,-6.6903319896,18
68131,182194,195085,-3.3714870434,6.6341006585,-6.7322063851000005,19
68405,182227,195090,-3.2147571631,6.7334027964,-6.7142602155999995,20
68623,182227,195129,-3.2111679291999997,6.7190458608,-6.6903319896,21
68824,182263,195129,-3.2255248647999997,6.7142602155999995,-6.7334027964,22
69054,182278,195114,-3.1597222433,6.8051874744,-6.6819571105,23
69297,182313,195147,-3.2398818003999996,6.757331022400001,-6.6807606991999995,24
69602,182335,195135,-3.1872397032,6.771687958,-6.6436719489,25
69896,182381,195174,-3.2590243811999997,6.5958154969,-6.6963140460999995,26
70190,182436,195189,-3.1776684127999997,6.7274207398999994,-6.6233329568,27
70481,182442,195163,-3.1980074049,6.7130638043,-6.728617151199999,28
70733,182502,195203,-3.1166514365,6.6664037636,-6.6903319896,29
71115,182538,195270,-3.1453653077,6.824330055200001,-6.6939212235,30
71420,182579,195258,-3.182454058,6.7393848529,-6.632904247199999,31
71504,182558,195301,-3.0975088557,6.728617151199999,-6.6676001749,32
70723,182426,195247,-3.1166514365,6.7609202563,-6.699903279999999,33
69333,182228,195127,-3.3296126479000003,6.7944197726999995,-6.7046889252,34
68123,182110,195079,-3.1549365981,6.728617151199999,-6.5862442065,35
67462,182049,195038,-3.1274191382,6.7190458608,-6.6388863037,36
67270,182031,195049,-3.1968109935999998,6.6568324732,-6.6903319896,37
67422,182084,195032,-3.1453653077,6.675975054,-6.6855463444,38
67808,182179,195083,-3.2685956716,6.6963140460999995,-6.671189408799999,39
68252,182223,195074,-3.3643085755999995,6.6951176348,-6.658028884499999,40
68626,182259,195115,-3.2398818003999996,6.771687958,-6.7142602155999995,41
