green,red,IR,acc_x,acc_y,acc_z,sample_index
130066,174969,233546,5.1577291143,-6.273980857200001,5.9856457339,1
130245,175014,233565,5.1003013719000005,-6.2536418651,5.885147184699999,2
130449,175048,233574,5.2378886713999995,-6.2309100503999995,5.8815579507999995,3
130320,175022,233569,5.0536413312,-6.178267953200001,5.9054861768,4
129501,174933,233473,5.0057848792,-6.317051664,5.9330036367,5
128458,174869,233459,4.9304109673,-6.050251944099999,5.9569318627,6
127726,174733,233370,5.1385865335,-6.1866428323,5.8337014988,7
127357,174724,233378,5.0344987504,-6.1878392436,5.9377892819,8
127206,174743,233378,5.1864429855,-6.1507504933,5.934200048,9
127166,174735,233386,4.9627140724,-6.293123438,5.8528440796,10
127179,174739,233374,5.1385865335,-6.178267953200001,5.7583275869,11
127258,174674,233424,5.0392843956,-6.2464633973,5.8049876276,12
127259,174678,233456,4.9866422984,-6.1938213001,5.9569318627,13
127152,174786,233425,5.1158547188000005,-6.197410534,5.9856457339,14
127071,174751,233449,5.156532702999999,-6.3637117047,5.827719442299999,15
127037,174766,233445,5.058426976400001,-6.1447684368,6.037091419799999,16
127084,174761,233481,5.0153561695999995,-6.1591253724,5.9246287576,17
127176,174847,233452,5.1003013719000005,-6.2177495260999995,5.838487144,18
127305,174866,233488,5.0392843956,-6.0849478718,5.9282179915,19
127528,174898,233477,5.087140847600001,-6.1160545656,5.952146217499999,20
127709,174892,233517,5.1098726623,-6.1435720255,5.871986660399999,21
127913,174896,233506,5.044070040799999,-6.212963880899999,5.790630692000001,22
128105,174941,233590,4.9112683865,-6.113661743,5.8109696841,23
128286,174968,233567,5.152943469099999,-6.2679988007,5.8097732728,24
128470,174980,233569,5.0907300815,-6.3589260595,5.790630692000001,25
128633,174991,233566,5.112265484900001,-6.2404813408,5.9042897655,26
128806,175015,233577,5.0919264928,-6.3302121883,5.8755758943,27
128973,175019,233579,5.0679982668,-6.0598232345,5.843272789199999,28
129117,175028,233600,5.1433721787,-6.1447684368,5.8815579507999995,29
129262,175036,233639,5.0380879843,-6.259623921599999,5.8911292412,30
129462,175065,233594,4.990231532299999,-6.269195212,5.9294144028,31
129400,175068,233621,4.9674997176,-6.149554082000001,5.9437713384,32
128604,174974,233501,5.058426976400001,-6.355336825599999,5.9246287576,33
127239,174864,233483,4.9962135888,-6.2883377928,5.913861055899999,34
126095,174785,233458,5.0488556860000005,-6.293123438,5.8755758943,35
125420,174745,233413,5.1708896386,-6.3302121883,5.9054861768,36
125110,174695,233372,5.085944436299999,-6.3254265431,5.9102718219999995,37
124825,174714,233359,5.1194439527,-6.1675002515,5.913861055899999,38
124732,174718,233398,5.058426976400001,-6.2081782357,5.938985693199999,39
124730,174698,233395,5.0679982668,-6.3302121883,5.9330036367,40
124815,174745,233443,5.1577291143,-6.287141381500001,5.86241537,41
124809,174749,233469,4.9387858464,-6.1543397272,5.8528440796,42
124733,174734,233452,5.1003013719000005,-6.2021961791999995,5.8002019824,43
124666,174749,233477,5.0021956453,-6.178267953200001,6.009573959900001,44
124658,174738,233465,5.0811587911,-6.245266986000001,5.9916277904,45
124788,174753,233500,5.156532702999999,-6.173482308,5.8480584344,46
124961,174787,233475,5.0285166938999994,-6.2548382764,5.86241537,47
125173,174785,233501,5.02492746,-6.1268222673,5.8337014988,48
125395,174817,233518,5.1338008883,-6.1794643645,5.8049876276,49
125649,174855,233555,5.071587500700001,-6.2775700911,5.9569318627,50
125871,174863,233608,5.1098726623,-6.2009997679,5.8193445632000005,51
126099,174900,233599,5.010570524399999,-6.1411792029,5.8049876276,52
126330,174909,233583,5.071587500700001,-6.206981824400001,5.9808600887,53
126562,174868,233672,5.181657340299999,-6.2404813408,5.8767723056,54
126744,174939,233659,5.0907300815,-6.197410534,5.871986660399999,55
126933,174966,233656,5.0344987504,-6.216553114800001,5.8767723056,56
