green,red,IR,acc_x,acc_y,acc_z,sample_index
108778,200424,256128,-0.4510470601,-9.8835537493,-0.0526420972,1
108759,200414,256121,-0.48933222169999996,-9.754341328899999,-0.0526420972,2
108753,200433,256158,-0.4043870194,-9.8488578216,-0.047856452,3
108826,200434,256169,-0.5874379483000001,-9.8871429832,0.0789631458,4
108879,200457,256177,-0.574277424,-9.882357338,0.0191425808,5
108978,200420,256156,-0.4450650036,-9.9338030239,0.0287138712,6
109085,200449,256172,-0.430708068,-9.8907322171,-0.0334995164,7
109221,200426,256224,-0.4271188341,-9.7734839097,0.0,8
109384,200536,256209,-0.574277424,-9.8452685877,0.0574277424,9
109503,200437,256252,-0.5838487144,-9.7591269741,0.0095712904,10
109680,200562,256248,-0.49770710079999997,-10.0103733471,0.0669990328,11
109694,200539,256259,-0.4642075844,-9.8261260069,0.1088734283,12
109452,200411,256231,-0.5168496816,-9.93021379,0.0191425808,13
109073,200433,256188,-0.41156548719999997,-9.8201439504,0.0095712904,14
108735,200410,256171,-0.49651068949999994,-9.9397850804,-0.071784678,15
108507,200363,256176,-0.49651068949999994,-9.8249295956,0.0035892339,16
108355,200399,256241,-0.4079762533,-9.8644111685,-0.023928226,17
108288,200339,256196,-0.4402793584,-9.8680004024,-0.0047856452,18
108310,200430,256199,-0.4594219392,-9.9254281448,0.0370887503,19
108386,200423,256209,-0.6771687957999999,-9.919446088299999,-0.023928226,20
108413,200472,256260,-0.4941178669,-9.8309116521,0.11844471869999999,21
108459,200475,256232,-0.4079762533,-9.853643466800001,0.0658026215,22
108494,200493,256211,-0.5395814963,-9.8285188295,-0.0143569356,23
108574,200501,256292,-0.47856452,-9.8356972973,-0.04307080679999999,24
108694,200510,256257,-0.4211367776,-9.8165547165,-0.0191425808,25
108830,200525,256290,-0.4414757697,-9.8548398781,0.0191425808,26
108989,200557,256308,-0.4689932296,-9.8404829425,0.0275174599,27
109143,200570,256325,-0.43190447930000003,-9.858429112,0.0191425808,28
109297,200574,256369,-0.4689932296,-9.911071209200001,0.0382851616,29
109474,200607,256299,-0.44985064880000003,-9.8309116521,0.0705882667,30
109613,200636,256318,-0.6017948839,-10.0008020567,0.0334995164,31
109751,200598,256386,-0.6209374647,-9.811769071299999,0.0143569356,32
109680,200531,256336,-0.5910271822000001,-9.906285564,0.08614161359999999,33
109358,200486,256306,-0.4366901245,-9.811769071299999,0.0466600407,34
108911,200363,256281,-0.3984049629,-9.924231733500001,-0.023928226,35
108554,200392,256242,-0.5072783912000001,-9.8261260069,0.051445685899999996,36
108299,200415,256205,-0.34576286570000003,-9.9290173787,0.0287138712,37
108108,200370,256206,-0.6017948839,-9.8488578216,-0.0382851616,38
108013,200394,256236,-0.5443671415,-9.8165547165,0.051445685899999996,39
108043,200397,256215,-0.5682953675,-9.8919286284,-0.0275174599,40
