green,red,IR,acc_x,acc_y,acc_z,sample_index
71628,156400,188277,6.5479590449,2.4071795356,-6.7070817478,1
71621,156430,188321,6.6508504167,2.356930261,-6.6652073523,2
71674,156412,188294,6.7070817478,2.3042881638,-6.7022961026,3
71694,156408,188296,6.640082715,2.2947168733999996,-6.7046889252,4
71751,156416,188307,6.6939212235,2.3653051401,-6.7549381998,5
71803,156423,188336,6.6664037636,2.344966148,-6.6017975534,6
71867,156424,188322,6.7202422721,2.4011974791,-6.709474570399999,7
71934,156455,188349,6.6831535217999996,2.3772692530999997,-6.7334027964,8
71989,156461,188338,6.715456626899999,2.3306092124,-6.5527446901,9
72060,156486,188335,6.6771714653,2.404786713,-6.6975104574,10
72115,156490,188364,6.8099731195999995,2.2947168733999996,-6.7310099738,11
72174,156493,188364,6.6795642879,2.4382862294,-6.740581264199999,12
72257,156516,188376,6.6496540054,2.3676979627,-6.709474570399999,13
72325,156522,188376,6.7274207398999994,2.3401805028,-6.686742755699999,14
72407,156524,188378,6.658028884499999,2.1954147355,-6.675975054,15
72476,156539,188349,6.740581264199999,2.2767707039,-6.8051874744,16
72529,156583,188369,6.709474570399999,2.3665015514,-6.6197437229,17
72529,156500,188373,6.7022961026,2.3665015514,-6.6221365455,18
72294,156423,188313,6.6771714653,2.309073809,-6.756134611099999,19
71974,156345,188266,6.664010941,2.344966148,-6.709474570399999,20
71873,156332,188269,6.6903319896,2.3114666316,-6.7633130788999996,21
71866,156329,188265,6.866204450700001,2.368894374,-6.7046889252,22
71871,156340,188261,6.7645094902,2.3365912689,-6.7657059015,23
71850,156314,188258,6.6352970698,2.4000010678,-6.7334027964,24
71919,156375,188292,6.5359949319,2.2636101795999997,-6.7489561433,25
71993,156415,188292,6.6987068686999995,2.3772692530999997,-6.7142602155999995,26
72066,156429,188253,6.673582231399999,2.3629123174999997,-6.6376898924,27
72075,156414,188292,6.7453669094,2.3617159062,-6.6951176348,28
72123,156416,188334,6.5826549726,2.3401805028,-6.6951176348,29
72128,156414,188298,6.7178494495,2.2755742926,-6.6436719489,30
72159,156426,188317,6.664010941,2.3581266723,-6.6472611828,31
72214,156403,188322,6.7920269500999995,2.2803599377999997,-6.7070817478,32
72279,156430,188352,6.6113688438,2.416750826,-6.7549381998,33
72330,156455,188316,6.6532432393,2.3976082452,-6.725027917299999,34
72421,156473,188349,6.5874406178,2.3892333661,-6.7453669094,35
72471,156476,188305,6.5647088031,2.368894374,-6.673582231399999,36
72553,156490,188363,6.753741788499999,2.2923240508,-6.7812592484,37
72579,156515,188361,6.5886370291,2.3198415107,-6.6029939646999996,38
72664,156526,188390,6.5431733997,2.3425733254,-6.7393848529,39
72718,156494,188390,6.7142602155999995,2.3473589706,-6.6197437229,40
72789,156554,188380,6.5982083195,2.356930261,-6.7310099738,41
72866,156507,188405,6.687939167000001,2.3425733254,-6.6783678766,42
72940,156554,188359,6.7058853365,2.309073809,-6.6484575941,43
73014,156545,188387,6.7070817478,2.27318147,-6.7381884416,44
73079,156566,188395,6.7166530382000005,2.2875384056,-6.6831535217999996,45
72967,156547,188373,6.7046889252,2.4203400599,-6.5838513839,46
72638,156414,188326,6.5814585613,2.1978075581,-6.6484575941,47
72388,156388,188293,6.644868360199999,2.3868405435,-6.5970119082,48
72326,156372,188250,6.617350900300001,2.3186450994000003,-6.7645094902,49
72362,156363,188296,6.7381884416,2.3042881638,-6.757331022400001,50
72353,156355,188277,6.674778642700001,2.2695922361,-6.7549381998,51
72350,156381,188274,6.6556360619,2.321037922,-6.7166530382000005,52
72426,156376,188286,6.6185473116,2.4442682859,-6.6951176348,53
72523,156432,188321,6.741777675500001,2.2947168733999996,-6.769295135399999,54
72536,156424,188339,6.6388863037,2.3593230836,-6.7118673929999995,55
72524,156413,188325,6.728617151199999,2.2947168733999996,-6.8063838857,56
72516,156416,188316,6.664010941,2.321037922,-6.6783678766,57
72547,156449,188321,6.6436719489,2.3425733254,-6.7884377162,58
72566,156409,188334,6.673582231399999,2.2660030021999997,-6.786044893600001,59
72645,156425,188370,6.6831535217999996,2.3784656644,-6.6628145297,60
72678,156407,188336,6.642475537599999,2.3066809864,-6.8039910631,61
72725,156371,188335,6.6975104574,2.4083759468999997,-6.658028884499999,62
72775,156421,188365,6.671189408799999,2.356930261,-6.7501525546,63
72832,156451,188351,6.6783678766,2.3258235672,-6.6412791263,64
72884,156467,188336,6.687939167000001,2.2636101795999997,-6.6855463444,65
72936,156435,188331,6.6723858201,2.4275185276999998,-6.866204450700001,66
72985,156485,188388,6.6496540054,2.4263221164,-6.8087767083,67
73049,156481,188363,6.6508504167,2.3940190112999997,-6.8219372326,68
