green,red,IR,acc_x,acc_y,acc_z,sample_index
103290,178906,220837,-1.1940184774,-6.725027917299999,6.8147587648000005,1
103291,178925,220793,-1.2335000503,-6.6843499331,6.8350977569,2
103351,178859,220832,-1.1353943237,-6.7549381998,6.6484575941,3
103463,178924,220836,-1.2777672683999999,-6.7441704981,6.824330055200001,4
103519,178889,220776,-1.2789636797000001,-6.7465633207,6.8027946518,5
103569,178905,220787,-1.1341979124,-6.7764736032,6.8099731195999995,6
103693,178846,220785,-1.1653046062,-6.652046828,6.906882434900001,7
103701,178736,220687,-1.220339526,-6.6352970698,6.8721865072,8
103641,178714,220616,-1.1916256548,-6.7429740868,6.8709900959,9
103790,178820,220667,-1.232303639,-6.715456626899999,6.782455659699999,10
103921,178944,220718,-1.1820543644000001,-6.7070817478,6.8123659422000005,11
104060,178892,220712,-1.3148560187,-6.782455659699999,6.838686990799999,12
103972,178844,220682,-1.2287144051,-6.7106709817,6.8004018292,13
103356,178785,220540,-1.0695917021999999,-6.664010941,6.8279192891000005,14
102593,178660,220450,-1.1282158559,-6.6317078358999995,6.8590259828999995,15
102280,178649,220467,-1.1796615418,-6.6185473116,6.740581264199999,16
102242,178694,220431,-1.2586246876,-6.7788664257999995,6.759723845,17
102216,178699,220473,-1.1258230332999999,-6.7549381998,6.8685972733,18
102163,178685,220462,-1.0803594039,-6.546762633599999,6.7226350947,19
102286,178687,220434,-1.1892328322,-6.8123659422000005,6.8374905795,20
102443,178777,220481,-1.148554848,-6.6029939646999996,6.8063838857,21
102586,178739,220468,-1.1641081949,-6.6317078358999995,6.770491546700001,22
102671,178714,220480,-1.1581261384000001,-6.7764736032,6.771687958,23
102668,178732,220442,-1.1138589203,-6.6508504167,6.769295135399999,24
102633,178707,220453,-1.2622139215000001,-6.7274207398999994,6.9128644914,25
102749,178682,220435,-1.208375413,-6.6771714653,6.7621166676,26
102831,178747,220453,-1.1449656141,-6.7872413049,6.8075802969999994,27
102901,178746,220465,-1.3220344865,-6.6927248122,6.735795619,28
103025,178740,220411,-1.1353943237,-6.563512391800001,6.7848484823,29
103117,178736,220429,-1.2251251712,-6.6364934811000005,6.897311144500001,30
103218,178644,220400,-1.0205388389,-6.8638116281,6.7788664257999995,31
103301,178708,220407,-1.1928220661,-6.5958154969,6.8099731195999995,32
103408,178783,220414,-1.1928220661,-6.7334027964,6.7740807806,33
103516,178740,220409,-1.208375413,-6.6556360619,6.7788664257999995,34
103590,178629,220385,-1.1688938401,-6.769295135399999,6.7740807806,35
103666,178722,220335,-1.1509476706000001,-6.7226350947,6.674778642700001,36
103762,178743,220365,-1.2538390423999999,-6.6628145297,6.8183479987,37
103823,178720,220343,-1.2478569859,-6.7453669094,6.783652071000001,38
103430,178550,220219,-1.2023933565,-6.7214386834,6.7046889252,39
102625,178516,220168,-1.2466605746,-6.686742755699999,6.880561386299999,40
102021,178529,220110,-1.1940184774,-6.7752771919,6.759723845,41
101846,178530,220120,-1.2107682356,-6.851847515099999,6.7992054179000005,42
101857,178579,220128,-1.1018948073,-6.7166530382000005,6.7262243286,43
101795,178595,220151,-1.136590735,-6.7429740868,6.8147587648000005,44
101815,178591,220161,-1.2957134379000002,-6.7501525546,6.7549381998,45
102008,178601,220188,-1.1509476706000001,-6.7633130788999996,6.8255264665,46
102184,178639,220173,-1.1748758966000001,-6.7848484823,6.7645094902,47
102323,178645,220198,-1.2299108163999999,-6.7070817478,6.8004018292,48
102349,178639,220194,-1.1389835576,-6.6616181184,6.8051874744,49
102405,178615,220196,-1.2358928729,-6.7058853365,6.8051874744,50
102448,178557,220208,-1.220339526,-6.7070817478,6.8123659422000005,51
102503,178659,220180,-1.1581261384000001,-6.7429740868,6.8087767083,52
102600,178639,220151,-1.0707881135,-6.6233329568,6.7549381998,53
102716,178629,220221,-1.1736794853,-6.831508523,6.8279192891000005,54
102836,178626,220168,-1.1856435983,-6.6807606991999995,6.759723845,55
102958,178628,220149,-1.1653046062,-6.6676001749,6.7334027964,56
103067,178628,220150,-1.2107682356,-6.675975054,6.728617151199999,57
103161,178620,220101,-1.1497512593,-6.6029939646999996,6.7908305388,58
103265,178576,220096,-1.2681959779999998,-6.629315013299999,6.831508523,59
103336,178616,220071,-1.244267752,-6.5982083195,6.769295135399999,60
103448,178644,220098,-1.2215359373,-6.576672916100001,6.8123659422000005,61
103530,178584,220061,-1.1210373881,-6.6341006585,6.824330055200001,62
103671,178541,220078,-1.0971091621,-6.728617151199999,6.8470618699,63
103750,178612,220071,-1.1952148887,-6.6915284009,6.8578295716,64
103586,178547,219980,-1.2993026717999998,-6.7764736032,6.7944197726999995,65
102933,178358,219890,-1.1509476706000001,-6.550351867499999,6.8458654586,66
102330,178346,219833,-1.1246266219999999,-6.7322063851000005,6.8159551761,67
102091,178405,219820,-1.1700902514,-6.786044893600001,6.795616184,68
102154,178443,219849,-1.1018948073,-6.6783678766,6.9164537253,69
102257,178467,219875,-1.2370892842,-6.703492513900001,6.798009006599999,70
102252,178489,219896,-1.0803594039,-6.8004018292,6.795616184,71
102513,178497,219880,-1.2000005339,-6.7142602155999995,6.8542403377,72
102679,178562,219941,-1.0719845248,-6.652046828,6.798009006599999,73
102805,178546,219918,-1.0755737587,-6.671189408799999,6.771687958,74
102846,178486,219934,-1.2370892842,-6.6269221907,6.855436749,75
102844,178528,219892,-1.0037890807,-6.771687958,6.7932233614,76
102892,178536,219914,-1.2861421475,-6.6664037636,6.7621166676,77
102963,178528,219943,-1.2251251712,-6.6783678766,6.7549381998,78
103074,178558,219943,-1.1174481541999999,-6.6975104574,6.7274207398999994,79
103194,178568,219945,-1.2107682356,-6.6364934811000005,6.740581264199999,80
103330,178558,219920,-1.0492527101,-6.6927248122,6.8004018292,81
103398,178565,219933,-1.280160091,-6.8004018292,6.7968125953,82
103561,178569,219948,-1.2227323486,-6.6556360619,6.7788664257999995,83
103644,178537,219912,-1.3471591237999998,-6.6963140460999995,6.7645094902,84
103752,178621,219966,-1.1234302107,-6.723831506,6.8350977569,85
103866,178588,219919,-1.2346964616,-6.7298135625,6.8051874744,86
103942,178610,219928,-1.1916256548,-6.723831506,6.7022961026,87
104056,178568,219901,-1.2705888006,-6.7070817478,6.728617151199999,88
103945,178529,219897,-1.1090732750999999,-6.7190458608,6.8267228778,89
103409,178391,219765,-1.148554848,-6.7310099738,6.7884377162,90
102733,178348,219754,-1.2933206153,-6.6963140460999995,6.7788664257999995,91
102487,178398,219762,-1.2981062605,-6.576672916100001,6.7489561433,92
102516,178454,219825,-1.1282158559,-6.735795619,6.7812592484,93
102594,178493,219825,-1.2000005339,-6.6652073523,6.7441704981,94
102709,178509,219832,-1.1341979124,-6.7812592484,6.7621166676,95
102842,178459,219850,-1.2514462198,-6.757331022400001,6.8039910631,96
103037,178576,219904,-1.1940184774,-6.6723858201,6.8374905795,97
103173,178582,219900,-1.232303639,-6.6687965862,6.7932233614,98
103249,178615,219933,-1.2538390423999999,-6.820740821299999,6.795616184,99
103275,178579,219917,-1.3232308977999998,-6.6508504167,6.8051874744,100
103262,178586,219947,-1.1270194446,-6.7944197726999995,6.6927248122,101
103425,178585,219957,-1.1940184774,-6.715456626899999,6.7932233614,102
103519,178625,219960,-1.2311072277,-6.7322063851000005,6.783652071000001,103
103638,178641,219957,-1.1437692028,-6.7728843693,6.7932233614,104
103757,178636,219987,-1.1018948073,-6.658028884499999,6.8410798134,105
103903,178640,219966,-1.2035897678,-6.7118673929999995,6.8123659422000005,106
104002,178638,219978,-1.1916256548,-6.6975104574,6.8374905795,107
104120,178656,219986,-1.1294122672,-6.628118602,6.8075802969999994,108
104242,178683,219995,-1.2358928729,-6.6927248122,6.7621166676,109
104293,178692,219979,-1.1868400096,-6.6819571105,6.7812592484,110
104439,178685,219995,-1.1964113,-6.6915284009,6.897311144500001,111
104537,178662,220020,-1.1150553316,-6.7202422721,6.7680987241,112
104650,178711,220001,-1.2119646469,-6.6975104574,6.7740807806,113
104621,178665,219990,-1.1772687192,-6.7633130788999996,6.7920269500999995,114
104016,178578,219873,-1.2011969452,-6.7633130788999996,6.8614188055,115
103280,178482,219838,-1.2035897678,-6.6963140460999995,6.7525453772,116
