green,red,IR,acc_x,acc_y,acc_z,sample_index
85940,194746,229207,-7.612765101899999,-5.681757263700001,-2.6225335696,1
85985,194776,229196,-7.7659057483,-5.7343993608999995,-2.6368905052,2
86075,194772,229203,-7.5505517143,-5.6721859733,-2.5842484079999997,3
86127,194816,229233,-7.7324062319,-5.6685967394,-2.5435704238000003,4
86233,194850,229226,-7.7024959494,-5.647061336,-2.6536402634000003,5
86366,194886,229258,-7.5601230047,-5.6159546422,-2.7110680058,6
86433,194905,229238,-7.6881390138,-5.666203916800001,-2.5710878837,7
86638,194929,229253,-7.5314091335,-5.6566326264,-2.6009981662,8
86739,194944,229255,-7.5481588917,-5.6745787959,-2.5794627628,9
86859,195001,229341,-7.6761749007999995,-5.5896335936,-2.6572294973,10
86970,194975,229307,-7.720442118899999,-5.5621161337,-2.6225335696,11
87064,194994,229288,-7.639086150500001,-5.5238309721,-2.6727828442,12
87053,194961,229298,-7.6366933279,-5.5920264161999995,-2.5758735289,13
86913,194853,229187,-7.549355303,-5.6231331099999995,-2.6392833278,14
86291,194732,229120,-7.7300134093,-5.5776694806,-2.7014967154,15
85745,194640,229088,-7.5529445369,-5.6925249654,-2.6105694566,16
85428,194593,229058,-7.6271220375,-5.6638110942,-2.6787649007,17
85257,194570,229033,-7.5828548194,-5.5262237947,-2.715853651,18
85186,194529,229037,-7.606783045399999,-5.665007505499999,-2.5423740125,19
85198,194532,229055,-7.6845497799,-5.6267223439,-2.6213371583000002,20
85308,194556,229079,-7.6618179652,-5.491527867,-2.6703900216,21
85420,194534,229068,-7.5816584081,-5.6805608524,-2.6069802227000003,22
85515,194613,229054,-7.6187471584,-5.595615650099999,-2.6632115538,23
85546,194568,229063,-7.5649086499,-5.679364441100001,-2.6321048599999997,24
85551,194563,229088,-7.5960153436999995,-5.582455125799999,-2.5782663514999995,25
85604,194598,229066,-7.6701928443,-5.5262237947,-2.6249263922,26
85666,194626,229089,-7.5625158273,-5.5800623032,-2.5591237707,27
85785,194675,229093,-7.568497883799999,-5.5369914964,-2.6213371583000002,28
85886,194623,229075,-7.6881390138,-5.5214381495,-2.6021945774999997,29
85965,194684,229119,-7.750352401400001,-5.4975099235,-2.6344976826,30
85994,194684,229077,-7.6498538522,-5.491527867,-2.6321048599999997,31
86199,194711,229107,-7.622336392299999,-5.6279187552000005,-2.6297120374,32
86297,194744,229108,-7.460820866800001,-5.6219366987,-2.6823541346,33
86422,194756,229152,-7.7443703449,-5.6315079891,-2.608176634,34
86540,194740,229137,-7.7120672398000005,-5.5334022625,-2.6775684894,35
86566,194712,229130,-7.5888368759,-5.6303115778,-2.6321048599999997,36
86242,194635,229014,-7.621139981,-5.5680981902,-2.6799613119999997,37
85566,194505,228888,-7.4644101007,-5.6422756908,-2.6847469572,38
85154,194434,228851,-7.7120672398000005,-5.6195438761,-2.5686950610999997,39
84783,194365,228856,-7.606783045399999,-5.5968120614000005,-2.5698914723999997,40
84653,194394,228884,-7.6713892556,-5.5597233111,-2.5998017549,41
84585,194374,228865,-7.542176835199999,-5.5118668590999995,-2.6895326024,42
84616,194379,228878,-7.621139981,-5.7032926670999995,-2.7302105866,43
84726,194403,228931,-7.6905318364,-5.6171510535,-2.667997199,44
84865,194410,228888,-7.6031938115,-5.651846981199999,-2.6464617955999996,45
84983,194427,228961,-7.5996045776,-5.6075797630999995,-2.6512474407999997,46
85023,194432,228940,-7.6905318364,-5.5262237947,-2.7182464736,47
85086,194400,228952,-7.5996045776,-5.681757263700001,-2.6297120374,48
85163,194443,228936,-7.6618179652,-5.583651537100001,-2.5878376418999998,49
85224,194519,228993,-7.5828548194,-5.6386864569,-2.5806591741,50
85315,194497,228983,-7.6163543358,-5.5884371823,-2.6775684894,51
85488,194512,229002,-7.5529445369,-5.5357950851,-2.7206392962,52
85608,194550,228997,-7.708478005899999,-5.6542398038,-2.5854448193,53
85749,194618,229037,-7.4991060284,-5.6410792795,-2.6775684894,54
85762,194629,229011,-7.5349983674,-5.5896335936,-2.6069802227000003,55
86005,194680,229058,-7.5625158273,-5.6171510535,-2.703889538,56
86155,194681,229055,-7.5158557866,-5.637490045600001,-2.6285156261,57
86301,194747,229089,-7.526623488299999,-5.5118668590999995,-2.6835505459,58
86435,194713,229122,-7.6402825618,-5.5848479484,-2.5974089322999996,59
86502,194686,229066,-7.7551380466,-5.6015977066,-2.6703900216,60
86241,194646,228992,-7.633104094,-5.575276658,-2.5950161097,61
85666,194521,228933,-7.6402825618,-5.5441699642,-2.5854448193,62
85181,194455,228880,-7.6139615132000005,-5.5932228275,-2.6045874001,63
84919,194431,228891,-7.606783045399999,-5.635097223,-2.6859433685,64
84841,194408,228891,-7.5816584081,-5.538187907699999,-2.6213371583000002,65
84837,194435,228922,-7.5792655855,-5.6877393201999995,-2.6416761504,66
84936,194476,228927,-7.6594251426,-5.599204884000001,-2.6009981662,67
85060,194465,228970,-7.764709337,-5.6757752072,-2.691925425,68
85263,194508,228994,-7.573283529,-5.6063833518,-2.6273192148,69
85399,194531,229005,-7.465606512,-5.6063833518,-2.620140747,70
85480,194611,229008,-7.4991060284,-5.5884371823,-2.7086751831999996,71
85566,194597,229063,-7.5098737301,-5.5202417382,-2.6297120374,72
85656,194605,229094,-7.606783045399999,-5.6877393201999995,-2.5842484079999997,73
85783,194677,229111,-7.65703232,-5.6901321428,-2.608176634,74
85920,194699,229147,-7.728816998,-5.6183474648,-2.6165515131,75
86061,194728,229140,-7.633104094,-5.540580730299999,-2.5830519966999996,76
86225,194742,229166,-7.606783045399999,-5.6398828682,-2.6548366747000003,77
86396,194816,229140,-7.6031938115,-5.651846981199999,-2.6153551018,78
86496,194810,229217,-7.606783045399999,-5.7044890784,-2.6261228035000004,79
86752,194839,229172,-7.526623488299999,-5.6015977066,-2.6847469572,80
86871,194892,229170,-7.763512925700001,-5.6279187552000005,-2.5806591741,81
87058,194907,229264,-7.6881390138,-5.6877393201999995,-2.6931218363,82
87153,194907,229239,-7.526623488299999,-5.637490045600001,-2.5950161097,83
87027,194819,229160,-7.654639497399999,-5.666203916800001,-2.6500510295,84
86447,194742,229097,-7.6414789731,-5.6303115778,-2.5686950610999997,85
85999,194591,229036,-7.7156564737,-5.6566326264,-2.6512474407999997,86
85593,194529,229031,-7.399803890499999,-5.6542398038,-2.6608187311999996,87
85445,194571,229020,-7.692924659,-5.6004012953,-2.5830519966999996,88
85386,194527,229029,-7.6761749007999995,-5.6255259326000004,-2.5974089322999996,89
85415,194506,229040,-7.6594251426,-5.6327044004,-2.6488546182,90
85426,194555,229039,-7.6845497799,-5.666203916800001,-2.608176634,91
85657,194561,229032,-7.555337359499999,-5.6458649247,-2.7792634499,92
85726,194531,229046,-7.5696942951,-5.6566326264,-2.5160529638999996,93
85771,194584,229071,-7.683353368600001,-5.611168996999999,-2.6608187311999996,94
85774,194580,229050,-7.5792655855,-5.570491012800001,-2.6835505459,95
85820,194570,229024,-7.556533770800001,-5.5621161337,-2.7457639335,96
85882,194558,229061,-7.6869426025,-5.6231331099999995,-2.5902304645,97
85961,194563,229105,-7.5960153436999995,-5.5561340772,-2.7230321187999995,98
86119,194634,229096,-7.668996433,-5.611168996999999,-2.691925425,99
86088,194647,229083,-7.5888368759,-5.595615650099999,-2.5112673187,100
86250,194649,229058,-7.5864440533,-5.620740287399999,-2.5950161097,101
86354,194653,229109,-7.635496916599999,-5.5597233111,-2.6488546182,102
86457,194674,229114,-7.7252277641000004,-5.5645089563,-2.6967110702,103
86592,194728,229126,-7.654639497399999,-5.7092747236,-2.6464617955999996,104
86677,194717,229081,-7.5996045776,-5.4783673427,-2.6644079651,105
86687,194694,229067,-7.7228349415,-5.5573304885,-2.6213371583000002,106
86353,194593,229038,-7.555337359499999,-5.6303115778,-2.7026931267000003,107
85755,194466,228936,-7.65703232,-5.6267223439,-2.5974089322999996,108
85264,194437,228871,-7.7970124421,-5.6638110942,-2.5806591741,109
84996,194356,228904,-7.584051230699999,-5.5968120614000005,-2.6189443356999997,110
84830,194275,228901,-7.5960153436999995,-5.6087761744,-2.7373890544,111
84810,194291,228871,-7.6869426025,-5.6422756908,-2.6416761504,112
84865,194315,228912,-7.7898339743,-5.5776694806,-2.6488546182,113
84982,194294,228898,-7.679764134699999,-5.6482577473,-2.6799613119999997,114
85124,194365,228898,-7.692924659,-5.5884371823,-2.5423740125,115
85223,194436,228939,-7.5218378431,-5.6063833518,-2.6392833278,116
85307,194425,228931,-7.584051230699999,-5.682953675,-2.656033086,117
85370,194430,228965,-7.6426753844,-5.5716874241,-2.5830519966999996,118
85449,194451,228979,-7.645068207,-5.6769716185,-2.6141586905,119
85562,194490,228972,-7.763512925700001,-5.4771709314,-2.703889538,120
85655,194465,228973,-7.7312098206,-5.587240771,-2.5543381254999997,121
85783,194515,228954,-7.6989067155,-5.6159546422,-2.667997199,122
85872,194541,228965,-7.6522466748,-5.633900811699999,-2.5998017549,123
86070,194555,229039,-7.7455667562,-5.6291151665,-2.6021945774999997,124
86171,194585,229022,-7.6594251426,-5.5573304885,-2.6512474407999997,125
86323,194592,229035,-7.6271220375,-5.5776694806,-2.6536402634000003,126
86424,194617,229045,-7.5960153436999995,-5.6039905292,-2.6213371583000002,127
86602,194687,229074,-7.692924659,-5.4831529879,-2.6584259086,128
86726,194658,229103,-7.584051230699999,-5.4951171009,-2.7541388126,129
86599,194623,228983,-7.7001031268,-5.7032926670999995,-2.7529424013,130
86028,194491,228882,-7.639086150500001,-5.5274202059999995,-2.6823541346,131
85600,194369,228849,-7.5876404646,-5.582455125799999,-2.6021945774999997,132
85250,194367,228829,-7.7539416353,-5.7020962558,-2.6488546182,133
85066,194313,228835,-7.6055866341,-5.694917788000001,-2.6548366747000003,134
84994,194327,228836,-7.6055866341,-5.5920264161999995,-2.6488546182,135
85022,194333,228881,-7.5158557866,-5.637490045600001,-2.6428725617,136
85121,194310,228925,-7.5194450205,-5.5680981902,-2.6093730453,137
85291,194383,228934,-7.6043902228,-5.5896335936,-2.6751756668,138
85458,194385,228975,-7.6151579245,-5.6183474648,-2.5902304645,139
85548,194419,228976,-7.561319416,-5.6219366987,-2.5938196984,140
85631,194471,229027,-7.6307112714,-5.5800623032,-2.5890340532,141
