green,red,IR,acc_x,acc_y,acc_z,sample_index
90910,184827,219089,-2.8917261120999997,0.5072783912000001,9.273383986299999,1
90505,184784,219098,-3.0675985732,0.6173482308,9.1357966868,2
90152,184751,219110,-2.8917261120999997,0.59820565,9.1130648721,3
89972,184731,219087,-3.0053851856000002,0.6364908116,9.1776710823,4
89917,184645,219089,-2.9288148624,0.7405785947,9.1740818484,5
89907,184690,219077,-2.9491538545,0.6592226263,9.2255275343,6
89899,184676,219069,-2.9240292172,0.6077769404,9.3164547931,7
89920,184707,219098,-3.0005995404,0.6556333924,9.2685983411,8
89938,184699,219102,-2.9347969189,0.5551348432,9.1453679772,9
89921,184705,219073,-3.0293134116,0.5503491979999999,9.2494557603,10
89942,184686,219097,-2.9060830476999997,0.6305087550999999,9.1692962032,11
89966,184694,219108,-2.9527430884,0.693918554,9.178867493599999,12
90069,184694,219121,-3.0903303879,0.6317051664,9.1417787433,13
90153,184707,219113,-2.8534409504999996,0.4941178669,9.164510558,14
90240,184692,219123,-2.8761727652,0.6209374647,9.1501536224,15
90356,184715,219102,-2.8295127245,0.6125625856,9.1262253964,16
90438,184728,219130,-2.8594230069999997,0.5790630692000001,9.2255275343,17
90576,184726,219180,-2.9635107901000004,0.5934200048,9.140582332,18
90634,184719,219169,-2.9958138952,0.6568298037,9.1932244292,19
90709,184739,219158,-2.9001009912,0.5228317381,9.2171526552,20
90502,184717,219113,-2.8426732488,0.59820565,9.0592263636,21
90039,184751,219072,-3.014956476,0.49292145559999995,9.2255275343,22
89649,184713,219078,-2.9766713144,0.5036891573,9.1968136631,23
89453,184687,219061,-2.8486553053,0.6412764568,9.2410808812,24
89378,184678,219109,-2.9766713144,0.6496513358999999,9.1980100744,25
89313,184680,219066,-3.0472595810999996,0.5994020613,9.273383986299999,26
89297,184651,219095,-3.0664021618999997,0.6269195211999999,9.21236701,27
89340,184656,219085,-2.9527430884,0.6544369810999999,9.1597249128,28
89348,184691,219096,-3.0664021618999997,0.6460621019999999,9.121439751199999,29
89364,184673,219140,-3.0293134116,0.5886343596,9.131011041599999,30
89388,184631,219138,-3.0185457098999997,0.5694917788,9.2458665264,31
89499,184669,219116,-2.9958138952,0.6927221427000001,9.1920280179,32
89546,184663,219153,-3.0041887742999998,0.526420972,9.21236701,33
89616,184689,219175,-3.0113672421,0.6269195211999999,9.1118684608,34
89738,184686,219214,-3.0005995404,0.6927221427000001,9.207581364800001,35
89840,184686,219144,-2.9060830476999997,0.5886343596,9.1022971704,36
89944,184713,219243,-3.0999016782999997,0.7262216591,9.1932244292,37
90070,184701,219188,-2.9479574432,0.6783652070999999,9.178867493599999,38
90197,184607,219247,-2.8725835312999997,0.7920242806,9.1920280179,39
90316,184723,219245,-2.8390840148999996,0.5874379483000001,9.2685983411,40
90309,184746,219219,-3.0484559924,0.6604190376,9.1202433399,41
89917,184742,219178,-2.9850461935,0.6640082715,9.164510558,42
89532,184712,219136,-2.8618158296000002,0.5132604477,9.2015993083,43
89283,184669,219145,-3.0472595810999996,0.5886343596,9.2027957196,44
89195,184691,219141,-3.0484559924,0.7082754896000001,9.1932244292,45
89164,184744,219171,-2.9252256285000002,0.6640082715,9.1740818484,46
89134,184661,219184,-3.1046873235,0.5659025448999999,9.2267239456,47
89229,184672,219164,-3.0065815969000003,0.6460621019999999,9.2219383004,48
89235,184647,219222,-3.0281170003,0.6161518195,9.1692962032,49
89242,184657,219188,-2.9814569596,0.7214360139,9.2171526552,50
89311,184662,219174,-2.9359933301999996,0.6329015777,9.1692962032,51
89310,184660,219194,-2.9575287336000002,0.6209374647,9.1968136631,52
89403,184676,219238,-2.9766713144,0.5036891573,9.140582332,53
89505,184671,219235,-3.0233313551,0.6317051664,9.178867493599999,54
89693,184697,219238,-3.0723842184,0.6460621019999999,9.140582332,55
89745,184675,219281,-3.0101708308,0.6125625856,9.1501536224,56
89869,184718,219303,-3.0101708308,0.8171489179,9.2410808812,57
89962,184709,219291,-2.9623143788,0.47138605219999996,9.164510558,58
90119,184703,219285,-2.8869404668999996,0.6520441585,9.2350988247,59
90239,184739,219307,-3.0711878071,0.6604190376,9.2590270507,60
90346,184726,219288,-3.0520452262999997,0.5455635528,9.2171526552,61
90341,184733,219296,-2.9635107901000004,0.6735795618999999,9.2458665264,62
