green,red,IR,acc_x,acc_y,acc_z,sample_index
90269,171079,180138,8.475377649199999,3.4887353508000003,3.7172499091,1
89228,170870,180060,8.475377649199999,3.4600214796,3.6323047068,2
88591,170729,179963,8.5615192628,3.6179477712,3.6418759972,3
88288,170675,179933,8.4562350684,3.493520996,3.6945180944,4
88236,170687,179957,8.542376681999999,3.5318061576,3.6837503927,5
88265,170732,179914,8.4418781328,3.6071800695,3.6753755136,6
88488,170804,179939,8.4562350684,3.5605200288,3.6610185779999997,7
88699,170826,180001,8.5375910368,3.541377448,3.6358939407,8
88856,170840,180013,8.4658063588,3.5222348672,3.6610185779999997,9
88924,170879,180012,8.3712898661,3.6167513599,3.6993037396,10
89045,170883,180019,8.446663778,3.5270205124,3.5509487384000002,11
89125,170901,180024,8.5806618436,3.5605200288,3.7040893848,12
89248,170906,180037,8.3712898661,3.6083764808,3.6622149893000002,13
89378,170914,180031,8.4993058752,3.6311082955,3.6323047068,14
89588,171021,180067,8.6273218843,3.5748769644,3.6705898684,15
89790,171003,180081,8.574679787100001,3.5318061576,3.6801611588,16
90005,171027,180124,8.5220376899,3.5557343836,3.6466616424,17
90206,171114,180123,8.4837525283,3.5078779316,3.5892339,18
90391,171121,180133,8.6033936583,3.5078779316,3.7842489418999996,19
90602,171147,180154,8.4801632944,3.7124642639,3.7555350706999997,20
90800,171146,180171,8.475377649199999,3.6119657146999997,3.6095728921,21
90874,171174,180182,8.4801632944,3.5126635768,3.732803256,22
90505,171102,180157,8.4131642616,3.5078779316,3.6610185779999997,23
89533,170869,180017,8.4478601893,3.6263226502999997,3.6837503927,24
88633,170681,179950,8.517252044700001,3.6035908356,3.6095728921,25
88128,170598,179895,8.518448456,3.4755748265,3.6801611588,26
87967,170584,179895,8.5220376899,3.6801611588,3.7040893848,27
87885,170592,179908,8.4658063588,3.5509487384000002,3.7363924898999996,28
88080,170671,179923,8.5411802707,3.5892339,3.7615171272,29
88307,170721,179913,8.5411802707,3.5258241011,3.6191441825000004,30
88514,170741,179938,8.4370924876,3.4468609552999996,3.6705898684,31
88665,170797,179983,8.4323068424,3.5126635768,3.7986058774999996,32
88767,170789,179981,8.5040915204,3.5988051904000002,3.6610185779999997,33
88861,170808,180009,8.4239319633,3.5892339,3.7890345870999997,34
88989,170881,180000,8.4670027701,3.613162126,3.7268211995,35
89144,170852,180011,8.4514494232,3.5078779316,3.7842489418999996,36
89311,170891,179997,8.6129649487,3.5270205124,3.7375889012,37
89511,170911,180034,8.5890367227,3.5365918028000003,3.5808590209,38
89645,170976,180058,8.5363946255,3.541377448,3.7136606752,39
89944,171009,180116,8.5076807543,3.5892339,3.6275190616,40
90143,171036,180082,8.4801632944,3.6705898684,3.7040893848,41
90334,171070,180119,8.419146318100001,3.6550365215,3.7028929734999996,42
90524,171115,180128,8.5651084967,3.5748769644,3.7794632967,43
90718,171160,180150,8.4981094639,3.4181470840999997,3.8033915226999997,44
90866,171147,180165,8.4035929712,3.6083764808,3.6466616424,45
90582,171086,180148,8.4981094639,3.4660035360999997,3.6035908356,46
89656,170871,180011,8.5890367227,3.5138599880999997,3.7663027724,47
88623,170663,179919,8.446663778,3.5078779316,3.6801611588,48
87935,170544,179907,8.5232341012,3.517449222,3.7615171272,49
87770,170496,179867,8.4418781328,3.5078779316,3.7040893848,50
87729,170517,179845,8.4993058752,3.6646078119,3.7375889012,51
87833,170587,179869,8.470592004,3.5078779316,3.6562329328,52
88044,170625,179943,8.4646099475,3.3846475676999996,3.7651063610999995,53
88269,170707,179959,8.5076807543,3.46959277,3.6514472876,54
88450,170736,179937,8.4514494232,3.5318061576,3.7459637803,55
88559,170766,179953,8.5986080131,3.5509487384000002,3.6705898684,56
88642,170748,179960,8.484948939599999,3.493520996,3.7088750299999997,57
88742,170814,179960,8.5088771656,3.6418759972,3.7507494254999996,58
88857,170813,179965,8.4562350684,3.6215370051,3.6945180944,59
89032,170845,179996,8.5363946255,3.4983066412,3.5952159565,60
89216,170862,179996,8.518448456,3.5545379723,3.6885360378999996,61
89427,170912,180037,8.3796647452,3.5940195452,3.6753755136,62
89602,170968,180036,8.5028951091,3.6167513599,3.7088750299999997,63
89803,171002,180121,8.5040915204,3.6406795858999996,3.7459637803,64
90012,171017,180138,8.5052879317,3.7172499091,3.6670006345,65
90191,171059,180117,8.6644106346,3.565305674,3.6143585373000002,66
90394,171091,180143,8.459824302300001,3.6035908356,3.7794632967,67
90557,171071,180126,8.4287176085,3.5748769644,3.7280176108,68
90734,171163,180160,8.4000037373,3.5928231339,3.7268211995,69
90614,171127,180149,8.5471623272,3.4743784152000003,3.7890345870999997,70
89792,170909,180091,8.4622171249,3.5401810367,3.7040893848,71
88653,170708,179958,8.5794654323,3.565305674,3.6610185779999997,72
87870,170536,179902,8.470592004,3.5126635768,3.7184463204,73
87567,170492,179883,8.360522164399999,3.4325040196999996,3.6418759972,74
87460,170489,179854,8.5375910368,3.5461630932,3.5844482548,75
87535,170499,179911,8.3413795836,3.5605200288,3.6753755136,76
87741,170596,179900,8.3569329305,3.6981073283,3.7280176108,77
87997,170651,179936,8.4131642616,3.5748769644,3.7040893848,78
88204,170709,179942,8.470592004,3.6502508763,3.5760733757,79
88338,170721,180003,8.4323068424,3.5473595045,3.7172499091,80
88412,170718,179991,8.5232341012,3.6550365215,3.6705898684,81
88515,170766,180004,8.5710905532,3.613162126,3.6179477712,82
88675,170766,179975,8.4897345848,3.5222348672,3.6705898684,83
88809,170808,180036,8.49452023,3.5270205124,3.7268211995,84
88995,170854,180036,8.5316089803,3.4983066412,3.7040893848,85
89186,170907,180084,8.636893174699999,3.5665020853000002,3.6801611588,86
89409,170919,180102,8.49452023,3.5509487384000002,3.6418759972,87
89641,170972,180062,8.517252044700001,3.5976087790999998,3.6945180944,88
89833,170981,180094,8.398807326,3.517449222,3.7088750299999997,89
90068,171036,180121,8.4574314797,3.6275190616,3.7220355542999997,90
90257,171083,180145,8.427521197199999,3.5509487384000002,3.6753755136,91
90446,171108,180190,8.6751783363,3.4468609552999996,3.7411781350999997,92
90629,171160,180171,8.6512501103,3.6646078119,3.7854453531999996,93
90796,171179,180207,8.5375910368,3.6275190616,3.6753755136,94
90612,171117,180198,8.49452023,3.6466616424,3.7268211995,95
89683,170880,180118,8.5232341012,3.4660035360999997,3.6562329328,96
88525,170656,179965,8.6177505939,3.6418759972,3.7507494254999996,97
87808,170536,179933,8.3856468017,3.6646078119,3.6897324492,98
87525,170471,179907,8.5076807543,3.4983066412,3.7028929734999996,99
87477,170493,179890,8.5028951091,3.6119657146999997,3.7088750299999997,100
87582,170576,179892,8.4514494232,3.5509487384000002,3.7280176108,101
87797,170613,179958,8.422735552,3.6035908356,3.6705898684,102
88062,170697,179997,8.6177505939,3.5461630932,3.7938202323,103
88222,170719,179991,8.5124663995,3.445664544,3.6993037396,104
88366,170748,180018,8.352147285300001,3.5940195452,3.6753755136,105
88459,170776,180038,8.49452023,3.5796626096,3.7603207159,106
88516,170792,180026,8.459824302300001,3.5365918028000003,3.6945180944,107
88703,170843,180031,8.3892360356,3.6083764808,3.6574293441,108
88857,170812,180069,8.5651084967,3.4420753101,3.7375889012,109
88962,170869,180081,8.4670027701,3.565305674,3.6227334164,110
