green,red,IR,acc_x,acc_y,acc_z,sample_index
117378,189415,232354,-0.5694917788,-3.8967116041,8.983852451699999,1
117262,189388,232405,-0.4558327053,-3.9565321691,8.944370878800001,2
117300,189452,232477,-0.6305087550999999,-3.8249269261,9.0831545896,3
117478,189457,232434,-0.5826523031,-3.8392838617,9.0305124924,4
117646,189456,232476,-0.5359922624,-3.9768711611999996,9.1011007591,5
117757,189448,232411,-0.4989035121,-3.8524443859999997,9.0580299523,6
117838,189447,232430,-0.5132604477,-3.8440695069,8.9694955161,7
117960,189479,232413,-0.5120640364,-3.7878381758,9.0484586619,8
118111,189507,232453,-0.3792623821,-3.8967116041,9.020941202,9
118325,189557,232534,-0.430708068,-3.8859439023999998,9.0161555568,10
118514,189575,232507,-0.41276189849999995,-3.8823546685,9.0257268472,11
118700,189579,232573,-0.6400800455,-3.9302111204999997,9.0676012427,12
118857,189544,232486,-0.5706881900999999,-3.8392838617,9.096315113900001,13
118641,189414,232334,-0.5228317381,-4.0534414844,8.7924266437,14
117954,189285,232258,-0.6161518195,-3.9529429352,9.0257268472,15
117336,189280,232236,-0.5503491979999999,-3.8955151927999996,9.0771725331,16
116917,189273,232199,-0.5647061336,-3.9816568063999997,9.233902413400001,17
116697,189281,232268,-0.46540399569999996,-3.8859439023999998,9.0257268472,18
116700,189295,232253,-0.3780659708,-3.9708891047,9.0161555568,19
116754,189272,232265,-0.5216353268,-3.9338003543999998,9.0676012427,20
116950,189282,232283,-0.5371886737,-3.7770704741,9.0053878551,21
117066,189267,232330,-0.6113661743,-4.019941968,9.09272588,22
117124,189243,232281,-0.753739119,-4.0725840652,9.1250289851,23
117229,189236,232331,-0.41874395499999995,-3.8213376922,9.0592263636,24
117351,189318,232327,-0.4402793584,-3.9385859996,9.020941202,25
117535,189328,232387,-0.6029912952,-3.9014972492999997,9.0293160811,26
117782,189425,232345,-0.5180460929,-3.8536407972999998,9.0305124924,27
118044,189401,232414,-0.3984049629,-3.7663027724,9.0496550732,28
118281,189440,232359,-0.5216353268,-3.9529429352,9.006584266399999,29
118469,189477,232399,-0.4163511324,-3.9529429352,8.983852451699999,30
118613,189517,232474,-0.3792623821,-3.9565321691,8.9790668065,31
118681,189397,232325,-0.4606183505,-3.9290147091999996,8.9826560404,32
118073,189242,232188,-0.5647061336,-3.7914274097,9.0867438235,33
117303,189173,232165,-0.6125625856,-3.9768711611999996,9.0831545896,34
116763,189167,232186,-0.4354937132,-3.8440695069,9.1441715659,35
116388,189106,232157,-0.47856452,-3.7722848289,9.0867438235,36
116220,189143,232218,-0.3182454058,-3.9194434188,9.064012008799999,37
116246,189130,232147,-0.430708068,-3.9338003543999998,9.1298146303,38
116440,189161,232263,-0.5228317381,-3.9338003543999998,9.0496550732,39
116582,189158,232228,-0.6209374647,-3.9098721283999995,8.9874416856,40
116702,189180,232183,-0.40677984199999995,-4.0534414844,9.0616191862,41
116789,189170,232224,-0.48335016519999996,-3.8488551521,9.0783689444,42
116911,189193,232264,-0.39720855159999996,-3.8201412809,9.0831545896,43
117080,189213,232210,-0.6652046827999999,-3.9864424516000003,9.131011041599999,44
117270,189280,232229,-0.4079762533,-3.9529429352,9.0017986212,45
117481,189331,232273,-0.5790630692000001,-3.7758740628,8.9826560404,46
117739,189368,232290,-0.4019941968,-3.9003008379999997,8.97308475,47
117976,189402,232336,-0.6017948839,-3.6969109170000003,9.0400837828,48
118215,189390,232367,-0.502492746,-3.8488551521,9.0017986212,49
118451,189454,232389,-0.5934200048,-3.9876388629,9.0879402348,50
118590,189416,232336,-0.5168496816,-3.9014972492999997,9.0879402348,51
118249,189297,232217,-0.5694917788,-3.7818561193,8.997012975999999,52
117563,189160,232056,-0.6412764568,-3.9517465239000003,8.8917287816,53
116830,189114,232050,-0.5347958510999999,-3.8536407972999998,9.1106720495,54
116379,189083,232030,-0.5790630692000001,-3.8392838617,8.9922273308,55
116147,189046,232103,-0.4749752861,-3.8380874503999998,9.064012008799999,56
116100,189077,232100,-0.4558327053,-4.0151563228,8.9635134596,57
116266,189134,232164,-0.526420972,-3.9146577735999997,9.0592263636,58
116473,189165,232188,-0.6269195211999999,-4.0151563228,9.020941202,59
116609,189171,232210,-0.5790630692000001,-3.8811582571999996,9.1022971704,60
116679,189156,232146,-0.6125625856,-3.9302111204999997,9.09272588,61
116800,189156,232161,-0.5371886737,-3.9984065645999998,9.064012008799999,62
116977,189260,232194,-0.5168496816,-3.9206398301,9.0879402348,63
117181,189249,232231,-0.5551348432,-3.8967116041,9.0113699116,64
117448,189285,232268,-0.4271188341,-3.8811582571999996,8.8833539025,65
117684,189326,232315,-0.5312066172,-3.9050864832,8.997012975999999,66
117911,189336,232353,-0.7357929495000001,-3.9290147091999996,8.9587278144,67
118168,189384,232334,-0.5886343596,-3.9876388629,9.1692962032,68
118409,189437,232385,-0.5503491979999999,-3.8775690233,9.038887371500001,69
118656,189483,232358,-0.5455635528,-3.9625142255999997,9.121439751199999,70
118878,189471,232382,-0.5300102059,-3.9577285803999995,8.9778703952,71
118703,189326,232182,-0.5359922624,-3.8668013215999997,9.0592263636,72
118029,189199,232055,-0.5132604477,-3.9385859996,9.0496550732,73
117320,189153,232120,-0.5072783912000001,-3.9254254753,9.0915294687,74
116841,189126,232047,-0.5180460929,-3.9613178143,9.0867438235,75
116564,189120,232058,-0.44985064880000003,-3.8572300312,9.09272588,76
116482,189115,232154,-0.40917266459999996,-3.8859439023999998,9.0400837828,77
116599,189132,232094,-0.5599204884,-3.8823546685,9.0831545896,78
116806,189196,232156,-0.5838487144,-3.9290147091999996,9.020941202,79
116983,189170,232201,-0.5036891573,-3.9098721283999995,9.0628155975,80
117102,189109,232097,-0.5694917788,-3.9720855159999995,8.97308475,81
117241,189096,232085,-0.5216353268,-3.8572300312,9.0113699116,82
117463,189117,232098,-0.526420972,-3.9529429352,8.931210354500001,83
117664,189184,232146,-0.6173482308,-3.9338003543999998,9.0771725331,84
117880,189241,232208,-0.47377887479999997,-3.8524443859999997,9.0257268472,85
118070,189260,232220,-0.4606183505,-4.043870194,9.006584266399999,86
118296,189309,232273,-0.5168496816,-3.9338003543999998,9.0113699116,87
118487,189330,232239,-0.41754754369999997,-3.8632120877,9.068797654,88
118716,189370,232294,-0.4761716974,-3.8919259589,9.0879402348,89
118961,189410,232291,-0.4462614149,-3.924229064,9.0676012427,90
119079,189278,232188,-0.3086741154,-3.8045879339999997,9.0628155975,91
118680,189191,231979,-0.5168496816,-3.8476587407999996,8.9790668065,92
